"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"10025","New York","NY","New York","New York",1,,2537.5,2555,2636.5,2400,2325,2450,2495,2550,2550,2500,2500,2372.5,2450,2595,2620,2500,2500,2500,2550,2595,2595,2625,2700,2700,2800,2850,2750,2732.5,2695,2695,2730,2800,2850,2700,2700,2895,2800,2800,2850,2900,2900,2900,2870,2800,2750,3200,3069,3100,3075,3100,3100,3100,3100,3100,3175,3040,2995,3000,3050,3095,3050,3100,3025,3069,3088,3094,3000,3100,3045,3000,3012.5,3100,3040,3000,2950,3012.5,3000,3045,3000,2975,2900,2900,3025,3040,3000,2930,3025,3043.5,3041,3000
"60657","Chicago","IL","Chicago","Cook",2,,,,,1075,1095,1095,1080,1115,1125,1125,1095,1095,1095,1095,1125,1125,1100,1100,1125,1125,1125,1107.5,1095,1105,1150,1150,1175,1195,1202.5,1199,1200,1215,1230,1250,1275,1250,1245,1245,1250,1245,1250,1250,1250,1270,1265,1275,1275,1250,1250,1255,1255,1265,1295,1295,1300,1305,1330,1310,1295,1295,1295,1300,1325,1325,1345,1395,1395,1395,1400,1395,1375,1347.5,1350,1295,1295,1350,1445,1450,1450,1450,1465,1450,1420,1400,1375,1370,1390,1397,1440,1425
"10023","New York","NY","New York","New York",3,,2995,3025,3000,2750,2700,2930,3000,3000,2885,2900,2900,2950,2999,3100,3147,3095,3037.5,3000,3000,3100,3000,3000,3000,3100,3125,3100,3042,3000,3000,3150,3050,3042,3100,3125,3150,3200,3200,3100,3195,3200,3200,3200,3199,3200,3175,3300,3350,3300,3300,3350,3300,3300,3300,3350,3395,3300,3300,3350,3350,3350,3300,3300,3300,3300,3300,3350,3300,3300,3300,3100,3300,3300,3300,3300,3300,3200,3295,3255,3300,3300,3300,3300,3300,3295,3295,3300,3300,3295,3295,3208.5
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,868,860.5,869,853,880,900,900,893,900,915,944,886,886,889.5,904,947,977,938,938,964.5,960,947.5,939,944,974,965,975,1009.5,986,1049,1047,1011,933,1011,999,977,987,995,1027,1025,1022.5,1025,1030,1056.5,1055,1082.5,1070,1050,1056,1080
"77494","Cinco Ranch","TX","Houston","Fort Bend",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056.5,1009,1010,1010,1055,1078,1022,1078,1086.5,1080,1055,1052,1050,1025,1000,1000,980,1032.5,1004.5,1019.5,1005,985,1021,1020,1020,1020,1063.5,1000,1000,985,1029,1039,1205,1057,1095.5,1104,1127,1225,1175,1085,1051.5,1058,1060.5,1119,1130,1097.5,1119,1175,1165,1124,1190,1202.5,1179,1175,1179,1175,1190
"60614","Chicago","IL","Chicago","Cook",6,,,,,1250,1200,1199,1175,1195,1247.5,1265,1260,1295,1300,1295,1375,1375,1365,1365,1350,1310,1400,1426,1482.5,1490,1490,1504,1545,1500,1495,1450,1450,1500,1495,1450,1445,1455,1450,1450,1550,1515,1495,1450,1425,1425,1425,1395,1395,1460,1500,1645,1500,1525,1485,1395,1475,1475,1450,1425,1445,1445,1400,1550,1550,1525,1655,1550,1525,1460,1475,1455,1525,1501.5,1445,1500,1500,1575,1550,1545,1495,1500,1500,1535,1550,1595,1575,1500,1550,1575,1611.5,1595
"77084","Houston","TX","Houston","Harris",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,957.5,960.5,967.5,970,996,970,976,976,970,965,891,948.5,910,911.5,889,931,891.5,992.5,967.5,965,919,919,965,910
"10002","New York","NY","New York","New York",8,,,,,,,,,,,,,,,,,2295,2262.5,2300,2295,2350,2350,2295,2275,2350,2300,2300,2300,2350,2350,2350,2395,2395,2400,2450,2400,2400,2400,2400,2400,2400,2400,2450,2495,2500,2500,2600,2562.5,2550,2550,2537.5,2600,2585,2595,2595,2500,2500,2650,2662.5,2695,2700,2650,2650,2650,2695,2662.5,2650,2650,2562.5,2595,2595,2625,2650,2550,2600,2500,2500,2650,2595,2600,2650,2600,2600,2595,2575,2500,2500,2500,2500,2500,2510
"10467","New York","NY","New York","Bronx",9,,,,,,,,,,1100,1100,1062.5,1000,1000,1000,1000,1000,1000,1000,1000,1050,1050,1100,1100,1100,1050,1020,1050,1050,1100,1100,1125,1100,1100,1100,1150,1150,1150,1150,1150,1150,1100,1150,1150,1175,1200,1200,1200,1200,1200,1200,1200,1207.5,1225,1250,1250,1250,1250,1300,1300,1300,1300,1350,1350,1350,1350,1350,1350,1325,1330,1350,1350,1375,1350,1350,1350,1400,1395,1400,1400,1400,1400,1400,1450,1425,1450,1400,1400,1450,1450,1475
"60640","Chicago","IL","Chicago","Cook",10,,,,,875,855,885,895,895,895,875,887.5,875,875,885,885,900,945,950,935,955,950,950,995,1020,1022.5,1035,1050,1037.5,1025,1025,1050,1050,1065,1095,1100,1095,1050,1050,1050,1085,1050,1050,1050,1100,1100,1100,1097.5,1100,1095,1095,1099,1145,1150,1075,1150,1125,1125,1150,1165,1175,1150,1150,1150,1175,1195,1175,1175,1185,1195,1195,1172.5,1200,1160,1145,1150,1175,1250,1225,1250,1225,1225,1200,1200,1195,1200,1200,1245,1245,1250,1260
