item,sea_index_dec_2017,sea_index_feb_2018,mia_index_dec_2017,mia_index_feb_2018
All items,265.85,268.03,258.24,264.99
All items (1967=100),810.41,817.06,416.24,427.13
Food and beverages,265.97,266.61,262.83,261.15
Food,268.57,269.19,264.86,263.62
Food at home,248.17,248.61,255.01,252.88
Cereals and bakery products,282.71,280.17,271.32,273.68
"Meats, poultry, fish, and eggs",207.65,203.23,247.80,237.27
Dairy and related products,217.02,219.33,219.60,221.07
Fruits and vegetables,402.99,400.63,338.32,347.16
Nonalcoholic beverages and beverage materials(1),279.25,298.94,252.06,247.35
Other food at home,212.14,212.43,210.63,209.45
Food away from home,299.88,300.79,283.36,283.48
Alcoholic beverages,234.62,235.39,235.88,228.67
Housing,309.48,311.87,270.75,273.75
Shelter,354.36,358.36,309.82,314.06
Rent of primary residence(2),365.80,368.18,302.98,304.51
Owners' equiv. rent of residences(2)(3),371.52,374.18,311.48,312.62
Owners' equiv. rent of primary residence(1)(2),371.52,374.18,311.48,312.62
Fuels and utilities,263.69,270.20,177.97,178.33
Household energy,240.29,244.11,152.40,152.79
Energy services(2),284.33,288.00,149.47,149.78
Electricity(2),310.57,315.52,146.34,146.70
Utility (piped) gas service(2),160.71,160.75,190.94,0.00
Household furnishings and operations,175.99,169.38,160.99,159.47
Apparel,121.01,132.40,135.73,141.88
Transportation,218.55,222.25,213.01,228.42
Private transportation,226.73,230.00,217.02,231.76
New and used motor vehicles(4),98.68,99.22,115.82,118.39
New vehicles(1),195.47,195.55,227.62,229.91
Used cars and trucks(1),313.62,316.81,289.06,291.84
Motor fuel,321.07,336.36,223.24,239.17
Gasoline (all types),327.47,343.18,220.62,236.38
"Gasoline, unleaded regular(4)",354.99,372.74,216.99,233.22
"Gasoline, unleaded midgrade(4)(5)",259.45,268.76,219.94,232.21
"Gasoline, unleaded premium(4)",302.72,314.51,240.61,251.83
Motor vehicle insurance(1),582.37,582.37,719.25,871.46
Medical care,396.57,399.07,506.04,568.05
Recreation(6),98.76,97.38,117.32,119.81
Education and communication(6),134.85,133.43,120.97,119.52
"Tuition, other school fees, and child care(1)",1440.98,1442.16,956.22,954.49
Other goods and services,411.17,403.73,349.46,349.84
Commodity and service group,265.85,268.03,258.24,264.99
Commodities,189.05,190.33,203.05,205.20
Commodities less food & beverages,151.44,152.92,167.08,171.11
Nondurables less food & beverages,183.92,190.25,200.90,208.12
Durables,119.03,116.37,130.43,130.62
Services,337.47,340.51,300.72,310.85
All items less medical care,259.97,262.14,247.66,252.19
All items less shelter,232.11,233.58,231.00,239.03
Commodities less food,154.90,156.37,169.75,173.37
Nondurables,223.23,226.98,234.08,237.07
Nondurables less food,188.18,194.21,203.12,209.41
Services less rent of shelter(3),325.50,327.38,295.39,314.18
Services less medical care services,330.15,332.92,286.70,292.95
Energy,286.44,296.48,184.22,191.56
All items less energy,267.52,269.32,266.57,273.26
All items less food and energy,267.59,269.59,266.75,274.80
