"RegionID","RegionName","SizeRank","1979-03","1979-06","1979-09","1979-12","1980-03","1980-06","1980-09","1980-12","1981-03","1981-06","1981-09","1981-12","1982-03","1982-06","1982-09","1982-12","1983-03","1983-06","1983-09","1983-12","1984-03","1984-06","1984-09","1984-12","1985-03","1985-06","1985-09","1985-12","1986-03","1986-06","1986-09","1986-12","1987-03","1987-06","1987-09","1987-12","1988-03","1988-06","1988-09","1988-12","1989-03","1989-06","1989-09","1989-12","1990-03","1990-06","1990-09","1990-12","1991-03","1991-06","1991-09","1991-12","1992-03","1992-06","1992-09","1992-12","1993-03","1993-06","1993-09","1993-12","1994-03","1994-06","1994-09","1994-12","1995-03","1995-06","1995-09","1995-12","1996-03","1996-06","1996-09","1996-12","1997-03","1997-06","1997-09","1997-12","1998-03","1998-06","1998-09","1998-12","1999-03","1999-06","1999-09","1999-12","2000-03","2000-06","2000-09","2000-12","2001-03","2001-06","2001-09","2001-12","2002-03","2002-06","2002-09","2002-12","2003-03","2003-06","2003-09","2003-12","2004-03","2004-06","2004-09","2004-12","2005-03","2005-06","2005-09","2005-12","2006-03","2006-06","2006-09","2006-12","2007-03","2007-06","2007-09","2007-12","2008-03","2008-06","2008-09","2008-12","2009-03","2009-06","2009-09","2009-12","2010-03","2010-06","2010-09","2010-12","2011-03","2011-06","2011-09","2011-12","2012-03","2012-06","2012-09","2012-12","2013-03","2013-06","2013-09","2013-12","2014-03","2014-06","2014-09","2014-12","2015-03","2015-06","2015-09","2015-12","2016-03","2016-06","2016-09","2016-12","2017-03","2017-06","2017-09","2017-12"
102001,"United States",0,16347.78,16670.31,17005,17340.92,17731.96,18018.92,18291.96,18625.97,19060.84,19415.6,19796.42,20173.3,20505.31,20697.35,20873.52,21049.03,21209.31,21391.48,21625.45,21994.57,22461.97,22985.42,23449.39,23787.2,24076.86,24280.01,24545.03,24894.54,25287.79,25666.16,25996.83,26272.95,26583.16,26915.94,27207.05,27468.04,27761.37,28057.89,28419.8,28885.31,29465.68,29959.47,30317.2,30481.65,30733.31,31025.4,31281.88,31368.69,31318.57,31264.88,31215.9,31251.43,31404.37,31649.22,31897.56,32104.23,32184.59,32282.91,32375.54,32615.17,32822.92,33155.98,33531.51,34084.68,34612.91,35137.93,35508.53,35737.66,36061.92,36484.27,36913.02,37298.09,37667.39,38044.7,38424.09,38780.91,39284.7,39810.85,40425.38,41069.73,41634.29,42131.54,42214.12,41996.05,42065.69,42223.71,42494.05,42612.46,42742.9,42655.23,42670.44,42743.39,42830.37,43042.57,43151.1,43203.96,43238.84,43442.94,43658.77,43915.45,44154.12,44446.23,44792.47,45343.18,45698.32,46077.36,46366.86,46825.47,47546.71,48165.16,48792.35,49299.78,49954.39,50648.17,51102.65,51254.79,51488.18,52098.93,52344,52184.89,51096.71,50347.86,49746.95,49692.48,49713.26,50065.24,50226.39,50179.12,50331.42,50424.83,50625.69,50626.07,50832.99,51047.82,51416.71,52186.48,52244.57,52371.66,52055.65,52328.12,52771.68,53340.51,53983.38,54532.43,55010.42,55485,55977.25,56627.32,57002.41,57421.69,57814.98,58228.92,58606.5839858491,58984.2479716981,59361.9119575472,59739.5759433962
394913,"New York, NY",1,17537.06,17882.32,18246.9,18628.91,19096.5,19499.66,19871,20275.15,20702.37,21090.52,21519.75,21982.67,22423.48,22714.67,23135.79,23657.62,24173.18,24654.01,25054.96,25484.21,25974.95,26553.29,27198.67,27929.2,28514.34,28967.99,29406.84,29944.97,30574.97,31194.79,31854.98,32469.67,33169.56,33827.83,34358.65,34797.27,35593.46,36184.77,36715.21,37137.18,37834.49,38534.03,38882.76,38825.97,38894.5,38934.76,39419.64,39939.53,40011.87,40052.2,39922.66,39846.95,39965,40109.28,40467.54,40915.86,40931.1,41012.62,41001.61,41510.59,41571.14,41836.78,41850.85,42201.43,42462.76,42773.24,43026.96,43208.49,43553.29,43965.91,44425.32,44871.7,45339.99,45860.39,46398.91,46961.3,47448.19,47968.77,48569.98,49480.14,50400.76,51209.12,51713.28,51558.88,51896.56,52422.18,53048.93,53433.2,53566.23,53390.93,53231.57,53067.82,53065.03,52998.74,53043.08,53039.35,52908.49,53180.63,53641.82,54440.19,54939.72,55506.21,56316.68,57636.91,58507.68,59222.42,59789.18,60795.37,61995.14,63164.06,63882.43,64394.62,65262.17,65955.03,66306.99,66124.06,66323.14,66597.93,66984.93,67207.42,66521.54,66436.86,65997.51,65741.93,65144.91,64986.57,64649.4,64270.4,64344.08,64421.08,64655,64248.2,64345.16,64660.72,65242.89,66242.76,66187.4,66300.33,65862.85,66291.23,66605.37,66967.96,67371.27,67848.95,68256.06,68775.63,69462.65,70448.47,71063.48,71708.03,72232.6,72584.58,73020.08748,73455.59496,73891.10244,74326.60992
753899,"Los Angeles-Long Beach-Anaheim, CA",2,17915.63,18279.35,18733.76,19230.16,19819.58,20321.11,20702.53,21034.88,21430.67,21744.63,22120.54,22536.22,22939.56,23123.66,23367.67,23622.99,24036.24,24502.79,24923.01,25250.94,25725.24,26221.97,26807.3,27372.82,27949.39,28333.3,28764.19,29258.51,29860.54,30442.02,31000.9,31495.68,32073.45,32671.72,33209.91,33715.79,34256.23,34881.95,35528.52,36142.6,36849,37364.64,37560.27,37527.84,37702.5,37938.69,38110.09,38315.96,38358.93,38375.53,38088.01,37704.45,37466.32,37341.62,37343.75,37381.66,37281.65,37123.56,36970.69,36968.73,37007.47,37172.76,37276.25,37446.7,37717.1,38002.79,38309.88,38488.98,38859.36,39265.56,39804.88,40346.63,40873.66,41424.49,41835.32,42130.45,42769.47,43297.35,43998.17,44655.03,45356.24,46016.65,46276.71,46394.28,46835.47,47342.7,48025.41,48306.8,48529.02,48197.29,47874.66,47511.73,47314.58,47328.06,47255.46,47084.3,47007.94,47139.07,47421.15,47760.49,48245.81,48734.73,49466.25,50401.37,51125.4,51939.27,52542.43,53119,54068.54,54687.16,55521.07,56240.12,57121.66,57922.62,58311.49,58411.48,58358.97,58760.92,59123.71,59538.09,59064.55,58826.77,58334.28,57743.65,57439.44,57480.52,57245.68,56990.5,57005.01,56956.88,56905.77,56614.88,56822.85,57039.97,57639.85,58891.18,58923.02,59093.45,58479.69,59038.78,59649.38,60421.89,61056.97,61441.29,61910.33,62465.56,63264.99,64372.28,65029.85,65747.37,66275.43,66748.53,67365.9539025,67983.377805,68600.8017075,69218.22561
394463,"Chicago, IL",3,20060.12,20455.89,20900.13,21277.76,21702.38,21852.68,21946.23,22006.53,22343.1,22560.08,22871.33,23146.66,23327.6,23412.45,23631.32,24060.1,24343.56,24614.71,24766.32,24943.68,25307.46,25755.48,26294.47,26832.83,27263.86,27542.21,27826.3,28187.06,28617.79,29081.98,29575.79,30115.17,30666.79,31182.58,31691.74,32167.76,32798.56,33311.5,33857.22,34446.4,35185.6,35743.12,35974.53,35954.91,36126.12,36338.16,36771.24,37350.51,37552.43,37702.94,37552.26,37476.01,37677.94,38031.36,38526.7,39046.33,39219.95,39342.3,39374.5,39697.45,40039.19,40471.12,40834.06,41222.61,41695.29,42026.75,42353.77,42649.63,43193.27,43762.02,44379.36,44966.83,45535.74,46062.71,46584.87,47175.93,47759.18,48342.72,49068.42,50049.76,50869.35,51539.84,51599.01,51431.49,51612.53,51987,52388.13,52416.38,52508.56,52110.76,51744.74,51303.6,51047.13,50932.46,50819.53,50883.91,50705.68,50663.6,50739.95,51198.98,51580.07,51950.07,52417.72,53288.69,53964.93,54534.41,54839.81,55221.01,56057.68,56744.29,57370.82,57790.01,58472.99,59198.18,59569.88,59501.8,59339.47,59526.08,59786.8,60386.26,59782.01,59449.23,58704.2,58236.26,57777.08,57712.44,57640.03,57669.29,57874.61,57824.34,57934.96,57871.4,58257.03,58681.56,59226.46,59959,60222.84,60600.19,60453.31,60620.28,60986.75,61494.31,62059.83,62544.89,62845.32,63181.26,63704.06,64630.75,65223.13,65781.94,66274.25,66800.84,67201.64504,67602.45008,68003.25512,68404.06016
394514,"Dallas-Fort Worth, TX",4,18151.53,18456.96,18887.64,19463.93,20092.82,20605.59,20967.85,21290.23,21834.69,22240.61,22732.91,23279.33,23775.22,23962.63,24166.42,24616.57,25112.84,25674.98,26096.98,26499.75,26965.13,27539.07,28065.46,28542.69,28909.13,29121.58,29346.36,29666.87,29938.15,30029.57,30043.66,30008.54,30217.95,30456.24,30712.47,30770.66,30918.67,31156.21,31526.73,32078.25,32594.15,32943.67,33012.55,32881.28,33015.8,33171.26,33540.24,33832.36,33995.58,34079.84,34097.63,34078.57,34270.77,34513.32,34787.78,34983.46,35231.4,35388.69,35542.62,35770.43,36059.75,36444.23,36716.56,37094.88,37501.57,37844.83,38150.72,38580.99,39191.54,39792.89,40393.92,40926.86,41707.54,42408.09,43067.07,43450.81,44212.2,44790.2,45668.33,46525.93,47519.14,48228.07,48497.22,48453.79,49052.59,49612.07,49960,49807.23,50167.25,50047.78,50085.75,49896.53,49826.47,49702.86,49510.79,49409.03,49516.12,49644.33,49795.23,49925.16,50072.85,50043.43,50037.22,50203.86,50844.94,51387.56,51611.5,51680.78,52315.29,52835.78,53454.47,54132.92,54955.45,55882.82,55988.99,55301.66,55277.19,55746.12,56586.94,57494.08,56841.21,56398.7,55553.8,55001.06,55089.74,55556.97,55850.24,55557.8,55863.92,55980.99,56250.64,56053.79,56377.25,56583.4,57101.23,57949.88,58125.48,58335.99,57913.8,57937.05,58457.94,59092.29,59955.78,60589.45,61133.75,61341.11,61757.5,62415.88,62976.98,63495.44,64100.72,64675.29,65063.34174,65451.39348,65839.44522,66227.49696
394974,"Philadelphia, PA",5,17532.09,17865.76,18239.94,18600.71,19084.72,19429.86,19715.93,20010.25,20408.24,20725.44,21076.17,21420.7,21771.81,21968.92,22334.3,22789.61,23237.85,23529.91,23797.57,24109.83,24723.49,25299.01,25718.73,25939.94,26399.61,26971.09,27667.66,28047.82,28702.8,29071.82,29478.53,29755.11,30306.03,31062.54,31802.41,32462.24,33135.48,33531.97,33883.68,34150.83,34932.86,35601.02,36166.52,36125.29,36242.16,36298.81,36506.66,36746.59,36925.02,37073.09,37109.62,37045.81,37151.63,37273.27,37478.34,37709.02,37869.57,38064.89,38240.98,38499.99,38637.69,38846.05,39035,39377.85,39760.87,40071.81,40366.02,40683.81,41118.47,41616.18,42193.36,42837.86,43455.82,43997.58,44478.63,44968.23,45614.4,46229.68,46853.64,47603.61,48359.73,49027.96,49333.53,49360.89,49808.15,50405.38,50986.37,51201.73,51373.42,51294.13,51118.22,51013.13,50987.45,50961.92,50909.35,50848.36,50942.69,51144.88,51375.56,51559.06,51802.98,52054.86,52480.2,53161.04,53472.55,53719.26,53844.86,54368.24,54996.3,55550.91,56073.42,56654.99,57409.92,58171.54,58685.62,58800.79,58965.82,59472.9,60007.24,60585.54,60103.74,59963.57,59447.51,59226.37,58857.55,58872.09,58790.99,58784.98,58786.73,58730.94,58874.4,58968.21,59095.18,59229.95,59660.69,60559.43,60692.91,60951.39,60788.99,61244.6,61722.25,62345.71,62928.79,63371.3,63773.99,64172.27,64580.68,65191.41,65423.97,65765.67,66143.38,66650.84,67100.73317,67550.62634,68000.51951,68450.41268
394692,"Houston, TX",6,20215.06,20566.5,21111.68,21877.38,22706.21,23400.38,23900.81,24332.04,25009.4,25535.5,26016.91,26404.32,26728.36,26713.52,26606.61,26653.11,26752.75,26919.84,26914.48,26869.82,26875.24,27008.92,27162.47,27337.67,27385.08,27314.56,27291.85,27394.92,27425.65,27319.24,27235.84,27207.65,27383.87,27603.61,27938.19,28197,28519.41,28938.23,29498.22,30245.77,30946.15,31498.93,31767.66,31826.45,32105.19,32436.36,32940.98,33330.39,33577.98,33760.95,33823.72,33791.99,33942.21,34169.44,34370.98,34434.82,34503.21,34531.29,34563.03,34674.77,34784.58,35048.14,35229.75,35541.81,35820.32,36098.79,36362.78,36768.22,37283.34,37852.03,38421.34,38926.85,39587.88,40251.78,40824.37,41081.25,41622.56,42065.32,42790.12,43496.42,44246.41,44815.13,44970.92,44833.19,45181.54,45589.42,45886.46,45811.31,46120.8,46073.76,46266.45,46350.98,46468.47,46608.35,46488.49,46243.55,46131.55,46104.11,46217.29,46440.27,46638.12,46714.99,46840.31,47154.54,47868.62,48535.93,48975.93,49343.78,50167.32,50960.66,51800.89,52644.74,53605.9,54688.19,54955.56,54428.74,54539.08,55147.26,56130.89,57190.37,56701.33,56414.38,55609,54974.63,54975.69,55360.3,55583.27,55238.08,55456.66,55519.69,55750.08,55535.7,55836.85,56022.76,56554.95,57454.96,57699.09,57965.99,57651.48,57828.6,58507.28,59292.73,60145.54,60592.71,60944.32,60971.71,61089.34,61318.49,61472.05,61565.22,61782.54,62012.26,62275.812105,62539.36421,62802.916315,63066.46842
395209,"Washington, DC",7,22637.68,23088.42,23400.05,23694.65,24146.99,24436.62,24651.03,24986.19,25525.16,25876.22,26440.78,27136.93,28018.87,28766.69,29480.37,29991.43,30449.63,30814.62,31139.95,31543.18,32224.82,32874.37,33671,34352.58,35128.72,35602.25,36183.43,36901.93,37853.57,38690.49,39384.88,39949.06,40640.04,41260.5,41864.86,42531.37,43319.49,44033.08,44700.68,45284.47,45980.04,46344.34,46561,46608.71,46874.95,47037.97,47305.53,47514.46,47814,48009.28,48193.36,48335.47,48715.82,49245.95,49374.45,48890.36,48504.47,48023.82,48061.78,48524.02,49130.61,49930.6,50301.34,50205.52,50094.03,49909.62,50108.49,50705.11,51527.28,52461.12,53443.66,54318.01,55368.68,56333.19,56990.07,57197.41,57687.85,58252.09,59289.62,60666.99,62152.61,63279.99,64023.13,64186.3,65346.13,66350.1,67225.87,67581.05,68080.35,68353.18,68488.92,68643.38,68784.75,69119.41,69245.8,69175.06,69300.11,69659.77,70294.33,71078.63,72083.4,72972.17,73880.86,74864.14,75771.74,76765.14,77699.06,78773.65,80169.28,81356.85,82447.12,83075.42,84016.62,85020.69,85660.93,85629.27,85800.77,86395.88,87116,87795.79,87304.56,87176.52,86703.64,86495.01,86484.48,87024.61,87347.19,87386.41,87585.62,87782.81,88200.78,88388.28,88724.21,88881.43,89390.42,90556.04,90555.79,90498.28,89724.99,89922.65,90440.47,91331.29,92068.31,92341.33,92603.85,93014.83,93652.1,94502.46,94932.82,95542.59,96155.82,96741.04,97273.11572,97805.19144,98337.26716,98869.34288
394856,"Miami-Fort Lauderdale, FL",8,15675.59,15959.71,16260.67,16520.72,16931.74,17292.86,17586.09,17786.56,18061.96,18293.83,18638.04,18984.94,19302.34,19420.09,19604.84,19745.82,20129.28,20529.75,20951.64,21258.82,21606.57,21975.63,22361.7,22766.18,23166.73,23508.95,23842.54,24252.15,24693.42,25111.56,25503,25841.32,26275.77,26737.32,27191.61,27542.71,27935.75,28262.65,28498.32,28641.56,29047.65,29342.23,29594.1,29635.28,29670.06,29627.76,29699.9,29831.36,29989.79,30139.43,30248.69,30305.15,30437.97,30681.14,30901.94,31130.62,31436.3,31669.11,31891.87,32115.18,32359.62,32737.89,32988.51,33153.05,33398.94,33666.47,33932.57,34122.29,34369.17,34646.64,34995.4,35393.74,35808.58,36201.03,36507.72,36650.58,37078.76,37520.29,38229.15,38969.21,39645.81,40292.14,40539.13,40297.61,40427.17,40542.77,40715.6,40572.81,40553.52,40423.92,40271.8,40096.21,39989.79,39924.8,39914.89,39941.92,39942.81,40037.77,40158.31,40478.74,40843.54,41255.87,41664.26,42317.47,42934.85,43573.43,44127.04,44589.02,45342.96,45951.88,46683.32,47302.61,47858.3,48465.79,48703.67,48545.25,48160.59,48079.49,48083.06,48329.86,47695.63,47403.69,46626.6,45751.78,45411.92,45503.75,45699.59,45656.67,45670.75,45672.38,45829.52,46034.95,46031.11,46027.72,46180.25,47096.45,47288.8,47539.49,47192.23,47378.14,47841.65,48453.47,48967.59,49197.41,49502.82,49819.74,50236.15,50789.16,51028.21,51278.73,51472.51,51668.54,51952.71697,52236.89394,52521.07091,52805.24788
394347,"Atlanta, GA",9,17093.55,17410.27,17775.33,18184.94,18674.49,19053.08,19293.89,19540.9,19919.65,20216.47,20567.65,20915.83,21292.75,21516.59,21834.97,22239.93,22754.64,23276.61,23753.04,24196.14,24835.85,25444.14,26117.62,26760.81,27452.13,27944.46,28422.25,28909.56,29628.23,30173.55,30725.66,31210.93,31809.81,32258.8,32604.73,32894.93,33289.81,33614.89,33937.98,34362.37,34861.65,35130.51,35199.24,35001.69,35067.95,35036.68,35233.59,35379.22,35537.63,35681.67,35802.12,35835.08,36042.57,36324.76,36723.6,37148.54,37553.99,37938.96,38178.33,38419.48,38740.09,39294.02,39766.26,40291.53,40843.9,41296.95,41653.3,41952.52,42422.63,43011.44,43697.41,44518.85,45283.46,45906.82,46420.44,46736.49,47513.42,48351.33,49417.36,50361.93,51277.84,51829.95,52037.28,52079.89,52661.24,53258.14,53646.17,53649.28,53679.06,53599.08,53500.18,53384.92,53127.72,52928.32,52557.29,52343.67,52169.26,52132.61,52230.69,52458.35,52775.31,53146.18,53608.31,54176,54703.01,55197.76,55595.69,56117.64,56845.27,57441.64,57939.5,58446.08,59092.56,59745.16,60037.01,59975.82,59535.04,59675.83,59411.53,59316.42,58440.11,58241.1,57702.73,56885.7,55974.41,55387.78,54879.71,54427.97,54458.94,54316.92,54653.3,54945.51,54988.48,54915.69,54897.04,55630.41,55833.79,56091.54,55789.02,55920.53,56396.07,57039.87,57772.01,58280.5,58779.56,59231.96,59862.74,60791.23,61667.07,62423.21,63030.6,63332.72,63554.38452,63776.04904,63997.71356,64219.37808
