"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,118.334725575298,118.890554722639,120.689655172414,121.524818690557,120.877129394708,120.470122741023,119.248035914703,116.810183451891,118.590544939995,118.180519382343,116.651418115279,112.537764350453,110.077092511013,110.679539748014,114.233193277311,115.051186442362,115.893053519062,116.963939472703,114.736645027017,112.590799031477,109.761793554414,111.722054380665,108.181818181818,107.877697841727,107.383621769741,112.838600451467,117.950310559006,117.02380952381,120.976200080678,121.10922467459,117.992467373215,114.191890348372,112.727165240908,114.340668647071,113.321995464853,111.050920910076,114.182692307692,116.219008264463,121.659896483608,126.557647515528,126.025641025641,127.886355522654,129.454657245066,132.246376811594,130.486358244365,124.746279343822,129.16759434201,125.171938641928,126.552795031056,129.97589370141,135.869565217391,140.104323138857,145.656274627281,143.889347646573,140.379403794038,142.485924642702,139.247416020672,138.661037394451,138.843924854127,140.162200282087,151.806703323298,155.640164778784,164.27025210084,163.480885311871,165.160349854227,163.337250293772,160.446459713987,158.827107780851,162.869682364021,165.10067114094,166.149756313691,166.550250417362,168.369486109878,171.605789110958,176.710112715427,180.9363766189,184.7209797571,182.332569808028,183.334178142901,184.511434511435,183.616005953455,185.868586858686,183.632530284073,181.454545454545,185.975183767693,193.926069296766,193.874688470714,197.768762677485,198.172773109244,197.71170691134,198.260562090987,196.997688015359,194.310895354869,195.053849222178,194.754371357202,197.766570605187,198.041260593855,206.08604845447,208.879685605954,210.083508403361,208.231259186673,207.340507302075,213.393372705606,207.363435469219,208.074534161491,211.609931367058,214.090062481152,212.432188065099,213.187403715085,214.628463912132,212.823920265781,214.129721267547,217.186024551464,218.403792113146,213.95655036208,212.995337995338,211.716014008278,209.896810506567,206.96319536633,205.433789954338
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.4603174603175,70.0636942675159,71.4422203573897,71.5308863025962,72.5609756097561,73.4069227225945,73.9710098086057,73.4063449323391,74.705637871587,77.3809523809524,77.845709104294,77.931536780772,77.3638366691269,78.4476192500562,77.3889636608344,78.2976852528094,77.9024116657319,79.5287187039764,80.8133472367049,82.3892316320808,82.5987144168962,84.6074910210364,84.6074910210364,87.7532642953625,88.5875071963155,90,91.2332300707267,92.4641584035787,93.0953882430358,93.9722724532851,93.846052936962,92.8534167970788,95.2095808383233,95.2178576487969,97.0007924369375,99.3399321266968,100.121359223301,101.839684625493,100.909249654498,99.9134948096886,101.285583103765,102.724594992636,103.244837758112,103.307957340762,104.581873230495,105.887045309509,107.688540646425,109.821071970605,110.112359550562,109.594224516569,109.532267613973,110.619469026549,111.878109452736,114.969135802469,116.049382716049,115.740740740741,117.779024116657,118.990929705215,120.716981132075,121.458333333333,120.994113799869,121.627260083449,123.663101604278,123.905531840562,124.558744389978,124.683544303797,126.975989979817,127.004490057729,126.96531241127,127.890559732665,128.876636802205,129.6875,130.905752753978,133.291614518148,134.839650145773,134.711779448622
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,87.5850335750794,86.914385215956,85.7389601139601,84.0367535436544,84.0275124188002,82.5281277229094,81.803671189146,81.1965811965812,79.3412645432005,78.4646210428539,77.2822466343635,75.3294174167269,74.0441366721842,73.6160188457008,72.43195785777,71.1267605633803,70.650406504065,69.5450862570266,69.4322072811857,70.3182827535159,70.3422053231939,70.6106870229008,70.0026669602184,69.4632719267756,68.3890577507599,67.9222641509434,68.5105347333287,68.5172171468728,70.8779784076271,72.5986597170514,72.1446709523765,72.0233516483516,72.6534066042521,72.9689086294416,74.0721102863203,75.9668508287293,76.4894123339145,77.5358989086732,79.0797719012407,81.0810810810811,83.3543877379148,84.6387147335423,84.6833578792342,90.7258064516129,94.0075187969925,95.3389830508475,95.8051953475746,95.5271565495208,97.7295162882527,98.9261980985642,101.169775529561,101.470385413861,102.624073017684,103.428337565849,104.91749003432,106.730820915466,106.543851559863,107.421758001762,107.569169705361,107.877927038695,109.3463827156,109.560787351103,112.622826908541,111.113918365055,112.860892388451,113.725560154132,116.173361522199,117.792535305985,118.027908540686,117.858259621988,118.093769381232,117.434210526316,117.150828170994,116.945937401201,119.170984455959,120.494923857868,122.208466637195,123.395061728395,123.775141825683,125.765365389371,126.404494382022,125.931604094199,124.766705054383,125.097732603597,127.257389162562,129.195236376759,130.311888166989,133.168005782072,136.42730572788,137.036296296296,139.279848726198,139.913751796838,141.296446977396,141.301345183762,142.857142857143,145.844799119428,147.168410019534,148.161183610955,148.584905660377,151.603498542274,154.264071890971,158.959848298254,161.20644825793,164.687525263635,164.695430644881,165.537015394826,164.323445318084,163.130505709625,163.499661292042,163.366336633663,163.041158678023,162.841093192836,163.787969029184,165.15663292488,165.184243964422,164.853360830196,165.789473684211,165.405831363278,165.825522710887,165.825522710887
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.78212290503,1443.00727566694,1466.05504587156,1477.47747747748,1496.87646407313,1515.83113456464,1502.89965405672,1520.98731136053,1538.16499614495,1578.64813644978,1591.20310478655,1538.03131991051,1518.6360699617,1497.5,1485.78811369509,1484.12017167382,1439.94211287988,1456.02618485921,1449.48336477448,1406.64961636829,1405.15222482436,1420.92257001647
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,169.340463458111,173.718599033816,169.926726279185,168.067226890756,168.445692883895,169.010416666667,166.103603603604,164.59751321343,169.126869831831,169.16093425052,168.838862559242,165.562913907285,165.138112026194,164.473684210526,163.551401869159,164.795269031635,161.216602711691,164.233576642336,164.608469419114,164.732378318199,163.653039277907,161.612274220033,161.320583429159,157.559366963135,164.752855386711,161.599407204742,163.119709794438,164.610540933865,165.315315315315,165.836548773342,170.013770690462,171.691792294807,172.546012269939,175.971954680089,177.658942364825,181.757575757576,187.036096582112,190.731490918484,192.581943645773,194.724025974026,197.368421052632,198.108108108108,203.322824320186,206.043956043956,206.860569930987,211.614173228346,209.993634627626,214.459776334776,210.134357766887,219.123505976096,222.153635116598,232.503888024883,232.610602465556,235.975066785396,240.478068420526,241.920477328115,242.898550724638,243.515470704411,242.79758996906,243.872309909914,245.330624161603,249.405058495012,249.405058495012,252.706859205776,258.358662613982,257.15316742948,258.701787394167,259.19044044044,264.006246917639,267.938144329897,267.142113237983,270.970166912919,265.258215962441,270.498444386829,264.011799410029,270.601777838314,285.046728971963,285.046728971963,290.873074827911,300.699300699301,303.234578502934,300.775017712373,307.455329636476,309.722222222222,315.512708150745,316.915271154486,323.862868697107,324.248120300752,323.818897637795,329.799081684275,334.894014962593,343.698854337152,354.310691546009,351.861295257522,354.020979020979,356.171832517673,357.776717557252,357.061688311688,353.097934710193,358.711566617862,374.062968515742,377.340950620432,378.694158075601,383.597883597884,381.413850979741,389.568052159739,393.525928315495,399.159663865546,394.449116904962,395.204262877442,394.444693689145,400.621430406514,404.439831847359,400.839226908138,402.768536259297,402.30139094228,417.611527214509,414.120802238806,417.485265225933,421.716666666667
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,59.6220785678767,59.90602376816,60.0329389709779,59.445178335535,59.5238095238095,59.0551181102362,58.8363333974989,57.7147776751254,57.1519389701208,56.4236111111111,55.6152694069898,53.6193029490617,52.9720946064966,52.321404975333,51.7515923566879,51.6055656106014,50.4611330698287,49.6448232883901,49.3018862057467,49.1945555916882,49.043377738001,48.2195845697329,48.2639047856439,47.7863668306395,47.7698564554727,47.9131370861499,48.6009732360097,48.5153764581124,50,51.9559902200489,51.9316493313522,52.534516765286,53.1914893617021,54.572194374826,54.1871921182266,56.3433295639063,57.2963618886416,58.8235294117647,61.0482167659584,61.8483644745231,65.288147842772,67.697267503737,68.6530515241144,71.2891728454756,73.5694822888283,74.8938098938099,75.5685216790048,76.7801678092552,76.5853658536585,78.7254248247156,79.6808510638298,80.1832877495204,81.6203143893591,81.8095347898772,81.679301709756,84.2780026990553,85.3671641791045,86.2068965517241,85.1704545454545,86.2068965517241,86.802398989899,88.7323914066702,88.5809389136843,89.0550645819171,91.5032679738562,92.3393342206241,92.3482849604222,93.7734433608402,94.7784224001743,95.2690582959641,96.2815405046481,95.769014084507,96.052953339648,97.5512759465989,99.0094105993066,99.7544350398289,100.40192926045,100.736187845304,102.785145888594,103.832810087798,105.820105820106,106.793893129771,107.126365551845,107.127545551983,108.423172242875,110.365299189619,112.375254330283,113.636363636364,113.9599170698,114.133858267717,115.918712955123,117.733674775928,118.949693251534,119.54851127127,120.914341217978,126.755885554875,127.041742286751,129.533678756477,130.853430675562,133.75295043273,136.704042652596,139.85550593789,140.70351758794,143.570536828964,143.783153588112,142.857142857143,141.977420458433,143.601374164686,145.941921072226,146.632740444069,146.848533375436,147.529437189343,147.200677609487,146.115384615385,147.252747252747,148.179508890771,147.607796810396,148.409331919406,148.640550722922,148.262544225852
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,86.5473441108545,87.3860182370821,87.8357714318941,86.1859183276728,85.8359009744511,84.7878787878788,84.0799031476998,83.3761232349166,82.0906558514741,80.7817631896229,80.0248138957816,77.3389750822755,77.1906312770302,75.9416767922236,75.1807228915663,74.4259056415801,73.7940964722822,73.7100737100737,73.6961451247166,73.3537320493842,73.2293235073808,72.7445395111367,71.925268278494,72.037145385157,72.2395416288546,72.9274696990674,73.8007380073801,74.9472202674173,76.5910889706225,77.9616724738676,77.1090534979424,77.3114547175765,78.6909448818898,79.5588904047294,80.4249839021249,82.9519450800915,84.3986117919867,86.4353414893493,88.3248730964467,90.6555090655509,92.463768115942,96.353384362485,96.194955109021,103.030303030303,104.788016697159,106.288052015653,107.042910447761,107.429712740947,106.014559862374,106.895862068966,109.855667648722,110.146211785556,110.985581728089,112.551491281858,111.884368308351,114.315355402151,115.104022978507,115.759084460345,115.27621702612,115.196078431373,116.375676351961,117.513133140174,117.521367521368,119.223573433115,121.19328775637,121.949285620354,124.308772331654,124.699922529278,125.007817385866,125.516364727453,125.531914893617,125.523200891108,126.779422128259,128.880962171053,129.344262295082,130.438834951456,130.883542899745,131.35443668993,131.883387320685,132.700594364522,132.927899486328,133.48588863463,133.333333333333,133.732374100719,134.974769371445,136.231203007519,138.021173117877,139.139585218017,140.845070422535,142.442748091603,145.42816555821,147.118124599991,147.621651175506,148.399936126687,149.983685220729,152.30656938044,153.563830744708,155.24625267666,157.911327144342,161.102567674733,164.334295499022,165.581919623459,166.187464059804,168.506682161534,169.239565465981,169.332079021637,168.610816542948,168.998724489796,168.262711785765,170.499405469679,170.585163408084,170.93893129771,170.316058394161,171.063049853372,170.316301703163,170.713577799802,170.727612045785,169.9604743083,170.134073046694,170.713577799802
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",8,138.581612586037,140.120160213618,140.933637161871,142.346208869814,141.218005295675,144.600938967136,152.800546448087,151.851851851852,148.106812169312,148.012329931973,144.555785972093,144.284188034188,150.240384615385,153.28499820981,154.970760233918,154.049295774648,150.892857142857,151.122139180148,153.0131826742,150,146.741045214328,146.840731946938,143.213630302232,142.167401358578,141.592920353982,144.572149025298,144.572149025298,148.956780923994,149.85549132948,149.780701754386,156.25,161.885245901639,162.426614481409,160,168.016194331984,175.230471283103,171.634615384615,173.757538854094,182.375776397516,178.631684300829,176.239669421488,183.709878433935,187.102915639149,189.805665349144,192.253815628816,193.964697197997,202.635135135135,202.840410207161,203.045685279188,207.345971563981,207.493583788635,219.17102413491,220.316198974642,224.306625577812,227.082818987768,219.849246231156,228.657540251873,225.296827928407,229.239484075594,234.375,234.731934731935,235.98882973883,234.103161549708,234.331597222222,235.235235235235,237.89904548776,247.306754737753,242.765068990559,246.0058097313,248.752079866889,251.396648044693,255.701754385965,256.652391050887,254.744525547445,256.818181818182,264.214285714286,264.827078734364,272.955468650577,267.558528428094,272.194304857621,272.243649244097,272.292993630573,275.92230648517,272.826184315287,277.777777777778,284.506948710711,299.513332884792,306.164402847232,308.641975308642,305.085358436071,303.184948352189,309.994972609389,312.95652173913,307.057057057057,318.959107806691,322.878228782288,326.876513317191,331.320754716981,333.153007706579,332.155830762779,341.394716394716,345.161290322581,350.520069808028,339.763961321165,345.092024539877,354.477611940299,361.05675146771,352.290023321769,351.046298503292,342.910101946247,354.821584504247,372.446548746352,368.218779342723,366.666666666667,366.782242063492,367.833333333333,366.666666666667,371.756715506716,375.140051274103,375.140051274103
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",9,237.595419847328,238.888888888889,237.301587301587,248.75,244.177448124817,243.727915194346,238.095238095238,239.43085106383,238.331644714623,237.467048067755,237.632508833922,237.301587301587,231.713226407624,237.321679726743,235.294117647059,231.013301260929,230.70987654321,232.78574087863,234.558823529412,243.249201582535,233.176366843034,235.097117577936,229.778570170805,234.900117508813,227.341919901775,219.19014084507,221.428571428571,222.273425499232,221.326012575263,223.118279569892,223.118279569892,224.583333333333,224.583333333333,233.854166666667,248.674911660777,243.993993993994,254.977834370873,257.789110267763,254.006656426011,254.838709677419,256.617647058824,247.529882398303,253.818181818182,256.818181818182,256.948584202683,260.06980578951,250.156739811912,248.783453388717,247.367894736842,238.353451527725,244.40404366875,241.556534508076,279.406964091404,284.02076318743,283.279220779221,282.529535209078,281.327475041597,286.136571353963,287.081339712919,287.081339712919,288.087689915062,289.373814041746,289.911513802787,291.752036106716,289.911513802787,291.005291005291,298.828125,298.828125,298.056537102473,302.776761300684,307.87037037037,319.782010243278,312.371622553074,317.831092151883,335.170454545455,345.982142857143,341.578947368421,349.642857142857,347.292392666768,349.5,353.356890459364,353.356890459364,357.418445795024,360.759493670886,357.608695652174,341.706772856773,353.356890459364,348.055316805776,358.695652173913,358.695652173913,361.581920903955,358.695652173913,361.65912765455,373.697916666667,376.3197586727,383.774219535287,386.274416157229,385.885885885886,390.217391304348,386.289445048966,389.138546398443,393.211374223602,402.227722772277,396.205357142857,402.843963831867,399.305555555556,406.474282296651,406.474282296651,401.785714285714,390.034438226431,396.031746031746,398.41602866117,401.785714285714,396.594468333599,394.921639541893,389.423076923077,398.948645918646,408.257958095737,404.575892857143,406.086033950617
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,121.335504885993,119.775739041794,120.40447688774,118.380685358255,115.774240231548,111.70800259251,110.539845758355,110.750147666864,107.164798867187,104.884206592258,103.383458646617,101.076555023923,98.4015345268542,97.9927233477765,97.1905536186113,95.5925015408496,97.6936466492602,97.692977170784,97.6907216494845,97.6936466492602,96.5969220110466,97.6936466492602,98.865180023595,99.8823529411765,100.419486242921,102.941176470588,107.008138159573,108.956386292835,113.36387434555,116.948542641238,115.595592130453,118.377628129337,121.109693877551,121.488343876081,120.517342739565,124.833997343958,129.108356657337,132.13141025641,135.869565217391,141.136573334753,143.620574482298,147.285630696708,147.820079540173,149.113758610348,148.556876061121,150.759544806095,150.362464715162,149.8001998002,151.195677542288,152.826918861652,153.741151866152,154.215215901302,152.672757549845,152.823529411765,151.698226767647,151.780744173443,152.109075415424,153.246889984599,153.541357107479,153.50825644843,156.3897197297,156.984919873193,156.762295081967,157.795046138902,159.899664296195,160.132668609594,158.413132694938,161.744861287938,162.28430566968,162.28430566968,165.324899367453,165.111452951762,166.882255805515,165.79892044859,166.852305298363,169.689074965447,169.594924353343,170.333550365692,169.955156950673,169.172932330827,170.242656449553,170.242656449553,172.69647696477,173.766233766234,175.225225225225,175.848117024588,176.236498010233,178.885434267174,180.633595472305,180.527086383602,180.912357094219,179.755671902269,179.904200799543,180.881195908733,180.456357263372,180.425111220959,182.648401826484,187.148936170213,189.700510967341,190.382324578819,191.662673694298,191.011235955056,191.666666666667,191.800878477306,190.839058524173,191.038461538462,192.771084337349,193.520431073193,194.846887712275,195.294117647059,196.309285676686,199.334757911307,199.110122358176,201.324088039418,200,202.34375,204.887218045113,205.763389306038,207.038829297081,206.831734508686
