"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,0.945626477541371,0.971107544141252,0.982352941176471,0.990980487018223,1.07383624083596,1.06109324758842,0.964285714285714,0.9,0.881481481481482,0.947030497592295,0.890646053293112,0.874285714285714,0.906488549618321,0.888157894736842,0.950089126559715,1,1.0625,0.950089126559715,1.03335301062574,0.987341772151899,1.01851851851852,1.03626943005181,1.03988035892323,1.03364555423226,1.00099700897308,0.97444089456869,0.959860383944154,0.99417097409144,0.992766726943942,0.940850424892978,1.08849557522124,1.15044247787611,1.15508845160008,1.29032258064516,1.1437908496732,1.14669421487603,1.15844544095665,1.16220735785953,1.11508659367805,1.14754098360656,1.03719008264463,1.01277372262774,1.12795689612511,1.16302186878728,1.27558514931396,1.14035087719298,0.997711670480549,1.03059581320451,1.01718181818182,1.14285714285714,1.15657311669129,1.1566804397988,1.14035087719298,1.24874245472837,1.19859154929577,1.13410087719298,1.11333333333333,1.17134416543575,1.14884393063584,1.20236929518625,1.31593777388256,1.21665349497549,1.20915032679739,1.2199518459069,1.28023598820059,1.21951219512195,1.2796231375986,1.28550074738416,1.28501228501228,1.32,1.28191056910569,1.34530386740331,1.3564875491481,1.39985030240923,1.45440251572327,1.45424836601307,1.47222222222222,1.70472440944882,1.66782683343091,1.67153262642885,1.68426966292135,1.69814814814815,1.72577636013481,1.73860182370821,1.60930735930736,1.59822535407328,1.58639620896902,1.55783582089552,1.55371856607812,1.49285714285714,1.46392677674085,1.495,1.56649395509499,1.57967879208732,1.57142857142857,1.58456486042693,1.58456486042693,1.69890965732087,1.72727272727273,1.86758475883372,1.67252945273933,1.62421185372005,1.67857142857143,1.66374729540537,1.68630338733432,1.63510101010101
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05029585798817,1.06818181818182,1.09837278106509,1.11861713784791,1.12848415425735,1.09467455621302,1.10357787583994,1.09922680412371,1.03215562647283,0.998449612403101,1.02033898305085,1.03220338983051,1.04166666666667,1.04166666666667,1.03526093088858,1.03526093088858,1.04476224839002,1.03526093088858,1.08527131782946,1.03526093088858,1.05009799791182,1.06493506493506,1.06493506493506,1.03246753246753,1.08527131782946,1.13899613899614,1.17899103682171,1.17753623188406,1.30699954400365,1.27218934911243,1.24031007751938,1.344,1.344,1.42956764295676,1.43716577540107
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26201923076923,1.10887096774194,1.10294117647059,1.07863849765258,1.05516431924883,1.07,1.10868937193541,1.1741935483871,1.15980389964671,1.17347317868793,1.25,1.1,1.25714285714286,1.18455882352941,1.06744177044929,1.1938202247191,1.2664907651715,1.27204502814259,1.39086859688196,1.3747009569378,1.33518930957684,1.32815446650124,1.34112792297111,1.29166666666667,1.33518930957684,1.2965367965368,1.26142857142857,1.19487179487179,1.3,1.3,1.3,1.35497835497836,1.36294896030246,1.3647457787896,1.39086859688196,1.375,1.39086859688196,1.39354838709677,1.39354838709677,1.36129032258065,1.36133333333333,1.42065868263473,1.39,1.39,1.415,1.39113924050633,1.415,1.41334163804059,1.415,1.44291091593476,1.44833333333333,1.44833333333333,1.44833333333333
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08283132530121,5.05993150684932,5.06218905472637,5.05774353120244,5.00649169527883,4.98307692307692,4.98480116786163,4.99258160237389,5.05607767551982,5.11509498476584,5.00811688311688,5.01638248885025,5.09699248120301,5.09022556390977,5.13727305499115,5.07416267942584,5.06723716381418,5.04545454545455,4.98307692307692,5.01658374792703,5.07042253521127,5.06130600772572,5.04484304932735,5.00850348900731,4.58303357314149,5.00717360114778,5,4.92470460573909,4.91538461538462,4.91538461538462,4.9147123649989,4.99875,5.02308931892721,4.99258160237389,5,5,4.99359795134443,5,4.99346564233888,4.98653846153846,4.98653846153846,4.97813411078717,4.94513031550069,4.97122452954128,4.99342059729384,5.04028468767275,5.15384615384615,5.08308157099698,5.05376344086022,5.1244167962675,5.03299762678036,5.05443234836703,5.02743484224966,5.05767809636417,5.10166515828543,5.04353233830846,5.06224206834679,5.13254682128223,5.14826512862767,5.28571428571429,5.2061310782241,5.21543332169962,5.1556420233463,5.44806517311609,5.28994871353538,5.20618556701031
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14179104477612,1.17538461538462,1.19076923076923,1.22388059701493,1.22270952927669,1.23692307692308,1.2453531598513,1.2453531598513,1.22666666666667,1.21437422552664,1.19076923076923,1.2453531598513
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31291759465479,1.27091883540148,1.27756160830091,1.2488038277512,1.27756160830091,1.27951002227171,1.13304093567251,1.136,1.21490414347557,1.17245029239766,1.16228070175439,1.1439588688946,1.27951002227171,1.31459330143541,1.27531363988433,1.27951002227171,1.30434782608696,1.29004329004329,1.33518930957684,1.33518930957684,1.30201342281879,1.28571428571429,1.33518930957684,1.29620563035496,1.30390510503175,1.33736559139785,1.38678090575275,1.39086859688196,1.44115157078743,1.45378097567845,1.44654788418708,1.44354838709677,1.44295302013423,1.42857142857143,1.41388888888889,1.48806753172457,1.45743232129547,1.44654788418708,1.44654788418708,1.45152435284014,1.44654788418708,1.47774227498127,1.5,1.5011961722488,1.45714285714286,1.46768507638073,1.46018735362998,1.4700956937799
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43209792278115,1.45883940620783,1.50132275132275,1.55937209966445,1.55666251556663,1.5293453724605,1.5592203898051,1.605844320086,1.59340659340659,1.60694787668472,1.56697931697932,1.59670164917541,1.59670164917541,1.62757871878393,1.62480376766091,1.62480376766091,1.6233242732759,1.70862405696065
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10181311018131,1.1657800066313,1.20831417624521,1.1877292215507,1.23735408560311,1.27849780589856,1.28793774319066,1.29405043766385,1.26526648599819,1.23619117492925,1.20864197530864,1.23836085250559,1.27777739857709,1.24684684684685,1.25103607384765,1.29986052998605,1.24666666666667,1.23833333333333,1.25,1.24595469255663,1.24595469255663,1.25,1.27753303964758,1.26,1.27028063305596,1.31439894319683,1.31217460633845,1.33627019089574,1.37687861271676,1.38793103448276,1.36552510153048,1.38633193863319,1.3936170212766,1.40682414698163,1.404,1.39179546485807,1.41105769230769
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,,,,,,,,,,0.8,0.751506024096386,0.674718196457327,0.6703125,0.75,0.727142857142857,0.712857142857143,0.7,0.79255710414247,0.793884220354809,0.812859097127223,0.830882352941177,0.831181917211329,0.803549695740365,0.771960784313726,0.794117647058823,0.831481481481481,0.8325,0.838095238095238,0.815261482492042,0.824159021406728,0.862068965517241,0.861248761149653,0.872689938398357,0.840978593272171,0.839920948616601,0.838224308048776,0.832107843137255,0.827520687173952,0.825650939274792,0.857142857142857,0.91991341991342,0.904837861745133,0.911858974358974,0.911858974358974,0.888745148771022,0.890119047619048,0.868571428571429,0.961165048543689,0.995039682539683,0.938735177865613,0.941605839416058,0.929542645241038,0.923104655953852,0.94178388915231,0.934285714285714,0.981481481481482,1,0.97979682829204,0.98644578313253,0.979680696661829,0.992792792792793,1,1.04166666666667,1.04453995843567,1.06297527904519,1.05225225225225,1.03420695205996,0.991585451106177,1.04142857142857,0.986951447245565,1.03915662650602,0.955983493810179,0.992275496168206,1.00428021836314,1.04528882306027,1.04926470588235,1.0949263502455,1.09615503558787,1.11170498324992,1.11983114357539,1.10694950790944,1.13892709766162,1.098,1.098,1.12765957446809,1.16039279869067,1.16039279869067,1.16039279869067,1.16039279869067,1.2,1.23965517241379,1.24191316908755,1.24092888243832,1.27495908346972,1.27495908346972,1.26627581502564,1.27495908346972,1.28314238952537,1.28620689655172,1.29247765006386,1.31176470588235,1.37742718446602,1.42857142857143,1.44615384615385,1.39191557013835,1.38952536824877,1.35427409715701,1.38316400580552
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.8775,3,3.08181818181818,2.8,3,2.99166666666667,2.94884910485934,2.91355721393035,2.85714285714286,2.99198717948718,2.99,2.85895806861499,2.85714285714286,2.86744186046512,2.79583333333333,2.83333333333333,2.85895806861499,2.825,2.85714285714286,2.88535353535354,2.83333333333333,2.85805046287893,2.91304347826087,2.95238095238095,2.86821705426357,2.8,2.84615384615385,2.8695652173913,2.85895806861499,2.85093406593407,2.85714285714286,3,3,2.99839903846154,3,3.052375,3.07417582417582,3.16666666666667,3.13092376373626,3
