"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591,1624,1665,1555,1530,1569,1500,1449,1399.5,1385,1390,1420,1420,1399.5,1399.5,1470,1492.5,1437.5,1499,1317.5,1275,1300,1300,1300,1280
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,789,737.5,799,799,827,860,786,759,759,790,765,759,759,759,787,788,790,794.5,790,799,799,809,825,885,895,920,955,927.5,970,970,995,1010,1070,1127.5,1089.5
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,925,850,899.5,895,875,825,795,795,795,834,795,750,750,795,775,775,775,775,795,750,750,750,775,795,770,750,750,785,795,795,795,800,800,800,835,815,800,850,850,839,850,850,895,857.5,850,850,897.5,895,950,912.5,995,995,900,900,922.5,925,939,965,975,929,950,990,987.5,1000,955,960,1020,1017.5,1020,1055.5,1100,1050,1055,1126,1150,1150,1100,1095,1082,1000,1104,1150,1164,1165.5,1150.5,1190,1250,1224,1247,1200,1185,1165,1148,1179,1243.5,1228,1205,1209,1227.5,1258,1250,1212,1219,1197
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,4500,4500,4500,4400,4400,4400,4485,4500,4350,4325,4325,4425,4600,4597.5,4595,4560,4600,4600,4500,4500,4500,4350,3995,4355,4400,4400,4386.5,4295,4200,4250,4250,4200,4206,4200,4199,4195,4395,4395,4357.5,4425,4450,4495,4350,4311,4420,4295,4250,4400,4412.5,4500,4440,4395,4395,4400,4250,4250,4325,4154,4250,4450,4500,4500,4600,4518
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1822.5,1825,1800,1895,1895,1800,1842,1795,1795,1795,1995,1950,1950,1900,1995,1900,1850,1897.5,1900,1829.5,1900,2000,2150,1970,1900,1970,1970,1985,2000,1995,1987.5,1995,1995,2150,2150
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,2750,3012.5,3200,3000,2900,2950,3000,2995,3000,3300,3200,3200,3300,3200,3195,3195,3100,3199.5,3200,3200,3290,3347.5,3350,3295,3225,3200,3150,3095,3050,2900,2999.5,3200,3200,3199,3200,3295,3300,3400,3395,3300,3250,3450,3500,3495,3595,3695,3750,3600,3800,3745,3650,3397,3495,3450,3595,3600,3500,3495,3500,3595,3695,3695,3700,3500,3400,3500,3300,3595,3472.5,3500,3497.5,3370,3450,3300,3300,3295,3300,3300,3400,3495,3400,3595,3595,3495,3600,3450,3300,3295,3250,3295,3300,3450,3495,3495,3650,3550,3495,3412.5,3495,3350,3400,3500,3500,3500,3700,3700,3795
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,675,662.5,695,650,650,650,650,650,660,650,650,650,650,650,650,625,625,650,650,650,650,655,650,650,625,650,650,600,600,600,625,650,650,650,650,675,665,650,662,654.5,650,650,650,650,632.5,635,667,650,675,650,675,695,675,695,665,700,697.5,700,697.5,700,750,725,695,771,750,700,741,749,795,800,800,800,800,800,799,840,817.5,780,795,800,815,825,815,865,850,840,821,850,850,850,850,900,925,930,950,950,975,985,945,925,925,951.5,950
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,1027,1050,1100,1042.5,1007,1098,1050,997,995,1100,1080,1155,1100,1100,1100,1132,1135.5,1100,1100,1157.5,1176,1150,1185,1200,1225,1257,1300,1260,1272,1260,1290,1290,1290,1271,1283,1260,1286,1290,1315,1328,1310,1305,1305,1300,1300
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1600,1699.5,1699.5,1800,1800,1800,1850,1750,1776,1950,1869,1891.5,1900,1825,1865,1895,1925,1900
"East New York","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,1400,1375,1375,1400,1400,1400,1400,1375,1400,1430,1488,1450,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1500,1490,1500,1500,1500,1500,1500,1495,1500,1500,1500,1500,1500,1500,1514,1550,1507,1500,1500,1550,1550,1600,1600,1600,1600,1700,1600,1600,1600,1650,1650,1600,1625,1699,1700,1650,1675,1750,1800,1790,1750,1750,1875,1875,1800,1800,1800,1850,1850,1850,1799,1799,1800,1850,1850,1850,1850,1850,1800,1800,1850,1850,1850,1825,1850,1750,1800,1850,1862.5,1900,1937.5,1850,1850,2099.5,2100,2000,2000,2000,2000
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.5,919,919,949,912,935,939,950,885,895,880,894.5,890,902.5,910,932,910,895,905,870,905,907.5,905,1016,975,972.5,997,955,963,964,951,950,995,955,958,934.5,955,1008,1041,1057,1043,1095,1135,1059,1109,1103,1061,1202,1195,1148.5,1162,1211.5,1250,1107,1209,1216,1155,1268,1233.5,1225,1256,1375,1390,1399,1389,1395,1378,1283,1259,1200,1220,1299
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",12,,,,,,1550,1650,1695,1650,1695,1750,1700,1695,1650,1650,1650,1650,1650,1680,1650,1700,1795,1750,1800,1800,1800,1750,1795,1795,1795,1800,1800,1850,1850,1895,1875,1850,1850,1850,1850,1850,1875,1875,1895,1900,1950,1895,1950,1995,1995,1950,1980,1999.5,1950,1975,1975,1950,1995,2000,2000,2043,2000,2000,2000,2000,2000,2000,2000,2000,1990,1995,2000,1985,1995,2000,2000,2050,2060,2050,2100,2150,2200,2200,2200,2145,2145,2100,2095,2100,2095,2100,2125,2150,2100,2195,2200,2200,2195,2100,2100,2100,2095,2095,2100,2199,2207.5,2205,2250,2250,2200,2199,2100
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.5,922,883,960,952,960.5,957,944.5,983,964,963.5,859.5,876,941,951.5,949,962,986,1039,1009.5,982.5,986.5,983,975,955,962,1026.5,1049,970,985,1024.5,1011.5,1015,1030,1030,1050,1040,1062.5,1070,1070,1074,1101,1136,1131,1150,1164,1195,1204.5,1200
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",14,,,,,,,,,,700,695,700,762.5,690,644,630,575,625,635,650,649,702.5,690,659,650,670,655.5,650,650,650,669,669,653.5,652,654.5,677.5,682,697,650,650,650,650,660,678,758,729,704,714.5,700,700,650,675,697.5,675,730,724.5,729.5,767.5,750,776.5,775,755,800,769.5,774.5,764,789,788,788,789,792,788.5,767.5,787.5,788,775,785,788,792,830,826.5,880,877.5,855,840,869,869,808,829,850,894.5,877.5,874,869.5,899,908.5,900,900,900,900,900,945,969,957.5,950,1050,1005,1005.5,1010,1000,1027.5,999.5
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",15,,,,,,,,,,1875,1895,1950,1900,1900,2107.5,2100,2100,2100,2100,2000,2100,2150,2200,2267.5,2350,2400,2450,2450,2490,2400,2400,2400,2362.5,2350,2400,2500,2500,2600,2450,2400,2400,2400,2400,2450,2500,2450,2500,2500,2495,2500,2500,2425,2425,2450,2400,2395,2400,2400,2400,2400,2450,2400,2400,2400,2400,2400,2400,2400,2450,2400,2450,2492,2400,2400,2425,2400,2395,2350,2395,2350,2350,2400,2400,2400,2395,2395,2350,2395,2395,2350,2355,2300,2300,2300,2350,2395,2395,2325,2395,2300,2300,2300,2350,2300,2400,2400,2400,2400,2450,2408,2400,2400
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",16,,,,,,,,,,,,,,875,879,905.5,882,889,899,909,895,952.5,980,946,979,967,965,1030,1086,1005,1020,1025,1010,1045,1050,1026,1127,1127,1100,1148.5,1139,1130,1130,1125,1045,1115,1127,1175,1188.5,1190,1175,1145,1175.5,1195,1135,1160,1157,1200,1192,1200,1220,1230,1199.5,1241,1231,1245,1236,1249,1273,1275,1272,1299,1389,1320,1248,1250,1295,1300,1349.5,1303.5,1337,1309,1308,1303,1316,1305.5,1310,1295,1277,1295,1295,1305,1328,1350,1381.5,1390,1314.5,1350,1296,1275,1275,1275,1275,1275,1275,1277.5,1303,1330,1343.5,1330,1310,1348
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",17,,,,,1500,1500,1500,1562.5,1500,1600,1650,1600,1600,1600,1600,1600,1575,1600,1650,1675,1700,1700,1710,1775,1750,1750,1750,1700,1750,1800,1800,1850,1925,1995,2100,2200,2197,2095,2000,2000,2000,2000,2000,2000,2000,2100,2100,2199,2200,2200,2200,2200,2200,2200,2200,2200,2300,2350,2300,2350,2300,2300,2300,2295,2300,2349,2300,2350,2395,2395,2400,2400,2400,2500,2500,2316,2380,2349,2300,2336.5,2395,2375.5,2383,2400,2399,2383,2375,2310,2299,2290,2344,2400,2400,2462.5,2475,2500,2499.5,2450,2400,2400,2350,2399,2450,2450,2500,2499,2499,2541.5,2595,2599,2550,2498
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",18,,,,,,,,,,,,,,,,,2750,2700,2750,2800,2900,2800,2797.5,2900,3000,3100,3100,3099,3099,3100,3000,3000,3125,3100,3050,3000,3000,3000,3100,3150,3000,3000,3100,3200,3250,3300,3200,3199,3150,3150,3095,3095,3150,3200,3199,3350,3600,3500,3350,3254,3300,3350,3295,3250,3200,3100,3100,3100,3200,3200,3100,3150,3294.5,3398.5,3250,3600,3040,3000,3099,3150,3117,3100,3090,3000,3050,3000,2999,3000,3000,3000,2985,3000,3000,3000,2975,2995,2950,2905,2841,2800,2933,2950,2900,2975,3100,3200,3250,3395,3500,3600,3750,3800
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3297.5,2995,2995,2800,2897.5,2945,3098.5,3118,3218.5,3195,3200,3243,3219,3195,3095,3128,3193,3185,3100,3035,3065,3029.5,3015,3077.5,2921.5,2947,2995,2995,2995,3042,3077.5,3055,3000,3195,3117,3200,3350,3295,3202.5,3125
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1675,1545,1520,1447,1401,1300,1201.5,1245,1200,1195,1195,1215,1228,1250,1260,1290,1237,1271.5,1304,1318.5,1250,1295,1309,1300,1334,1389.5,1384,1413.5,1391.5,1349,1374,1403,1468
"Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",21,,,,,,,,,,1650,1635,1600,1595,1590,1550,1600,1650,1600,1500,1500,1500,1600,1600,1650,1600,1600,1600,1550,1600,1650,1675,1675,1700,1799,1700,1750,1800,1800,1737.5,1770,1799,1770,1775,1799,1800,1850,1899,1887.5,1900,1900,1900,1900,1900,1900,1900,1900,2000,1950,1999,2000,2000,2100,2095,2000,2000,2000,2000,2000,2000,2000,2050,1975,2100,2250,2100,1975,1999,1995,1995,1999,1999.5,2000,2000,2100,2099.5,2043,2000,1999,2075,2100,2099,2100,2095,2100,2199,2225,2200,2200,2100,2150,2200,2195,2165,2199,2200,2250,2200,2200,2250,2350,2300,2299
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",22,,,,,,,,,,,597,625,625,599.5,600,600,615,600,600,625,625,615,600,600,649,625,649,649.5,649,625,649,642,637,625,625,629,644.5,647,645,625,625,625,625,625,650,650,675,680,675,699.5,675,675,675,675,680,729,705,700,725,725,730,729,725,729,725,725,757.5,747.5,745,700,775,788,775,788,795,797,799,799,775,793.5,850,865,850,850,850,900,893,835,799.5,850,975,995,975,1064,997.5,1005,945,950,995,977,1050,1045,1062.5,1075,1097,1080,1095,1100,1150,1095,1077.5,1150
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings County",23,,,,,,,,,1850,1750,1700,1650,1650,1650,1800,1904,1800,1700,1700,1850,1899.5,1912.5,1950,2100,2000,1950,1800,1750,1750,1800,1900,1900,1999,2000,2100,2199.5,2200,2199,2150,2100,2000,2000,2099,2100,2200,2200,2200,2200,2250,2250,2225,2200,2200,2300,2300,2300,2400,2350,2300,2350,2350,2350,2300,2300,2350,2385,2400,2400,2400,2400,2399.5,2498,2400,2445,2395,2295,2300,2200,2200,2250,2300,2395,2395,2400,2399,2375,2400,2395,2300,2352.5,2397,2399,2400,2400,2425,2400,2400,2365,2400,2399,2399,2350,2399,2399,2400,2449,2499,2500,2500,2500,2430,2402.5
"Jamaica","New York","NY","New York-Newark-Jersey City","Queens County",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077,1850,2000,1999,1999,2186,2199,2099,2186,1999,1999,1950,1899,1999,1999,1995,1999,1999,2099,2000,2124.5,2159,2000,2099,2099,2099,2099.5,2099,2000,2125,2200,2100,2000,2250,2100,2100,2074.5,2199
"Harlem","New York","NY","New York-Newark-Jersey City","New York County",25,,,,,1850,1850,1795,1786,1750,1750,1750,1795,1783,1850,1950,1977.5,1942.5,1950,1895,1850,1899,1900,1925,1985,1995,2000,2000,1995,2000,2000,2100,2100,2100,2100,2057,2100,2100,2000,2099,2000,2095,2000,2000,2000,2100,2225,2350,2495,2400,2400,2400,2400,2490,2400,2400,2400,2350,2422.5,2397.5,2400,2450,2472,2400,2495,2457,2400,2464,2475,2450,2350,2400,2500,2397.5,2400,2450,2299,2495,2450,2450,2500,2500,2495,2500,2611,2500,2450,2350,2380,2350,2400,2495,2500,2551.5,2600,2600,2600,2600,2500,2410,2400,2495,2500,2553,2587,2625,2626,2659,2650,2597.5,2554,2565,2566
"Roosevelt","Fresno","CA","Fresno","Fresno County",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,750,750,750,750,750,750,750,775,775,775,775,799.5,799,775,799,825,800,800,825,812.5,800,850,850,802.5,805,850,899,950,924,950,949,949,949,949,949,932
"East Side","El Paso","TX","El Paso","El Paso County",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.5,750,795,765,765,757.5,750,765,699.5,700,765,765,795,796,795,805.5,839,850,850,850,800,797.5,800,800,795,797.5,795,797.5,850,875,800,800,825,850,867.5,875
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",28,,,,,1050,1050,1000,1000,1000,995,1000,1050,1095,1000,1000,995,995,975,975,995,995,987.5,992.5,975,995,995,1100,1150,1040,995,1150,1100,1100,1118,1100,1037,1025,999,1000,1000,1000,1000,1000,1025,1100,1139,1100,1139,1100,1105,1100,1100,1095,1095,1100,1110,1117.5,1144.5,1139,1125,1100,1100,1100,1095,1100,1130,1150,1164.5,1195,1197,1250,1199,1200,1195,1195,1195,1195,1187.5,1200,1205,1210,1250,1250,1250,1250,1240,1250,1250,1235,1250,1275,1335,1350,1350,1348,1350,1319,1325,1295,1371.5,1410,1400,1448,1448,1448,1448,1447.5,1430,1398,1390.5,1425,1418.5
"Williamsbridge","New York","NY","New York-Newark-Jersey City","Bronx County",29,,,,,,,,,,,,,,,,,,,,1300,1300,1300,1400,1387.5,1380,1390,1380,1400,1400,1400,1400,1450,1400,1500,1500,1500,1500,1500,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1425,1450,1450,1462.5,1500,1550,1515,1525,1500,1500,1537.5,1575,1550,1550,1550,1550,1600,1600,1572.5,1592,1600,1550,1587.5,1550,1550,1600,1650,1650,1695,1695,1700,1700,1697,1700,1699,1700,1725,1750,1750,1750,1775,1795,1762.5,1800,1800,1785,1759,1750,1750,1750,1750,1795,1800,1800,1800,1850,1850,1800,1900,1900,1900,1875
"East Harlem","New York","NY","New York-Newark-Jersey City","New York County",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2697,2750,2700,2750,2795,2800,2700,2700,2755,2795,2872.5,2995,2800,2995,2800,2800,2997.5,3197.5,2995,3138,2850,2800,2700,2773,2697,2695,2695,2737.5,2700,2650,2658,2800,2850,2792.5,2750,2845,2795,2800,2700,2650,2700,2695,2700,2772.5,2800,2766,2800,2766,2700,2750,2762.5,2716,2800,2895,2995,2995
"Bushwick","New York","NY","New York-Newark-Jersey City","Kings County",31,,,,,,,,,,1500,1500,1500,1500,1500,1500,1550,1547.5,1600,1595,1597.5,1600,1662.5,1695,1675,1695,1650,1650,1600,1600,1650,1800,1850,1995,2000,2000,2100,2100,2085,2000,2000,2000,2000,2000,2000,2100,2100,2180,2150,2175,2150,2199,2100,2100,2200,2200,2200,2300,2300,2300,2300,2300,2350,2300,2300,2300,2350,2399,2400,2400,2400,2399,2400,2400,2400,2440,2300,2299,2300,2299,2300,2300,2345,2350,2355,2340,2344,2312.5,2300,2300,2299,2295,2349,2400,2446,2495,2450,2406,2400,2375,2340,2350,2446,2400,2488,2495,2499,2500,2599,2654,2600,2595,2550
"East Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1550,1572.5,1550,1600,1600,1600,1600,1650,1689.5,1695,1679,1700,1675,1650,1700,1750,1700,1750,1700,1700,1750,1687.5,1700,1700,1750,1800,1795,1800,1850,1800,1825,1800,1825,1825,1800,1800,1800,1800,1800,1800,1897.5,1800,1999,1900,1900,1900,1925,1937.5,1900,1897,1850,1885,1895,1895,1950,1950,1995,1997,2000,1962.5,2099,1999,2000,1999
"South Side","Corpus Christi","TX","Corpus Christi","Nueces County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101.5,1244,1239,1249,1222,1179,1119,1119,1189,1137,1196,1172.5,1128,1087,1023.5,1000,1039,1019,1006,1059,1075,1096.5,1100,1164,1139,1149,1147.5,1100,1147.5,1189,1175.5,1199.5,1243,1241,1247,1200,1196,1204.5,1229,1199,1200,1150,1140,1140.5,1175,1179,1225,1154,1192,1099,1069
"Corona","New York","NY","New York-Newark-Jersey City","Queens County",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725,1700,1667.5,1700,1736,1800,1800,1850,1800,1850,1875,1849,1897.5,1900,1850,1800,1849,1925,1995,2000,2100,2195,2195,2200,2200,2125,2125,2075,2095,2150,2255,2255,1995,2150,2325,2205,2230,2095,2115,2285,2197.5,2245,2260,2270,2353,2295,2350,2100,2200,2335,2300,2325,2180,2222.5,2325,2300,2200,2305,2300,2250,2300,2325,2132.5,2262.5,2250,2200,2295,2315,2300,2300,2450,2400,2220,2300,2300
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby County",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,725,650,650,675,659.5,675,695,650,650,650,650,650,675,650,675,695,709.5,695,672,719,695,800,759.5,775,785,780,790,795,857.5,795,800,800,790,750,749,769
"Sunset Park","New York","NY","New York-Newark-Jersey City","Kings County",36,,,,,,,,,,1600,1650,1650,1600,1600,1650,1600,1524.5,1550,1600,1600,1600,1650,1700,1750,1750,1650,1550,1625,1650,1600,1650,1725,1750,1750,1800,1800,1800,1750,1785,1750,1750,1750,1750,1750,1800,1825,1800,1800,1850,1850,1900,1900,1850,1850,1900,1900,1995,1900,1900,1900,1937.5,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2100,2300,1975,2000,2100,2005,2000,2095,2100,2200,2100,2000,1975,1900,1900,1987,1975,1999,2000,2154,2200,2100,2000,1999.5,2000,2000,2000,2100,2000,2000,2000,2100,2200,2199,2145,2199,2100,2100,2000
