"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
274772,"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57728,57926,58479,59245,59724,59837,60222,60793,61462,61832,61589,60124,58826,58577,58531,57263,56014,55319,54678,53837,54146,55154,55753,55947,56962,58191,58831,60309,61726,62506,63625,65037,64215,63079,63593,65002,65135,63882,62392,61408,61052,60947,60815,60460,60199,59526,58357,58686,61136,63730,65051,65904,66343,66077,65588,64820,63890,62479,61548,60676,59938,59232,58931,58219,57716,57327,56663,55780,55336,55383,55534,55081,54314,54849,56606,57824,58361,58816,59150,59757,60717,61105,61481,61845,61724,61366,61659,62441,63096,63313,63434,63567,63862,64165,64445,65289,66907,67076,65564,64014,62359,61325,61410,60893,59719,60629,61672,60123,57416,56022,55039,54069,53330,52748,52039,52068,53556,54754,54166,53928,55427,56508,56809,57293,58437,60347,61920,62251,62922,64603,65795,65962,65040,64047,64244,66008,67681,67828,67789,68525,68180,66571,67143,69475,70946,70678,70035,69154,70240,71989,72905,74693,77773
192689,"Paradise","Las Vegas","NV","Las Vegas","Clark",2,60050,59923,59808,59612,59402,59471,59736,59952,60415,61324,62067,62378,62819,63345,63652,63892,63843,63479,63194,63529,63485,62962,62634,62773,62793,63007,63374,63712,63918,64165,64491,64685,64476,64191,64135,64183,64057,63658,63355,63160,62992,62917,63213,63566,63836,64084,64296,64492,64762,65194,65430,65387,65288,65548,66026,66226,66192,66278,66625,66823,66692,66502,66587,67073,67759,68044,67627,67300,67516,67966,68494,69102,69367,69297,69343,69554,69845,70096,70209,70208,70501,71121,71627,71704,72129,73000,73994,75095,76283,77519,79209,81212,82941,84528,86131,87966,90545,93652,96903,99952,103451,107367,111267,114399,116883,119134,122116,125795,128683,130366,131416,132793,134040,134914,135285,136642,139772,142680,143907,145017,146243,147017,148551,150587,151413,151146,151316,151128,149800,149255,150388,151036,150662,150952,151278,150785,149518,147768,146467,145063,141863,137477,133418,129950,127086,124369,120876,116814,112144,107274,102799,98403,93210,88223,83743,78741,73254,68024,63777,60618,58088,56196,55043,55570,56256,55681,54595,53736,53202,53840,53474,51201,50643,51778,51040,48251,45703,44403,44129,44153,44168,44171,44120,44585,44148,42293,41296,40836,41408,43096,43604,43653,44473,43729,43218,43702,44113,45065,45842,46317,48122,48930,48619,49132,50167,51317,52779,54007,55249,56212,57345,58877,59562,59717,60752,61724,62134,62912,63881,64517,64688,64660,64887,65374,65508,65962,66692,66625,65549,64539,64300,64871,65359,65611,65691,65585,65401,66372,68132,69071,69283,70201,71614,72895,73818,74114,74677,75806,76464,77059,78394,79580,80471,81843,83111,84233,85623,87593,90063,92342,92020,90003,88737,88462
27080,"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,85464,85125,85090,84710,84430,84636,85210,85556,86993,89946,93790,97726,101869,105113,107147,108909,110885,112585,113651,114414,114183,113182,113060,113986,115121,115546,116773,119567,124000,128631,132671,135582,138115,139997,141032,142111,143656,145724,147742,149328,150360,151309,152547,154252,156040,157668,159058,160642,162771,165615,168139,170138,172026,174266,176769,179795,183415,187867,192373,196346,200247,205425,210820,214901,217262,219756,223332,228106,232448,236516,241316,247176,253366,258837,266974,279412,292543,303380,313482,322283,330317,337129,341937,345326,347809,350892,353970,355143,355957,358537,361376,364644,369461,373878,376178,378799,382321,384996,386384,387452,388631,390355,391696,390750,387689,384774,383805,381832,377513,371588,365915,360662,355751,350641,345966,342390,338756,333826,328517,324846,322982,321612,317948,312392,306397,301034,297036,295475,294710,293386,291631,290138,288652,287067,285156,282410,279427,277224,276591,276791,277495,278728,280469,281731,281481,279411,277130,276605,276909,275429,272464,270608,269783,267652,263393,258201,255220,254646,254678,253499,251433,249567,246381,237842,227006,220105,216678,214877,214021,213241,213516,216588,220232,222895,225164,228427,231946,235348,239538,243861,246648,249251,251785,252359,252934,255214,259282,263925,269116,273756,277067,278512,280264,283549,287149,290389,294075,298152,299966,299625,299517,302242,305945,309701,313613,317065,318879,320454,322658,324554,327221,330872,334622,336734,339113,341945,342971,342322,343181,345145,346662,348101,349116,352704,358391,361520,361925,363633,365982,368188,370290,371979,373414,374964,377639,382298,387022,389844,391761,394228,396945,399584,401724
192796,"Spring Valley","Las Vegas","NV","Las Vegas","Clark",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50473,51156,52639,54021,55566,57233,58819,60746,62294,63206,63585,63754,64332,65546,66321,66269,66087,66440,66993,67425,67713,68092,68580,68948,69267,69854,70157,69574,69145,69571,70091,69786,69410,69213,69260,69101,69408,70239,71047,72007,73555,74832,75704,76898,77541,77869,78255,78023,77751,78663,79586,80201,81869,84141,85974,87591,89317,91411,93652,94953,95533,96026,96318
32059,"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119962,123660,126877,129303,131794,134491,137378,138729,139866,141188,140660,138528,137058,136854,137391,137824,137876,140029,143393,147152,148004,147164,148969,153747,154871,153341,153443,155347,158080,160449,162388,164505,168265,172092,174505,176334,178749,180900,183116,187125,191376,195110,201172,211184,221330,228309,233387,238713,246095,255880,266441,274381,278748,283087,285689,284474,283927,288404,294416,300405,307164,313798,319643,327385,339322,352158,362894,371799,379231,386183,394171,400466,406274,414309,421849,425412,427460,430733,435038,438515,441928,445232,447645,452536,460197,465507,469231,473684,475844,476588,475482,471992,469460,468315,466748,466159,462801,456048,450187,446132,444002,444620,447037,450967,454077,455137,453630,450970,448969,446966,443704,439846,434180,425151,417190,412716,411426,410146,408627,407190,406182,404613,402173,398523,394357,391244,389386,386506,381896,376677,371142,365221,361096,358739,355522,353470,353130,350902,346443,343721,342915,342780,341416,338192,334094,331020,329662,326854,322182,318350,316185,313671,310372,307879,306818,305946,305520,305313,303745,301512,301596,304398,307058,307698,306021,304702,307331,314482,320857,327258,337776,355085,372366,382261,388682,396794,404020,407793,412007,413784,413826,414628,415177,411647,406751,408174,414220,420398,423982,426642,429056,433609,438440,441566,445367,450830,459512,467585,472601,474651,480474,488342,489814,484741,480728,478269,477255,479025,482933,483399,481839,482710,486098,488032,491042,498175,506838,515381,521680,524169,524103,527830,531867,534340,539931,550076,561741,574823,588196,597854,604097
275473,"Southeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",6,32584,33008,33081,33142,33372,33858,33751,33389,33477,34059,34250,34077,33963,33789,33654,33831,34000,33672,33087,33114,33737,34282,34918,35595,35656,35532,35828,35993,35992,35918,36735,38083,38929,39049,39002,38681,38383,38816,39559,40185,40834,41235,40808,40380,40517,40732,40994,41356,41951,42381,42733,43419,44158,44342,44021,44054,44772,45050,43984,43512,44218,44687,45019,45380,45144,45302,46605,47379,46764,45960,45552,45244,44928,45088,44948,44403,44226,45045,46419,47143,47038,48067,50809,53158,53716,53540,53634,54022,54531,55112,55629,56070,56680,57371,58057,58665,59302,59707,59969,60264,60465,60431,60072,59625,59364,58932,58441,58090,58138,58351,58588,58566,58704,58370,57332,56737,57039,57533,57941,58306,58413,58628,58890,59258,59848,60827,61588,62074,61999,61239,60252,60085,60614,60788,60879,60858,59728,57576,56729,56782,57268,58396,59215,58149,56675,56088,55978,55751,55469,55325,55238,55270,55310,55325,55433,55693,55713,55548,55324,55442,55897,56160,56049,55979,55922,55832,55919,56133,56253,56390,55769,54853,54566,54994,55061,55017,54498,53385,51979,51123,51130,51134,50823,50504,51112,52262,52906,52817,52842,53018,53078,53118,53054,53074,53165,53279,53124,53031,53358,53910,54115,54115,54551,55342,55372,55153,56437,57988,58412,58255,57892,56734,56909,58039,58175,57529,57703,57529,56585,56098,56145,55864,55527,55297,55009,54450,54050,54463,54881,54265,53900,54691,55340,55326,55056,55106,55467,55629,55635,56091,57551,59144,59924,59798,60310,61596,63649,64991,64134,63382,64689,65767,65504,67449,70455,71669,70257,68813,67959,69299,71164,72471,73120,73979
28380,"Alief","Houston","TX","Houston","Harris",7,32781,32810,32467,31684,31063,31071,31297,31602,32236,32947,33288,33093,32724,33059,34281,35234,35425,35476,35537,35404,34939,34399,33716,32933,31831,30820,30220,30074,30136,30518,30724,30655,30621,30826,31074,31361,31765,32212,32367,32350,32698,33361,33726,33690,33389,33221,33364,33672,33967,33884,33269,32587,32545,33055,34012,34486,34033,33434,33425,33779,34287,34843,35107,35048,35011,35382,35668,35543,35383,35611,35751,35824,35785,35942,37230,39002,38957,37531,37991,38707,39389,40943,42682,41885,40056,39557,39553,40104,41044,41277,39309,39331,40204,39862,39945,42069,44127,45424,46251,46516,46857,47911,48184,47381,46686,47430,48119,48114,47820,46353,44597,44706,45078,43785,42959,44279,46984,48237,46450,45545,47482,49864,51373,50605,49826,49527,50477,51348,51997,50328,48657,48767,50686,50510,49073,47619,47606,49691,52959,52322,49708,47953,48946,49561,47823,47302,50162,52616,52442,52753,53523,54234,54846,55947,56855,57543,57987,58519,58849,57462,54716,52941,51227,48667,47253,47752,49111,51165,51128,48677,45786,46104,49265,51273,51280,52305,51089,49938,49990,48397,46402,47734,48815,49612,51647,53391,54503,55024,57015,60815,59539,55516,55685,57016,56072,59306,61466,58612,54088,53794,54437,52473,52468,54624,54669,53392,54067,52232,51638,51361,51236,52156,54566,55060,54788,54788,55669,56969,57473,55552,53089,53899,55664,56441,56796,57194,57160,57257,57419,57878,58227,56302,52813,51953,53308,53462,52628,52177,52277,54044,55609,56244,58338,61613,63923,64889,65293,64533,63214,63835,65390,65354,66334,67748,66163,62648,60339,59981,61260,61546,61462,61866,62201,62556
276476,"North Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",8,74427,74315,74029,74012,74134,74647,74946,74495,74170,74712,75288,74979,74555,74020,73026,72504,72847,72676,72378,73207,75156,77352,79052,80617,82252,83749,84721,84911,84806,84143,83404,83498,84558,84899,84464,82991,82080,83298,85847,86987,86988,87737,88977,89652,90359,91731,93383,95314,97342,98267,97994,99084,102903,107751,111341,113748,114751,114073,113313,113380,112572,110424,108838,107934,106989,106601,107121,107547,107452,108101,109654,111733,114510,118962,123554,127245,129625,132660,136790,141465,145330,148315,150176,152013,154120,155737,157113,159060,162195,165159,166416,167249,170174,174739,179295,183463,188211,195782,206538,217065,223430,225934,230693,238882,247477,256454,268124,279970,289156,292931,294976,299158,304041,307913,311305,313943,316397,318780,320374,321918,324901,330075,335729,339656,341920,342976,344375,345204,344235,341124,340901,344230,347475,345922,341656,337261,335740,335509,332544,325469,319173,313563,303291,291021,279191,267438,255622,246263,238431,232124,225492,219153,212891,206899,200744,194276,187555,180746,174870,170442,168020,166563,165951,165773,164638,161723,158894,155893,154402,155511,155514,153075,151049,148233,143828,140591,140943,142437,143532,144240,144579,144393,145481,145661,144097,143802,144365,143560,141231,140649,141892,144315,144887,145509,146501,148927,150151,152684,158754,166714,172703,177844,182608,187281,194653,202716,208918,213080,217594,220906,222886,224240,225535,226174,228608,231828,233164,233824,237689,242769,246962,248688,249492,250005,251048,252421,253582,254526,256292,258228,259003,259329,259786,260906,262699,264846,267301,268878,270011,271550,272652,272662,272269,274894,280007,283284,282673,283541,288188,294403,297800,298133,300209,304197,308486,312834,316731,318644,320598,321852,321032,320330,321154,322253
30731,"Canoga Park","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,50181,49847,49527,49526,49236,48133,47928,48823,49350,49161,49208,49139,48895,48686,48898,49336,49938,50262,49870,49202,48809,48151,47724,48276,49408,49887,49287,47950,46920,46987,47820,48767,49845,51249,52845,54266,55020,55823,56954,58048,58035,58002,59058,60904,63008,66100,68358,68062,66698,65986,66099,66562,67349,68342,68962,69318,69684,70102,70793,71794,72222,72296,72690,73600,74821,76168,77148,78009,78987,79873,80973,82324,84537,87447,90711,93925,97415,100446,103336,106010,108446,110516,112499,116454,123065,129727,134529,138735,143210,147225,150384,152887,154945,156736,158913,161670,165594,171387,177726,183005,187623,192693,198477,203545,208370,214235,221773,227847,230213,230465,232398,237152,242433,246450,248403,250843,255265,258430,258089,258955,261443,262982,264009,264995,265517,266527,267916,268797,268082,266943,266743,266605,265084,262658,259714,255121,249989,246188,243229,238869,234749,232075,229533,226089,222625,219016,215759,211942,206346,199992,194041,187151,179492,172239,165955,159958,153394,146245,139170,134205,130279,126562,125178,126686,128702,131353,135504,138580,141091,142923,143044,140731,139125,137130,132378,129244,128892,126173,120165,116073,113713,112278,111446,111019,110234,109027,108146,107246,106474,106866,107607,106822,105466,104513,103800,103717,105256,109201,114354,117910,119720,121568,123364,125453,128006,132037,137028,143123,149636,155480,159785,163193,164710,164903,166986,170278,172999,176844,182889,186951,187696,188068,189098,189731,190003,190515,191988,194294,196413,197337,197811,198042,197579,197336,198169,199748,201427,203572,206540,210201,212805,213772,214225,214604,214739,214992,215824,216966,218016,218584,218655,220393,224142,227886,229796,235316,244454,251474,253650,253035,255638,263997,272268,276237
273480,"Downtown","San Jose","CA","San Jose","Santa Clara",10,142324,146679,152505,157468,161182,163187,164031,165305,168049,170981,173051,174430,175501,175800,175748,176002,177172,178824,179654,179073,178591,179016,178234,177276,179440,183627,184724,183400,182500,184311,188312,191835,193261,193442,193100,192691,191074,189721,191990,197228,203154,209589,216222,224380,234073,244711,255823,267055,276384,283489,288698,292501,294605,293797,292097,290507,290011,289434,289117,288542,287859,287031,286147,284437,282849,283082,284001,283559,283015,284350,287179,289509,291367,292559,294848,297686,299515,299403,299531,300552,301864,302362,302520,303365,304909,307662,308557,309954,314201,320775,326480,330582,333076,337388,343073,347989,352795,357870,362288,365773,367682,369342,372465,376989,382195,387342,392726,398105,403687,407382,411616,418287,424380,427138,429429,432989,436187,438195,438141,437232,436467,436185,435274,432447,430012,429619,429754,430835,431795,429146,425794,425094,425784,426815,427632,427047,428239,430566,428678,422705,416450,411053,404756,398567,391938,385984,379881,374637,369691,364957,360819,357729,354625,351126,347192,342519,337216,330623,328543,330656,330707,327775,326685,327193,328492,330146,331996,332962,332630,331678,329939,327730,326467,325573,324596,323711,323081,322290,322480,322264,320581,320366,319652,315100,311469,310980,309721,305569,303897,306486,309200,310947,315363,319872,323196,327223,331392,334204,338698,345237,350804,353358,354964,358693,364501,371733,380197,389022,393858,397551,402226,408477,413784,419063,424918,432694,440028,444704,447216,450617,455052,459642,463480,467108,470644,474729,479701,485663,493594,504684,514998,521328,525219,527659,528637,529163,529376,530435,533837,539110,544683,549079,551002,554057,558006,562752,568301,576090,583414,586685,588904,597294,607290,611661,613174,618803,631193,647151,662557,677448,689734,704409,722309,737299
