"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","44240","OH","Akron, OH",3431,74,6.89655172413793,59.5,0.714285714285714,5.32413793103448
"Zip","44203","OH","Akron, OH",3442,74,11.25,63,3.92857142857143,5.32413793103448
"Zip","44224","OH","Akron, OH",3568,74,6.45161290322581,59,0.357142857142857,5.32413793103448
"Zip","44221","OH","Akron, OH",4642,74,14.3884892086331,56,4.64285714285714,5.32413793103448
"Zip","44266","OH","Akron, OH",4649,74,8.3969465648855,74,4.28571428571429,5.32413793103448
"Zip","44312","OH","Akron, OH",4708,74,13.2978723404255,64.5,6.42857142857143,5.32413793103448
"Zip","44313","OH","Akron, OH",5365,74,12.987012987013,67,7.14285714285714,5.32413793103448
"Zip","44319","OH","Akron, OH",6732,74,10.0840336134454,62,1.42857142857143,5.32413793103448
"Zip","44310","OH","Akron, OH",6857,74,14.1592920353982,61,5.71428571428571,5.32413793103448
"Zip","44306","OH","Akron, OH",7195,74,13.7254901960784,81,10,5.32413793103448
"Zip","44236","OH","Akron, OH",7236,74,6.38297872340426,71,2.5,5.32413793103448
"Zip","44305","OH","Akron, OH",7253,74,10.655737704918,67.5,5.35714285714286,5.32413793103448
"Zip","44087","OH","Akron, OH",7461,74,8.97435897435897,64.5,2.14285714285714,5.32413793103448
"Zip","44320","OH","Akron, OH",7519,74,11.5789473684211,81,8.92857142857143,5.32413793103448
"Zip","44067","OH","Akron, OH",7564,74,12.1621621621622,58,2.85714285714286,5.32413793103448
"Zip","44202","OH","Akron, OH",7632,74,6.36942675159236,79,3.57142857142857,5.32413793103448
"Zip","44223","OH","Akron, OH",7941,74,16.4948453608247,62,7.5,5.32413793103448
"Zip","44314","OH","Akron, OH",7955,74,8.53658536585366,67.5,3.21428571428571,5.32413793103448
"Zip","44333","OH","Akron, OH",8148,74,10.0840336134454,63,1.78571428571429,5.32413793103448
"Zip","44278","OH","Akron, OH",8170,74,15.7894736842105,72.5,9.64285714285714,5.32413793103448
"Zip","44241","OH","Akron, OH",8254,74,10.3448275862069,61.5,1.07142857142857,5.32413793103448
"Zip","44321","OH","Akron, OH",8965,74,13.3333333333333,73,9.28571428571429,5.32413793103448
"Zip","44301","OH","Akron, OH",8988,74,11.2068965517241,70,6.78571428571429,5.32413793103448
"Zip","44260","OH","Akron, OH",9485,74,11.1111111111111,66,5,5.32413793103448
"Zip","44056","OH","Akron, OH",9715,74,16.2790697674419,65,8.21428571428571,5.32413793103448
"Zip","44216","OH","Akron, OH",10375,74,23.0769230769231,62,7.85714285714286,5.32413793103448
"Zip","44303","OH","Akron, OH",10380,74,11.1111111111111,70,6.07142857142857,5.32413793103448
"Zip","44286","OH","Akron, OH",10868,74,10.5263157894737,100,8.57142857142857,5.32413793103448
"Zip","12180","NY","Albany-Schenectady-Troy, NY",2450,60,8.28729281767956,94,4,6.64827586206897
"Zip","12065","NY","Albany-Schenectady-Troy, NY",2901,60,9.15750915750916,85,3.42857142857143,6.64827586206897
"Zip","12866","NY","Albany-Schenectady-Troy, NY",3046,60,7.94044665012407,99,4.57142857142857,6.64827586206897
"Zip","12020","NY","Albany-Schenectady-Troy, NY",4389,60,6.16740088105727,85,1.71428571428571,6.64827586206897
"Zip","12203","NY","Albany-Schenectady-Troy, NY",5154,60,9.16030534351145,84.5,3.14285714285714,6.64827586206897
"Zip","12309","NY","Albany-Schenectady-Troy, NY",5404,60,8.78661087866109,87,2.85714285714286,6.64827586206897
"Zip","12303","NY","Albany-Schenectady-Troy, NY",5567,60,11.5606936416185,87,7.42857142857143,6.64827586206897
