"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,2812.5,2925,3125,3000,2995,3000,3000,3000,3195,3200,3000,3142.5,3400,3500,3500,3500,3300,3300,3400,3200,3200,3200,3100,3200,3275,3212.5,3250,3255,3300,3300,3325,3350,3350,3295,3500,3400,3650,3712.5,3700,3525,3599,3500,3495,3400,3497,3500,3450,3400,3500,3650,3575,3500,3600,3772.5,3500,3600,3500,3500,3400,3500,3500,3500,3500,3472.5,3500,3500,3500,3500,3495,3400,3400,3400,3500,3525,3697,3500,3500,3500,3500,3500,3585,3500,3500
"60657","Chicago","IL","Chicago","Cook",2,,,,,1595,1557,1600,1600,1600,1695,1675,1600,1695,1700,1700,1695,1662.5,1612.5,1600,1600,1650,1695,1700,1695,1795,1800,1820,1800,1795,1750,1650,1697.5,1700,1797.5,1795,1750,1800,1825,1900,1850,1800,1800,1775,1725,1750,1750,1775,1770,1750,1795,1772.5,1750,1795,1795,1740,1800,1790,1800,1820,1825,1800,1800,1800,1800,1850,1850,1895,1887.5,1850,1900,1900,1860,1895,1875,1800,1800,1900,1950,1975,1900,1935,1950,1925,1922.5,1895,1850,1850,1800,1850,1900,1950,1950,1945,1925,1955
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120,5200,5095,5100,5000,5195,4950,5000,5372.5,5200,5000,4972.5,5000,5095,4900,4950,5000,5000,5000,4987.5,4912.5,5000,4900,4650,4950,4900,4800,4881.5,4785.5,4800,4900,4885,4900,4950,4950,4900,4850,5000,5100,5012.5,4950,5110,5300,4950,4800,4912.5,4975,5000
"75070","McKinney","TX","Dallas-Fort Worth","Collin",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1300,1300,1325,1266.5,1330,1425,1330,1264,1255,1330,1417.5,1330,1275,1305,1303,1367.5,1403.5,1378,1392,1439,1389.5,1321,1251,1301,1365,1363,1287,1352,1413,1291,1375,1355,1321,1293.5,1322.5,1320,1313,1434.5,1465,1475,1370,1392,1451,1511.5,1493,1439,1380,1395,1399,1356,1357.5,1383,1419,1430
"77494","Katy","TX","Houston","Harris",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,1482,1443.5,1430.5,1425,1439,1436,1675,1562.5,1450,1547.5,1528,1582,1550,1550,1560,1489.5,1437.5,1539,1516,1459.5,1526.5,1600,1604.5,1590,1627.5,1610,1639.5,1634.5,1650,1640,1656,1656,1635,1650,1619
"60614","Chicago","IL","Chicago","Cook",6,,,,,,1700,1700,1650,1660,1725,1780,1797.5,1812.5,1900,1907.5,1962.5,1950,1875,1800,1865,1895,2000,2047.5,2262.5,2325,2400,2275,2350,2200,2100,1860,1975,2050,1995,1962.5,2042.5,2100,2100,2200,2200,2200,2100,2099,1995,1899,1977.5,1999,1995,1995,1995,2100,2095,2100,1995,1800,1972.5,1995,1995,1950,1995,1999,1999,2096,2029,2029,2200,2190,2055,2000,2050,1982.5,1995,1995,2100,1975,2000,2000,2050,2050,2060,2060,2035,2057.5,2010,2000,2000,2010,2050,2097.5,2050,2100,2127.5,2090,2100,2100
"79936","El Paso","TX","El Paso","El Paso",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,765,765,760,769.5,775,795,803,800,845,850,850,850
"77084","Houston","TX","Houston","Harris",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,1193,1186,1187,1169,1277,1143,1169,1152,1152,1115,1058,1165,1183,1116,1139,1166.5,1196,1228,1265,1186,1190.5,1240,1191,1145,1247,1321,1304,1316
"10002","New York","NY","New York","New York",9,,,,,,2595,2595,2600,2675,2750,2725,2850,2850,2995,3100,3300,3200,3000,3100,3000,3095,3095,3000,3070,3100,3195,3100,3099.5,3100,3100,3195,3200,3200,3272.5,3200,3112.5,3100,3099,3100,3100,3100,3100,3100,3150,3200,3240,3197.5,3200,3200,3150,3250,3275,3150,3200,3225,3300,3295,3300,3295,3295,3295,3254,3275,3197.5,3300,3393,3400,3295,3300,3450,3204,3295,3300,3199,3350,3199.5,3200,3300,3300,3300,3400,3400,3295,3295,3250,3200,3100,3095,3100,3074.5,3200,3295,3250,3250,3250
"10467","New York","NY","New York","Bronx",10,,,,,,,,,,,,1425,1400,1400,1400,1400,1400,1350,1400,1397.5,1400,1400,1400,1450,1400,1450,1395,1475,1462.5,1400,1450,1450,1460,1500,1500,1500,1490,1475,1450,1450,1450,1450,1450,1450,1462.5,1400,1450,1450,1450,1430,1450,1500,1500,1500,1500,1500,1500,1500,1530,1500,1500,1515,1500,1500,1500,1550,1550,1600,1575,1583.5,1600,1595,1650,1600,1650,1650,1650,1650,1671.5,1695,1695,1700,1750,1750,1700,1700,1795,1799,1750,1750,1800,1800,1775,1800,1800
"60640","Chicago","IL","Chicago","Cook",11,,,,,,1300,1295,1302.5,1305,1395,1305,1325,1350,1350,1310,1350,1395,1395,1350,1395,1395,1400,1450,1495,1495,1477.5,1450,1450,1450,1425,1402.5,1400,1450,1500,1500,1500,1520,1495,1475,1475,1495,1475,1495,1495,1500,1500,1525,1550,1560,1499.5,1500,1495,1497.5,1500,1470,1500,1550,1500,1550,1595,1600,1555,1505,1500,1545,1525,1595,1550,1585,1595,1535,1550,1595,1550,1500,1542.5,1600,1600,1695,1650,1650,1600,1600,1625,1600,1585,1550,1550,1600,1650,1650,1670,1650,1650,1650
"77449","Katy","TX","Houston","Harris",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.5,1175,1310,1305,1310,1360,1399,1355,1414,1414,1360,1450,1450,1445,1310,1360,1360
"94109","San Francisco","CA","San Francisco","San Francisco",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3997,3826,4080,4282,4400,4500,4500,4450,4625,4650,4700,4700,4675,4600,4500,4600,4550,4650,4600,4600,4600,4700,4650,4700,4690,4750,4650,4672.5,4650,4800,4775,4800,4775,4750,4650,4662.5,4800,4700,4625,4600,4650,4547.5,4650,4485,4597.5,4700,4650,4699,4472.5,4425,4400,4295,4352.5,4400,4400,4495,4500,4375,4195,4325,4425,4495,4500,4500,4400,4445,4650
"11226","New York","NY","New York","Kings",14,,,,,,,,,,1575,1550,1550,1550,1500,1500,1562.5,1625,1500,1499,1500,1500,1600,1572.5,1600,1600,1600,1550,1550,1599,1500,1650,1650,1700,1708,1700,1750,1800,1800,1700,1750,1800,1800,1799.5,1800,1800,1850,1900,1900,1900,1900,1875,1850,1899,1899,1900,1900,1950,1950,1975,2000,2000,2099,2000,2000,1999,1975,1995,2000,2000,2100,2100,2000,2100,2250,2150,1975,1995,1950,1975,1997,1999.5,2000,2000,2150,2125,2099,2043,1995,2075,2100,2100,2100,2100,2154,2215
"10016","New York","NY","New York","New York",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4650,4595,4502.5,4599,4599,4500,4458,4566.5,4700,4500,4500,4295,4295,4300,4295,4400,4500,4395,4495,4295,4200,4295,4250,4121.5,4295,4300,4295,4200,4200,4200,4250,4250,4250,4300,4250,4143,4197.5,4250,4300,4220.5,4295,4350,4500,4295,4300,4495,4200,4200
