"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"10025","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,,,,,,3400,3072.5,3500,3580,3520,3276,3300,3472.5,3400,3335,3300,3400,3500,3650,3500,3450,3347.5,3300,3300,3400,3500,3500,3400,3325,3500,3450,3450,3450,3475,3350,3375,3402.5,3325,3267,3375,3400,3400,3405,3402.5,3500,3500,3500,3400,3400,3500,3500,3350,3400,3405,3500,3500,3550,3570,3550,3500,3500,3402.5,3500,3500,3500,3405,3500,3500,3405,3500,3402.5,3325,3400,3402.5,3297.5,3297.5,3500,3405,3400,3405,3500,3500,3500,3500,3500,3500,3500,3405,3500,3500,3500,3402.5,3500,3405,3452.5,3500,3525,3525,3550,3500,3405,3500,3500,3500,3500
"10023","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,,,,,,3400,3295,3155,3205,3195,3400,3800,3641.5,3825,3441,3734.5,3800,3500,3500,3553,3800,3900,4025,3975,3750,3450,3425,3450,3350,3310,3115,3300,3350,3150,3175,3217,3174.5,3090,3050,2862.5,2893,2900,2998,3200,3150,3043,3046.5,3300,3233.5,3250,3150,3175,3080,3000,3043,2986.5,3050,3297.5,3300,3295,3147.5,3114.5,3175,3104.5,3100,3080,3046.5,3150,3150,3061.5,3200,3021.5,3115,3150,3150,3043,3097.5,3043,3059,2975,3000,3100,3061.5,3000,3021.5,3115,3200,3150,3125,3080,3080,2999,2950,3100,3043,3000,3272.5,3250,3297.5,3217,3150,3000,3000,3250,3090,3080,3180,3300,3297.5,3300,3150
"77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2000,2100,2100,2150,2150,2100,2150,2100,2100,2100,2100,2100,2200,2299.5,2190,2295,2300,2200,2200,2250,2276.5,2250,2250,2300,2250,2250,2300,2300,2212.5,2200,2200,2200,2150,2100,2150,2200,2112.5,2200,2137.5,2050,2250,2100,1950,2100,1998,2000,2000,2037.5,2000,2075,2100,2100,2200,2325,2250,2200,2150,2150,2100,2150,2175,2100,2100,2050,2045,2000,2100,2100,2000,2100,2150,2100,2150,2100,2100,2100,2150,2162.5,2200,2200
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",4,,,,,,,,,,,,1285,1200,1200,1250,1200,1200,1200,1200,1200,1200,1195,1200,1200,1200,1250,1250,1300,1250,1250,1295,1287.5,1250,1275,1295,1250,1200,1300,1300,1350,1350,1325,1400,1400,1397.5,1400,1400,1350,1324,1300,1349.5,1395,1375,1400,1400,1400,1400,1400,1400,1400,1400,1425,1475,1475,1475,1450,1450,1450,1475,1450,1450,1450,1450,1450,1480,1450,1475,1495,1450,1434,1450,1450,1400,1400,1400,1400,1400,1425,1425,1445,1427.5,1450,1425,1450,1450,1475,1495,1475,1475,1500,1550,1525,1500,1500,1500,1500,1500,1500,1500,1500,1525,1549,1525,1550,1525,1550,1527.5,1550,1550
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1135,1100,1200,1164.5,1211.5,1400,1250,1450,1472.5,1372.5,1325,1350,1325,1340,1300,1350,1350,1350,1395,1400,1397.5,1375,1400,1397.5,1390,1400,1400,1400,1400,1450,1475,1445,1445,1400,1400,1400,1400,1412.5,1450,1450,1450,1450,1450,1450,1400,1449.5,1400,1400,1400,1400,1400,1450,1450,1450,1475,1480,1490,1450,1450,1450,1450,1450,1450,1500,1500,1500,1495,1500,1500,1500,1500,1500,1500,1500,1500,1550,1550,1500,1500,1500,1550,1500,1500,1500
"79936","El Paso","TX","El Paso","El Paso County",6,,,,,,,,,,,,,,,1100,1100,1050,1050,1000,1012.5,1095,1095,1000,1050,1050,1095,1095,1000,1100,1100,1050,1050,1000,1000,995,975,995,995,995,995,995,1000,1000,1000,995,975,995,980,985,995,995,1000,1000,995,995,995,995,1000,1000,999,995,1000,1050,1037.5,1050,1050,1050,1050,1025,1000,995,1000,1000,1037.5,1010,1000,999.5,1025,995,995,999,975,975,995,995,1050,1050,1022.5,1050,1075,1050,1045,1000,1000,1000,1000,995,1025,1025,1050,1075,1050,1050,1012.5,1050,1050,1050,1027.5,1000,1045,1085,1100,1100,1100,1100,1100,1095,1095,1095
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089,1020,1200,1275,1300,1249,1300,1300,1300,1295,1295,1285,1295,1312.5,1350,1295,1320,1354.5,1375,1350,1375,1375,1335,1350,1350,1350,1350,1375,1387.5,1450,1450,1450,1450,1495,1495,1450,1450,1425,1354.5,1400,1405,1475,1450,1425,1415,1450,1375,1500,1550,1550,1595,1550,1595,1595,1595,1595,1555,1550,1600,1600,1600,1612.5,1650,1695,1650,1675,1690,1650,1645,1603.5,1650,1650,1650,1695,1700,1700,1700,1700,1695,1675,1665,1695,1700
"10016","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,3035,2995,3141,3000,2995,2950,3020,3250,3400,3295,3297.5,3195,3095,3090,3100,3195,3195,3195,3200,3250,3295,3271,3250,3291,3253,3295,3295,3298,3200,3300,3300,3380,3325,3475,3402.5,3390,3400,3400,3485,3400,3400,3497.5,3532.5,3475,3495,3495,3500,3495,3557.5,3557.5,3612,3645,3624.5,3540,3600,3500,3550,3562.5,3562.5,3575,3550,3575,3650,3624.5,3540,3500,3632.5,3575,3624,3532.5,3632.5,3587.5,3600,3600,3600,3612,3632.5,3625,3625,3512.5,3485,3497.5,3525,3557.5,3540,3475,3475,3497.5,3557.5,3599.5,3599.5,3587.5,3540,3532.5,3540,3497.5,3475,3495,3497.5,3625,3640,3599.5,3624.5,3624,3500,3500
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1250,1250,1250,1200,1212.5,1300,1325,1325,1295,1345,1300,1300,1300,1347.5,1395,1375,1362.5,1395,1395,1395,1395,1395,1395,1395,1462.5,1400,1395,1397.5,1395,1399,1425,1410,1399,1449,1495,1450,1495,1424.5,1495,1495,1495,1495,1495,1500,1525,1512.5,1550,1575,1600,1595,1550,1545,1550,1562.5,1595,1595,1640,1672.5,1650,1657.5,1640,1595,1570,1599,1610,1650,1650,1695,1700,1727.5,1750,1725,1697.5,1697,1695,1675
"11201","New York","NY","New York-Newark-Jersey City","Kings County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3020,3042,3024,3050,3037.5,3050,3050,3024.5,3107.5,3117.5,3059,3059,3024,3020,3042,3132.5,3025,3203.5,3097.5,3090,3090,3024,3020,3020,3022,3024.5,3024,3097.5,3097.5,3132.5,3145,3080,3024.5,3024.5,3024,3022
"11235","New York","NY","New York-Newark-Jersey City","Kings County",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1925,1737.5,1800,1975,2200,2100,2000,2100,2000,1900,1900,2000,2100,2365,2290,2300,2200,2100,2290,2290,1900,2172.5,2150,2075,2087.5,2045,2100,2200,2200,2100,2200,2200,2200,2200,2075,2100,2275,2200,2200,2200,2099,2375,2300,2300,2237.5,2150,2200,2200,2250,2400,2350,2100,2300,2150,1900,1912.5,2150,2200,2150,2350,2500,2500,2500,2237.5,2200
