"RegionID","RegionName","City","State","Metro","CountyName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
97564,"94109","San Francisco","CA","San Francisco","San Francisco",1,198395,202092,204344,205554,207524,210974,212538,214701,217008,219472,221162,222939,223829,225797,228943,232369,235649,238365,241533,244740,247630,250663,253355,255814,259623,263109,266110,270210,273540,275159,278633,285206,291475,295098,294973,294943,298676,305004,309806,314390,318097,321507,327167,336102,345874,356888,371364,386361,395477,401415,410284,418296,425013,435068,445569,449773,450783,451316,450819,448702,445519,440708,434617,429471,427792,423662,414541,405243,401030,401116,402684,402933,402667,404262,405738,405253,404351,407384,411213,411575,408507,407889,412303,417181,417363,415495,415451,419118,423218,424459,426807,433378,443438,453923,460717,463356,468627,475847,482796,488004,492275,498380,505474,510159,513244,517449,524513,538133,554515,564360,569623,575266,580941,587136,592346,593904,595196,593316,586765,579820,576880,575043,573114,572237,575469,574228,570792,572540,575765,575541,575754,577842,577461,580909,588578,596960,600335,602362,605020,608504,606968,601016,593447,585533,582193,579572,571641,562900,559079,557695,555920,553385,552712,554325,553371,549518,545165,538662,534121,527032,514726,505806,505991,507080,508144,510517,512094,507508,501185,507232,519605,525168,527445,525936,517345,509858,504594,499773,499030,502429,498502,486738,476006,474688,477439,480385,481881,483773,486636,489351,493299,500276,512103,518869,519659,523201,532522,542151,551122,557597,561783,565659,569267,576189,585187,600209,621328,638289,647610,658446,667442,671745,677083,685522,695410,704133,714034,722894,728964,733307,733973,730928,735002,748645,760664,769348,780002,792358,801907,809964,818765,826118,829929,833192,835570,835481,837442,843219,845541,842842,837481,826767,810419,797551,793316,792950,793169,796544,798663,798886,800518,805275,812944,821476,826574,831172,838048,847178,857760,861687,860561,861684,865468,868015
66126,"20002","Washington","DC","Washington","District of Columbia",2,86770,88235,89814,90564,90540,89736,88540,87073,86345,85829,84438,82834,81724,80178,77716,75836,75365,76108,76409,76171,76143,76807,77242,77436,77645,77769,77160,76087,74857,73235,71889,71656,72988,75015,77453,78779,79879,81128,83290,86294,89751,92343,95182,98111,99925,101259,102961,104277,104307,103464,102651,102874,103389,103943,104130,104955,106378,107752,108333,109825,112458,115340,118617,122169,125522,128748,132772,136932,141419,145711,149712,153464,156784,160141,163999,167020,169817,172920,174785,175984,177971,180116,181543,182168,183685,187169,190880,194078,197189,200738,205853,212687,218699,222921,226860,231712,236867,242256,248232,254115,259744,266987,273765,276775,276732,278175,281980,286626,289590,291270,292518,294464,297001,299555,302740,306187,309843,312566,315481,319275,323517,325721,326263,325232,322821,320010,317169,313679,309657,306974,306071,305617,305267,305407,306159,307065,306808,304711,302317,300818,301035,302207,302205,301143,299974,298491,296857,295895,295608,295867,295637,294619,293763,293298,292417,291043,289396,287898,286055,284089,283056,282644,281663,280849,281106,281740,281778,281393,280774,280476,281114,281981,282372,283093,284367,286483,288888,290677,291483,292370,293322,293086,291910,291505,290758,288206,287818,290630,293210,293044,293035,293515,294252,295444,297119,297798,298206,299097,300073,300474,299870,300156,301665,302619,303371,304948,306386,308348,311706,315439,317176,316201,314413,313679,313635,314267,317393,323285,328281,330334,331447,333345,335744,338752,341667,344103,346660,350303,352547,352908,353277,354833,357652,360939,362697,362392,361271,359984,358729,357982,357818,357866,358490,359612,360322,361950,364650,367327,370662,374098,376586,378529,380000,380043,380570,382007,383668,384496,383594,382258,382812,384664,385691,386083
96027,"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,100092,100967,101533,103751,107287,107626,105615,104920,107338,111190,115476,118735,122268,125466,128067,130233,133542,137629,141590,144572,147290,149242,149047,147442,146142,147086,149307,149619,147408,148216,154024,160425,163152,164330,167109,171698,176117,180008,182687,184872,187255,190736,193746,195766,197914,201296,205712,209771,212367,214499,217941,223353,229201,233253,236648,242034,247309,252313,258312,264878,269471,275577,282757,287364,289650,293980,296973,298075,301745,309657,318098,325126,334430,342229,352210,368971,388345,399110,405637,413612,423883,432407,438662,444743,450005,454956,458274,459057,459987,464547,469513,469236,465647,463014,460806,460181,462897,466267,467165,467359,468350,470752,472759,473189,473289,473238,471743,469202,466171,461898,458776,455195,453025,450836,450316,452667,454062,450358,448806,449593,448263,445085,440397,434365,426987,419061,413113,410259,408940,408689,409919,411124,411329,410827,409000,405888,402918,401245,401032,401502,403329,400233,391579,384826,383080,381125,378470,376958,373787,368161,360238,354072,348328,344898,341911,338429,334078,331660,329938,326792,322467,319121,317181,315204,313321,311603,309000,305967,304511,303583,302572,303594,306996,310704,312655,312335,312816,316772,322280,325734,326827,329528,337844,348327,357592,365997,374259,380730,384180,386739,391621,397794,401639,403265,402711,402412,404814,408317,410680,412570,414831,417301,419885,422348,425514,429641,432909,436099,440933,447574,454246,458964,461970,463254,462144,461473,463121,465247,466429,466573,466454,467012,469237,472329,473997,475136,481452,492717,504106,511697,515849,518126,518778,518339,517344,518075,521903,530238,540127,547363,551951,555374,557377
66133,"20009","Washington","DC","Washington","District of Columbia",4,91475,91341,91164,91104,91433,91907,92246,92567,93025,93311,93230,92905,92558,92361,92744,93521,94081,94028,93970,94352,95250,96408,97310,97682,98198,99066,99872,100370,100921,102071,103582,104803,105810,106984,108288,109830,111566,113177,114674,116417,117891,118790,119759,121267,123040,124955,127254,129773,132338,134913,137332,139407,141115,142344,142984,143570,144689,146320,148259,150716,153811,157199,160570,164570,169854,175057,179564,183901,188206,192245,196129,199125,201401,204256,208167,211730,215066,219215,223986,229309,235130,240343,244366,247704,251251,255628,259599,261993,263243,265265,268569,272130,276054,280913,286492,292568,298873,304752,310825,317157,323702,331440,339369,345008,347988,350160,353377,358271,361516,360155,357951,359060,361404,362135,362122,362614,362985,363019,362301,361433,361176,361709,361499,359977,357669,355314,352628,349707,347470,346592,346371,345919,345590,345875,346225,345778,344860,344023,343798,343441,343325,343287,342362,340404,338593,337437,336990,336848,336204,335292,334523,334060,333752,333480,333277,332801,331898,331108,330979,331188,331897,332330,332729,333844,335705,337059,337859,338249,338510,339288,340941,342804,343954,344456,344455,344760,344912,344601,343792,343208,343080,342400,339557,335792,333454,332943,332941,332354,332099,332733,333806,335003,336909,339062,341022,343444,346175,348818,351789,355165,357549,359176,360492,362258,364246,366563,368957,371691,374593,377535,379044,379822,380462,380966,381960,384568,386891,387835,388186,388172,387440,386188,385495,384889,385021,386654,389582,391286,392248,393843,396272,398200,399831,401807,403370,403736,402969,401526,400296,400502,401585,402556,403050,403160,403146,402545,402883,404944,406979,407382,407443,407185,406944,407374,409095,411186,411898,411064,410120,410361,411678,413213,413973,414276
60545,"07030","Hoboken","NJ","New York","Hudson",5,109332,108916,108806,109353,110227,111581,113416,115501,116918,117911,119069,120644,121985,123227,124363,125312,125663,125585,125805,126680,127849,129190,130542,131761,133193,135427,137836,139798,141690,143666,145153,146325,147818,149327,150969,152790,154705,156450,158678,160966,163169,165163,167251,169762,172973,176008,178295,180079,182010,183781,185306,186979,189437,192214,195120,197717,200152,202698,205900,209927,214397,218533,222312,226101,229449,232336,235571,238386,240389,242292,244258,245455,246532,247988,249981,251459,252365,253477,254840,255984,257344,258938,260759,263011,264576,264872,264963,265256,265553,267107,270223,273652,276274,278533,280265,282063,285152,289493,294164,300792,308597,315000,319641,325319,332132,338774,345143,352372,359427,366510,373040,378723,384791,391216,394979,396694,399075,403410,408291,411931,413718,414226,413819,412465,409893,406415,403591,401825,400485,398986,397924,396688,395447,394716,394953,395234,395446,395834,396474,396555,395856,394185,391703,389675,388748,387779,385808,382717,379266,376476,374251,371635,368612,365129,361539,358182,354253,349539,345709,342851,341682,342170,343308,343109,342204,341822,343388,345924,347247,347696,348682,349390,346467,341448,337748,336958,336427,335021,332707,330180,329622,329691,327784,325971,326339,326603,325484,324208,324282,326364,328230,328725,328759,330090,332277,334168,336027,338513,342018,346719,351576,355263,357271,358203,360515,365454,371248,376131,381177,385545,388646,389877,390595,392118,395909,400039,402304,402158,401572,401911,402827,404459,406985,408969,410668,412193,413296,414197,414941,416960,421269,425791,428715,431880,434605,437146,439707,441975,443575,446453,450153,451986,453398,457257,461539,463931,465933,470133,477410,484063,488103,493740,501634,509244,513956,516996,520849,526667,532048,535513,535130,535164,540454,546895
72463,"33160","Sunny Isles Beach","FL","Miami-Fort Lauderdale","Miami-Dade",6,60059,59631,59763,60019,59997,59856,60067,60428,60494,60351,60019,59392,58997,58877,58605,58157,57865,57624,57234,56774,56880,57484,57972,58106,58220,58083,57619,57228,57285,57707,58169,58597,58639,58191,57866,58048,58549,59485,60559,61267,61648,61960,62285,62599,63122,64048,64966,65623,66220,66759,67145,67586,68057,68444,68732,69318,70365,71529,72369,73050,73755,74677,75736,77013,78409,79700,81019,82770,84697,86622,88363,89887,91405,93245,95156,96997,98867,100981,102992,104942,107292,109676,111964,115178,119421,122586,125038,128099,130988,132920,135141,136942,138049,139902,143038,145795,147732,149677,152276,155058,157973,161936,166891,171963,176878,181583,186499,191256,195067,199518,205185,210043,214604,219803,223974,226833,230217,234491,238763,242731,246661,250220,253134,254830,255956,255633,254341,253133,251998,249315,244978,239200,233210,228682,225351,222367,218658,214003,208738,202674,195184,186587,178929,173219,167870,160852,153017,146691,142340,138497,134198,129716,125657,122158,118659,114461,110081,105819,102537,100456,98778,97734,96809,95911,95143,94911,94103,94318,95891,97201,96816,95546,93689,91361,89894,89240,88671,88126,88479,88842,88644,88645,89144,89286,89540,90721,92645,94976,97676,99726,101026,102265,103868,106346,109422,111924,113810,115431,117247,119669,122108,124326,126551,128099,129001,130395,132377,134501,136353,137929,139280,140720,142155,144716,147815,150394,152335,154918,157444,159593,161530,163535,164413,164774,165211,165101,164920,166032,168545,170802,172054,173064,174274,174688,174262,172810,170922,169771,170523,172000,172229,171225,170994,172121,173618,175298,177423,179482,180884,181573,181192,180543,180913,181396,181101,180754,180694,179828,178724,177631,178014,179494,180115,179460
97711,"94501","Alameda","CA","San Francisco","Alameda",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183905,186083,187483,189184,190564,190893,190148,190945,192946,194122,193933,194980,195216,195570,197844,201794,205054,207365,208609,209057,209976,212272,216258,220308,224689,228636,231221,232906,235557,239187,243720,247519,248527,246131,242462,239167,236619,234435,233355,234582,237036,239734,242898,247042,251002,254166,257684,262837,268467,273113,277586,282628,288734,295138,301246,307029,313042,319119,327503,338290,350061,359911,367646,371751,372610,371084,369693,368934,368510,367593,365746,361940,357182,352935,350941,349601,348377,348780,350237,349909,349143,348478,345412,341475,336779,332581,326861,318650,311636,310170,308599,302424,295304,291023,285728,278203,272022,267399,264195,262350,261257,260461,260012,258192,255499,251805,248107,245528,244557,246634,248261,250144,249639,243676,235816,232655,229632,225772,224189,223913,221854,216579,211420,209224,209137,208180,205921,204679,204283,203341,200942,198754,196889,196089,193954,190542,187551,186148,184355,182250,180819,180996,182190,183538,184394,184792,186804,190490,194012,198695,206492,212863,216139,219600,225136,230363,238294,249706,258504,258807,255885,253644,253900,260198,271721,281345,287197,292254,294986,296235,299862,305320,310385,314673,318999,324445,330721,335704,339736,343573,347982,350481,352788,356787,364429,372303,378108,380731,383302,385957,387831,388525,387922,386201,386122,388742,392698,398018,404063,407153,409119,412572,417852,426169,435527,442360,449427,458489,467403,475143,481618,482188,479731
90795,"75243","Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,35010,34930,34776,34654,34212,33618,33501,32943,31941,31017,31281,32091,32762,33737,34772,34458,34214,35046,35374,35028,34603,34977,36032,36214,34963,34220,34648,35016,35421,36440,37429,38308,38105,36621,35223,35178,36021,36441,35761,35268,34999,34839,36155,37500,37564,37354,38202,39804,40181,38816,38941,40548,40710,40677,40964,40572,40346,41256,42057,41076,39931,38713,37360,35787,36005,36403,36558,36107,36927,38651,39827,39020,38481,39605,41435,41225,39913,39093,38552,37690,38019,40355,41479,41630,42679,44045,44704,45738,46067,45226,45089,46080,46169,43779,41912,42207,42039,42642,43281,45178,47596,49659,48906,49702,50980,51171,51093,52403,54525,56326,56357,55390,54757,53663,51661,51048,51156,49506,47752,47188,46816,46137,46978,48551,49264,49695,50308,49470,47565,48402,50413,52179,54127,55087,52664,50250,50252,51936,53140,52532,51508,51325,51718,51772,51528,51233,51601,51631,50974,51326,53830,56049,57104,58186,58076,56498,55505,55254,55159,55248,55564,53654,51669,52160,53670,52974,52626,52629,51755,50565,50435,51009,51062,50126,49342,50382,52770,53998,54051,54159,54331,54277,54565,54790,55333,56565,57738,58229,58636,59374,60186,60809,61349,61886,62416,60727,58071,58437,60430,59367,56845,55581,54501,53743,53864,53518,52363,53411,55173,54260,52258,51415,50342,49365,48688,48259,47663,47717,49035,49423,47987,47988,50180,51535,51630,51727,52298,53588,54035,53785,54413,56434,58023,58839,57406,55833,55400,56688,57635,56614,55158,55259,55598,55564,57197,58663,58487,56946,56643,56574,58324,60215,61768,63034,64828
97565,"94110","San Francisco","CA","San Francisco","San Francisco",9,183212,182269,182103,183113,184316,185298,185871,186471,187679,189736,193100,196641,198832,202975,209181,214390,217743,219585,221681,225755,230461,233245,234334,235652,238987,244088,248025,249553,250697,255012,262188,269809,275615,280157,284375,288772,293891,299166,304885,312994,323206,333267,342352,351704,362890,375833,388627,398677,405987,413890,422736,430295,435951,439781,440731,440377,441190,442597,442675,441044,437636,428763,415773,404991,398511,393975,391634,391145,391495,392865,395389,399531,405517,411943,418533,426749,433519,435785,435542,435815,434896,433457,433222,434591,434363,433099,432961,435161,437976,442356,447862,454293,463011,473686,483796,492951,504511,517585,531816,543609,555083,568830,583688,592671,598747,604102,607397,608215,610020,613724,619071,623478,625699,627482,629389,630967,633510,634890,633270,632473,633378,634079,634786,635582,636034,635399,634211,634581,635919,636966,639390,644565,648702,651111,651577,649681,645508,641444,638081,634302,626658,617848,611988,606869,603431,603195,600054,593830,589969,588787,587758,587309,587490,588382,588450,586862,583048,578412,575446,573964,571641,568770,566868,564154,563202,564350,565073,560932,557056,556041,554347,549604,546512,543298,539148,538282,539067,537536,533279,530313,527649,523869,520724,521895,524349,526835,528174,528199,527912,530388,536415,545136,552974,558710,566426,577919,590921,603390,616009,626595,634682,639508,645485,654321,662905,669415,678499,688174,694397,698674,704330,712340,723884,735994,747796,759850,777520,796728,813512,827273,839871,849739,860417,870511,875359,879763,887828,900252,906649,907590,910276,919662,928345,931467,928169,927688,932310,936108,935420,930714,923760,918888,915030,906972,900012,901952,909181,918609,927261,937277,948018,958079,968681,984428,993454,994481,994278,997334,1002043,1002741,999275,1000403,1003575,1003707
72578,"33411","Royal Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",10,30357,30412,30301,30134,30117,30138,30367,29936,28550,27610,27823,28016,28084,28181,28156,28107,28245,28304,28278,28434,28653,28529,28013,27662,27688,27950,28207,28250,28188,28053,27789,27882,28375,28588,28656,29148,29420,29471,29649,29953,29883,30099,30551,30796,30711,30742,30678,30476,30443,30693,30965,31121,31575,32218,32827,33306,34450,36286,37865,38625,38896,38816,38785,39190,39652,40061,40417,40718,40726,40628,40744,40991,41273,41516,42016,42480,42783,43062,43655,44663,46067,47149,47739,48317,48864,49207,49417,49845,50422,50930,51382,52090,52449,52398,52552,53860,55984,58123,59941,62091,64239,66167,68190,70259,73071,76694,80393,82600,84231,87110,92002,96273,98968,100595,101772,103044,104619,106309,107866,109642,111398,112903,114261,115428,115518,114251,113251,112250,111126,110087,109370,107530,104557,101363,98327,95158,93729,93885,92953,90353,87370,84595,82342,80392,78670,76420,72631,68634,65598,62899,60176,57736,55441,52961,50360,47736,45008,42266,39512,37186,35662,34919,34449,34348,33773,32998,32277,31917,32282,32792,32336,31368,30378,29224,28414,27752,27207,26693,26117,25718,25311,24905,25380,26670,27394,27606,27554,27242,26996,27159,27413,27480,27284,27356,27810,27958,27967,28077,28099,28081,28359,28444,28653,29024,29366,29733,30201,30319,30308,30746,31909,33337,34599,35774,37066,38127,39119,40365,42217,43341,43330,42904,43235,43775,44279,44848,44833,45099,45526,45829,46127,48067,50373,52527,53069,52896,53039,54008,55171,55717,56409,57054,56161,55837,57840,59317,59370,59726,60198,60616,61161,61625,61861,61842,61710,61219,61095,61758,62736,63644,64318,64060,64029,64571
