"Region","RegionName","State","ForecastYoYPctChange","MSAName","CountyName","CityName"
"National","United States","US",4.15331751460737,NA,NA,NA
"MSA","Abilene, TX","TX",3.62463148074755,"Abilene, TX",NA,NA
"MSA","Akron, OH","OH",3.0224833803762,"Akron, OH",NA,NA
"MSA","Albany, GA","GA",1.73493117038938,"Albany, GA",NA,NA
"MSA","Albany, NY","NY",2.57339607142305,"Albany, NY",NA,NA
"MSA","Albuquerque, NM","NM",1.83737633701792,"Albuquerque, NM",NA,NA
"MSA","Alexandria, LA","LA",1.91855774611513,"Alexandria, LA",NA,NA
"MSA","Allentown, PA","PA",3.33674165613204,"Allentown, PA",NA,NA
"MSA","Altoona, PA","PA",0.986670391251757,"Altoona, PA",NA,NA
"MSA","Ames, IA","IA",2.78592802963591,"Ames, IA",NA,NA
"MSA","Anchorage, AK","AK",3.6554084216795,"Anchorage, AK",NA,NA
"MSA","Ann Arbor, MI","MI",3.12476503684564,"Ann Arbor, MI",NA,NA
"MSA","Appleton, WI","WI",4.02478458833855,"Appleton, WI",NA,NA
"MSA","Asheville, NC","NC",1.855548704436,"Asheville, NC",NA,NA
"MSA","Athens, GA","GA",3.15496042295784,"Athens, GA",NA,NA
"MSA","Atlanta, GA","GA",5.60238144016599,"Atlanta, GA",NA,NA
"MSA","Atlantic City, NJ","NJ",1.83287251035243,"Atlantic City, NJ",NA,NA
"MSA","Auburn, AL","AL",3.19504448629343,"Auburn, AL",NA,NA
"MSA","Augusta, GA","GA",2.89019422835477,"Augusta, GA",NA,NA
"MSA","Austin, TX","TX",3.55414863434796,"Austin, TX",NA,NA
"MSA","Bakersfield, CA","CA",5.88362399845547,"Bakersfield, CA",NA,NA
"MSA","Baltimore, MD","MD",4.23859748334651,"Baltimore, MD",NA,NA
"MSA","Bangor, ME","ME",2.7269222085276,"Bangor, ME",NA,NA
"MSA","Cape Cod, MA","MA",3.12557329036741,"Cape Cod, MA",NA,NA
"MSA","Baton Rouge, LA","LA",2.13273012469713,"Baton Rouge, LA",NA,NA
"MSA","Battle Creek, MI","MI",5.26032520340853,"Battle Creek, MI",NA,NA
"MSA","Bay City, MI","MI",3.9000911492354,"Bay City, MI",NA,NA
"MSA","Beaumont, TX","TX",3.48787138333685,"Beaumont, TX",NA,NA
"MSA","Bend, OR","OR",0.353222659873794,"Bend, OR",NA,NA
"MSA","Billings, MT","MT",4.16264034110817,"Billings, MT",NA,NA
"MSA","Binghamton, NY","NY",4.95085799609996,"Binghamton, NY",NA,NA
"MSA","Birmingham, AL","AL",4.31946835256378,"Birmingham, AL",NA,NA
"MSA","Bismarck, ND","ND",2.64455615848882,"Bismarck, ND",NA,NA
"MSA","Blacksburg, VA","VA",3.25215505611769,"Blacksburg, VA",NA,NA
"MSA","Bloomington, IN","IN",5.71108453765174,"Bloomington, IN",NA,NA
"MSA","Boise City, ID","ID",5.07826142998268,"Boise City, ID",NA,NA
"MSA","Boston, MA","MA",3.93930053830688,"Boston, MA",NA,NA
"MSA","Boulder, CO","CO",1.64420710344618,"Boulder, CO",NA,NA
"MSA","Bowling Green, KY","KY",2.26733160842358,"Bowling Green, KY",NA,NA
"MSA","Bremerton, WA","WA",4.34496172531238,"Bremerton, WA",NA,NA
"MSA","Stamford, CT","CT",1.39754903316855,"Stamford, CT",NA,NA
"MSA","Brownsville, TX","TX",3.90937986713749,"Brownsville, TX",NA,NA
"MSA","Brunswick, GA","GA",1.92566445352196,"Brunswick, GA",NA,NA
"MSA","Buffalo, NY","NY",3.4530785286674,"Buffalo, NY",NA,NA
"MSA","Burlington, NC","NC",3.57157338590621,"Burlington, NC",NA,NA
"MSA","Burlington, VT","VT",1.9622665551553,"Burlington, VT",NA,NA
"MSA","Canton, OH","OH",4.24426773427274,"Canton, OH",NA,NA
"MSA","Fort Myers, FL","FL",3.6230810560651,"Fort Myers, FL",NA,NA
"MSA","Cape Girardeau, MO","MO",3.43101428870052,"Cape Girardeau, MO",NA,NA
"MSA","Carson City, NV","NV",4.55678384335415,"Carson City, NV",NA,NA
"MSA","Casper, WY","WY",3.71323934218581,"Casper, WY",NA,NA
"MSA","Cedar Rapids, IA","IA",4.04880456345181,"Cedar Rapids, IA",NA,NA
"MSA","Champaign-Urbana, IL","IL",2.9958076923131,"Champaign-Urbana, IL",NA,NA
"MSA","Charleston, WV","WV",3.02160377015984,"Charleston, WV",NA,NA
"MSA","Charleston, SC","SC",3.79596425611361,"Charleston, SC",NA,NA
"MSA","Charlotte, NC","NC",4.23532413808211,"Charlotte, NC",NA,NA
"MSA","Charlottesville, VA","VA",3.61745777859456,"Charlottesville, VA",NA,NA
"MSA","Chattanooga, TN","TN",4.40345658706046,"Chattanooga, TN",NA,NA
"MSA","Cheyenne, WY","WY",3.03128425586941,"Cheyenne, WY",NA,NA
"MSA","Chicago, IL","IL",3.82986166175514,"Chicago, IL",NA,NA
"MSA","Chico, CA","CA",3.4224101009068,"Chico, CA",NA,NA
"MSA","Cincinnati, OH","OH",2.88929537756583,"Cincinnati, OH",NA,NA
"MSA","Clarksville, TN","TN",4.56758479211716,"Clarksville, TN",NA,NA
"MSA","Cleveland, TN","TN",3.35893611579249,"Cleveland, TN",NA,NA
"MSA","Cleveland, OH","OH",2.83974398515068,"Cleveland, OH",NA,NA
"MSA","College Station, TX","TX",4.37876001061009,"College Station, TX",NA,NA
"MSA","Colorado Springs, CO","CO",4.26872696256775,"Colorado Springs, CO",NA,NA
"MSA","Columbia, MO","MO",3.60308091975411,"Columbia, MO",NA,NA
"MSA","Columbia, SC","SC",3.92922231561696,"Columbia, SC",NA,NA
"MSA","Columbus, GA","GA",5.51853313679241,"Columbus, GA",NA,NA
"MSA","Columbus, IN","IN",2.56466728253672,"Columbus, IN",NA,NA
"MSA","Columbus, OH","OH",3.25260136771295,"Columbus, OH",NA,NA
"MSA","Corvallis, OR","OR",1.90261836433513,"Corvallis, OR",NA,NA
"MSA","Cumberland, MD","MD",2.41170505820509,"Cumberland, MD",NA,NA
"MSA","Dallas-Fort Worth, TX","TX",5.60667969205731,"Dallas-Fort Worth, TX",NA,NA
"MSA","Dalton, GA","GA",2.57888924086705,"Dalton, GA",NA,NA
"MSA","Danville, IL","IL",2.48440952657868,"Danville, IL",NA,NA
"MSA","Danville, VA","VA",2.56572019769324,"Danville, VA",NA,NA
