"RegionID","RegionName","RegionType","SizeRank","ZriForecast","Forecast_YoY_Change","Current_YoY_Change"
102001,"United States","Country",0,1475,0.0193503800967518,0.0269694819020583
394913,"New York, NY","Msa",1,2381,-0.00791666666666668,0.00586756077116513
753899,"Los Angeles-Long Beach-Anaheim, CA","Msa",2,2837,0.0305121685434071,0.0396525679758308
394463,"Chicago, IL","Msa",3,1649,-0.00302297460701328,0.0209876543209877
394514,"Dallas-Fort Worth, TX","Msa",4,1640,0.0211706102117062,0.0235818992989165
394974,"Philadelphia, PA","Msa",5,1586,0.00316255534471854,0.00957854406130276
394692,"Houston, TX","Msa",6,1563,0.003209242618742,0.0103761348897535
395209,"Washington, DC","Msa",7,2157,0.00418994413407825,0.0160832544938505
394856,"Miami-Fort Lauderdale, FL","Msa",8,1910,0.0241286863270778,0.0108401084010841
394347,"Atlanta, GA","Msa",9,1439,0.0300644237652112,0.0448765893792071
394404,"Boston, MA","Msa",10,2465,0.0361496427070198,0.0127713920817369
395057,"San Francisco, CA","Msa",11,3448,0.00818713450292408,0.0205908683974934
394532,"Detroit, MI","Msa",12,1219,0.00910596026490063,0.0315969257045261
395025,"Riverside, CA","Msa",13,1979,0.0498673740053051,0.0710227272727273
394976,"Phoenix, AZ","Msa",14,1406,0.030791788856305,0.0412213740458016
395078,"Seattle, WA","Msa",15,2312,0.0471014492753623,0.0474383301707779
394865,"Minneapolis-St Paul, MN","Msa",16,1690,0.0286062081558125,0.0458306810948441
395056,"San Diego, CA","Msa",17,2610,0.0235294117647058,0.0386965376782078
395121,"St. Louis, MO","Msa",18,1156,0.00521739130434784,0.0114335971855761
395148,"Tampa, FL","Msa",19,1418,0.0297748729121279,0.0207561156412157
394358,"Baltimore, MD","Msa",20,1768,0.0131805157593123,0.0168997668997668
394530,"Denver, CO","Msa",21,2141,0.0423563777994158,0.028542814221332
394982,"Pittsburgh, PA","Msa",22,1078,0.00279069767441853,0.00938967136150226
394998,"Portland, OR","Msa",23,1930,0.0376344086021505,0.0281923714759535
394458,"Charlotte, NC","Msa",24,1327,0.0215550423402617,0.0383693045563549
395045,"Sacramento, CA","Msa",25,1958,0.0572354211663066,0.077370564281559
395055,"San Antonio, TX","Msa",26,1349,0.00297397769516738,0.0150943396226415
394943,"Orlando, FL","Msa",27,1482,0.0277392510402219,0.0322118826055835
394466,"Cincinnati, OH","Msa",28,1322,0.031201248049922,0.0207006369426752
394475,"Cleveland, OH","Msa",29,1155,0.00522193211488253,0.00524934383202091
394735,"Kansas City, MO","Msa",30,1312,0.0234009360374414,0.0223285486443381
394775,"Las Vegas, NV","Msa",31,1331,0.0222734254992321,0.0441058540497192
394492,"Columbus, OH","Msa",32,1348,0.0181268882175227,0.0208172706245182
394705,"Indianapolis, IN","Msa",33,1205,-0.0016570008285004,0.016849199663016
395059,"San Jose, CA","Msa",34,3552,0.0082316207777462,0.0211594202898551
394355,"Austin, TX","Msa",35,1706,0.0118623962040332,-0.00295683027794202
395194,"Virginia Beach, VA","Msa",36,1412,0.00284090909090917,0.00859598853868193
394902,"Nashville, TN","Msa",37,1515,0.0106737825216812,0.0232081911262798
395005,"Providence, RI","Msa",38,1683,0.0114182692307692,0.0439146800501882
394862,"Milwaukee, WI","Msa",39,1349,-0.0131675201170446,0.0262762762762763
394849,"Memphis, TN","Msa",40,1108,0.0183823529411764,0.0421455938697317
394935,"Oklahoma City, OK","Msa",41,1099,-0.000909090909090859,-0.000908265213442339
394807,"Louisville-Jefferson County, KY","Msa",42,1209,0.0125628140703518,0.0382608695652173
394669,"Hartford, CT","Msa",43,1604,0,0.00375469336670831
395022,"Richmond, VA","Msa",44,1416,0.0143266475644699,0.0425690814040329
394910,"New Orleans, LA","Msa",45,1376,-0.00649819494584836,-0.00574300071787504
394425,"Buffalo, NY","Msa",46,1223,0.00575657894736836,0.00164744645799009
395012,"Raleigh, NC","Msa",47,1475,0.0250173731758165,0.0256593014967925
394388,"Birmingham, AL","Msa",48,1046,-0.00759013282732446,0.00764818355640529
395053,"Salt Lake City, UT","Msa",49,1629,0.0238843494657448,0.0685023505708529
395031,"Rochester, NY","Msa",50,1378,-0.0121863799283154,0.000717360114777632
