Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,144.376139445951,131.771595900439,129.661389869904,120.989190116678,107.831687823225,105.999940649037,104.7976011994,102.75558039438101,97.88475614491509,93.5704022988506,97.9615107361502,93.75,93.1644248608534,100.358680057389,105.03619909502301,106.93215339233,114.693501710076,110.951609967472,109.74985974986001,110.800744878957,111.753731343284,111.753731343284,114.8698048925,110.800744878957,97.5,105.19651039830799,99.8333333333333,95.58286131920342,92.76437847866421,99.96583484658441,95.7446808510638,90.02770083102492,97.859522041975,99.96583484658441,110.800744878957,110.800744878957,121.282032995769,126.222538084202,118.652491648998,119.926982185182,120.616684082201,123.62637362637399,133.565621370499,128.236607142857,134.229137199434,139.411690260527,152.127659574468,154.888357256778,156.551910598414,161.95372750642701,161.855670103093,165.41761004081602,161.912479740681,158.52442671984,168.090909090909,178.77296671050598,182.85714285714297,161.912479740681,180.76285240464298,188.953488372093,196.899224806202,206.766917293233,200.956937799043,209.02582159624401,190.936117767526,198.489250435793,218.508997429306,209.932696482848,239.168765743073,234.539330547681,226.33744855967097,211.370262390671,223.665229449235,223.29787234042598,223.29787234042598,226.060606060606,229.129464285714,233.881163084703,234.234234234234,241.78663713547402,233.81050024153802,234.319526627219,234.10692757117698,238.947368421053,241.885964912281,232.79724655819803,236.85580426861,237.72972972973,241.909157407085,262.651672092335,288.288288288288,288.288288288288,281.028341334985,279.921882004842,281.818181818182,291.484451903371,266.12903225806497,255.51684088269502,246.30403896632998
Flagami,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.689087556533,142.32905044552402,148.525900550192,152.008756181831,150.057145685985,150.775862068966,156.438253012048,163.03438836411502,167.32793205464301,160.57201225740602,161.41235813366998,160.15132408575002,168.866721498426,174.86338797814201,167.173252279635,177.86377708978299,180.443289585262,165.123966942149,165.682188074655,174.875,173.553719008264,179.310344827586,167.637762237762,176.267428236673,187.160326086957,194.444444444444,196.694214876033,197.693574958814,192.736900780379,198.888888888889,202.74914089347098,201.425779517444,199.55886092041698,206.438275251034,205.60938992766498,205.60938992766498,205.33642691415298,209.555088456823,215.249662618084,220.01093467942997,223.431498079385,219.92752397067102,220.055710306407,220.437949790427,219.966159052453,218.98490974566602,222.147113802901,225.36025305153197,227.090909090909,222.40092640247002,224.43820224719101,231.94122196442402,234.833659491194
Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.19528939586002,135.973597359736,144.607843137255,147.024574431718,151.719011304822,147.96296296296302,157.15948777648399,161.81364392678898,163.529411764706,167.87054327904,167.016806722689,171.74037909247602,171.53284671532802,172.413793103448,173.18162473992803,179.347826086957,175.33129459735,172.91547438989497,180.210449549409,178.414318579857,181.14992721979598,188.367969058131,187.5,179.282680509674,179.216022554696,180.772391125719,191.17647058823502,193.90136739043203,194.204826386354,194.929797191888,198.62452908514402,200.759631036354,203.021718602455,210.23132926551003,217.851391650099,217.851391650099,216.202783300199,213.114754098361,220.43005485893397,228.158489873089,225.73233773693298,226.13659154724098,229.59402163892503,237.22194760257003,240.71736687413602,244.143503146444,245.25650035137002,244.28179348277197,245.259242371895,243.090540902869,240.160642570281,243.77945700819697,251.25628140703498,252.536476954295,253.554502369668,251.392673143558
Allapattah,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.79409209383098,189.94156928213698,189.94156928213698,189.94156928213698,189.94156928213698,189.034971644612,189.94156928213698,193.270195508021,193.355916892502,193.355916892502,193.355916892502,194.66073414905398,194.66073414905398,195.42841037204101,208.872365549816,197.490576574061,202.44716351501702,223.204464285714,231.592475756514
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.80898876404498,249.640936116382,249.44,251.12309074573201,251.322751322751,260.732683759677,266.063378741596,266.233766233766,273.96404109589,274.285714285714,272.98397571192004,272.60664710152304,270.016565433462,272.98397571192004,276.005547850208,273.083748062332,279.35547683537004,280.05170185265,284.727703235991,286.59611992945304,286.944444444444,291.539360912575,302.593659942363,297.402597402597,300.842358604091,305.126413559847,299.38105700945596,303.37721808815104,302.925640169375,297.709923664122,298.233695652174,295.860766729022,295.579043280182,301.19040665217096,303.078358208955,304.166802758224,314.469914040115,306.763285024155,306.833135049391,305.927468970947,305.896805896806,304.040800313849,304.75815231830796,301.37268763992,303.969761037963,302.074701661227,306.233062330623,309.32098765432096,307.07198984046397,309.868875086266,311.423414493548
Little Haiti,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.307173706163,266.726137377342,279.661016949153,280.702676067565,281.744335185977,261.682242990654,255.18007319477903,257.805530776093,255.18007319477903,254.74006116207997,266.16666666666697,269.53125,262.36881559220404,248.274210186976,249.93333333333302,262.71186440677997
Flamingo Lummus,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,334.365325077399,332.764505119454,317.010105534987,314.112412352281,311.555577531646,302.90448343079896,298.335467349552,298.977682694813,302.95680630278497,298.888888888889,308.87905636094797,296.76724137931,292.93523469994096,307.0,310.993640699523,312.910798122066,329.84349703184,331.211857018309,327.714033539276,334.15996425379797,335.144927536232,347.925033467202,367.01930215293197,375.0,357.228195937873,357.142857142857,360.486891385768,369.394359685622,368.081180811808,369.640216855594,368.168859649123,367.916666666667,369.640216855594,348.648648648649,366.593737180364,375.471698113208,391.750141750142,393.255182859487,395.232924419401,394.2828979793,395.71428571428595,402.245088868101,418.0,417.562724014337,425.487804878049,424.89959839357397,420.279205607477,426.321709786277,437.00840669138705,446.049896049896,440.140845070423,441.176470588235,433.333333333333,441.176470588235,436.580882352941,436.77931034482805,438.44580407545095,439.767441860465,446.426797710223,449.86200551977896,458.563535911602,452.717391304348,446.463033627474,446.50379106992403,451.50385023070197,446.05773619351896,450.54945054945097,455.150309460654,452.76669758812596,458.333333333333,464.32107496463897,464.767616191904,468.20730645669505,466.54099905749297,463.953488372093,466.619915848527,467.22846441947604,467.30988438365097,467.289719626168,463.05737297834196,461.469024926686,461.78571428571405,459.070796460177,458.333333333333,455.450806619397,453.2527693857,452.61727519792,450.187969924812,449.574726609964,447.786580004879,447.420543084163,442.655935613682,446.218980549966,442.6934097421201,442.655935613682,443.92523364485993,441.080038572806,436.507936507937,437.056010928962
Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,299.234693877551,298.44446667467,294.117647058824,291.095890410959,298.473562420456,291.66666666666697,293.548020758769,295.158205430933,300.0,291.82031374307496,299.113082039911,304.545454545455,305.444444444444,328.63849765258203,312.39583333333303,305.882352941176,329.549531705094,324.848484848485,329.17139614074904,325.20325203252,335.961406058752,332.66666666666697,347.003154574133,349.361930076758,335.9375,333.178227360308,345.55712270804,354.49735449735397,364.857655055245,365.764447695684,381.114262758083,393.891559637416,409.00642108820506,390.38477332457296,405.149051490515,410.056476772297,412.998333333333,410.872313527181,410.16548463357003,410.418310970797,417.729591836735,415.976928426306,425.167197620203,431.328036322361,435.916110916111,437.865497076023,442.414104350215,445.235975066785,445.859872611465,449.95499549955,453.63636363636397,457.06371191135696,465.83143507972704,463.585727049788,463.325471698113,466.163240689551,471.412200856346,473.028085181429,482.256596906278,485.01362397820196,475.642786383285,473.95826814034103,472.547254725473,467.86553808470296,460.56910569105696,456.994290502723,464.788732394366,473.919308357349,478.927203065134,476.839237057221,484.27539686744,482.53676470588204,480.0,478.666666666667,471.264367816092,473.017988007995,467.479674796748,467.14519486152494,465.341844675524,465.116279069767,464.87603305785103,465.341844675524,466.75392670157095,467.780429594272,469.74801959558096,464.967899320733,463.496143958869,461.86803770351304,466.97038724373596,469.30875163563104,469.36758893280603,471.140552586224,477.207509829961,477.239353891336,482.516703786192,482.70486457310403,485.294117647059,484.375,486.87089715536104
Hollywood Hills,Hollywood,FL,Miami-Fort Lauderdale,Broward,134.594512778026,131.37480513696102,130.506827441292,124.465049928673,123.793103448276,120.0,112.16187767006201,111.74625191150601,111.049741226837,111.574306198361,112.362714728246,111.76066024759301,112.943302462164,107.06638115631701,113.788889968387,115.050907481186,113.321995464853,114.3660729302,114.39756415833,113.37072209481,114.724235819758,116.733333333333,115.306696679797,112.74240342036998,115.384615384615,114.18685121107299,121.0,113.69500836649901,116.350815337153,111.433070674172,113.83786932895501,120.805369127517,115.129386678557,117.77359612321399,129.73903434206102,130.05732177264,132.143261131665,135.76881134133,136.524347510621,143.977415307403,145.5096291571,147.777174117082,144.581679533082,151.470588235294,151.016875811337,145.536869340233,153.54771554852,152.63358778626002,153.827838827839,158.14226925338002,153.846153846154,150.0,150.779286073404,153.393665158371,150.589288112123,150.477982259317,155.660377358491,159.646739130435,150.158877466241,154.590083456063,154.421110115871,156.239450442043,160.523186682521,161.19684513982202,160.523186682521,159.090909090909,163.367576426836,166.478165252906,172.68862911796,173.540241977906,182.150313152401,183.56643356643397,182.234290147401,176.494228421325,173.25133642077702,173.25133642077702,170.957361222848,172.47639796659402,174.18329529097,178.433268858801,185.723514211886,189.527159046503,185.723514211886,189.116835121777,190.186257780257,187.977207977208,189.101248601001,190.25926774944,192.861255037421,197.697452405103,200.42028602954701,198.404979483494,197.98939953451,196.373343151694,193.13298711775397,193.13298711775397,194.128525196486,195.961678536115,194.09128962527
Hollywood Lakes,Hollywood,FL,Miami-Fort Lauderdale,Broward,217.829003332096,217.657600088786,214.547232816494,212.581224043162,210.498837632193,207.22053001413002,204.465441965442,206.349206349206,206.85630714171,207.209543568465,204.830053667263,207.350901525659,201.21130551817,198.700305810398,196.233974358974,197.23183391003502,196.892571974809,196.189757954464,200.197726149283,195.798319327731,196.969696969697,194.04915912031,195.02924280125902,190.927694406548,189.679037791852,196.969696969697,206.12113402061902,198.86804657179798,200.0,198.86804657179798,197.194719471947,202.70064528963002,204.615384615385,201.97289496812002,211.62575046410802,206.90836454432,224.24242424242402,227.49049421213,228.512960436562,232.397359959923,234.727402042737,231.871838111298,236.49538866930197,232.314148681055,235.531006084445,242.10097719869702,241.939121028662,248.19608403973203,248.08507852451,243.060257278267,246.470983643289,248.21460429113898,239.378761344841,237.266029318426,234.935680433311,240.735785953177,254.491328984702,244.985849637012,253.893026404875,248.21856751085602,240.972976837289,236.122047244094,257.265079145387,260.229403142789,258.77555558310297,259.067357512953,246.663371230845,243.33962942975398,250.09127418766002,249.11274301631303,259.587217043941,267.003618928859,264.771460423634,255.281690140845,245.241286863271,257.48160261651697,256.762749445676,254.98753117207002,260.198388880461,271.783770726669,278.535980148883,278.76895628902804,278.76895628902804,281.501340482574,275.434243176179,275.331800487172,274.287604928123,272.732430247915,277.30711043872896,279.931403612554,275.710956167496,280.014814717773,281.95488721804503,280.020517825396,284.627329192547,283.136891479308,285.98751682489,291.45077720207297,291.869918699187
