RegionID,Neighborhood,city,state,metro,county,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
124381,Flagami,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,7.81,7.75,7.58,7.46,7.41,7.36,7.3,7.23,7.14,7.13,7.07,7.05,7.09,6.96,7.03,6.96,7.02,7.02,7.01,7.1,7.2,7.45,7.55,7.79,7.87,7.88,8.04,8.09,8.02,8.07,7.97,7.94,8.13,8.28,8.16,8.05,8.23,8.41,8.49,8.74,8.89,8.93,9.08,9.3,9.35,9.2,8.98,8.98,8.82,8.88,9.05,9.05,9.01,9.11,9.17,9.17,9.19,9.28,9.34,9.43,9.52,9.61,9.91,10.01,9.68,9.76,9.73,10.0,9.96,10.21,10.18,10.22,10.3,10.47,10.7,10.87,10.98,11.06,11.01,10.95,10.97,11.02,11.13,11.14,11.52,11.58,11.53,11.51,11.61,11.48
269228,Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,8.88,8.79,8.68,8.69,8.69,8.61,8.37,8.18,8.14,8.19,7.92,7.92,7.96,7.88,7.94,8.03,8.05,8.06,8.08,7.93,7.92,7.96,8.1,8.21,8.24,8.24,8.39,8.39,8.36,8.43,8.42,8.49,8.59,8.79,8.8,8.53,8.71,9.01,9.15,9.27,9.47,9.49,9.58,9.83,9.93,9.78,9.6,9.69,9.49,9.75,10.12,10.23,10.22,10.22,10.4,10.49,10.37,10.2,9.96,10.03,10.12,10.18,10.34,10.47,10.32,10.26,10.32,10.47,10.51,10.79,10.82,10.84,10.93,11.08,11.26,11.49,11.64,11.65,11.56,11.49,11.49,11.49,11.56,11.69,12.09,12.22,12.22,12.26,12.5,12.37
268938,Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,9.68,9.61,9.63,9.36,9.37,9.5,9.37,9.23,9.27,9.32,9.19,9.18,9.3,9.36,9.2,9.41,9.5,9.63,9.74,9.58,9.75,9.83,10.06,10.29,10.23,10.15,10.25,10.69,10.73,10.92,11.07,11.38,11.5,11.74,11.71,11.54,11.67,11.74,11.81,11.85,11.98,12.02,11.9,11.86,11.92,11.93,11.81,11.86,11.78,11.73,11.75,11.82,11.91,11.88,12.01,11.97,11.84,11.88,11.89,11.94,11.95,12.07,12.18,12.25,12.38,12.43,12.48,13.31,13.36,13.43,13.55,13.67,13.64,13.72,13.91,14.1,14.09,13.98,13.68,13.51,13.72,13.73,13.76,13.83,13.99,13.92,13.93,14.04,14.29,14.26
623416,Flamingo Lummus,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,9.94,9.78,9.66,9.48,9.55,9.53,9.52,9.51,9.65,9.56,9.59,9.61,9.74,9.85,9.95,9.99,10.08,10.15,10.39,10.49,10.55,10.79,10.97,10.94,10.81,10.92,10.99,11.1,11.09,11.21,11.41,11.61,11.77,11.82,11.81,11.67,11.87,12.0,12.21,12.25,12.46,12.66,12.49,12.56,12.4,12.21,12.16,12.25,12.32,12.32,12.34,12.26,12.26,12.19,11.97,11.77,11.69,11.66,11.52,11.54,11.61,11.64,11.37,11.43,11.49,11.47,11.49,11.27,11.41,11.72,11.78,11.85,11.99,12.11,12.19,12.27,12.17,12.04,11.89,11.89,12.05,12.08,12.05,12.0,12.21,12.18,12.06,11.99,12.09,12.08
55477,Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,11.29,11.31,11.43,11.39,11.48,11.46,11.53,11.61,11.7,11.68,11.59,11.61,11.57,11.57,11.65,11.74,11.82,11.91,12.18,12.35,12.54,12.59,12.63,12.6,12.63,12.84,13.01,13.19,13.35,13.55,13.67,13.89,14.04,14.15,14.34,14.34,14.52,14.53,14.57,14.7,14.78,14.79,14.42,14.31,14.35,14.22,14.06,13.94,14.0,13.95,13.95,13.98,13.89,13.75,13.78,13.62,13.54,13.57,13.44,13.45,13.49,13.71,13.47,13.17,13.15,13.08,13.07,13.05,13.03,12.96,13.02,13.04,13.09,13.26,13.39,13.46,13.46,13.33,13.23,13.18,13.19,13.1,13.0,12.95,13.14,13.22,13.15,13.11,13.23,13.13
269014,Hollywood Hills,Hollywood,FL,Miami-Fort Lauderdale,Broward,9.01,9.04,9.04,9.21,9.18,9.13,9.17,9.13,9.0,8.9,8.8,8.72,8.8,8.65,8.79,8.94,8.95,9.09,9.08,9.36,9.3,9.35,9.46,9.7,9.88,10.0,9.98,10.15,10.2,10.3,10.13,10.23,10.23,10.49,10.78,10.79,10.92,11.0,10.99,11.14,11.37,11.6,11.51,11.52,11.56,11.52,11.35,11.26,11.15,11.08,11.15,11.23,11.35,11.45,11.43,11.33,11.34,11.22,11.27,11.28,11.4,11.51,11.6,11.68,11.65,11.66,11.59,11.67,11.69,11.74,11.73,11.89,12.0,12.13,12.23,12.23,12.21,12.13,12.17,12.31,12.39,12.4,12.37,12.43,12.67,12.77,12.65,12.67,12.71,12.7
269015,Hollywood Lakes,Hollywood,FL,Miami-Fort Lauderdale,Broward,10.73,10.66,10.67,10.84,10.78,10.86,10.93,10.93,10.84,10.83,10.83,10.8,10.86,10.83,10.97,11.04,11.09,11.26,11.23,11.24,11.22,11.25,11.44,11.64,11.69,11.83,11.87,11.87,11.94,12.02,12.01,12.13,12.26,12.3,12.25,12.4,12.38,12.45,12.51,12.68,12.76,12.91,12.7,12.75,12.9,12.92,12.78,12.76,12.69,12.76,12.76,12.72,12.76,12.73,12.74,12.73,12.8,12.72,12.67,12.69,12.69,12.72,12.34,12.39,12.48,12.47,12.5,12.36,12.41,12.64,12.73,12.82,12.8,12.88,12.97,13.0,13.08,13.03,13.0,13.06,13.06,13.06,13.13,13.15,13.39,13.41,13.29,13.25,13.34,13.21
276165,Wynwood - Edgewater,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,9.46,9.26,9.22,9.17,9.12,9.14,9.21,9.2,9.13,9.06,9.16,9.45,9.3,9.17,9.12,9.19,9.34,9.56,9.85,9.98,10.23,10.39,10.56,10.8,11.1,11.46,11.81,11.86,12.02,12.21,12.49,12.71,12.84,13.0,13.07,12.92,13.39,13.52,13.47,13.65,13.73,13.65,13.63,13.46,13.38,13.18,13.15,13.11,13.04,13.14,13.07,13.1,13.07,12.95,12.74,12.66,12.47,12.53,12.42,12.48,12.48,12.46,12.34,12.22,12.25,12.31,12.16,12.57,12.54,12.43,12.61,12.71,12.76,12.92,13.06,13.05,13.07,13.03,12.83,12.75,12.64,12.68,12.69,12.68,12.82,12.78,12.66,12.67,12.75,12.68
269220,Villages of Palm Beach Lakes,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,6.25,6.13,5.87,5.79,5.79,5.92,5.95,5.78,5.68,5.62,5.52,5.58,5.64,5.57,5.59,5.5,5.52,5.43,5.52,5.44,5.62,5.67,5.65,5.59,5.63,5.69,5.76,5.88,5.91,5.97,6.07,6.42,6.47,6.69,6.81,6.92,7.0,7.08,7.27,7.36,7.32,7.22,7.36,7.47,7.51,7.58,7.65,7.71,7.63,7.65,7.63,7.56,7.63,7.7,7.69,7.61,7.49,7.57,7.61,7.73,7.82,7.83,7.87,7.84,7.88,7.91,7.98,8.04,8.16,8.42,8.48,8.46,8.47,8.53,8.55,8.55,8.56,8.52,8.52,8.59,8.81,8.95,8.99,9.18,9.49,9.64,9.55,9.63,9.61,9.61
407493,North Shore,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,9.61,9.62,9.58,9.38,9.26,9.07,8.94,8.85,8.96,9.03,9.06,9.05,9.05,9.19,9.42,9.41,9.22,9.15,9.39,9.6,9.61,9.69,9.67,9.72,10.11,10.17,10.3,10.27,10.47,10.51,10.64,10.96,10.86,10.81,10.95,10.86,10.94,10.94,11.11,11.27,11.5,11.71,11.5,11.73,11.59,11.39,11.34,11.45,11.46,11.59,11.72,11.81,11.77,11.81,11.71,11.51,11.47,11.56,11.69,11.7,11.71,11.85,11.55,11.43,11.18,10.98,11.35,11.41,11.49,11.97,11.93,12.08,11.88,11.78,11.72,11.79,11.77,11.87,12.0,12.09,12.12,12.14,12.05,12.07,12.24,12.15,12.1,12.11,12.28,12.1
