Neighborhood,city,state,metro,county,rent_1br_sqft,rent_1br_monthly,rent_2br_sqft,rent_2br_monthly,rent_sf_sqft,rent_sf_monthly,buy_home,buy_home_sqft,price_rent_ratio
Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.25232788561931,1480.0,1.99369838598977,1650.0,,,259500.0,246.30403896632998,
Flagami,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.02919708029197,,1.8080072226892097,1600.0,,,270000.0,234.833659491194,11.48
Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.06703154425612,1500.0,1.7977528089887602,1750.0,,1925.0,290000.0,251.392673143558,12.37
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.46595027391488,1750.0,2.07808564231738,2200.0,1.72897196261682,2475.5,430000.0,311.423414493548,14.26
Flamingo Lummus,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.65957446808511,1700.0,2.5,2529.0,2.61754537597234,,289900.0,437.056010928962,12.08
Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.70760049065861,2119.0,2.53487176637306,2890.0,,2900.0,499900.0,486.8708971553609,13.13
Wynwood - Edgewater,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.63721804511278,2100.0,2.48107653490328,2900.0,,,479450.0,429.07180385289,12.68
North Shore,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.1529661896614702,1700.0,2.2119341563786,2700.0,,,495000.0,473.794242524887,12.1
Downtown,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.53485424588086,1950.0,2.34748610467583,2665.0,,,419900.0,417.278797996661,12.9
North-East Coconut Grove,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.6248394651356,1850.0,2.4131526104417698,2499.5,2.22868217054264,,995000.0,497.103669821459,14.96
Oceanfront,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.60379002037999,2500.0,2.5,3100.0,,,519000.0,500.0,14.62
Upper Eastside,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.28283861471059,1650.0,2.0,2160.0,2.0999115826702,,529500.0,400.370141887724,
Isle of Normandy,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,1.92719584267373,1300.0,1.7627865961199298,1750.0,1.9858685228484896,4200.0,,300.02804262479,11.02
South Pointe,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,3.2758620689655205,2200.0,3.72863629375034,5000.0,,,1299000.0,979.486630237972,15.48
City Center,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,3.07909982174688,2200.0,,,,,469000.0,547.6890383432959,12.57
Central,North Miami,FL,Miami-Fort Lauderdale,Miami-Dade,1.64714494875549,1225.5,1.5234677603098703,1500.0,,,150000.0,147.188810704011,
Biscayne Point,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,1300.0,,1697.5,,,,570.873770592411,15.05
City Center,North Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,1050.0,,,,,125000.0,151.098901098901,
Little Haiti,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,1.61904761904762,1595.0,1.66736819634415,1947.5,310000.0,262.71186440678,
Eastern Shores,North Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,1.60775734003187,1800.0,,,242500.0,217.83625730994203,
Allapattah,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,1400.0,,,189000.0,231.592475756514,
South-West Coconut Grove,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,2.2440392706872405,,875000.0,456.627978008552,15.45
Shenandoah,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,491000.0,304.721607608732,15.05
Bayshore,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,1400000.0,696.460176991151,
Nautilus,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,1490000.0,605.699493972539,
La Gorce,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,2195000.0,700.082850041425,15.5
Belle Isle,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,625000.0,525.595404085606,15.17
Highland Village,North Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,1055000.0,540.945330296128,
Walden,Miami Gardens,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,174999.5,114.093281306073,
Amber Creek East,North Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,179950.0,185.857156956279,
Keystone Point,North Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,483.230250734906,
Winward,North Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,140.888208269525,
Fair Isle,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,15.45
