Neighborhood,city,state,metro,county,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,1.6746302996744498,1.6746302996744498,1.64429530201342,1.67140825035562,1.68067701624749,1.63590604026846,1.6176163197975302,1.7253521126760603,1.6769150013122902,1.61111111111111,1.70990990990991,1.68439716312057,1.6954105585896297,1.7142857142857097,1.70990566037736,1.69294165700432,1.62713734142306,1.61466395112016,1.6666666666666698,1.6922845087401999,1.5486725663716798,1.5762427396846899,1.5784114052953202,1.59090909090909,1.5762427396846899,1.5846602481022,1.61525671044148,1.6418524551223301,1.64893617021277,1.85797128129602,1.90380761523046,1.89670784158973,1.83044315992293,1.74050632911392,1.80305131761442,1.8589743589743601,1.8148820326678798,1.75454208379681,1.7222840192806799,1.7553191489361701,1.77747252747253,1.7857142857142903,1.8463972072219499,1.8341307814991998,1.7628205128205099,1.8776229645794902,1.96164897978126,1.95652173913043,1.9138755980861202,1.8612521150592198,1.86335403726708,2.03399629972248,2.02898550724638,2.17204301075269,2.07256358934127,2.03900709219858,2.05555555555556,2.08798882681564,2.06666666666667,2.0410089224433796,2.05263157894737,2.08355716878403,2.05424420017825,1.95374800637959,2.04728132387707,2.12451984635083,2.01851851851852,2.07272727272727,2.15797682709447,2.1126760563380302,2.09125475285171,2.23846547790865,2.25225225225225,2.0444186332999,2.10476725733933,2.06349206349206,2.21428571428571,2.31481481481481,2.27727272727273,2.33580671664784,2.21052631578947,2.04119041571416,2.04301075268817,2.16197183098592,2.24094707520891,2.25232788561931
Flagami,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9834710743801698,1.98996655518395,2.06005718171168,1.98996655518395,2.00160256410256,2.04379562043796,2.04379562043796,2.0952380952381,2.02919708029197,2.02391904323827,2.02919708029197,1.9834710743801698,2.0,2.02919708029197
Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9962640099626399,2.05058962043768,2.01005025125628,2.01612903225806,1.98908594815825,2.00314497360178,2.00292681928426,1.9764336581709099,2.00949513129355,2.0,2.01581645411353,2.02029319732222,1.9941176470588202,2.03145478374836,2.0670315442561202
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,1.8,1.80451127819549,1.82235633691944,1.8085106382978702,1.8,1.8618855465884099,1.8618855465884099,1.8207282913165301,1.82487182064944,1.8576029445594702,1.87864671560324,1.86522262334537,1.8666666666666698,1.90922190201729,1.9100249637475,1.9108280254777101,1.95652173913043,1.9212776176753101,1.9333333333333302,1.98473282442748,1.9943820224719098,1.95989583333333,1.96712962962963,1.9618686868686899,1.9525613275613303,2.00264420739753,2.04081632653061,1.9932069474909397,1.98002073320139,2.04689652557475,2.02405401379075,2.0225901054063202,2.03679369250986,2.04868639875376,2.04014500537057,2.06982168774622,2.07373271889401,2.0833333333333304,2.07421075778725,2.0833333333333304,2.13333333333333,2.12486772486773,2.0990935829795,2.09018773808914,2.1447738308203403,2.15477019577854,2.17186218211649,2.20949263502455,2.21028877034246,2.18253968253968,2.2670722156352996,2.27591036414566,2.25027520329534,2.2727272727272703,2.25001066734938,2.3195378151260497,2.33961858138096,2.5114503816793903,2.5977722772277203,2.6232229187777,2.53175004565825,2.4,2.4016282225237404,2.42428557230666,2.44530350774572,2.41705974842767,2.36794171220401,2.39742990654206,2.36037234042553,2.2666666666666697,2.25922512241578,2.2680595581172,2.32142857142857,2.30547550432277,2.3581258191349903,2.36507936507937,2.33961858138096,2.4189189189189197,2.36742424242424,2.42463054187192,2.36641221374046,2.38095238095238,2.34042553191489,2.3810802104585003,2.4342105263157903,2.4612831858407103,2.46595027391488
Flamingo Lummus,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.67264157680497,2.47933884297521,2.4048096192384802,2.4207011686143596,2.47933884297521,2.35294117647059,2.3076923076923097,2.3636363636363598,2.50748502994012,2.5974025974026,2.65845856271388,2.31854838709677,2.2155688622754504,2.20994475138122,2.22371967654987,2.2837967401725803,2.27655986509275,2.2155688622754504,2.20588235294118,2.22405271828666,2.26744186046512,2.3071704414988,2.29709035222052,2.27941176470588,2.34550961762498,2.39596469104666,2.46153846153846,2.4886877828054303,2.46568668776426,2.421875,2.43209193706981,2.46069834720011,2.3744911804613302,2.39234792064616,2.40740740740741,2.41433021806854,2.43798105210072,2.46153846153846,2.5,2.50396825396825,2.51748251748252,2.58224243879982,2.59417428903109,2.5651041666666696,2.55580174398958,2.5276461295418597,2.54360612513944,2.53731343283582,2.56653992395437,2.55536626916525,2.55813953488372,2.5938741509675802,2.6027397260274,2.60750283294567,2.61786892975012,2.5884658955401902,2.59039531857617,2.6284348864994,2.70844618996027,2.6976399440729097,2.64586160108548,2.61108785359727,2.69591910436981,2.7945404848958098,2.82944033172205,2.8118609406953,2.7607621736062096,2.7272727272727297,2.7371135860641096,2.7272727272727297,2.72869096582045,2.73301646423199,2.7862364907819503,2.7203513909223997,2.68539122351858,2.6398243045388,2.64586160108548,2.57963907336736,2.58928571428571,2.5874125874125897,2.67857142857143,2.69803921568627,2.5276461295418597,2.62099921935988,2.61348005502063,2.64394829612221,2.60081300813008,2.61786892975012,2.58519388954172,2.62146050670641,2.64740977266163,2.65734265734266,2.6,2.68096514745308,2.7085590465872205,2.6284348864994,2.5932887774993,2.65957446808511
Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,2.23577235772358,2.14681440443213,2.13835388665651,2.20791168353266,2.17391304347826,2.11864406779661,2.0987654320987703,2.0987006593862096,2.1112515802781298,2.13921522315102,2.17647058823529,2.17687074829932,2.2123893805309702,2.2246059252841004,2.27118748460212,2.3035230352303504,2.28571428571429,2.24654377880184,2.275600505689,2.25015802781289,2.275600505689,2.30664857530529,2.3133779958972798,2.31745843699404,2.33380480905233,2.33560159151804,2.36596144370535,2.3692810457516296,2.3841961852861,2.43714474752639,2.44569576654045,2.4390243902438997,2.48699969573756,2.5,2.51692976435598,2.53333333333333,2.52004581901489,2.52043596730245,2.54360465116279,2.54065040650406,2.53968253968254,2.54065040650406,2.56451881451881,2.56983240223464,2.61669024045262,2.6281208935611002,2.64400921658986,2.64200792602378,2.64775903455986,2.65856475871985,2.64705882352941,2.64084507042254,2.6660085554458703,2.7030416114923197,2.73617419396111,2.6806526806526803,2.70929307342911,2.7131782945736402,2.69863816738817,2.72277227722772,2.71106361967653,2.65035677879715,2.6657060518732,2.6760374832664,2.67341040462428,2.6666666666666696,2.6530612244897998,2.64256678281069,2.62248995983936,2.5871563117119902,2.58620689655172,2.63574092382511,2.63157894736842,2.5710419485791602,2.6536030341340098,2.61282660332542,2.60723084503572,2.5965155063515697,2.6188166828322004,2.65406162464986,2.6348039215686296,2.6437188565434,2.65221056126896,2.68817204301075,2.6984126984127004,2.6689189189189197,2.65423242467719,2.62773722627737,2.6615969581749104,2.76923076923077,2.70760049065861
Wynwood - Edgewater,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,1.87734668335419,1.89633375474083,1.92655655562773,1.94915254237288,1.9666269368295601,1.9808958084698602,2.00412477535672,2.02863961813842,2.06270627062706,2.09151756345039,2.03023754304589,2.06865189289012,2.0718232044198897,2.0718232044198897,2.10541274142071,2.1242698488305,2.09745762711864,2.13898286603443,2.16110675039246,2.1989010989011,2.22298206525336,2.27947390240208,2.27947390240208,2.30414746543779,2.2700119474313,2.2842117911939197,2.3264275913719903,2.3358268753501,2.32288037166086,2.3371104815864,2.3480662983425398,2.32288037166086,2.34487261897981,2.2825668807932997,2.31311706629055,2.37788979950169,2.37578398559998,2.3684816523658596,2.35507246376812,2.35507246376812,2.3752969121140097,2.42232620320856,2.4154589371980695,2.4416135881103997,2.42889492368069,2.44637318836307,2.51621481670016,2.4738219895288,2.4559193954659904,2.4662100456621,2.51629961396329,2.5,2.5362318840579703,2.52029350349029,2.55963548646475,2.5302481441862,2.5089605734767,2.46666666666667,2.4623113410952997,2.47177454865698,2.43581069359148,2.3823036552253596,2.45398773006135,2.389486260454,2.43572395128552,2.4896265560166,2.4405506883604504,2.4628415300546402,2.5089605734767,2.46595027391488,2.4360535931790497,2.45266683298326,2.52099845547291,2.52613240418118,2.49318801089918,2.5734265734265698,2.52755583649389,2.60084925690021,2.6372180451127796
Villages of Palm Beach Lakes,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4333333333333302,1.5,1.39240506329114,1.39240506329114,1.4,1.5459558823529398,1.47247360482655,1.4822125997622702,1.57894736842105,1.5161811892318002,1.47701597195169,1.47701597195169,1.4473684210526299,1.65125495376486,1.685
North Shore,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,2.19954610225291,2.11038961038961,1.8930305346085101,1.8462104778409298,1.80194805194805,1.8671041261718402,1.8982229402261699,1.8950574160590299,1.8047220394432602,1.8359853121175,2.06896551724138,2.02360876897133,1.9675399459966898,2.07762571941978,2.07736192032916,1.8610421836228301,1.94884287454324,2.01711491442543,2.2113022113022103,2.3469387755102002,2.26171243941842,2.15050921925841,2.1141928014438,1.91885964912281,1.8581081081081101,1.83028792912514,1.8685419975537199,1.8504821389436799,1.8085106382978702,1.8654022636892,2.0234291799787,1.9,1.9583843329253403,2.0283860855936298,2.24492768436654,2.35294117647059,2.22497249724973,2.2322439714313,2.23123732251521,2.35662473081718,2.36068111455108,2.23123732251521,2.23123732251521,2.30263157894737,2.2338295238774104,2.24215246636771,2.2267297723687203,2.20994475138122,2.07703720611732,2.0454545454545503,2.04081632653061,2.06971677559913,2.1666666666666696,2.1933085501858702,2.3156089193825,2.53164556962025,2.47524752475248,2.2504019292604505,2.2364217252396204,2.3248651857715297,2.28787878787879,2.3969696969697,2.28030303030303,2.3474178403755896,2.3076923076923097,2.2727272727272703,2.2727272727272703,2.2727272727272703,2.2765663390663398,2.07266181163571,2.0879120879120903,2.09944751381215,2.27671451355662,2.23123732251521,2.1399887276313896,2.05696202531646,2.03852575598293,2.1158129175946496,2.16611842105263,2.12146422628952,2.1311988921129,2.13235294117647,2.13809523809524,2.13809523809524,2.18085106382979,2.13521505376344,2.1405075187969897,2.13766741655331,2.09677419354839,2.1529661896614702
Downtown,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,2.18785066074016,2.18676122931442,2.18676122931442,2.18676122931442,2.22026782138146,2.2443890274314198,2.21703197357011,2.2308438409311298,2.20891938865098,2.2418478260869596,2.2608695652173902,2.2731206048345602,2.24586288416076,2.29528535980149,2.2931180521802403,2.2609913866187403,2.30296130668339,2.35142743330948,2.3622970224209103,2.36406619385343,2.34782608695652,2.35602094240838,2.3702031602708797,2.375,2.4050632911392404,2.4456521739130404,2.4689826302729503,2.48900709880569,2.4437927663734103,2.46986201888163,2.4535809018567596,2.46905921637104,2.47148288973384,2.48579545454545,2.49247895456344,2.51637025146231,2.52182347235693,2.5,2.4813895781637703,2.4409074382803597,2.44481918680907,2.44444444444444,2.49376558603491,2.53485424588086,2.55721093422706,2.57879656160458,2.5675675675675698,2.5974025974026,2.61984392419175,2.64285714285714,2.59794092601394,2.5810324129651896,2.57676241123708,2.5412434088089304,2.63157894736842,2.7007299270072997,2.6125975603754,2.63157894736842,2.5886524822695,2.57472826086957,2.52576577342171,2.59558789980381,2.52182347235693,2.5579809004092797,2.4822695035461,2.55681818181818,2.54437869822485,2.55651237890205,2.55681818181818,2.54437869822485,2.55681818181818,2.55681818181818,2.5675675675675698,2.56136606189968,2.58152173913043,2.58777950549495,2.55905511811024,2.55681818181818,2.55681818181818,2.53485424588086
