Neighborhood,city,state,metro,county,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1300.0,1400.0,1350.0,1300.0,1400.0,1350.0,1400.0,1450.0,1450.0,1526.5,1400.0,1250.0,1250.0,1250.0,1450.0,1480.0
Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495.0,1500.0,1512.5,1525.0,1495.0,1497.5,1450.0,1425.0,1437.5,1475.0,1480.0,1485.0,1500.0,1500.0,1500.0
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,1325.0,1300.0,1375.0,1395.0,1395.0,1400.0,1400.0,1400.0,1400.0,1394.5,1394.5,1390.0,1350.0,1395.0,1394.5,1400.0,1400.0,1400.0,1400.0,1450.0,1450.0,1400.0,1450.0,1450.0,1400.0,1400.0,1450.0,1480.0,1500.0,1500.0,1550.0,1600.0,1575.0,1550.0,1537.5,1559.5,1595.0,1600.0,1600.0,1595.0,1575.0,1650.0,1600.0,1600.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1750.0,1750.0,1700.0,1750.0,1750.0,1750.0,1850.0,1850.0,1949.0,1949.5,1850.0,1800.0,1800.0,1800.0,1850.0,1775.0,1700.0,1700.0,1787.0,1750.0,1750.0,1750.0,1675.0,1650.0,1650.0,1650.0,1720.0,1701.0,1736.5,1700.0,1700.0,1650.0,1650.0,1650.0,1700.0,1750.0,1750.0
Flamingo Lummus,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,1681.0,1700.0,1800.0,1500.0,1500.0,1450.0,1467.0,1500.0,1500.0,1500.0,1500.0,1450.0,1500.0,1550.0,1550.0,1550.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1650.0,1600.0,1600.0,1600.0,1650.0,1650.0,1650.0,1657.5,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1750.0,1750.0,1750.0,1700.0,1690.0,1700.0,1722.0,1750.0,1800.0,1800.0,1800.0,1800.0,1800.0,1850.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1850.0,1850.0,1800.0,1800.0,1775.0,1798.0,1750.0,1750.0,1700.0,1750.0,1785.0,1700.0,1700.0,1721.5,1700.0,1650.0,1650.0,1650.0,1650.0,1700.0,1700.0,1700.0,1699.5,1699.0,1704.5,1705.0,1700.0
Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1750.0,1650.0,1700.0,1797.5,1700.0,1685.0,1700.0,1700.0,1700.0,1700.0,1750.0,1750.0,1777.5,1787.5,1800.0,1800.0,1800.0,1800.0,1800.0,1777.5,1800.0,1800.0,1800.0,1845.0,1850.0,1850.0,1850.0,1850.0,1850.0,1875.0,1900.0,1900.0,1900.0,1900.0,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1999.0,1990.0,2000.0,1990.0,2000.0,2000.0,2000.0,2000.0,2000.0,2050.0,2000.0,2000.0,2000.0,2100.0,2150.0,2150.0,2150.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2053.5,2050.0,2075.0,2000.0,2100.0,2100.0,2000.0,2050.0,2000.0,2000.0,2050.0,2029.5,2050.0,2050.0,2034.5,2100.0,2100.0,2100.0,2096.5,2100.0,2050.0,2100.0,2150.0,2119.0
Wynwood - Edgewater,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1550.0,1575.0,1600.0,1600.0,1600.0,1600.0,1600.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1700.0,1700.0,1750.0,1800.0,1762.5,1750.0,1750.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1795.0,1800.0,1800.0,1800.0,1850.0,1800.0,1800.0,1850.0,1850.0,1800.0,1809.0,1850.0,1850.0,1850.0,1900.0,1975.0,1950.0,1995.0,1950.0,1950.0,1950.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1950.0,1900.0,1900.0,1950.0,1900.0,1850.0,1892.5,1880.0,1900.0,1900.0,1900.0,1900.0,1950.0,1950.0,1900.0,1900.0,1950.0,1950.0,1900.0,1992.0,1950.0,2037.0,2100.0
Villages of Palm Beach Lakes,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.0,1157.5,1172.5,1200.0,1182.0,1250.0,1200.0,1200.0,1235.0,1200.0,1187.5,1180.0,1137.5,1225.0,1250.0
North Shore,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,2000.0,1750.0,1700.0,1500.0,1500.0,1500.0,1495.0,1500.0,1550.0,1500.0,1550.0,1650.0,1600.0,1650.0,1650.0,1625.0,1550.0,1575.0,1650.0,1799.0,1900.0,1799.0,1700.0,1700.0,1600.0,1575.0,1450.0,1450.0,1450.0,1425.0,1450.0,1650.0,1650.0,1800.0,1800.0,1650.0,1800.0,1750.0,1800.0,1795.0,1800.0,1800.0,1795.0,1800.0,1900.0,1825.0,1800.0,1700.0,1700.0,1650.0,1700.0,1600.0,1600.0,1725.0,1800.0,1820.0,2000.0,2000.0,1750.0,1800.0,1815.0,1807.5,1900.0,1900.0,1950.0,1900.0,1800.0,1800.0,1725.0,1712.5,1637.5,1675.0,1700.0,1800.0,1800.0,1750.0,1700.0,1650.0,1690.0,1625.0,1600.0,1600.0,1675.0,1690.0,1675.0,1600.0,1600.0,1600.0,1650.0,1600.0,1700.0
Downtown,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,1750.0,1688.0,1675.0,1650.0,1600.0,1600.0,1600.0,1650.0,1660.0,1700.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1835.0,1800.0,1850.0,1850.0,1875.0,1850.0,1885.0,1900.0,1895.0,1900.0,1900.0,1900.0,1900.0,1950.0,1950.0,1950.0,2000.0,1990.0,2000.0,1950.0,1950.0,1950.0,1950.0,1950.0,1995.0,2000.0,2000.0,2000.0,2000.0,1950.0,1900.0,1900.0,1900.0,1950.0,2000.0,2000.0,2000.0,2000.0,2099.0,2100.0,2100.0,2100.0,2100.0,2100.0,2000.0,2063.5,2100.0,2100.0,2100.0,2100.0,2000.0,1950.0,2000.0,1950.0,1950.0,1950.0,2000.0,1999.0,2000.0,2003.5,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1950.0,1990.0,1995.0,1950.0
North-East Coconut Grove,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685.0,1900.0,1750.0,1800.0,1750.0,1750.0,1750.0,1900.0,1800.0,1725.0,1600.0,1650.0,1700.0,1600.0,1650.0,1700.0,1850.0
Kings Point,Delray Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.0,950.0,950.0,950.0,950.0,925.0,962.5,975.0,1000.0,1000.0,1000.0,995.0,985.0,992.5,950.0
Palm Aire,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,1150.0,1150.0,1200.0,1150.0,1150.0,1100.0,1150.0,1100.0,1150.0,1150.0,1150.0,1150.0,1150.0
Oceanfront,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1800.0,1800.0,1900.0,1824.5,1800.0,1774.5,1750.0,1672.5,1725.0,1775.0,1695.0,1700.0,1750.0,1700.0,1795.0,1800.0,1750.0,1797.5,1800.0,1850.0,1900.0,1850.0,1850.0,1850.0,1900.0,1900.0,1900.0,1892.5,1900.0,1875.0,1900.0,1900.0,1999.0,2000.0,1995.0,1992.5,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1995.0,2000.0,2000.0,2100.0,2100.0,2100.0,2100.0,2000.0,2300.0,2350.0,2300.0,2400.0,2400.0,2250.0,2395.0,2300.0,2500.0,2500.0,2500.0,2500.0,2600.0,2500.0,2490.0,2550.0,2470.0,2300.0,2200.0,2300.0,2300.0,2500.0,2300.0,2400.0,2250.0,2350.0,2300.0,2300.0,2300.0,2300.0,2450.0,2450.0,2450.0,2400.0,2375.0,2300.0,2300.0,2500.0
Upper Eastside,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,1200.0,1200.0,1150.0,1100.0,1200.0,1150.0,950.0,950.0,950.0,950.0,950.0,937.5,1100.0,1200.0,1200.0,1200.0,1100.0,1150.0,1200.0,1050.0,1200.0,1200.0,1000.0,1100.0,1200.0,1295.0,1295.0,1300.0,1300.0,1350.0,1200.0,1100.0,1100.0,1200.0,1200.0,1200.0,1300.0,1350.0,1350.0,1350.0,1382.0,1500.0,1432.0,1499.5,1450.0,1275.0,1335.0,1175.0,1325.0,1375.0,1500.0,1660.0,1600.0,1617.5,1750.0,1750.0,1700.0,1700.0,1650.0,1650.0,1650.0,1680.0,1797.5,1700.0,1660.0,1617.5,1400.0,1600.0,1457.5,1690.0,1595.0,1650.0,1600.0,1650.0,1745.0,1865.0,1707.5,1700.0,1700.0,1755.0,1705.0,1675.0,1665.0,1680.0,1672.5,1650.0
Isle of Normandy,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,1000.0,1000.0,1100.0,1095.0,1100.0,1097.5,1037.5,1100.0,1075.0,1200.0,1230.0,1230.0,1250.0,1150.0,1150.0,1137.5,1200.0,1100.0,1150.0,1050.0,1050.0,1100.0,1100.0,1100.0,1150.0,1150.0,1200.0,1200.0,1200.0,1187.5,1200.0,1225.0,1200.0,1200.0,1225.0,1250.0,1250.0,1212.5,1200.0,1200.0,1250.0,1275.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1300.0,1300.0,1300.0,1375.0,1350.0,1312.5,1300.0,1350.0,1300.0,1350.0,1350.0,1300.0,1350.0,1375.0,1350.0,1300.0,1350.0,1300.0,1312.5,1300.0,1300.0,1300.0,1300.0,1375.0,1350.0,1350.0,1400.0,1395.0,1375.0,1350.0,1325.0,1300.0,1300.0,1300.0,1325.0,1300.0,1300.0,1300.0
South Central Beach,Hollywood,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690.0,1750.0,1750.0,1862.5,1750.0,1725.5,1750.0,1750.0,1850.0,1900.0,1825.0,1800.0,1900.0,1850.0,1800.0,1800.0
Coral Ridge,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1754.0,1876.5,1771.0,1937.5,1873.5,1879.0,1865.0,1683.0,1625.0,1400.0,1500.0,1500.0,1600.0,1600.0,1562.5
Victoria Park,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,950.0,1000.0,1100.0,962.5,1100.0,1100.0,992.5,985.0,1072.5,1000.0,1000.0,1100.0,1000.0,1057.5,1057.5,1050.0,1100.0,1050.0,1200.0,1200.0,1112.5,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1150.0,1125.0,1100.0,1100.0,1175.0,1135.0,1150.0,1200.0,1300.0,1250.0,1205.0,1200.0,1350.0,1325.0,1350.0,1250.0,1250.0,1300.0,1250.0,1250.0,1300.0,1475.0,1575.0,1475.0,1445.0,1450.0,1400.0,1450.0,1400.0,1275.0,1350.0,1350.0,1450.0,1300.0,1275.0,1250.0,1375.0,1350.0,1350.0,1400.0,1400.0,1372.5,1400.0,1400.0,1350.0,1300.0,1300.0,1300.0,1300.0,1375.0
Beach,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350.0,1450.0,1500.0,1400.0,1500.0,1400.0,1400.0,1400.0,1500.0,1500.0,1550.0,1500.0,1500.0,1450.0,1450.0
South Pointe,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,2500.0,2400.0,2275.0,2100.0,2275.0,2200.0,2300.0,2525.0,2600.0,2400.0,2200.0,2275.0,2250.0,2300.0,2350.0,2325.0,2400.0,2400.0,2600.0,2750.0,2500.0,2500.0,2475.0,2425.0,2350.0,2350.0,2395.0,2375.0,2000.0,2200.0,2000.0,2000.0,2300.0,2150.0,2350.0,2500.0,2350.0,2000.0,2000.0,2000.0,2000.0,2000.0,2325.0,2500.0,2597.5,2500.0,2500.0,2500.0,2500.0,2500.0,2350.0,2412.5,2500.0,2575.0,2700.0,2500.0,2500.0,2500.0,2575.0,2325.0,2300.0,2500.0,2550.0,2500.0,2575.0,2400.0,2312.5,2300.0,2300.0,2300.0,2400.0,2500.0,2437.5,2425.0,2350.0,2375.0,2325.0,2200.0,2200.0
Park Side,Hollywood,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1137.5,1200.0,1200.0,1200.0,1150.0,1150.0,1100.0,1150.0,1155.0,1150.0,1200.0,1150.0,1200.0,1200.0
Biscayne Point,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1262.5,1225.0,1250.0,1225.0,1265.0,1300.0
Downtown,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.0,1700.0,1849.0,1849.0,2041.5,2050.0,2002.5,2016.5,1992.5,1945.0,1864.0,1884.0,1835.0
Flagler Heights,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.0,1850.0,1842.5,1825.0,1912.5,1900.0,1783.0,1845.0,1867.5,1843.0,1850.0,1811.0,1739.0,1784.5,1843.5
City Center,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250.0,2000.0,1975.0,1999.5,2150.0,2000.0,2100.0,2100.0,2150.0,2200.0,2400.0,2200.0,2200.0,2200.0,2100.0,2100.0,2200.0
Central Beach Alliance,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.0,1500.0,1500.0,1550.0,1625.0,1600.0,1572.5,1500.0,1550.0,1600.0,1500.0,1500.0,1495.0,1490.0,1495.0,1475.0,1500.0
Harbordale,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1347.5,1400.0,1400.0,1400.0,1450.0,1450.0,1450.0,1400.0,1395.0,1400.0,1400.0,1375.0,1425.0
Downtown,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.0,1595.0,1800.0,1600.0,1750.0,1800.0,1800.0,1782.5,1785.0,1750.0,1750.0,1750.0,1770.0,1800.0,1800.0,1800.0,1800.0,1822.5
Central,North Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,850.0,810.0,850.0,830.0,825.0,822.5,825.0,827.5,825.0,832.5,840.0,832.5,850.0,850.0,850.0,850.0,825.0,850.0,875.0,925.0,900.0,900.0,900.0,900.0,895.0,895.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,925.0,950.0,925.0,950.0,915.0,950.0,950.0,950.0,950.0,950.0,1000.0,1000.0,950.0,925.0,950.0,900.0,987.5,975.0,1050.0,1000.0,1000.0,1050.0,1100.0,1075.0,1030.0,1000.0,1000.0,1150.0,1150.0,1150.0,1150.0,1150.0,1157.5,1175.0,1110.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1214.5,1225.5
City Center,North Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,977.5,1000.0,1025.0,1000.0,1125.0,1125.0,1100.0,1050.0,1125.0,1100.0,1050.0,1050.0
North Ponce de Leon,Coral Gables,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.5,1500.0,1550.0,1500.0,1500.0,1550.0,1600.0,1575.0,1600.0,1600.0,1550.0,1500.0,1475.0,1495.0,1572.5
Lauderdale West,Plantation,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277.5,1331.0,1304.5,1264.0,1301.0,1330.0,1270.0,1301.0,1321.0,1350.0,1403.0,1397.0,1360.0
Downtown,Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973.0,2031.0,1979.0,1937.0,2263.0,2262.0,2254.0,2299.0,2287.0,2287.0,2294.0,2279.0,2296.5,2334.0,2314.0
