Neighborhood,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,1.48331273176761,1.5079242766081598,1.48331273176761,1.4784984711469702,1.4736842105263201,1.5470297029703,1.55,1.48331273176761,1.5292553191489398,1.54255319148936,1.54218106995885,1.51133501259446,1.5283947790245,1.4818355640535399,1.4480408858603102,1.55844155844156,1.4925373134328401,1.5243902439024402,1.54555399281138,1.50862068965517,1.4747191011236,1.45945945945946,1.5,1.5441786283891499,1.52886178861789,1.55502392344498,1.54710430019633,1.58351987547258,1.6260162601626,1.73684210526316,1.7,1.6556291390728501,1.6306905214141296,1.57502863688431,1.6626463641389,1.6833623207795398,1.69172932330827,1.68421052631579,1.68385610490874,1.72514014524143,1.7142857142857097,1.75377082256834,1.7531556802244,1.72096399535424,1.72764227642276,1.798527149614,1.7786561264822098,1.7786561264822098,1.7894736842105299,1.72764227642276,1.683225410765,1.82915921288014,1.93260654112983,1.9057171514543603,1.90647482014388,1.8033946251768003,1.7857142857142903,1.72764227642276,1.73661360347323,1.83376313206054,1.85516131675594,1.81910569105691,1.9325757575757598,1.8666666666666698,1.9333333333333302,1.9713491355101498,1.8447026717135,1.8675635276532099,1.8811881188118798,1.9179341882890901,1.8421052631578898,1.9650990099009902,1.94174865582402,1.94237147595357,1.90947666195191,1.98358413132695,2.04081632653061,2.0,2.05032618825722,2.05032618825722,1.99240986717268,1.89210814255624,1.96065775182066,1.9640852974186298,1.9640852974186298,1.99369838598977
Flagami,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,1.40997830802603,1.45018915510719,1.4211886304909598,1.41955835962145,1.4211886304909598,1.45011600928074,1.41065830721003,1.40889370932755,1.4350614047062,1.49927528387221,1.45651046023076,1.45348837209302,1.45805512862506,1.4925373134328401,1.43966151582046,1.48042024832856,1.4629049111807702,1.4667465732374498,1.49667405764967,1.48148148148148,1.4758457008952701,1.4887515119628798,1.50663942798774,1.5321756894790601,1.5832482124616998,1.53009463591101,1.52091254752852,1.55555555555556,1.55555555555556,1.5243902439024402,1.52265139571548,1.5412511332728898,1.5076936527364901,1.54130702836005,1.5369603968069399,1.55038759689922,1.6056843494761202,1.59846547314578,1.59846547314578,1.6240533569224798,1.63457317887746,1.63457317887746,1.64765525982256,1.5549076773566597,1.61290322580645,1.64919158194846,1.59846547314578,1.62297128589263,1.65745856353591,1.6875,1.69584245076586,1.64765525982256,1.62297128589263,1.5802002613552202,1.5625,1.6004415011037498,1.68918918918919,1.72558291355324,1.6995952613370002,1.6963935125907001,1.7949530516431902,1.7855562755860201,1.78756515640222,1.68326062053669,1.8042315740525503,1.7418104456627699,1.62980209545984,1.77777777777778,1.7263427109974399,1.79381376508226,1.7977450258746899,1.80625,1.79028132992327,1.82849936948298,1.82897862232779,1.7915309446254097,1.82232346241458,1.8161203875489598,1.7903645833333302,1.78174603174603,1.79028132992327,1.78594526266279,1.8080072226892099
Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,1.4917418489906697,1.4922673792507,1.4983351831298601,1.50048402710552,1.53465346534653,1.50602409638554,1.51099888214628,1.5492608960682699,1.5815760266370702,1.5706768877950201,1.58415841584158,1.57303370786517,1.5172580533953601,1.51507880754732,1.5655119140420601,1.6064257028112399,1.5857284440039598,1.60096022260743,1.6214908034850002,1.6053017638796698,1.6304347826087,1.5923566878980902,1.6379350133850301,1.6562822548290101,1.65929203539823,1.64092664092664,1.6545334215751202,1.6811321543542799,1.6304347826087,1.6130135158574501,1.62165633455492,1.6088060965283701,1.62381596752368,1.6806722689075602,1.6806722689075602,1.69065605008847,1.78755450933705,1.80029041626331,1.75,1.7297206002991798,1.7297206002991798,1.7515923566879,1.7801047120418798,1.7821782178217802,1.74249757986447,1.8450184501845,1.8,1.8,1.80628272251309,1.8,1.8019801980198003,1.81441182894928,1.80279370622433,1.82522123893805,1.8,1.80058083252662,1.82724252491694,1.80029041626331,1.85370741482966,1.77452962694285,1.90763052208835,1.80029041626331,1.85,1.80058083252662,1.8356777493606102,1.80654041626331,1.80058083252662,1.8,1.74081400732354,1.8009478672985801,1.80447889750215,1.7635410599883499,1.72277227722772,1.7525773195876297,1.7525773195876297,1.77272727272727,1.71282798833819,1.8,1.7977528089887602
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,1.7103762827822098,1.6904427043113703,1.6722408026755902,1.5910074937552,1.56877609316634,1.67720930232558,1.65451101112953,1.6812643978435902,1.71171171171171,1.6888888888888898,1.6626016260162602,1.61160459196925,1.61895161290323,1.6806722689075602,1.661918328585,1.67983193277311,1.70455377817972,1.72574626865672,1.6666666666666698,1.67817164179104,1.74830097087379,1.73024194763325,1.68738898756661,1.6626016260162602,1.7077800116396,1.7,1.6666666666666698,1.6897081413210402,1.73992673992674,1.8054162487462402,1.80840664711632,1.76614272580585,1.75450747581354,1.81159420289855,1.8375241779497098,1.8429650177223,1.88679245283019,1.8951091661626398,1.88679245283019,1.85185185185185,1.85185185185185,1.86263096623981,1.8136850783182201,1.83382642998028,1.8416589861751202,1.82142857142857,1.84235074626866,1.80203045685279,1.8710256663701401,1.88574655900933,1.8724713562030402,1.8972142170989401,1.9561853351326999,1.92384896500213,1.93080357142857,2.00299319793557,2.0,2.0158387329013703,2.05314009661836,2.1528743375162303,2.2686025408348502,2.3333333333333304,2.09434084434084,2.1434820647419097,2.10820895522388,2.14668945299748,2.1007005253940503,2.15529853408575,2.06085702308855,2.0954598370197903,2.11363636363636,1.97466758516708,2.00356188780053,1.986328125,1.99809885931559,2.00601805416249,1.99177546274829,2.03618039188096,2.05091937765205,2.18102508178844,2.1376225042212798,2.06553285349431,2.05086136177194,2.0518827617637,2.0522388059701497,2.04435204435204,2.04479065238559,2.06561360874848,2.07808564231738
Little Haiti,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51904761904762,1.61938296445339,1.6666666666666698,1.6666666666666698,1.63661504424779,1.59994275901546,1.54285714285714,1.5625,1.51904761904762,1.51904761904762,1.52509931110776,1.53181461115475,1.56599552572707,1.61904761904762
Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.10357142857143,2.09051097030588,2.07020702070207,2.0844240837696297,1.99550463841876,1.99814026000064,1.9724979712529298,1.9639065817409798,1.9736842105263201,1.99692780337942,2.03188516260163,2.0960698689956296,2.09090909090909,2.09649122807018,2.12981744421907,2.15827338129496,2.15099777621723,2.14329454990814,2.13032581453634,2.13655788655789,2.15894889722025,2.1474609375,2.16998191681736,2.18181818181818,2.2171717171717202,2.21240601503759,2.19876868953386,2.22112537018756,2.2461814914645095,2.25022502250225,2.26073850791258,2.25563909774436,2.25442834138486,2.2727272727272703,2.26168837776983,2.2890778286461697,2.32456140350877,2.32766338406446,2.32766338406446,2.3286759813705897,2.3423423423423397,2.32454399480398,2.32816968271753,2.32350659425912,2.41128298453139,2.37477598566308,2.39419378193866,2.4,2.40183792815372,2.3765243902438997,2.36499319544768,2.34489552785924,2.34489552785924,2.375,2.44274809160305,2.4313675813325,2.49621074067003,2.4922123316104905,2.5,2.48254460822343,2.4818160177740203,2.48161764705882,2.44672454617206,2.4466192170818504,2.4583333333333304,2.44140625,2.43700787401575,2.43288590604027,2.41071428571429,2.41855873642646,2.4347826086956497,2.4442983988087597,2.41301907968575,2.42857142857143,2.46050678715202,2.42857142857143,2.47376311844078,2.4566666666666697,2.46708203905704,2.45454545454545,2.4153074027603503,2.4390243902438997,2.46360594664265,2.5252525252525295,2.54986020503262,2.48478701825558,2.48681235870384,2.47770069375619,2.4946732282809196,2.6041666666666696,2.53487176637306
Wynwood - Edgewater,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1.7647058823529398,1.72711571675302,1.73333333333333,1.70897230487526,1.72463768115942,1.7258766989562198,1.72413793103448,1.7551369863013702,1.7843137254902,1.8159806295399499,1.83858643744031,1.8339768339768299,1.8694105126046399,1.9034986368289302,1.90657769304099,1.92857142857143,1.95171437260045,1.98618307426598,1.99708171206226,2.0428015564202298,2.01923076923077,1.9873532068653998,1.9873532068653998,2.00573065902579,2.01793721973094,2.0443140351659297,2.05029745071449,2.05152671755725,2.09677419354839,2.13378306200524,2.1276595744680904,2.13976949687668,2.14067278287462,2.15962441314554,2.18800648298217,2.19465648854962,2.17054281363821,2.14878321515258,2.16589861751152,2.14285714285714,2.18165952720927,2.14078374455733,2.18165952720927,2.2020725388601003,2.14646464646465,2.14285714285714,2.14285714285714,2.19918034372586,2.17105263157895,2.15973920130399,2.17105263157895,2.2572402044292996,2.28619813717189,2.3771471552388,2.3728813559322,2.33463035019455,2.36842105263158,2.36427320490368,2.3752664755862503,2.38525235054684,2.37605761482675,2.38481195125147,2.4,2.3813376320151,2.33463035019455,2.38549618320611,2.33366434955313,2.35294117647059,2.32083333333333,2.3069826852114703,2.29557069846678,2.25321655367891,2.32226747079261,2.32714412024757,2.32067510548523,2.36096537250787,2.37478411053541,2.39965095986038,2.39294710327456,2.42369991474851,2.4134312696747102,2.38331678252234,2.38549618320611,2.43084660519698,2.44100895036615,2.48091603053435,2.4810765349032797
Downtown,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,1.9440712126301598,1.9402749133613,1.94699567102106,1.94624652455978,1.9400352733686101,1.91820818211535,1.9166666666666698,1.9159911569638899,1.9158499846122101,1.95348837209302,2.0051194539249098,2.0239836741931296,2.08711152445168,2.0960698689956296,2.0374898125509397,2.0253164556962,2.04778156996587,2.05540661304736,2.07877461706783,2.08144796380091,2.13592233009709,2.13880870802322,2.12927756653992,2.15439856373429,2.1496071194714,2.1385799828913603,2.1517599390082,2.17028380634391,2.1852378932001697,2.19679679880961,2.1619135234590603,2.18459923163195,2.21075902726603,2.18446601941748,2.20710257946909,2.24609375,2.2670506297988195,2.2624434389140298,2.2624434389140298,2.2819885900570496,2.2819885900570496,2.28728270814273,2.28260869565217,2.2876888275439,2.3184951283343,2.32508532423208,2.34428879310345,2.35083364556013,2.29990800367985,2.2819885900570496,2.25225225225225,2.2536807420528397,2.28904847396768,2.3228835050990098,2.39520958083832,2.42227664201252,2.40882734571405,2.4579738771515,2.4677822059329397,2.45821042281219,2.4006622516556297,2.39552125252456,2.41860465116279,2.42718446601942,2.5032452914264,2.52427184466019,2.4804934448508797,2.45497285262168,2.43226873576356,2.4006622516556297,2.3925569605940096,2.4279210925644903,2.38559103394898,2.41398844406062,2.30292294065545,2.4262669847500495,2.3936170212766,2.41997513573487,2.4207011686143596,2.37636480411047,2.39071038251366,2.41136869648574,2.39190432382705,2.3844460748349197,2.34776228906823,2.34808711181034,2.38772354443996,2.3685095094685895,2.3581429624171,2.34748610467583
North-East Coconut Grove,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.44444444444444,2.45664739884393,2.45664739884393,2.4821393010056805,2.5,2.5,2.5,2.4792,2.4088472981242,2.42228961334344,2.40195107964747,2.37823834196891,2.30654761904762,2.35197477151404,2.38095238095238,2.3741690408357097,2.4131526104417698
Upper Eastside,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,1.26529790660225,1.3484848484848502,1.37395459976105,1.41414141414141,1.4646464646464599,1.4284482857701102,1.4035087719298203,1.5003692208058899,1.44969367378197,1.51555448098001,1.51515151515152,1.417004048583,1.417004048583,1.4342163195949298,1.4342163195949298,1.41891891891892,1.44444444444444,1.41138956228542,1.4420081226181498,1.42857142857143,1.4730639730639699,1.4856974800321998,1.50337157809984,1.4862804878048799,1.44359006418271,1.48479262672811,1.46058410188845,1.49700598802395,1.52932731747334,1.59045366446569,1.6398929049531499,1.7004048582996,1.6673447247084299,1.5959479015919,1.7590618336886998,1.6205274100010902,1.73333333333333,1.7391304347826102,1.7445652173913,1.8081527245495803,1.81159420289855,1.8181818181818201,1.8125,1.87601957585644,1.87125748502994,1.81553643724696,1.8006211180124199,1.7705927636643601,1.7818574514038898,1.8615546684409,1.9744312185518997,2.03508771929825,1.99784017278618,1.95,2.1014492753623197,2.1,2.1232660781841104,2.13486153326579,2.0754716981132098,2.03804347826087,2.0440251572327,2.05668263360571,2.03366058906031,2.00256010396361,2.0498732037193603,2.05085452842555,2.0498732037193603,2.07100591715976,2.02230968229658,2.0117145899893503,2.03804347826087,2.01288244766506,1.9737954353338998,2.0,2.06349206349206,2.19820554649266,2.02691680261011,2.01041243534541,2.02053769899504,2.15982721382289,2.0907462060195403,1.9318181818181799,1.92135835567471,1.9033708064401698,1.90864600326264,2.0
