Neighborhood,city,state,metro,county,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,1.34529147982063,1.2720156555773001,1.4692378328742,1.48989898989899,1.4901059778108998,1.47658543290677,1.46327187591454,1.40183986850459,1.4432178472111499,1.43675889328063,1.4242424242424199,1.4917695473251,1.49918962722853,1.43396226415094,1.4506990434142801,1.3950892857142903,1.5402852747588,1.5625,1.5125879215221398,1.56041295636687,1.47826086956522,1.47826086956522,1.5459723352319,1.5047021943573702,1.4627194362297902,1.44009216589862,1.51030312509844,1.60142348754448,1.5785157851578502,1.5555957199266002,1.57932561266922,1.60223804679552,1.60223804679552,1.60223804679552,1.5516025485141798,1.5607914253234398,1.69000482858522,1.6990291262135901,1.6990291262135901,1.6709410271822602,1.67898181136596,1.64433617539586,1.6222165991902802,1.61320603904336,1.6237745098039198,1.6072974644403202,1.6897081413210402,1.5836514010863603,1.58906134515891,1.61082157156597,1.60017301038062,1.6316723485733,1.74005190311419,1.692886635111,1.6816961759236801,1.75277777777778,1.7353579175705,1.6569026664915298,1.7144192880518299,1.6897081413210402,1.6897081413210402,1.65942028985507,1.7408906882591102,1.68421052631579,1.83459522422831,1.75128865979381,1.6897081413210402,1.7916666666666698,1.8622019635343603,1.84010152284264,1.7789548022598898,1.71988343209624,1.7552816901408503,1.7279411764705903,1.83798502382573,1.88463646923821,1.8523258452462,1.7664376840039298,1.7291666666666698,1.6897081413210402,1.75995575221239,1.76991150442478,1.8106548717522999,1.81729761211415,1.71932585995086,1.72897196261682
Little Haiti,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57894736842105,1.6666666666666698,1.7684803657109498,1.65892501658925,1.65672921908218,1.66279584162796,1.49824424502536,1.52168083697498,1.49444918872758,1.4807957361367,1.5258180809761501,1.6462840079628402,1.73092105263158,1.66736819634415
Flamingo Lummus,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37579981718464,2.4,2.4880952380952404,2.4,2.5,2.5,2.56410256410256,2.5,2.64831460674157,2.4904580152671802,2.48743718592965,2.5,2.5,2.6175453759723397
Hollywood Hills,Hollywood,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3517902086547,1.27578094698672,1.3488422215592801,1.32921594999802,1.26040137053353,1.25796178343949,1.42454317425506,1.4335868929198403,1.4335868929198403,1.38891865823599,1.39140661233684,1.3561253561253601,1.4158576051779899,1.39246641739371,1.42126208072769
Hollywood Lakes,Hollywood,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,1.5225334957369099,1.50206880322979,1.39405204460967,1.4030612244898,1.35895032802249,1.35895032802249,1.3370646766169199,1.36005384400582,1.4423374406571698,1.4303482587064698,1.41542816702052,1.40679953106682,1.39353400222965,1.3125,1.3782542113323102,1.3935873605948002,1.4324693042291998,1.31655984222852,1.30761700799788,1.3080444735121002,1.32567293581467,1.35746606334842,1.33232780291604,1.32686691281227,1.42531356898518,1.44366415490271,1.4355508048289698,1.4312866613225401,1.42783091384582,1.42531356898518,1.4302059496567499,1.42890869725447,1.4069828035435101,1.3925,1.4092777451556102,1.51768484077799,1.4962593516209497,1.4962593516209497,1.4962593516209497,1.4962593516209497,1.4831610393518,1.4925373134328401,1.5314918463239398,1.56889495225102,1.4957264957265,1.4970283542245701,1.43875,1.45971914264597,1.4574579831932801,1.60183066361556,1.5975769403055,1.4976635514018704,1.53102232803176,1.51745068285281,1.51446899317973,1.52608213096559,1.5555530338177401,1.6489678766254499,1.56799384799654,1.56799384799654,1.6374714394516399,1.6414141414141399,1.77383592017738,1.70361527967258,1.67598346557177,1.66753619407852,1.57347328244275,1.48,1.64618731828934,1.57442287259731,1.4424468566259598,1.4633375474083399,1.51954092007178,1.5836233287830002,1.59756561430202,1.53075304874874,1.6141141141141102,1.6333797502748,1.62387186043607,1.61904761904762,1.6421779434250803,1.61469933184855,1.6292112739748899,1.73645501702196,1.74337517433752,1.74337517433752,1.76533835809864
Villages of Palm Beach Lakes,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0548512856741,1.08682897304775,1.11245954692557,1.08843037737713,1.09223300970874,1.1023462783171498,1.11245954692557,1.11245954692557,1.11245954692557,1.1167101936829298,1.1134739477282298,1.1195018617113799,1.13066343042071,1.11304795528096,1.12316122388938,1.14077669902913
North-East Coconut Grove,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,1.536063363667,1.6241671277942402,1.6241671277942402,1.69230769230769,1.7902246620298898,1.7968287242113101,1.7895490336435198,1.6205266711681297,1.6205266711681297,1.72025941461384,1.6025641025641,1.6739789428858,1.697438951757,1.63194720242962,1.70068027210884,1.71611194813496,1.6134246271480601,1.7217494557688502,1.6819711062735,1.7447332817935801,1.875,1.7109410175596598,1.7392984991848899,1.7809566099974599,1.81159420289855,1.87207488299532,1.9047619047619,1.90020710704164,1.90911976301312,1.9776465853287,1.9384220354808601,1.96932006633499,1.9047619047619,1.8844964653853997,1.93691200885445,2.04222983972242,2.01238390092879,1.8609537299338998,1.90826330532213,1.9936766034327,2.17213114754098,2.16714665485157,2.0952380952381,2.04092359751586,2.11437908496732,2.11864406779661,2.0558187827206003,2.14285714285714,2.0,2.02957724285595,1.9895833333333302,2.22972972972973,2.2666666666666697,2.24663005491762,2.2354694485842,2.06998521439133,2.0697811945594298,1.98457499179521,1.95652173913043,2.0,2.08837772397094,2.07918146918114,2.10909090909091,2.08837772397094,2.0,2.14723926380368,2.14899713467049,2.17687074829932,2.0,1.98457499179521,2.21784130113356,2.0,2.21784130113356,2.17311806229119,2.1978021978022,2.20445736434109,2.37292458987033,2.3581899298916498,2.31878409976617,2.24014336917563,2.24270233836263,2.29814814814815,2.3,2.26607142857143,2.32164616285882,2.22868217054264,2.22868217054264
Upper Eastside,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9935691318328,1.89710610932476,1.94855305466238,1.85676392572944,1.91830888152142,2.03703703703704,1.9576416871058202,1.88253012048193,1.9464720194647198,2.03703703703704,2.0731707317073202,2.1502484240798,2.03703703703704,1.99288256227758,2.0999115826701997
Water Catchment Area,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04121376811594,1.08898324606491,1.06439595529537,1.08079189632704,1.08319994676125,1.07286544479213,1.0994587280108299,1.12852664576802,1.1178678897125,1.1286681715575602,1.09597156398104,1.09597156398104,1.08423005253907
South-West Coconut Grove,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12767462422635,2.12161401816574,2.06735221142429,2.1157570810668997,2.15404699738903,2.1695402298850603,2.15311004784689,2.1670428893905203,2.32594321275768,2.22285917161904,2.22841225626741,2.1666666666666696,2.23665510772554,2.2314171570267405,2.2440392706872405
