Neighborhood,city,state,metro,county,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175.0,2000.0,2050.0,2125.0,2200.0,2200.0,2200.0,2000.0,2100.0,2200.0,1975.0,2000.0,2097.5,2000.0,1925.0
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297.5,2197.0,2000.0,2100.0,2200.0,2312.5,2300.0,2200.0,2200.0,2300.0,2500.0,2500.0,2375.0,2400.0,2400.0,2400.0,2300.0,2325.0,2350.0,2365.0,2365.0,2365.0,2400.0,2450.0,2550.0,2600.0,2450.0,2500.0,2500.0,2400.0,2300.0,2400.0,2562.5,2500.0,2375.0,2512.5,2800.0,2600.0,2650.0,2700.0,2400.0,2200.0,2400.0,2425.0,2699.5,2625.0,2500.0,2500.0,2550.0,2550.0,2700.0,2325.0,2325.0,2500.0,2250.0,2300.0,2500.0,2500.0,2800.0,2600.0,2600.0,2500.0,2564.5,2500.0,2500.0,2475.0,2421.0,2495.0,2456.0,2475.5
Little Haiti,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199.5,2050.0,1900.0,1975.0,2000.0,2100.0,1800.0,1874.5,1850.0,1900.0,1999.0,1947.5
Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650.0,2750.0,2475.0,2562.5,2650.0,3000.0,2975.0,2708.0,2937.5,2850.0,2900.0,2900.0
Hollywood Hills,Hollywood,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.0,2415.0,2323.0,2300.0,2360.0,2400.0,2450.0,2405.0,2415.0,2395.0,2400.0,2331.0,2450.0,2415.0,2450.0
Hollywood Lakes,Hollywood,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,2000.0,2150.0,2175.0,2200.0,2100.0,2125.0,2200.0,2250.0,2250.0,2250.0,2250.0,2100.0,2300.0,2195.0,2000.0,2000.0,2000.0,2000.0,2100.0,2212.5,2250.0,2200.0,2300.0,2300.0,2325.0,2350.0,2300.0,2400.0,2400.0,2350.0,2300.0,2350.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2450.0,2450.0,2400.0,2400.0,2400.0,2400.0,2500.0,2450.0,2547.5,2500.0,2400.0,2395.0,2395.0,2325.0,2400.0,2500.0,2600.0,2600.0,2500.0,2500.0,2500.0,2575.0,2750.0,2500.0,2625.0,2425.0,2400.0,2450.0,2500.0,2400.0,2431.0,2475.0,2500.0,2500.0,2400.0,2400.0,2500.0,2500.0,2550.0,2550.0,2500.0,2500.0,2700.0,2650.0,2515.0,2650.0
Villages of Palm Beach Lakes,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,1400.0,1442.5,1475.0,1462.5,1400.0,1412.5,1425.0,1450.0,1450.0,1487.5,1450.0,1475.0,1487.5,1500.0,1475.0
Water Catchment Area,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825.0,1775.0,2000.0,1840.0,1850.0,1900.0,1989.5,2042.5,2000.0,2050.0,2050.0,2000.0,2100.0,2052.5
Isle of Normandy,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3825.0,3725.0,3725.0,4200.0,4100.0,4000.0,3800.0,3800.0,3700.0,3700.0,3700.0,4100.0,4000.0,4200.0,4200.0
Victoria Park,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,3150.0,3462.5,3600.0,3300.0,3000.0,3000.0,3200.0,3500.0,3225.0,3200.0,3375.0,3250.0,3200.0,3200.0
