Zip,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715000.0,699000.0,699000.0,699000.0,725000.0,745000.0,724500.0,720000.0,729999.0,730000.0,729000.0,750000.0,725000.0,730000.0,732500.0,725000.0,725000.0,750000.0
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159000.0,150000.0,149000.0,145950.0,145000.0,140000.0,140900.0,148000.0,145000.0,145000.0,143250.0,149894.0,154880.0,155000.0,154450.0,155000.0,149900.0,150500.0,158000.0,156450.5,159838.5,159900.0,169000.0,184900.0,191000.0,194000.0,194000.0,184999.5,179999.0,192000.0,198888.0,198000.0,199450.0,209900.0,207000.0,205000.0,200000.0,202500.0,210000.0,213000.0,205000.0,210000.0,211950.0,200000.0,199900.0,194400.0,224900.0,219000.0,224000.0,224900.0,220000.0,219900.0,215000.0
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191250.0,195750.0,190000.0,217000.0,219950.0,224900.0,222000.0,239900.0,240000.0,240000.0,236900.0,238000.0,242950.0,235750.0,239900.0,254900.0,258200.0,250000.0,249900.0,254900.0,259900.0,264900.0,269900.0,275000.0,275000.0,274900.0,260000.0,264000.0,269000.0,271250.0,269900.0,269900.0,275000.0,283500.0,285000.0,279800.0,275250.0,274900.0,279990.0,279900.0,286000.0,285000.0,285000.0,289900.0,298000.0,299900.0,300000.0,300000.0,309997.0,309999.0,310000.0,315000.0,319000.0
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384000.0,451450.0,418950.0,400000.0,429000.0,399000.0,395000.0,425000.0,399000.0,397900.0,399000.0,385000.0,430000.0,429000.0,429000.0,394450.0,379000.0,399000.0,399000.0,399000.0,394000.0,409000.0,415000.0,425000.0,449900.0,449900.0,430000.0,415000.0,412000.0,419000.0,412500.0,429000.0,426500.0,435000.0,432500.0,450000.0,479000.0,459000.0,459000.0,450000.0,479000.0,475000.0,475000.0,473500.0,459000.0,450000.0,450000.0,450000.0,450000.0,450000.0,457000.0,450000.0,449999.5,450000.0,450000.0,450000.0,440000.0,449000.0,440000.0,439900.0,440000.0,445000.0,450000.0,450000.0
33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900.0,169900.0,169900.0,174900.0,175000.0,174900.0,179900.0,179000.0,179450.0,179000.0,179000.0,179900.0,175000.0,175000.0,175100.0,189900.0,194950.0,189900.0,189900.0,199000.0,204900.0,214900.0,219000.0,224900.0,214950.0,218000.0,229900.0,227900.0,224900.0,229900.0,239000.0,239900.0,239999.0,249000.0,249900.0,249000.0,249900.0,255000.0,249900.0,250000.0,259000.0,259850.0,259900.0,265000.0,269000.0,269000.0,269900.0,270000.0,270000.0,278950.0,275000.0,279900.0,280000.0
33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000.0,239900.0,249999.0,249000.0,235000.0,229000.0,227450.0,225000.0,228250.0,229000.0,229000.0,229900.0,229900.0,229000.0,229900.0,239900.0,235000.0,239999.5,233950.0,229000.0,230000.0,229000.0,239388.5,249000.0,249000.0,249900.0,260000.0,259895.0,264999.0,258250.0,255000.0,260000.0,260000.0,269900.0,274900.0,270750.0,269900.0,279450.0,289000.0,289000.0,280000.0,279900.0,279900.0,279949.5,287000.0,287000.0,289000.0,289700.0,292497.5,288400.0,280000.0,279000.0,274815.5,274949.5,273500.0
33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219500.0,220000.0,200000.0,205000.0,199000.0,199900.0,210000.0,219450.0,224941.5,228500.0,224900.0,225000.0,235000.0,239000.0,229997.5,235000.0,243900.0,239000.0,239000.0,239450.0,245000.0,260000.0,265000.0,278050.0,289000.0,289000.0,272000.0,269900.0,265000.0,279450.0,280000.0,285000.0,280000.0,284900.0,285000.0,284995.0,285000.0,285000.0,286000.0,285000.0,279900.0,284950.0,289500.0,289999.0,289250.0,295000.0,299000.0,296250.0,299000.0,295000.0,299000.0,304000.0,305000.0
33311,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000.0,108000.0,110000.0,112000.0,113500.0,109700.0,105000.0,110000.0,110000.0,115000.0,112250.0,119000.0,115000.0,119000.0,119900.0,130000.0,120000.0,119900.0,116200.0,115000.0,119900.0,123900.0,127500.0,129444.0,129900.0,134000.0,133500.0,139900.0,139950.0,140000.0,144950.0,139000.0,139000.0,145000.0,150000.0,159000.0,159000.0,162000.0,169800.0,170000.0,170000.0,172858.0,175000.0,175900.0,185000.0,185000.0,185000.0,185000.0,191000.0,185450.0,189000.0,198000.0,198999.5
33064,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145500.0,139900.0,135000.0,134700.0,125000.0,127900.0,123911.0,130000.0,129900.0,130000.0,129900.0,130000.0,134900.0,134900.0,140000.0,149900.0,149000.0,139000.0,140000.0,145000.0,155000.0,174974.5,174000.0,174999.5,179450.0,174900.0,169000.0,172500.0,172500.0,184500.0,185000.0,189900.0,192900.0,199900.0,221950.0,228500.0,233900.0,229900.0,229995.0,224900.0,225000.0,224900.0,239800.0,235000.0,239894.0,240000.0,235000.0,229900.0,237000.0,235000.0,238788.0,235000.0,237500.0
33027,Miramar,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285990.0,279900.0,264900.0,269950.0,278300.0,279400.0,280000.0,280000.0,299000.0,300000.0,299900.0,289900.0,278997.5,280000.0,284999.5,295800.0,299999.5,300000.0,299000.0,300000.0,318000.0,310000.0,314900.0,301050.0,280000.0,280000.0,258200.0,265000.0,262000.0,304610.0,309000.0,310000.0,309444.0,305000.0,305000.0,300000.0,300000.0,295000.0,295500.0,299947.5,314497.5,319700.0,325000.0,319296.0,314000.0,309995.0,309000.0,299000.0,305000.0,299250.0,289000.0,300000.0,290000.0
33063,Margate,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102450.0,104950.0,109250.0,98750.0,98000.0,109000.0,109000.0,118950.0,125000.0,119900.0,115000.0,96750.0,100000.0,115000.0,124900.0,118306.0,124950.0,125250.0,127000.0,125000.0,127000.0,135000.0,129900.0,126750.0,124800.0,138050.0,137100.0,139945.0,148500.0,155000.0,159500.0,162500.0,144000.0,143250.0,139000.0,139900.0,140000.0,147000.0,150277.5,162000.0,150000.0,147000.0,151832.5,156000.0,150000.0,157000.0,149900.0,139900.0,140000.0,149450.0,165000.0
33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900.0,67400.0,64999.5,62000.0,60000.0,59000.0,59000.0,59000.0,59900.0,59900.0,59900.0,59900.0,56250.0,59900.0,59900.0,61500.0,61900.0,60000.0,61900.0,60000.0,65000.0,74900.0,69900.0,69800.0,65000.0,64900.0,62888.0,63000.0,65000.0,64949.5,68000.0,69700.0,69325.0,71000.0,69900.0,70000.0,70000.0,69900.0,70000.0,70000.0,70900.0,71500.0,70750.0,74999.0,74903.5,74403.5,74900.0,75000.0,74907.0,72250.0,75000.0,75900.0,78000.0
33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000.0,80000.0,80000.0,84500.0,83000.0,79900.0,80000.0,79900.0,79900.0,80000.0,84500.0,82000.0,84500.0,82000.0,83950.0,84999.0,84999.0,79995.0,82000.0,80000.0,84800.0,84900.0,79900.0,84500.0,85000.0,85000.0,86843.0,89000.0,89000.0,89900.0,89900.0,92500.0,95000.0,95000.0,95500.0,95000.0,98950.0,97000.0,99000.0,99900.0,105000.0,105000.0,99500.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99000.0,99949.5,100000.0
33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900.0,132000.0,129900.0,129900.0,128500.0,125450.0,124999.0,124900.0,124900.0,127700.0,129900.0,134900.0,129900.0,127500.0,134450.0,137000.0,134400.0,133200.0,132452.5,130000.0,136500.0,135000.0,136500.0,143220.5,145000.0,149900.0,149900.0,145277.5,149900.0,149900.0,154900.0,165000.0,161950.0,165000.0,168450.0,159950.0,164900.0,164950.0,164900.0,169950.0,178950.0,179950.0,181900.0,180000.0,181900.0,189000.0,184950.0,189900.0,189000.0,184900.0,170450.0,182450.0,189900.0
33467,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259000.0,248950.0,239900.0,238750.0,249900.0,244000.0,248000.0,229900.0,227844.0,246500.0,239000.0,250000.0,269000.0,257000.0,259900.0,249950.0,245000.0,231000.0,225000.0,239998.0,239900.0,249900.0,264900.0,269500.0,269900.0,276350.0,279900.0,269000.0,274450.0,279949.5,279900.0,289900.0,299250.0,289900.0,319000.0,325000.0,325000.0,315000.0,309450.0,289900.0,299000.0,289900.0,289950.0
33157,Village of Palmetto Bay,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229500.0,212400.0,195000.0,202480.0,225000.0,245000.0,250000.0,255000.0,259000.0,240000.0,248000.0,250000.0,255000.0,249950.0,243950.0,261400.0,289900.0,289900.0,253700.0,259900.0,280000.0,295000.0,299000.0,299450.0,299999.0,299000.0,299000.0,299999.0,299999.0,320000.0,320000.0,339950.0,349900.0,365000.0,379999.0,350000.0,375000.0,398000.0,389000.0,375000.0,359750.0,350000.0,382500.0,399000.0,390500.0,380000.0,394500.0,387000.0,380000.0,385000.0,390000.0,399949.5,419000.0
33458,Jupiter,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345000.0,349000.0,382757.5,381838.5,394000.0,395500.0,373750.0,398000.0,399000.0,399700.0,399000.0,375000.0,399900.0,429490.0,443700.0,439450.0,427000.0,399900.0,414900.0,419000.0,404500.0,399900.0,399900.0,399925.0,399990.0,399999.0,419000.0,435000.0,435000.0,416735.0,425000.0,425000.0,409000.0,415000.0,419000.0,419000.0,420000.0,411995.0,399999.5,395450.0,414500.0,426624.0,424950.0,432000.0,437922.5,399000.0,379450.0,392000.0,439000.0,439000.0,415000.0,439900.0,451950.0
