Zip,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
33125,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.926112510495,177.86377708978299,169.89099157363898,167.032215129957,165.61514195583598,154.272151898734,163.432073544433,181.055452092281,181.541920171867,180.48128342246002,182.01019664967203,181.77548144668899,188.07578658264802,188.72109485606398,195.567144719687,198.888888888889,221.238938053097,221.238938053097,220.17045454545502,223.43883666409698,216.145555687954,216.581981629861,216.796440489433,216.02305155375802,228.06857957737301,228.39530332681,238.634725166748,243.42105263157902,251.989389920424,236.73121422482004,235.507246376812,233.19970348658902,231.78564624554298,231.527093596059,230.79244853213402,230.880648899189,238.095238095238,243.86603130031398,243.212669683258
33126,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.095238095238,140.44943820224702,144.333333333333,145.55303030303003,147.435398841932,149.911388010184,150.919936727662,156.471816283925,158.195556703694,155.172413793103,155.0,153.427611453789,157.16112531969299,159.96343692870198,159.96343692870198,163.475011676787,160.559811770639,155.219757320282,157.18096833936002,163.362068965517,163.362068965517,163.934426229508,163.934426229508,168.539325842697,179.85752135862597,182.528323807593,184.557359248847,182.089552238806,180.165289256198,185.596372936526,189.07563025210098,188.681932102985,187.96992481203,183.333333333333,189.405139800844,189.655172413793,189.02900378310198,193.92033542976898,190.575668492268,198.76146580692,203.500562000723,204.357343786352,206.09945538945098,210.641777577261,208.86287625418097,205.070842654735,208.333333333333,210.535117056856,211.08119787605,210.508355138989,210.53154398473302,211.922731937603,211.225658648339
33130,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,247.390349284729,254.47310089825,254.684838160136,268.802293251719,270.380434782609,279.715116825252,280.56426332288396,270.910780669145,274.541411895498,275.023051972706,290.691927512356,294.117647058824,294.584837545126,308.1876724931,309.28013577884104,332.936034962257,312.095198399872,333.33333333333303,339.543269230769,344.927587638401,351.390347603786,358.31960461285,364.815177638454,374.117065449675,367.98536135885496,377.755362466178,374.904361132364,378.70826004022797,377.969762419006,379.40964722822196,376.840723295977,377.79653987439303,384.95782456540803,390.438247011952,395.764063897938,391.638225255973,391.476709613479,391.539153915392,391.356508171372,399.492749114834,400.763358778626,411.161731207289,407.951365756163,401.21375590020205,399.239543726236,397.37248920982694,391.638225255973,392.657068062827,393.77136823328595,399.809160305344,401.03945568605303,400.784419916099,404.58015267175597,407.608695652174,414.573593334282,414.568232707017,408.469945355191,406.25,414.127423822715,406.193592057762,401.748839328947,398.648648648649,400.363967242948,399.441340782123,399.441340782123,396.89578713969,397.286760653407,401.891252955083,398.648648648649,396.82539682539704,394.81268011527396,399.22657261366896,406.702898550725,419.19703539845904,424.283853722733,425.894209246997,428.510221569348,435.780669144981,439.366952643816,438.282647584973,437.547027269394,437.19151120034303
33131,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,333.33333333333303,327.03488372093,325.131162728185,319.535221496006,328.125,312.5,316.285403050109,323.290845886443,329.16666666666697,315.909090909091,321.983200567868,330.578512396694,333.33333333333303,354.430379746835,348.070262627664,350.0,367.56537562110606,371.58551688629797,371.58551688629797,372.067648663393,370.639534883721,371.77768612085,385.174418604651,391.00522494593696,375.94080569164004,376.260667183863,384.486893315018,392.69020582767797,392.95392953929496,392.97696476964796,400.58530924106697,424.460431654676,443.577004968062,419.847328244275,431.034482758621,441.319107662464,443.808160343593,443.03061524874903,442.069653479369,445.36817102137803,459.60790711586,462.96296296296305,466.101694915254,468.935570071259,480.663450768346,489.103291713961,492.87802840434404,490.074441687345,489.75957257346397,490.074441687345,486.31177893362394,486.802153294197,490.935654620375,494.791666666667,497.46009020280604,501.389757487318,503.730523120525,507.16648291069504,507.599358280438,512.124948049451,507.8125,510.0,498.823529411765,499.112126090965,503.47322720694604,499.489716366762,509.44626293087003,511.189266314551,515.888922888617,511.565836298932,516.0680038089109,515.789473684211,513.483420428409,512.679162072767,506.54588544343596,501.412157267697,496.906449501747,499.039197206399,493.891797556719,494.66223492379095,500.0,494.987468671679,494.99949028365194,493.17905123420405,494.509048649281,488.964944649446,488.128212276959,487.975174553918,490.50632911392404,489.03016204075107,484.731752337386,488.825846905086,490.42145593869697,491.985203452528,493.78666255017,492.04743083004007,490.626722712238,487.07856112015196,491.641101278269
33133,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,310.903426791277,311.46675098962396,303.147432357813,299.6003996004,299.547502047502,297.397769516729,291.02667744543203,279.251170046802,273.754339856969,273.134328358209,271.284495178987,277.03261151911596,277.11065952337003,286.885245901639,279.689746342808,283.489096573209,283.630470016207,280.645161290323,280.693533270853,278.764204545455,270.216934250765,271.71419206817404,272.716199756395,267.916275954454,268.867924528302,268.867924528302,271.17572692793897,276.82246250436003,284.692417739628,294.960995150748,299.51836243227,297.975924633636,303.519061583578,272.87319422150904,310.169275185232,317.977528089888,324.675324675325,334.70648815654,334.61943112862997,344.389514048707,333.86327503974604,343.257944460349,340.983945852212,343.257944460349,343.322093923296,343.257944460349,350.187265917603,346.15384615384596,345.225164574708,344.60052677787496,340.853658536585,349.654136477769,351.062299537252,353.068592057762,358.641739793972,369.135874100154,363.60626128838,356.697819314642,367.57814745543504,372.72727272727303,387.353878852285,385.26570048309196,396.46017699115,382.65432098765405,379.188922532576,382.789317507418,385.75028535443,389.36170212766,400.91400083091,404.880952380952,392.071477514515,400.92156672063,413.481329498159,414.41377456247,413.447782546495,415.217075197341,409.632676722649,413.921360255048,405.22006141248704,414.48275862069,421.191354770691,430.34746573159106,442.11287183201796,440.479686735193,451.61290322580595,442.52996575342496,441.294731539927,437.78801843318,442.277049093974,446.063183930445,445.632798573975,448.75330032726896,448.236196319018,447.570332480818,448.613376835237,448.613376835237,448.654808972986,459.322033898305,459.520911870343
33135,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.992045406736,129.805704836709,128.344370860927,124.60984182776801,126.51646447140399,127.11864406779699,133.492664546776,131.074343004351,136.861313868613,140.845070422535,139.906491560854,148.390174225593,150.76071922545,176.540483993408,173.10252996005298,171.120769008232,165.552363203396,159.786950732357,161.192214111922,160.538636656501,166.781289230937,179.196556671449,172.413793103448,173.03448275862098,198.60627177700297,193.628670980587,191.626409017713,190.019193857965,174.417214042068,187.803800265135,194.963346151916,199.85714285714297,196.785832432533,193.385650224215,198.236914600551,199.75639512003102,193.385650224215,198.284083802376,197.368421052632,202.415376591744,200.750821210699,201.495637723307,217.489213040814,205.479452054795,203.225806451613,206.18800188946602,206.99881376038002,207.438361128386,206.99881376038002,213.77578537576198,214.281428571429,217.711687314754,241.28402929090402,229.591836734694
33138,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,192.780937312922,197.471764414659,195.882012527233,191.12723214285703,187.110203615024,180.835878428466,177.311827956989,174.302788844622,168.752113628678,162.008365417723,155.376009944065,155.57476231633498,150.0,147.326282111018,151.951375559821,157.55627009646298,161.309703467885,160.320641282565,161.879049676026,161.48306925006,159.63511972633998,156.60542432196002,149.350649350649,149.969951923077,152.029985343943,162.214983713355,151.51515151515198,134.934054785255,137.16922427749202,144.997306513849,160.093582887701,175.973548861132,179.764112396279,156.742535783249,182.481751824818,182.481751824818,187.645051194539,191.62087912087898,189.688704685299,194.575556068665,196.02718243596402,196.276595744681,209.194214876033,208.331547272041,210.0,219.11138161898998,229.160637143755,235.68381044880402,233.077905491699,237.373737373737,235.433070866142,233.793836344315,231.545844593653,233.67821115702702,238.296077604386,245.20255863539398,247.90236460717003,246.71532846715303,246.640631266544,250.237535938122,252.816879059501,252.53675591340303,253.396838174122,251.841786140635,248.96265560166,250.582750582751,257.68041237113397,271.684425896447,279.03888376110297,273.26592430082803,276.75134719014596,276.326851034525,282.617902473179,285.064935064935,288.714049861355,289.17207879472,292.91527216038503,290.207522697795,296.417782767931,294.685006596006,292.12794882468603,293.190416141236,292.12794882468603,288.489039121303,295.185810810811,296.921549155909,298.105858129912,298.672566371681,300.0,299.303388052596,293.290169491525,299.398631308811,297.088823358442,295.834648914926,299.63898916967497,302.488349980249,302.642592592593,306.344628695025,305.43464276642504
33137,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.475016436555,356.25,359.877017678709,366.52491282953696,360.08230452674894,369.04761904761904,372.04903606312797,375.180375180375,388.313609467456,380.476556495004,379.96430564476196,380.848748639826,388.60103626943,381.433823529412,390.679046397901,387.737478411054,395.128676470588,402.046783625731,405.008635578584,414.044053485268,414.781297134238,414.781297134238,411.371446422993,412.21374045801497,409.81240981240995,405.162564340036,406.123197438927,430.75684380032203,439.27737804927597,454.830614805521,456.475583864119,464.834276475344,472.473166368515,483.319055944843,504.329085457271,486.202365308804,482.708259155227,475.046210720887,471.164309031556,464.73893007117994,459.92115637319296,451.167728237792,450.340136054422,446.198347107438,445.859872611465,448.399390916714,446.63088849135397,446.13710554950995,445.26500451130204,442.83413848631204,445.833333333333,454.96009122006797,452.98379982711197,450.262344176081,447.84172661870497,453.35085413929,453.00592718035597,451.53532793925996,445.152337736002,453.349540078844
33145,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.51996285979598,224.11214953271,220.897207774432,224.48096885813098,221.595487510073,232.97738990587,221.88562177590302,234.93450767841,249.830737982397,247.892985207039,254.028735548513,248.112189859763,247.813411078717,251.95888259753997,251.95888259753997,258.052410617551,252.106741573034,252.106741573034,260.61397779229304,257.297309858893,261.484098939929,261.484098939929,261.152042866711,264.463469561657,273.48320129068804,273.367227219398,278.048780487805,279.55,282.079851930196,285.847355769231,285.847355769231,280.10670731707296,276.912538720798,280.728594816093,281.443880428652,285.442073170732,285.605483625286,284.602784602785,287.198981534361,297.115341637342,294.665976178146,292.58037922506196,292.553191489362,287.62653435357896,292.354733019882,292.211186617878,292.792792792793,294.498381877023,294.654261693228,292.72972972972997,286.983795086252,292.66666666666697,298.087962962963
33144,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.207961448335,144.982871074183,156.050955414013,153.909766883376,152.827300406969,166.428704512104,161.85785358429501,161.53665517587,160.060210737582,155.39381095289,153.567888999009,155.795148247978,163.398692810458,157.91638213149798,155.647734524569,166.03194556410298,185.326030599302,174.82823235477798,172.834688807872,175.837492180378,178.97236657511502,186.59730722154202,181.547619047619,185.875706214689,187.296416938111,177.401129943503,181.05158730158698,199.339987570989,203.379224030038,205.039963091809,211.485538989347,213.488372093023,200.36540803897702,197.515979081929,183.14163161911,195.59992718125199,212.157255245452,210.77820855573398,212.09902586519902,223.050453587255,218.301489236943,211.526670754139,211.51601445208303,210.557986870897,225.726654298083,220.81550046996202,220.50147492625402,238.296871324394,230.02092050209203,223.16384180791002,227.436573483525,230.205831176206,239.576154135915
