RegionID,Zip,city,state,metro,county,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
72429,33126,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,6.73,6.6,6.5,6.48,6.32,6.22,6.12,6.01,5.94,5.81,5.74,5.65,5.58,5.59,5.65,5.61,5.61,5.56,5.66,5.74,5.76,5.87,5.9,6.06,6.24,6.25,6.39,6.5,6.56,6.76,6.83,6.95,7.03,7.05,7.05,7.01,7.13,7.37,7.54,7.58,7.81,7.97,8.22,8.22,8.34,8.48,8.51,8.51,8.46,8.55,8.62,8.64,8.67,8.58,8.57,8.55,8.57,8.55,8.54,8.55,8.56,8.56,8.58,8.56,8.61,8.61,8.73,8.74,8.79,8.97,8.92,8.95,8.97,9.03,9.14,9.1,9.12,9.12,9.11,9.07,9.17,9.11,9.16,9.24,9.45,9.52,9.51,9.62,9.71,9.76
72433,33130,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,9.28,9.29,9.49,9.67,9.65,9.63,9.67,9.77,9.7,9.62,9.58,9.74,9.73,9.7,9.72,9.69,9.71,9.81,10.1,10.32,10.57,10.67,10.79,10.95,11.12,11.2,11.38,11.61,11.84,12.14,12.27,12.45,12.66,12.75,12.83,12.72,12.93,12.96,13.02,13.13,13.19,13.18,12.83,12.86,12.88,12.76,12.59,12.6,12.69,12.6,12.62,12.52,12.45,12.36,12.16,11.93,11.83,11.85,11.78,11.77,11.77,11.92,11.92,11.91,11.76,11.6,11.44,11.44,11.37,11.6,11.6,11.55,11.59,11.68,11.8,11.87,11.72,11.66,11.67,11.74,11.68,11.5,11.45,11.36,11.47,11.37,11.25,11.27,11.52,11.56
72434,33131,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,11.41,11.41,11.56,11.55,11.62,11.65,11.79,11.88,12.1,12.07,11.96,11.96,11.87,11.81,11.96,12.08,12.13,12.25,12.52,12.68,12.86,12.92,12.96,12.94,13.04,13.29,13.47,13.61,13.75,13.95,14.0,14.17,14.33,14.46,14.62,14.65,14.85,14.83,14.87,14.97,15.05,15.12,14.83,14.74,14.74,14.63,14.42,14.34,14.52,14.42,14.48,14.53,14.41,14.29,14.16,13.96,13.89,13.95,13.83,13.81,13.87,14.02,13.72,13.54,13.48,13.42,13.39,13.29,13.23,13.16,13.24,13.26,13.35,13.49,13.63,13.72,13.7,13.65,13.55,13.45,13.47,13.36,13.23,13.19,13.41,13.44,13.37,13.32,13.4,13.28
72436,33133,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,12.83,12.74,12.72,12.87,13.04,13.01,13.1,13.15,13.04,12.95,12.9,12.82,12.87,12.96,12.95,13.06,13.14,13.3,13.51,13.57,13.62,13.6,13.5,13.55,13.47,13.63,13.61,13.81,13.87,14.0,14.05,14.14,14.42,14.52,14.67,14.64,14.75,14.73,14.77,14.92,15.04,15.17,14.84,14.72,14.7,14.59,14.43,14.54,14.58,14.73,14.71,14.93,15.0,14.84,14.72,14.5,14.55,14.62,14.55,14.63,14.64,14.77,14.13,14.01,14.25,14.18,14.23,13.8,13.71,13.56,13.68,13.84,13.92,14.28,14.61,14.64,14.55,14.55,14.46,14.48,14.59,14.56,14.48,14.58,14.91,14.91,14.89,14.91,15.1,15.03
72441,33138,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,10.21,10.35,10.38,10.37,10.41,10.47,10.43,10.44,10.61,10.74,10.69,10.58,10.59,10.58,10.68,10.92,10.63,10.7,10.92,10.87,11.02,11.29,11.32,11.54,11.53,11.97,12.01,12.28,12.15,12.23,12.54,12.75,13.17,13.14,13.02,13.02,13.25,12.99,13.06,13.1,13.17,13.17,12.85,12.66,12.87,12.66,12.49,12.28,12.17,12.33,12.35,12.38,12.36,12.35,12.29,12.3,12.36,12.54,12.83,13.01,13.06,13.18,13.03,13.0,13.14,13.14,13.17,13.65,13.69,13.31,13.54,13.78,13.88,14.04,14.14,14.16,14.1,13.91,13.89,14.02,14.24,14.3,14.29,14.36,14.6,14.63,14.61,14.62,14.85,14.83
72448,33145,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,9.68,9.55,9.55,9.37,9.3,9.4,9.21,9.01,9.15,9.29,9.06,9.02,9.18,9.29,9.02,9.23,9.33,9.57,9.74,9.66,9.77,9.78,10.08,10.33,10.18,10.0,10.1,10.55,10.6,10.9,11.04,11.28,11.38,11.6,11.65,11.45,11.53,11.58,11.6,11.61,11.67,11.64,11.54,11.54,11.61,11.67,11.69,11.81,11.67,11.64,11.7,11.77,11.86,11.83,11.97,11.94,11.84,11.9,11.9,11.88,11.89,12.03,12.19,12.26,12.52,12.56,12.53,13.29,13.38,13.41,13.62,13.8,13.77,13.77,13.94,14.09,14.02,13.99,13.69,13.49,13.65,13.67,13.71,13.77,13.91,13.89,13.84,13.91,14.19,14.22
72447,33144,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,9.65,9.53,9.5,9.35,9.38,9.26,9.05,8.91,8.9,8.84,8.55,8.54,8.39,8.37,8.38,8.5,8.59,8.62,8.77,8.91,9.19,9.11,9.14,9.35,9.24,9.28,9.35,9.36,9.37,9.49,9.56,9.45,9.57,9.75,9.72,9.65,9.87,9.81,9.91,10.1,10.34,10.2,10.28,10.41,10.38,10.22,10.21,10.31,10.1,10.22,10.34,10.44,10.4,10.34,10.47,10.49,10.48,10.54,10.48,10.58,10.67,10.82,10.91,10.95,10.8,10.74,10.72,11.04,11.11,11.52,11.54,11.6,11.73,11.78,11.87,11.9,11.87,11.89,11.83,11.85,11.98,12.12,12.26,12.43,12.73,12.85,12.85,12.79,12.91,12.85
72432,33129,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,11.36,11.17,11.21,11.13,11.14,11.2,11.3,11.47,11.47,11.39,11.31,11.34,11.42,11.56,11.51,11.46,11.7,11.74,11.91,12.18,12.34,12.32,12.12,12.17,12.24,12.54,12.65,12.95,13.01,13.14,13.46,13.58,13.72,13.96,14.12,14.07,14.28,14.25,14.39,14.59,14.64,14.62,14.37,14.4,14.5,14.35,14.35,14.38,14.41,14.55,14.57,14.62,14.56,14.5,14.45,14.28,14.28,14.36,14.18,14.24,14.24,14.42,13.91,13.77,14.04,14.02,14.14,14.03,13.8,13.49,13.74,13.86,13.96,14.23,14.39,14.44,14.45,14.37,14.29,14.19,14.38,14.29,14.26,14.23,14.4,14.36,14.35,14.34,14.5,14.42
72435,33132,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,10.94,10.87,10.95,11.02,11.06,11.13,11.18,11.13,11.23,11.21,11.2,11.28,11.14,11.1,11.13,11.23,11.16,11.25,11.42,11.65,12.02,12.05,12.19,12.29,12.61,12.9,13.12,13.22,13.46,13.68,13.67,13.8,14.01,14.04,14.12,14.08,14.49,14.61,14.68,14.8,14.88,14.79,14.58,14.42,14.48,14.33,14.35,14.34,14.33,14.33,14.21,14.32,14.4,14.21,14.09,13.86,13.7,13.74,13.57,13.6,13.53,13.85,13.19,13.19,13.27,13.13,13.0,13.16,13.16,13.01,13.11,13.19,13.14,13.31,13.46,13.41,13.54,13.48,13.36,13.31,13.33,13.39,13.28,13.24,13.4,13.32,13.24,13.16,13.17,13.1
72431,33128,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,5.69,5.71,5.76,6.07,6.22,6.29,6.25,6.16,6.39,6.6,6.64,6.76,6.76,6.66,6.6,6.55,6.59,6.82,7.27,7.3,7.34,7.45,7.53,7.6,7.67,7.78,7.93,7.82,7.98,7.84,7.84,7.83,7.67,7.74,8.1,8.16,8.03,8.23,8.38,7.36,7.55,8.8,8.68,8.35,8.13,8.2,8.22,8.25,8.27,8.44,8.48,8.54,8.59,8.74,8.85,8.89,8.86,8.72,8.79,8.84,9.31,9.23
