Neighborhood,city,state,metro,county,rent_1br_sqft,rent_1br_monthly,rent_2br_sqft,rent_2br_monthly,rent_sf_sqft,rent_sf_monthly,buy_home,buy_home_sqft,price_rent_ratio
Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.25232788561931,1480.0,1.99369838598977,1650.0,,,259500.0,246.30403896632998,
Flagami,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.02919708029197,,1.8080072226892097,1600.0,,,270000.0,234.833659491194,11.48
Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.06703154425612,1500.0,1.7977528089887602,1750.0,,1925.0,290000.0,251.392673143558,12.37
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.46595027391488,1750.0,2.07808564231738,2200.0,1.72897196261682,2475.5,430000.0,311.423414493548,14.26
Flamingo Lummus,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.65957446808511,1700.0,2.5,2529.0,2.61754537597234,,289900.0,437.056010928962,12.08
Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.70760049065861,2119.0,2.53487176637306,2890.0,,2900.0,499900.0,486.8708971553609,13.13
Wynwood - Edgewater,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.63721804511278,2100.0,2.48107653490328,2900.0,,,479450.0,429.07180385289,12.68
Villages of Palm Beach Lakes,West Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,1.685,1250.0,1.17313915857605,1350.0,1.14077669902913,1475.0,159450.0,128.600323624595,9.61
North Shore,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.1529661896614702,1700.0,2.2119341563786,2700.0,,,495000.0,473.794242524887,12.1
Downtown,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.53485424588086,1950.0,2.34748610467583,2665.0,,,419900.0,417.278797996661,12.9
North-East Coconut Grove,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.6248394651356,1850.0,2.4131526104417698,2499.5,2.22868217054264,,995000.0,497.103669821459,14.96
Kings Point,Delray Beach,FL,Miami-Fort Lauderdale,Palm Beach,1.3085399449035802,950.0,1.23809523809524,1150.0,,,89000.0,99.11797133406841,4.88
Palm Aire,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,1.54305135951662,1150.0,1.31637687969925,1400.0,,,184700.0,145.090757575758,8.82
Oceanfront,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.60379002037999,2500.0,2.5,3100.0,,,519000.0,500.0,14.62
