Zip,city,state,metro,county,rent_1br_sqft,rent_1br_monthly,rent_2br_sqft,rent_2br_monthly,rent_sf_sqft,rent_sf_monthly,buy_home,buy_home_sqft,price_rent_ratio
33160.0,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,1.8997578457962,1600.0,2.02744853399875,2650.0,2.19058050383352,,750000.0,415.604283528812,12.37
33025.0,Miramar,FL,Miami-Fort Lauderdale,Broward,1.88931297709924,1450.0,1.611328125,1665.0,1.38036901275058,1980.0,215000.0,172.815175593426,10.65
33411.0,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,1.5642857142857098,1160.0,1.27162287166891,1300.0,1.16629044394281,2092.5,319000.0,160.377358490566,12.17
33139.0,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.85171102661597,1862.0,2.8759244042728,3200.0,3.2252228970151204,,450000.0,561.509971509972,13.65
33009.0,Hallandale,FL,Miami-Fort Lauderdale,Broward,1.93843984962406,1529.0,1.9011406844106495,2184.0,1.48537671621468,1990.0,273500.0,235.849056603774,10.61
33186.0,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,1.8671232876712296,1349.0,1.5052005896103102,1600.0,1.2464419475655402,2000.0,305000.0,180.415162454874,12.32
33064.0,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,1.68759811616954,1175.0,1.43628509719222,1475.0,1.50735294117647,1900.0,237500.0,220.669193267144,
33063.0,Margate,FL,Miami-Fort Lauderdale,Broward,1.67130919220056,1250.0,1.34924242424242,1400.0,1.29409145277072,1774.5,165000.0,148.05414551607402,9.67
33313.0,Lauderhill,FL,Miami-Fort Lauderdale,Broward,1.31430697278912,975.0,1.27489600491359,1250.0,1.32978723404255,1562.5,78000.0,84.3449763882104,
33319.0,Lauderhill,FL,Miami-Fort Lauderdale,Broward,1.3990267639902698,1100.0,1.20689655172414,1300.0,1.20617944147356,1750.0,100000.0,92.5,6.56
33458.0,Jupiter,FL,Miami-Fort Lauderdale,Palm Beach,1.85714285714286,1525.0,1.53668016825051,1800.0,1.36784527224835,2250.0,451950.0,220.918861946917,12.51
33433.0,Boca Raton,FL,Miami-Fort Lauderdale,Palm Beach,1.83747178329571,1424.0,1.4356033960244,1675.0,1.36099145127897,2200.0,322500.0,182.108142985153,11.22
33015.0,Country Club,FL,Miami-Fort Lauderdale,Miami-Dade,1.6333333333333302,1300.0,1.47959183673469,1550.0,1.33019591518748,2050.0,242249.5,173.333333333333,11.41
33141.0,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.02850877192982,1600.0,1.93461929962738,2217.5,2.13025525525526,,411700.0,339.366515837104,11.93
33436.0,Boynton Beach,FL,Miami-Fort Lauderdale,Palm Beach,1.5631714567278998,1314.5,1.2913043478260902,1504.0,1.1974454497072902,2200.0,264900.0,151.82295131826598,11.31
33021.0,Hollywood,FL,Miami-Fort Lauderdale,Broward,1.6409036860879902,1125.0,1.41129032258065,1500.0,1.39875290636229,2282.5,258500.0,171.778326926597,11.63
33324.0,Plantation,FL,Miami-Fort Lauderdale,Broward,1.73466666666667,1371.0,1.49368421052632,1576.0,1.3221829877596398,2025.0,249999.0,173.39034504091495,10.82
33308.0,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,1.85714285714286,1280.0,1.70588235294118,1975.0,1.82590233545648,3350.0,429000.0,313.01628183312,13.03
33065.0,Coral Springs,FL,Miami-Fort Lauderdale,Broward,1.6558966074313402,1070.0,1.3939393939393898,1300.0,1.1880856760374798,2197.5,260000.0,151.706700379267,10.12
33176.0,Kendall,FL,Miami-Fort Lauderdale,Miami-Dade,1.8540556430048,1282.5,1.5720081135902602,1550.0,1.3681005403146398,,475000.0,210.940818116176,12.39
