Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Meadow Woods,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235635.0,229000.0,224900.0,215000.0,237990.0,229990.0,235000.0,215350.0,235990.0,230000.0,235990.0,237990.0,235250.0,239990.0,238975.0,245250.0,253990.0,243140.0,244945.0,244995.0,245000.0,252995.0,257990.0,257990.0,266990.0,266990.0,264220.0,256990.0,256012.5,258890.0,249900.0,254535.0,254990.0,254535.0,254535.0,252490.0,253490.0,256035.0,275000.0,275000.0,275000.0,280000.0,286995.0,278445.0,282945.0,281990.0,285000.0,280000.0,291995.5,287900.0,288450.0,287490.0,289000.0
Metro West,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000.0,94100.0,90000.0,99249.5,97000.0,104900.0,104900.0,102900.0,110000.0,124900.0,126000.0,125000.0,125000.0,125000.0,118450.0,115000.0,134900.0,134950.0,127500.0,134900.0,128000.0,133900.0,135000.0,136825.0,134900.0,129900.0,131900.0,125000.0,129900.0,139900.0,145000.0,145000.0,145000.0,141900.0,155000.0,155000.0,148500.0,148500.0,140000.0,145750.0,146900.0,153950.0,149950.0,155000.0,160000.0,160000.0,169900.0,160000.0,169999.0,176750.0,194950.0,174900.0,176750.0
Hunters Creek,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249900.0,250000.0,247449.5,257500.0,245000.0,235000.0,227750.0,239900.0,244900.0,247000.0,250000.0,249900.0,259900.0,264000.0,269900.0,260000.0,274900.0,258450.0,264900.0,272400.0,265950.0,267000.0,258894.0,273899.5,279000.0,279900.0,269900.0,279000.0,285000.0,285000.0,285000.0,285000.0,285000.0,284900.0,280000.0,282450.0,277250.0,280000.0,282450.0,279990.0,288000.0,298900.0,305000.0,314900.0,315250.0,319900.0,310000.0,309575.0,302500.0,300000.0,304900.0,299900.0,304900.0
College Park,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000.0,249900.0,237000.0,249000.0,267450.0,249900.0,277000.0,277000.0,289500.0,295000.0,294900.0,295000.0,299000.0,293156.0,289000.0,319900.0,315000.0,289990.0,295000.0,298000.0,296500.0,318450.0,321450.0,299750.0,299500.0,315000.0,337000.0,349900.0,338750.0,334950.0,325000.0,332900.0,329000.0,349000.0,359450.0,359450.0,359000.0,329450.0,327450.0,362450.0,359000.0,369000.0,379450.0,374450.0,387450.0,369950.0,364900.0,349900.0,355000.0,375000.0,394450.0,400000.0,412500.0
Vista East,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216500.0,234750.0,234500.0,235950.0,222950.0,195000.0,189900.0,209200.0,209200.0,214950.0,187250.0,185000.0,199900.0,194437.5,209000.0,209000.0,215000.0,227000.0,229900.0,244900.0,249900.0,237000.0,234900.0,216300.0,216300.0,200000.0,209900.0,245000.0,250000.0,255000.0,249950.0,249900.0,248700.0,246450.0,235000.0,230000.0,245000.0,249900.0,249900.0,262950.0,299900.0,283500.0,249999.0,259945.0,272400.0,283471.5,284760.0,295000.0,305000.0,309500.0,298000.0
South Semoran,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900.0,58400.0,55000.0,59900.0,57000.0,61700.0,62000.0,60000.0,64450.0,64450.0,64450.0,59900.0,62010.0,60000.0,59997.5,63500.0,61950.0,62000.0,65000.0,64900.0,65000.0,65500.0,67000.0,67999.0,68539.0,69500.0,69400.0,69000.0,69900.0,69200.0,67000.0,72000.0,72000.0,74900.0,74950.0,73000.0,75000.0,75000.0,75000.0,75000.0,74995.0,79900.0,82000.0,80000.0,79000.0,80000.0,85450.0,92000.0,87000.0,100000.0,100000.0,100000.0,103400.0
Lake Nona South,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332490.0,349990.0,345460.0,346490.0,343997.5,345225.0,343990.0,351495.0,353990.0,358245.0,355990.0,360000.0,369990.0,386196.0,372490.0,376990.0,388536.5,386175.0,386230.0,399000.0,416445.0,392795.0,393362.0,430995.0,432990.0,430995.0,398479.5,418532.5,418532.5,421017.0,399900.0,396990.0,419990.0,424990.0,417580.0,431990.0,438111.0,444050.5,428722.5,435000.0,463900.0,449945.0,464888.0,499990.0,461995.0,451990.0,449888.0,449522.5,449990.0,447990.0,454990.0,491950.0,492990.0,474990.0,484900.0,475990.0,474990.0,480990.0,483990.0,460131.0,447945.0,408570.0
Lake Nona Central,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484999.5,523100.0,513100.0,517450.0,515000.0,519450.0,492000.0,462500.0,454500.0,464500.0,457000.0,472000.0,441397.5,459900.0,459900.0,459000.0,446950.0,447450.0,459000.0
Alafaya,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230000.0,239900.0,240000.0,244900.0,239900.0,240000.0,237995.0,229000.0,230000.0,229900.0,229000.0,229500.0,225100.0,225000.0,234450.0,235000.0,237500.0,238000.0,238900.0,240000.0,245000.0,259700.0,259900.0,259900.0,260450.0,260000.0,260000.0,260000.0,265000.0,269900.0,269000.0,265000.0,260000.0,259925.0,260000.0,255000.0,259000.0,262000.0,272500.0,279000.0,284900.0,289950.0,295000.0,294900.0,285450.0,285000.0,280000.0,277000.0,282450.0,286900.0,289450.0,299500.0,300000.0
Celebration Village,Celebration,FL,Orlando,Osceola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369200.0,387500.0,369000.0,358500.0,339000.0,310000.0,299900.0,315500.0,315500.0,342000.0,345000.0,315000.0,315000.0,315000.0,315000.0,315000.0,301000.0,271000.0
