Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Meadow Woods,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1415704593044,98.76466954910441,98.2447342026078,99.91672832655078,100.084469167463,100.715832549716,104.213300892133,100.61993769470399,105.457205900322,104.22698320787501,102.332195676906,102.882635552505,103.212851405622,103.48857266063,102.63868042070101,102.98932951106899,104.31682472778401,103.12151616499399,105.492815547217,106.129243111427,106.974739491345,109.044259140475,109.820680222063,109.539837452035,109.568332534573,110.718520676028,112.569444444444,113.645300825796,113.217564054051,113.074574265522,114.172918899607,113.99371069182399,111.896819227756,113.62100449130301,114.560236511456,115.399999152735,117.50565777850402,117.410580574376,118.252688172043,118.144223084027,118.90660178106899,117.79112754158999,118.03222479598301,120.867963620997,122.149224166392,123.11827956989201,124.280663329161,126.442348906987,124.440720756819,123.561994034938,127.53768844221099,128.53539087044902,129.30450010292
Metro West,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1933298593017,92.094861660079,88.5717684931447,94.3892045454545,89.0476833716061,95.08816120906799,94.7997189037245,94.92868462757531,97.14625445897741,100.160384923817,100.948509485095,99.8769404293883,100.177217041469,100.160384923817,101.00771004467501,100.116778088626,100.404124467352,100.742311770944,102.69121813031201,102.71632557605899,101.972271108463,102.925958529516,104.650273496859,105.251589035914,104.66222645099899,103.733194257046,103.79812695109301,103.69068541300501,104.66222645099899,107.35826296743099,107.392540782052,106.161473087819,108.08435852372601,107.913669064748,110.88419919052299,112.78195488721799,111.549295774648,111.85737976782801,112.67385434114401,112.78195488721799,113.19534282018101,113.946647509579,114.137435098323,114.74435196195,119.402985074627,119.400497512438,119.402985074627,118.61861861861901,120.288692862871,120.856260266118,123.330643062208,123.55135135135099,124.15402962828101
Hunters Creek,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.70927127050699,121.282679738562,119.986413612049,119.38500986495,119.537275064267,116.87797147385099,116.709237664244,114.025806837783,113.563649421817,118.577031845364,121.98025211445,125.86575779731001,124.92172824045099,124.050632911392,124.937715972077,122.609313899751,124.75042640978799,123.732632369508,126.003086419753,125.51460823373199,127.187456629055,130.452674897119,130.072840790843,130.11744496416202,128.341024849015,129.316816816817,129.464285714286,129.24522724047702,129.40578977894398,131.112508858965,128.088636723232,127.977248489157,128.585209003215,132.105760151086,132.814832437677,133.079847908745,133.333333333333,135.417976115651,131.263026260942,135.905637744902,141.522029372497,143.284459982557,143.708538842416,145.28911090997698,143.977074959473,144.159092588487,143.570536828964,143.00151591713,142.958981612447,142.155172413793,140.8189277779,143.500797448166,147.877124369538,148.69230769230802,152.256834075016
College Park,Orlando,FL,Orlando,Orange,173.632946001367,168.51762433607,163.65150167119498,163.642501662195,155.769334958689,155.769334958689,154.95262704565002,153.547662996449,154.031868662482,147.314049586777,151.459854014599,152.908430434179,150.39137263290598,143.752445592943,145.761166818596,145.218417945691,143.881138797407,142.543859649123,148.004716419848,150.905797101449,151.10465116279101,146.997929606625,144.903299642517,130.112345994436,135.3001017294,139.98186209267402,130.83403536264,133.061033003694,135.520188004358,136.79549114331698,140.546875,142.764015645372,142.925430210325,142.925430210325,155.372853247885,153.415947822047,152.827573361813,155.273069679849,168.782259778698,167.18256225508802,169.424867618556,165.81348764745198,171.032338308458,182.615786040444,181.289167412713,180.12048192771098,176.19432433567002,171.686746987952,167.890744053535,170.512820512821,177.01463811879398,174.19191919191897,182.325461859338,181.544301202612,189.315015031151,178.802588996764,179.452968645764,187.22104254282,187.799598666543,181.240657698057,186.920673638294,193.66099520179,198.34335464970297,199.952380952381,203.195092781265,201.477857616063,203.321993670886,210.25132275132302,209.237620844456,206.990129935032,208.333333333333,208.70067170445,211.15801264462,214.55223880597,212.549574492691,211.500709639099,210.383929782411,215.419501133787,215.419501133787,217.79425393883201,222.60783341596402,221.46847565842003,223.007769206669,219.610662925289,218.886749138751,221.42273402674599,217.938553022795,220.452209660843,219.107283961812,219.87940978384398,217.692809754317,218.284031992283,223.02631578947398,221.56336449562,217.560751948647,231.52631578947398,226.186878861133,225.752644426363,234.58671744234402
Florida Center North,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.8953974895397,75.3005342831701,77.1715435409242,75.0,74.93188010899179,75.0,75.33877579546609,75.4716461658365,77.7237354085603,78.27248441674091,78.99690782200109,80.3571428571429,79.8236273987207,81.2908112626025,78.4518828451883,76.12655800575259,76.1379916465545,75.0,80.6386418755053,81.00810081008099,85.0,86.67267222180521,86.7615658362989,86.67267222180521,87.4781085814361,89.844756292593,90.334008097166,90.080971659919,90.334008097166,92.89649564775999,92.6889267533601,92.45214515862699,90.6453952139231,96.48744999354759,97.4573505367622,97.2762645914397,93.17143663578209,97.1984435797665,98.2142857142857,98.2142857142857,98.2142857142857,98.9226551084405,99.01888118097129,99.8257534150096,99.59702514419529,98.2142857142857,101.027140500825,98.2142857142857,99.9541107925291,100.64043915828002,107.84480205351,109.799777942265,106.937060029109,106.78391959798999,115.0,117.219078415521,119.91385372714501
Vista East,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42704991692172,99.16152980274441,99.8796484875915,100.51669025425801,96.12645842563879,99.305863277106,95.2868441801836,94.21157684630741,97.3767533834132,98.8292011019284,99.1186418594681,99.797339366022,98.8156429675277,97.0823341326938,100.46728971962601,99.9722222222222,99.45750452079571,98.00150829562591,99.42701282127821,98.0113636363636,100.62518606728202,103.062426383981,102.81425891181999,102.28047509104499,103.427895981087,105.379367720466,109.600707916097,106.38510142999701,110.824742268041,110.56327564741699,110.729355033153,111.07182586400101,111.98516694515301,112.048192771084,116.039616938379,115.525622904596,114.146706586826,114.229765013055,114.82802747192801,121.599918311616,120.704648694021,116.55480334114401,116.185897435897,120.32991529201999,119.697850087159,122.12144297301,119.778902487747,120.498850053707,122.635658914729,119.757311761045,119.230769230769,118.78969654199,124.396583735611
South Semoran,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9610094534832,57.554671968190895,57.685258896301,61.8003837620675,61.195445920303605,64.6123260437376,61.842105263157904,65.2287581699346,65.4648956356736,66.404174573055,65.2287581699346,66.5505934362417,65.4648956356736,65.0118203309693,66.4136622390892,65.4648956356736,66.3144730032776,65.8918406072106,68.1818181818182,66.31878557874761,64.7556732616711,64.5161290322581,62.621425149294005,62.6185958254269,64.2398286937901,62.624254473161,64.6123260437376,64.6123260437376,65.7923213435485,67.2779291553133,67.2779291553133,71.4459853154497,73.44753747323341,73.41488222698071,74.94646680942179,76.2632197414806,75.04173622704509,78.5714285714286,78.6120899972892,80.0,74.8972258064516,75.8064516129032,77.7331789246748,77.41496598639459,77.79443951493641,82.5426944971537,85.78143360752058,90.45725646123259,99.764982373678,99.1150442477876,98.10129547637449,99.1150442477876,104.26944971536999,105.90909090909099,106.327502668966,104.60251046025101,102.863777089783,102.077687443541,106.244582043344
Baldwin Park,Orlando,FL,Orlando,Orange,175.08756567425598,173.530715259044,166.945373467113,161.326957561267,160.965493889784,160.749046194536,148.59449767432199,150.587034201123,150.10867726816602,147.677865612648,149.647269351389,146.55065499613198,135.0,142.000749344324,140.870098039216,150.934638340804,164.0625,164.150636637459,160.472124560522,160.472124560522,158.653846153846,154.978540772532,153.292177393769,158.834446919079,162.914263989304,162.407987856305,160.796324655436,174.40835178993302,179.385850712326,178.720860729229,182.54816955683998,181.96969497013,175.420225428396,178.227032761144,178.790100124894,181.72888015717098,180.096211665664,176.54805575935399,178.834294808037,182.692766414217,195.005910165485,198.919840818647,200.594727715131,195.84569732937697,203.80995260663502,204.28074223892798,205.624344137025,211.518858307849,203.289304799435,204.221811888027,207.580751483191,216.17852161785197,212.956335003579,211.408189217384,213.877155432079,209.92366412213698,208.022685397642,205.25729148047,202.288853489333,201.457784976716,201.555299539171,202.861756106077,203.70062370062402,203.08823478541902,202.861756106077,200.440235258458,200.05002501250598,198.48742357484798,200.05002501250598,199.571850427975,202.283849918434,200.05002501250598,199.781659388646,201.95298563134497,200.0,207.40873299928398,212.449296110713,211.462450592885,207.551896921976,205.858246532888,206.80489101541698,211.412968131436,210.07369384560698,210.244266055046,208.07770961145198,210.587583148559,224.522015827709,227.267813430817,225.251076040172,229.211746522411,236.43446379468398,229.994556341862,234.94202910709203,230.990099009901,235.540334855403,245.354186557816,236.119333261407,233.301554620075,234.75046210720902
Central Business District,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.25189553496202,236.840205873025,223.25189553496202,231.298572561459,230.54347826087002,222.242990654206,223.487086724952,220.30162412992996,239.825534770298,253.218884120172,251.859142607174,255.020080321285,250.648228176318,259.9,259.913326110509,258.84337591566896,255.829015544041,244.82758620689702,246.326707000864,248.83718074424198,245.836637589215,244.869538306803,247.577884111885,245.835844567803,247.504905895995,247.504905895995,252.048319327731,255.775577557756,256.964285714286,257.62134418831,253.28582739509102,252.57323832145698,251.22194969146,253.63511659807997,255.28519370194599,253.50006027845401,259.318001586043,272.029936524275,262.724014336918,279.775819696697
South Eola,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.14993122420898,235.16807083906502,225.558419243986,235.127478753541,260.418535127055,255.545135845749,248.730964467005,251.988859416446,249.5,249.5,262.4375,265.204081632653,244.92385786802,272.65306122449,255.420227920228,249.662883845127,260.204081632653,285.642857142857,283.037974683544,286.168608553893,280.89887640449405,264.430428536272,273.273161743162,274.26433915212004,279.169811320755,291.223300970874,288.413461538462,284.206730769231,275.620760338962,275.03984450004,275.224949746176,275.04173622704496,271.875,271.66037735849096,271.283018867925,271.283018867925,267.203139278611,262.177380952381,257.985257985258,253.11392405063302,256.188679245283,260.768980769231,268.176388176638,278.40326707182203,267.177522349936,287.495,284.752047559672,267.039106145251,281.1875
