Zip,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
32822,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108000.0,95000.0,97450.0,89950.0,98000.0,95000.0,108900.0,99000.0,107997.5,107750.0,116500.0,120000.0,115000.0,115000.0,115000.0,115000.0,117995.0,124200.0,137114.0,127500.0,124995.0,124897.5,130747.5
32828,Orlando,FL,Orlando,Orange,199500.0,197900.0,190000.0,195000.0,190000.0,189700.0,183219.0,179900.0,179200.0,178950.0,178950.0,175000.0,175000.0,169950.0,175000.0,174999.5,177995.0,180000.0,179995.0,179900.0,180000.0,185000.0,179900.0,180000.0,179000.0,179000.0,179950.0,184490.0,185000.0,192000.0,189900.0,195000.0,190000.0,199000.0,195000.0,199966.0,202445.0,205000.0,219900.0,224950.0,230000.0,235495.0,239000.0,240000.0,250000.0,244950.0,239955.0,249900.0,251995.0,253900.0,250000.0,250000.0,245000.0,235500.0,239900.0,239900.0,239900.0,239000.0,234950.0,236700.0,245849.5,248499.5,244950.0,245444.0,249900.0,250000.0,254945.0,269000.0,269000.0,269000.0,269900.0,269950.0,275000.0,270000.0,270000.0,275000.0,275000.0,271000.0,269000.0,269000.0,269000.0,264900.0,267900.0,277700.0,289400.0,294900.0,295000.0,299000.0,299500.0,299900.0,294600.0,295000.0,294990.0,289900.0,298900.0,299000.0,299945.0,305000.0,305000.0,310000.0,317000.0,309900.0,310000.0
32825,Orlando,FL,Orlando,Orange,147000.0,145500.0,144900.0,148500.0,144800.0,139950.0,140000.0,140000.0,138500.0,136450.0,139900.0,135000.0,129900.0,126000.0,129900.0,132000.0,130000.0,135000.0,132034.5,129900.0,129900.0,137900.0,133390.0,134900.0,139000.0,136670.0,143196.0,139900.0,139900.0,150000.0,154900.0,148378.0,145000.0,146000.0,156950.0,159999.0,164900.0,165330.0,173400.0,185000.0,190000.0,185000.0,196301.0,185000.0,175000.0,175000.0,170000.0,169950.0,179325.0,177325.0,186000.0,184900.0,180000.0,175000.0,189900.0,184900.0,185000.0,185950.0,179900.0,182450.0,180000.0,185000.0,189000.0,189950.0,188000.0,189500.0,195000.0,198000.0,199000.0,195000.0,197300.0,203000.0,207550.0,199700.0,209000.0,213900.0,220000.0,229000.0,225450.0,215000.0,214900.0,215000.0,215000.0,218700.0,229000.0,229900.0,239900.0,236495.0,240000.0,244945.0,250000.0,251000.0,249700.0,249250.0,249000.0,255000.0,258995.0,259900.0,259000.0,259990.0,255000.0,259945.0,259700.0
32837,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900.0,194750.0,189450.0,189450.0,199900.0,199900.0,192450.0,195000.0,189000.0,199000.0,215000.0,224950.0,223800.0,217300.0,227000.0,209000.0,219900.0,224450.0,222900.0,219900.0,219900.0,229900.0,224900.0,232000.0,230900.0,230000.0,220000.0,219900.0,209900.0,225000.0,229900.0,229250.0,227450.0,225000.0,240000.0,239900.0,244450.0,240000.0,245000.0,245000.0,249900.0,249000.0,258950.0,269950.0,274900.0,279900.0,279450.0,278000.0,269000.0,269000.0,266896.5,270000.0,280000.0,279000.0,275000.0,270000.0,274900.0,288200.0,292450.0
32835,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900.0,160000.0,155000.0,149000.0,143900.0,142400.0,149900.0,154900.0,153500.0,159000.0,149900.0,154500.0,159450.0,165000.0,155750.0,160950.0,162450.0,159900.0,160000.0,180000.0,180000.0,182500.0,188750.0,188500.0,199900.0,199950.0,195000.0,195000.0,200000.0,207000.0,199980.0,209000.0,214900.0,215000.0,229900.0,235000.0,216000.0,210950.0,225000.0,220000.0,224950.0,233700.0,245000.0,244450.0,246750.0,243000.0,234950.0
32824,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229999.0,219900.0,210380.0,210950.0,224950.0,229450.0,230000.0,211655.0,230640.0,230000.0,230640.0,230000.0,232490.0,237995.0,237500.0,240000.0,249485.0,240000.0,244615.0,245745.0,247120.0,251990.0,251552.5,251992.5,262945.0,265000.0,263990.0,253240.0,249450.0,250000.0,245000.0,249999.5,254900.0,254535.0,254535.0,255000.0,256035.0,261900.0,275000.0,275000.0,275000.0,278900.0,285990.0,279900.0,280745.0,285000.0,289990.0,285177.0,297990.0,295990.0,299000.0,289000.0,289000.0,293990.0,285990.0,288995.0,294682.5
32811,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67000.0,68950.0,67000.0,67900.0,69900.0,69995.0,67950.0,63700.0,65000.0,66500.0,67700.0,70000.0,74900.0,74900.0,75000.0,75000.0,72900.0,69400.0,67600.0,69925.0,69450.0,69900.0,69000.0,69900.0,79900.0,79900.0,80000.0,85000.0,92500.0,92750.0,89000.0,85250.0,86625.0,85000.0,89900.0,88500.0,94500.0,94975.0,94975.0,91250.0,92250.0,97000.0,90000.0,95000.0,99000.0,99900.0,100000.0,108750.0,108400.0,109000.0,109000.0,110000.0,115000.0,119900.0,119800.0,119700.0,115000.0,125900.0,130000.0,134800.0,130000.0,130000.0,134900.0,138000.0
32812,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179000.0,179450.0,185000.0,189900.0,185950.0,179900.0,175000.0,180000.0,179000.0,196900.0,189900.0,182000.0,175000.0,174900.0,177950.0,170000.0,169900.0,175000.0,179450.0,173650.0,187900.0,185000.0,194999.5,204900.0,210000.0,210000.0,209900.0,209673.0,204000.0,226000.0,224950.0,229000.0,229900.0,249999.0,239949.5,237500.0,229700.0,225000.0,219950.0,245450.0,235000.0,244450.0,239900.0,239450.0,244000.0,239634.0,235000.0,240000.0,242759.0,249588.0,259900.0,253095.5,253753.0,259400.0,259850.0,269900.0,269850.0,264950.0
32807,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98000.0,99900.0,104900.0,104000.0,104700.0,104500.0,99900.0,96000.0,103000.0,110000.0,108000.0,100950.0,112450.0,120700.0,121500.0,122000.0,124950.0,124900.0,123950.0,123950.0,127500.0,136000.0,134700.0,130000.0,129900.0,119500.0,121500.0,130000.0,144000.0,144000.0,138950.0,144900.0,154900.0,152750.0,148000.0,150000.0,159000.0,159900.0,161000.0,172000.0,174950.0,174900.0,178500.0,175000.0,175000.0,182900.0,180000.0,189900.0,185000.0,188900.0,197900.0,199900.0,190950.0,199900.0,199950.0,219450.0,209900.5
32817,Orlando,FL,Orlando,Orange,174950.0,165700.0,169900.0,169450.0,169900.0,169900.0,164890.0,158900.0,159000.0,150450.0,147000.0,149000.0,149000.0,142450.0,148500.0,138000.0,140000.0,149900.0,143950.0,144950.0,135000.0,135000.0,129900.0,129975.0,130000.0,144400.0,147000.0,154950.0,149900.0,149900.0,132500.0,137450.0,135000.0,154900.0,155900.0,157450.0,152450.0,162075.0,165900.0,189450.0,185000.0,183450.0,177950.0,169900.0,174900.0,171050.0,175000.0,179950.0,189000.0,185000.0,189000.0,183800.0,184900.0,185000.0,199500.0,198900.0,189000.0,185000.0,184500.0,184950.0,175000.0,184500.0,183950.0,185000.0,189000.0,194900.0,199950.0,215500.0,220000.0,212900.0,219950.0,219950.0,220000.0,242200.0,237450.0,232400.0,230000.0,230000.0,229900.0,219900.0,215000.0,225000.0,229900.0,239000.0,245000.0,239100.0,239000.0,248500.0,249000.0,260000.0,265000.0,269000.0,269900.0,274900.0,274950.0,269900.0,269000.0,274900.0,269900.0,269900.0,259900.0,264900.0,259000.0
