RegionID,Zip,city,state,metro,county,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
73221,34787,Winter Garden,FL,Orlando,Orange,9.87,9.82,9.78,9.65,9.67,9.67,9.64,9.77,9.58,9.47,9.5,9.49,9.52,9.54,9.55,9.6,9.65,9.61,9.69,9.81,9.86,9.92,9.99,10.02,10.11,10.22,10.35,10.36,10.41,10.54,10.66,10.73,10.88,11.07,11.26,11.42,11.59,11.6,11.63,11.71,11.78,11.78,11.93,11.99,12.06,12.06,12.12,12.09,12.07,12.09,12.08,12.07,12.03,12.0,12.06,12.18,12.22,12.22,12.22,12.32,12.38,12.44,12.39,12.4,12.48,12.45,12.5,12.73,12.76,12.74,12.76,12.88,13.0,13.07,13.1,13.1,13.03,12.91,12.83,12.84,12.9,12.84,12.84,13.1,13.41,13.61,13.48,13.23,13.16,13.33
72247,32822,Orlando,FL,Orlando,Orange,7.11,7.07,7.02,6.85,6.69,6.58,6.49,6.33,6.32,6.2,6.07,6.0,5.95,5.94,5.9,5.92,5.91,5.93,5.95,6.01,6.06,6.13,6.21,6.26,6.36,6.45,6.49,6.61,6.71,6.93,7.01,7.05,7.11,7.22,7.32,7.34,7.44,7.56,7.64,7.77,7.81,7.87,8.01,8.18,8.19,8.24,8.25,8.24,8.22,8.28,8.3,8.29,8.3,8.28,8.29,8.27,8.22,8.27,8.26,8.32,8.4,8.4,8.61,8.56,8.61,8.64,8.68,9.09,9.17,9.21,9.28,9.32,9.34,9.43,9.52,9.62,9.6,9.52,9.5,9.61,9.75,9.78,9.79,10.03,10.33,10.5,10.45,10.35,10.31,10.45
73183,34711,Clermont,FL,Orlando,Lake,9.63,9.39,9.38,9.54,9.62,9.65,9.65,9.71,9.63,9.61,9.52,9.41,9.4,9.44,9.5,9.63,9.7,9.88,9.92,9.85,9.87,10.04,10.17,10.25,10.35,10.33,10.3,10.35,10.35,10.33,10.36,10.45,10.5,10.6,10.68,10.7,10.8,10.89,11.0,11.2,11.32,11.42,11.65,11.81,11.91,11.93,11.93,12.06,12.04,12.19,12.14,12.07,12.15,12.18,12.01,11.85,11.81,11.75,11.85,11.9,11.98,12.14,12.27,12.27,12.34,12.33,12.36,12.5,12.51,12.51,12.52,12.51,12.55,12.75,12.97,13.06,13.09,13.09,12.95,12.89,12.88,12.93,12.99,13.14,13.46,13.58,13.61,13.54,13.62,13.86
72252,32828,Orlando,FL,Orlando,Orange,10.07,10.01,9.94,9.84,9.83,9.87,9.89,9.91,9.83,9.71,9.69,9.72,9.81,9.87,9.89,9.97,10.04,10.05,10.18,10.22,10.31,10.34,10.42,10.53,10.7,10.84,11.02,11.12,11.19,11.42,11.53,11.56,11.71,11.87,12.03,12.12,12.26,12.36,12.45,12.55,12.66,12.74,12.91,12.98,13.0,12.87,12.81,12.72,12.69,12.73,12.71,12.73,12.68,12.64,12.63,12.62,12.57,12.5,12.47,12.55,12.6,12.67,12.65,12.67,12.71,12.71,12.77,12.88,12.99,13.0,12.97,12.96,12.99,13.09,13.25,13.35,13.29,13.25,13.3,13.34,13.41,13.34,13.31,13.61,13.98,14.2,14.03,13.74,13.7,13.84
72220,32792,Goldenrod,FL,Orlando,Seminole,10.39,10.33,10.14,9.98,9.83,9.58,9.51,9.37,9.21,9.22,9.19,9.14,9.12,9.11,9.07,9.02,8.99,8.97,8.95,8.93,9.01,9.07,9.1,9.17,9.26,9.32,9.35,9.47,9.55,9.7,9.83,9.86,9.89,10.01,10.11,10.16,10.19,10.33,10.49,10.64,10.71,10.78,10.9,10.9,10.92,10.88,10.81,10.8,10.78,10.9,10.91,10.81,10.8,10.77,10.68,10.71,10.7,10.68,10.69,10.83,10.91,11.02,11.01,11.0,11.04,11.06,11.11,11.12,11.19,11.25,11.35,11.49,11.67,11.88,12.03,12.16,12.17,12.25,12.26,12.29,12.28,12.26,12.2,12.43,12.9,13.0,12.99,12.97,12.92,12.87
72199,32765,Oviedo,FL,Orlando,Seminole,11.35,11.36,11.3,11.24,11.08,10.98,10.9,10.76,10.63,10.61,10.48,10.4,10.33,10.38,10.57,10.77,10.67,10.63,10.54,10.5,10.65,10.78,10.8,10.83,10.94,11.03,11.1,11.12,11.08,11.13,11.25,11.43,11.55,11.8,11.81,11.91,11.91,12.04,12.13,12.28,12.27,12.36,12.42,12.46,12.6,12.53,12.54,12.56,12.52,12.52,12.51,12.43,12.37,12.38,12.24,12.23,12.25,12.2,12.2,12.32,12.4,12.52,12.55,12.58,12.64,12.74,12.87,12.92,12.93,12.87,12.82,12.85,12.95,13.13,13.28,13.34,13.32,13.4,13.41,13.44,13.43,13.35,13.35,13.63,14.19,14.38,14.25,14.12,13.96,13.91
72249,32825,Orlando,FL,Orlando,Orange,9.4,9.3,9.24,9.09,8.99,8.91,8.87,8.81,8.63,8.49,8.42,8.37,8.3,8.27,8.28,8.32,8.35,8.32,8.3,8.26,8.27,8.28,8.36,8.4,8.45,8.53,8.7,8.86,8.99,9.11,9.26,9.35,9.47,9.61,9.7,9.82,9.95,10.05,10.16,10.25,10.36,10.48,10.69,10.8,10.86,10.81,10.78,10.8,10.8,10.8,10.81,10.86,10.92,10.93,10.95,10.95,10.9,10.83,10.83,10.91,10.97,11.0,11.03,11.01,11.02,11.06,11.14,11.33,11.43,11.53,11.61,11.66,11.7,11.74,11.86,11.94,11.9,11.87,11.91,12.0,12.09,12.03,12.07,12.35,12.76,13.07,12.95,12.71,12.67,12.82
72203,32771,Sanford,FL,Orlando,Seminole,9.45,9.25,8.95,8.71,8.59,8.45,8.33,8.3,8.23,8.14,8.16,8.1,8.08,8.06,8.08,8.05,8.01,8.01,7.99,7.91,7.93,7.94,8.07,8.16,8.33,8.45,8.52,8.63,8.77,8.82,8.83,8.89,8.9,9.0,9.15,9.21,9.32,9.43,9.57,9.69,9.75,9.85,10.04,10.11,10.1,10.0,9.93,9.94,9.93,9.98,10.02,9.98,9.99,9.99,9.92,9.9,9.8,9.82,9.87,10.05,10.18,10.25,10.27,10.25,10.18,10.2,10.24,10.33,10.34,10.43,10.51,10.59,10.75,10.94,11.07,11.11,11.12,11.37,11.62,11.72,11.72,11.68,11.68,11.98,12.34,12.49,12.53,12.47,12.22,12.12
73202,34748,Leesburg,FL,Orlando,Lake,9.38,8.97,8.98,9.25,9.42,9.43,9.34,9.27,9.14,8.9,8.87,8.91,8.74,8.63,8.64,8.69,8.68,8.7,8.6,8.48,8.41,8.55,8.4,8.32,8.23,8.2,8.19,8.19,8.16,8.16,8.19,8.17,8.22,8.41,8.62,8.85,9.02,9.05,9.08,9.16,9.14,9.22,9.41,9.66,9.82,9.86,9.9,9.85,9.68,9.61,9.53,9.49,9.64,9.65,9.74,9.75,9.67,9.66,9.62,9.66,9.65,9.68,9.86,9.84,9.91,9.85,9.82,10.01,10.01,9.94,9.94,10.03,10.12,10.17,10.24,10.25,10.23,10.18,10.14,10.17,10.16,10.21,10.27,10.36,10.61,10.67,10.78,10.75,10.65,10.8
73195,34741,Kissimmee,FL,Orlando,Osceola,6.37,6.38,6.24,6.24,6.25,6.26,6.19,6.09,6.0,5.91,5.83,5.71,5.61,5.61,5.66,5.69,5.75,5.77,5.77,5.8,5.87,5.88,5.9,5.97,6.07,6.13,6.28,6.24,6.33,6.44,6.49,6.61,6.7,6.81,6.92,7.06,7.15,7.11,7.24,7.2,7.2,7.23,7.39,7.53,7.49,7.52,7.57,7.69,7.72,7.73,7.77,7.85,7.95,7.94,7.83,7.72,7.73,7.8,7.86,7.96,8.02,8.04,8.36,8.28,8.29,8.32,8.36,8.38,8.41,8.47,8.52,8.62,8.71,8.78,8.85,8.98,8.98,9.0,8.96,9.0,9.01,9.06,9.04,9.1,9.3,9.37,9.46,9.45,9.5,9.67
