Zip,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
32822,Orlando,FL,Orlando,Orange,,,,,,,,,,,650.0,650.0,650.0,650.0,625.0,624.5,625.0,669.0,729.5,669.0,702.5,705.0,740.5,711.0,721.0,721.0,711.0,720.0,702.5,682.0,731.0,725.0,724.0,687.5,705.0,650.0,690.0,685.0,702.5,700.0,706.0,700.0,700.0,700.0,700.0,695.0,675.0,700.0,750.0,700.0,750.0,725.0,767.5,750.0,762.5,800.0,767.5,750.0,750.0,750.0,807.5,820.0,880.0,949.0,962.0,890.0,909.5,915.0,930.0,835.0,899.0,949.0,1054.5,959.0,810.0,817.5,922.0,969.0,956.0,950.0,1014.0,1022.0,1032.0,1024.0,1003.5,1052.0,1049.0,1092.5,1059.0,1119.0,1139.0,1159.0,1177.0,1229.0,1189.0
32828,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010.5,1096.5,1124.5,1125.0,1195.5,1220.0,1230.0,1191.5,1210.5,1209.0,1221.0,1199.0,1255.0,1236.0,1288.0,1339.0,1277.0,1285.5,1339.0
32825,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995.0,1078.5,1087.5,1068.0,1050.0,1055.0,1060.0,1092.5,1082.5,1115.0,1140.0,1115.0,1155.0,1160.0
32837,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136.0,1131.0,1145.0,1165.0,1180.0,1177.5,1168.5,1206.0,1256.0,1307.0,1303.0,1338.0,1352.0,1352.0,1352.0,1352.0,1359.0
32835,Orlando,FL,Orlando,Orange,,,,,,675.0,677.5,700.0,695.0,695.0,700.0,795.0,775.0,775.0,796.5,799.0,775.0,750.0,750.0,750.0,800.0,800.0,815.0,825.0,800.0,800.0,750.0,762.5,845.0,787.5,777.5,795.0,802.5,800.0,800.0,795.0,795.0,750.0,750.0,775.0,750.0,800.0,800.0,795.0,797.5,800.0,800.0,800.0,808.0,815.0,800.0,800.0,800.0,820.0,850.0,850.0,850.0,850.0,871.0,875.0,892.5,900.0,942.0,851.5,892.5,875.0,913.0,920.5,922.0,950.0,932.5,987.0,971.5,918.0,974.0,962.0,950.0,985.0,989.0,1007.0,1001.0,994.5,1060.0,1078.0,1028.0,1050.0,1078.0,1134.0,1152.0,1137.0,1195.0,1125.0,1111.0,1135.0,1179.0
32811,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,802.5,825.0,844.0,842.0,832.0,850.0,849.0,857.5,862.0,888.0,920.0,933.0,869.0,875.0,932.0,880.0,920.0,887.5,929.0,875.0,900.0,900.0,900.0,969.0,934.5,950.0,985.0,950.0,995.0,950.0,975.0,1000.0,1065.0,1087.0,1100.0,1070.0,1100.0,1080.0,1092.5
32812,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875.0,898.0,945.0,940.0,956.0,956.0,920.0,924.0,963.0,1037.0,1048.5,985.0,1005.0,1009.5,1025.5,1029.0,1070.0,1099.5,1116.5,1082.0
32806,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071.0,1020.0,1020.0,1071.0,1071.0,1071.0,1071.0,1071.0,1050.0,1071.0,1071.0,1100.0,1114.0,1114.0,1114.0,1114.0,1066.0,1087.0
32803,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225.0,1342.0,1349.0,1367.0,1368.0,1405.0,1411.0,1386.0,1379.5,1379.0,1379.5,1375.0,1417.0,1330.0,1450.0,1440.0,1490.0,1450.0,1470.0,1492.5
32801,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,1260.0,1262.5,1271.5,1305.0,1305.0,1300.0,1347.0,1337.0,1273.0,1229.5,1222.0,1280.0,1329.0,1280.0,1290.0,1250.0,1300.0,1230.0,1300.0,1290.0,1282.5,1295.0,1295.0,1274.0,1299.5,1395.0,1300.0,1305.0,1295.0,1297.5,1300.0,1271.0,1200.0,1192.0,1197.5,1312.5,1359.0,1342.0,1325.0,1299.5,1300.0,1347.5,1440.0,1329.0,1300.0,1297.5,1234.5,1329.0,1275.0,1287.5,1355.0,1385.0,1355.0,1325.0,1250.0,1306.0,1309.0,1292.0,1340.0,1372.5,1562.5,1500.0,1525.0,1500.0,1485.0,1562.0,1550.0,1497.0,1465.0,1467.0,1454.5,1459.5,1479.5,1545.0
