Zip,city,state,metro,county,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
32822,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,0.78486045266023,0.7638072855464159,0.7638072855464159,0.8050115207373271,0.8166862514688599,0.818452380952381,0.868793521041477,0.857500527092558,0.853889943074004,0.866487455197133,0.859135711958293,0.884357155603141,0.9204655674102808,0.87381158167675,0.8716508210890229,0.870258014623172,0.8664737654320991,0.85127345844504,0.855614973262032,0.872708757637475,0.8865248226950351,0.886810798444292,0.86858552631579,0.8686327077747991,0.898139946855624,0.895247332686712,0.8754807638398309,0.876039897853072,0.8581752484191508,0.85,0.8491461100569259,0.848863275848652,0.851043643263757,0.852941176470588,0.861045518644572,0.852941176470588,0.8725,0.8990169794459342,0.895,0.888392857142857,0.84562568660741,0.8813160987074029,0.9269693536667679,0.8870214752567691,0.9246671258132372,0.895789578361177,0.8916900093370681,0.8934601259181529,0.919,0.9022606332505899,0.8939285714285709,0.9016393442622951,0.9100642398286941,0.96,0.9545,0.9706243854473942,0.996852046169989,1.03889943074004,1.03774239829685,1.03010948905109,1.0,1.03795844625113,1.03798630073587,1.03199812382739,0.999166666666667,1.01866664093111,1.0910815939278902,0.96,1.00888070284667,0.9936766034327009,1.04761904761905,1.07103825136612,1.08712520558344,1.1496282527881,1.13870029097963,1.15712900096993,1.17472118959108,1.1385199240986699,1.1775829694323101,1.17139512254455,1.14083053859009,1.125,1.19624306139613,1.2393013100436698,1.24927255092144,1.2308394160583898,1.29411764705882,1.2982410849511201
32828,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16551126516464,1.13200754416208,1.1089588377724,1.15415657788539,1.11138014527845,1.1272381107299199,1.16117850953206,1.1395147313691498,1.11978465679677,1.0809476801579498,1.09765940274415,1.12590799031477,1.19866666666667,1.24172719935432,1.26446837146703,1.21468926553672,1.2332526230831298,1.22607998892357,1.08228237808402
32825,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.994887178818312,1.09223639625274,1.0629043235173599,1.1315508021390401,1.1363636363636398,1.20789220404235,1.23781942174652,1.2887700534759399,1.26126814362108,1.2128342245989299,1.24280230326296,1.1988255033556998,1.17420596727623,1.1988255033556998,1.29279700654818,1.31147799928744,1.3544973544973502,1.3077642656688502,1.2992495309568501,1.3206386209860501
32839,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08184383819379,1.14950209341851,1.09953703703704,1.11643621399177,1.11175192329478,1.12814070351759,1.0990332197615,1.08773928361715,1.07879924953096,1.05534709193246,1.0747315305470602,1.16,1.14985885602867,1.2734452122408702,1.28946641731196,1.33144246353323,1.30602171767029,1.30794165316045
32837,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13780934991822,1.1165217391304298,1.16276611694153,1.20309132374317,1.19791666666667,1.21546961325967,1.19640062597809,1.20386250678695,1.19478260869565,1.1304347826087,1.2052545155993402,1.2707182320442,1.28100008625682,1.30111524163569,1.28906171327482,1.5127238454288403,1.51810584958217,1.50882079851439,1.5127238454288403,1.47979363714531
32835,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,0.787766450417053,0.8085547957863609,0.8344923504867869,0.8163838002873559,0.8163009404388709,0.811073815228458,0.8481867298650431,0.8437224575214229,0.844390832328106,0.852747138477655,0.832516434782692,0.8520900321543409,0.857002938295788,0.853154084798345,0.8554964539007092,0.856327307326356,0.8266939436176429,0.853348749571771,0.88031222896791,0.901360544217687,0.8592082293672858,0.8591867469879519,0.884244372990354,0.8814887365328109,0.85431654676259,0.860632296240212,0.889709431412298,0.8945069760451841,0.9023604728800909,0.8875338753387528,0.892294007262447,0.877086798496889,0.857353148834843,0.85431654676259,0.887573964497041,0.9032352600687121,0.9011373578302709,0.9017435063690609,0.903298350824588,0.883122081603813,0.9018759018759019,0.922671353251318,0.921405121070104,0.917874396135266,0.9635974304068521,0.9478885893980229,0.938803894297636,0.948170980607675,0.967304042179262,0.9657987152034259,0.9635974304068521,0.968,0.972,0.996,0.976215098241985,0.9794776119402979,1.00173761946134,1.01674641148325,1.01054015942176,0.985214873543786,0.9794776119402979,1.00524737631184,1.0191286907741999,1.02416588316011,1.08173702002254,1.0581818181818199,1.11625945945946,1.0741916910662,1.04222186088528,1.04574702969089,1.03484137931034,1.0704,1.0758196721311502,1.08481262327416,1.0916155723449499,1.12914994829369,1.1664899257688202,1.1822289156626498,1.1474421686747,1.14203415119363,1.13155555555556,1.1544011544011499,1.1779641541880201,1.19160173160173,1.2241054613936002,1.2624888888888899,1.2272240085744899,1.2868932038835,1.24406296851574,1.2827763496144
32811,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,0.778210116731518,0.7845188284518829,0.7872137404580151,0.8101851851851851,0.834542606093135,0.8390952816598509,0.83502024291498,0.8244972639985829,0.8171206225680931,0.8517068273092371,0.851876895336448,0.862854131698484,0.8503401360544219,0.862895493767977,0.861609690203827,0.8322384426356579,0.827505866545189,0.8265306122448979,0.8097165991902829,0.813636363636364,0.831731931794034,0.858925143953935,0.850753725614759,0.8751221006513961,0.882389040734526,0.877963125548727,0.863723608445297,0.873430962343096,0.8744586718330271,0.862895493767977,0.8574048771794341,0.856885857089364,0.8584769371866751,0.8561709575429091,0.866336633663366,0.878712871287129,0.8731767439961091,0.872534142640364,0.8898305084745759,0.8898305084745759,0.8898305084745759,0.8595512562969371,0.8817202194357371,0.9112711928347841,0.9059534081104399,0.927966101694915,0.940376569037657,0.956959706959707,0.974313551815766,0.960300429184549,0.9836852207293671,1.0171433640332601,1.0403940886699499,1.02087224736912,0.99537037037037,1.0316698656429901,1.07770388349515,1.0337323177366702,1.06861642294713,1.0657193605683801,1.02941176470588,1.1162677941119399,1.069,1.08640776699029,1.08544132641752,1.1097922848664699,1.0956989247311801,1.1305093102983101,1.1465367854717199,1.12315270935961,1.12783875052765,1.15270935960591,1.1802575107296103,1.19695321001088,1.16982836495032,1.19597660500544,1.22709359605911,1.26847290640394,1.2213025547027099,1.24137931034483,1.27319587628866,1.2847482249337,1.31034482758621,1.33990147783251
32812,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0888717156105099,1.07087486157254,1.10011789882391,1.12676056338028,1.0697095435684598,1.14216031619043,1.1670155502392299,1.1634103019538202,1.14511331293201,1.18803827751196,1.18167154828736,1.17544882664057,1.1863488624052,1.2112676056338,1.27741228070175,1.26960784313725,1.2225913621262499,1.27115484932386,1.32416088571228,1.3366757760493302,1.3056478405315601,1.32071053787301,1.3511961722488002
32806,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36491202744472,1.28056628056628,1.27361647361647,1.3027852650494198,1.26057347670251,1.48173185068587,1.48589743589744,1.45964109983319,1.48901545972335,1.46390041493776,1.46390041493776,1.45063291139241,1.46061057334326,1.36355839416058,1.4752941176470602,1.45063291139241,1.45726666316508,1.30208333333333,1.42307692307692
32803,Orlando,FL,Orlando,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12888052681091,1.1235955056179798,1.10112359550562,1.12903225806452,1.12143474503025,1.1176727065069798,1.10112359550562,1.13101972077238,1.16743372893499,1.2402088772846,1.18248002523129,1.10982249568412,1.15263157894737,1.2314049586776898,1.20457990503804,1.17857142857143,1.12734094512286,1.17053280173976,1.1807967313585301,1.17977528089888,1.2079069430934801,1.2225471085120199,1.25394736842105,1.26685266696704,1.2451044386423,1.25789473684211,1.2632135306553898,1.2402088772846,1.29213483146067,1.33007236665773,1.3792349726776,1.3626990919031998,1.1979106160239898,1.27967025122649,1.3677811550152001,1.43734802431611,1.33571428571429,1.36875,1.35785649409628,1.35785649409628,1.4394291949098403,1.46729957805907,1.44722222222222,1.45479204339964,1.39473684210526,1.4064027370479,1.4526785714285702,1.47717099373321,1.45231607629428,1.4633727929374,1.45350512163892,1.4475943136109999,1.5077202543142598,1.54653284671533,1.60965680550149,1.5466817497531202,1.52459016393443,1.5271929824561399
