zipcode,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600.0,2700.0,2700.0,2700.0,2800.0,2800.0,2790.0,2750.0,2700.0,2650.0,2572.5,2650.0
33025,Miramar,FL,Miami-Fort Lauderdale,Broward,,,,,1200.0,1200.0,1250.0,1250.0,1250.0,1250.0,1275.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,1275.0,1300.0,1300.0,1300.0,1307.5,1300.0,1300.0,1300.0,1300.0,1332.5,1325.0,1350.0,1380.0,1375.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1370.0,1350.0,1350.0,1350.0,1375.0,1375.0,1390.0,1400.0,1395.0,1382.5,1400.0,1400.0,1400.0,1400.0,1425.0,1440.0,1450.0,1400.0,1425.0,1450.0,1425.0,1450.0,1500.0,1500.0,1525.0,1535.0,1500.0,1524.5,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1490.0,1524.0,1500.0,1525.0,1552.0,1575.0,1600.0,1600.0,1599.0,1575.0,1560.0,1550.0,1580.0,1599.0,1650.0,1665.0
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,,,,,,,,1000.0,999.5,989.5,965.0,994.5,977.5,997.0,985.0,975.0,975.0,1000.0,1005.0,1012.5,950.0,1000.0,1025.0,1075.0,1020.0,1050.0,1025.0,1050.0,1050.0,1096.0,1150.0,1100.0,1145.0,1100.0,1000.0,1100.0,1150.0,1175.0,1100.0,1175.0,1195.0,1200.0,1200.0,1200.0,1150.0,1200.0,1250.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1200.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1260.0,1275.0,1250.0,1350.0,1300.0,1250.0,1300.0,1302.5,1300.0,1300.0,1300.0,1287.5,1250.0,1250.0,1284.5,1290.0,1300.0,1300.0,1300.0,1325.0,1300.0,1350.0,1350.0,1350.0,1300.0,1300.0,1350.0,1300.0
33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,3000.0,3200.0,3000.0,3200.0,2950.0,3000.0,3000.0,3000.0,3250.0,3500.0,3300.0,3175.0,3100.0,3100.0,3200.0,3200.0,3300.0,3200.0,3200.0,3300.0,3199.0,3167.0,3100.0,3100.0,3150.0,3200.0,3200.0,3000.0,3200.0,3290.0,3200.0,3200.0,3200.0,3000.0,3200.0,3100.0,3025.0,3100.0,3059.0,3250.0,3100.0,3200.0,3200.0,3125.0,3225.0,3200.0,3000.0,3200.0,3025.0,3044.5,3250.0,3500.0,3500.0,3400.0,3300.0,3300.0,3250.0,3250.0,3300.0,3300.0,3400.0,3250.0,3100.0,3039.0,3100.0,3249.0,2850.0,3000.0,3000.0,3300.0,2997.0,2900.0,3136.5,3391.5,3250.0,3295.0,3384.0,3275.0,3262.5,3500.0,3400.0,3300.0,3300.0,3250.0,3200.0,3200.0
33024,Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,,,,,1150.0,1200.0,1195.0,1150.0,1150.0,1225.0,1250.0,1200.0,1200.0,1225.0,1250.0,1200.0,1200.0,1200.0,1225.0,1212.5,1200.0,1250.0,1200.0,1237.5,1225.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1250.0,1250.0,1350.0,1262.0,1297.5,1287.5,1300.0,1300.0,1300.0,1325.0,1300.0,1300.0,1300.0,1275.0,1295.0,1325.0,1350.0,1350.0,1395.0,1395.0,1350.0,1400.0,1350.0,1400.0,1362.5,1400.0,1450.0,1450.0,1400.0,1444.0,1400.0,1412.5,1431.5,1450.0,1475.0,1450.0,1447.5,1450.0,1415.5,1500.0,1450.0,1450.0,1450.0,1500.0,1437.5,1500.0,1500.0,1497.5,1475.0,1450.0,1500.0,1500.0,1495.0,1447.5,1437.5,1450.0,1450.0,1488.5,1500.0,1500.0
33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050.0,1950.0,2199.0,2000.0,2000.0,2050.0,1950.0,2250.0,2300.0,2200.0,2216.5,2200.0,2200.0,2197.0,2184.0
33186,The Crossings,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1262.5,1250.0,1250.0,1250.0,1265.0,1297.5,1295.0,1300.0,1295.0,1295.0,1300.0,1295.0,1282.5,1295.0,1300.0,1300.0,1345.0,1350.0,1350.0,1375.0,1400.0,1399.5,1350.0,1350.0,1350.0,1350.0,1350.0,1357.0,1400.0,1392.5,1350.0,1356.0,1400.0,1391.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1415.0,1428.0,1450.0,1450.0,1475.0,1495.0,1485.0,1495.0,1495.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1550.0,1580.0,1580.0,1550.0,1500.0,1500.0,1550.0,1550.0,1600.0,1514.0,1500.0,1550.0,1550.0,1561.0,1571.0,1597.5,1593.0,1575.0,1579.0,1600.0,1550.0,1600.0,1591.0,1580.0,1600.0,1607.5,1600.0
33012,Hialeah,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,1462.5,1550.0,1550.0,1475.0,1425.0,1425.0,1412.5,1450.0,1400.0,1400.0,1450.0
33311,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,,,,,,,1000.0,950.0,950.0,950.0,1003.0,1000.0,1025.0,1025.0,1050.0,960.0,950.0,1000.0,1000.0,997.5,1000.0,1050.0,1050.0,1050.0,1000.0,995.0,995.0,1025.0,1100.0,1087.5,1150.0,1100.0,1050.0,1100.0,1100.0,1197.5,1199.5,1199.5,1100.0,1100.0,1100.0,1100.0,1100.0,1100.0,1050.0,1200.0,1200.0,1185.0,1100.0,1200.0,1200.0,1250.0,1235.0,1235.0,1235.0,1299.5,1300.0,1200.0,1150.0,1200.0,1250.0,1250.0,1250.0,1250.0,1250.0,1263.0,1300.0,1300.0,1280.0,1299.0,1250.0,1262.5,1299.5,1250.0,1350.0,1200.0,1200.0,1300.0,1375.0,1375.0,1400.0,1374.5,1400.0,1379.0,1350.0,1395.0,1350.0,1375.0,1300.0,1300.0,1400.0
33064,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.0,1350.0,1350.0,1350.0,1350.0,1395.0,1400.0,1475.0,1500.0,1500.0,1465.0,1499.5,1400.0,1400.0,1375.0,1375.0,1375.0,1475.0
