Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12
Highland Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,66.0206093189964,70.85727065811409,70.5016734980286,69.37799043062199,68.9752252252252,68.5476410730805,68.0090754395916,68.872725881221,68.6763010845961,66.610455311973,68.3385453122295,68.7435796128013,68.0680680680681,66.5833333333333,66.5833333333333,66.8060200668896,67.7391304347826,67.23013474617,67.6855895196506,65.2777777777778,64.9350649350649,64.6258503401361,64.59447856812629,63.93181218524511,62.919463087248296,61.480400015267804,62.31276548177961,59.85915492957751,60.376108803289696,64.6240601503759,62.937643771089,65.1324372426394,62.862669245648,62.415377176015504,64.9847094801223,65.1606893339544,67.1748839722805,64.3617021276596,67.3387096774194,65.8695652173913,67.4255691768827,65.3054549114332,64.3271088216355,66.7112299465241,72.5131388911177,68.75,72.8155339805825,73.176238834841,71.8525179856115,73.96191353679241,75.0,72.6600985221675,72.73720945525851,78.5785785785786,78.5714285714286,76.9749518304432,76.9749518304432,75.9027570141298,77.2357723577236,76.9749518304432,78.058675652546,76.0814495873699,80.438521511643,79.70057243505059,75.29601722282021,75.2368092800269,76.582884798547,75.34063668304691,80.0256081946223,80.4710300429185,79.539288848515,78.7868403015764,79.6469504387746,77.07333790267309,82.7338129496403,86.5143205257103,84.30020080321279,85.99981066433149,86.5184155663655,86.20689655172409,80.114566284779,82.7991452991453,88.2575757575758,98.8663345623807,86.7630597014925,82.139848357203,84.14681764935571,87.2905600440163,96.3084315257691,105.929989550679,105.242255758539,112.229617304493,108.94808743169399,104.482132041187,102.547125720517,104.977876106195,97.74164906833059,99.6240601503759,100.0,101.903467029232,105.177993527508,98.27044025157231,101.32142024472999,102.813852813853,103.44758620689699,103.44758620689699,108.035042213407,105.549410029499,117.97337278106501,109.542711854356,111.249283622437,111.643659747984,112.07506946817499,113.22188449848,112.5,110.305383077806,109.988767650834,110.468205213349,113.23155216285,115.003046458492
Prospect Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6908517350158,93.11276164753549,94.25921897095621,94.8275862068966,93.4018066912756,93.6908517350158,93.11276164753549,90.4566744730679,89.6581196581197,93.11276164753549,86.4935064935065,88.20294289044291,92.82142857142858,92.82142857142858,95.30184331797241,86.9360902255639,86.9360902255639,94.4084278768233,94.7209787134052,95.8492307375021,97.8536499294213,91.8970010252905,98.6413043478261,87.8768844221105,87.64619883040942,92.05426356589149,92.1336891599949
People Active in Community Effort,San Antonio,TX,San Antonio-New Braunfels,Bexar County,69.2607003891051,66.5714285714286,66.3030943686335,67.2319677139274,67.1487603305785,66.8001245330013,67.2293861966523,68.4147136344978,70.3959512865939,70.3296703296703,69.366145218418,70.5000481299657,68.3425049526744,69.5443645083933,67.6734693877551,70.3463203463203,70.6330092642339,70.54924242424241,66.1914460285132,63.943161634103,64.7561761308096,65.0050203837655,66.05351170568561,66.632,67.5059621827267,65.7395364520968,63.4249471458774,64.3441265535297,63.4249471458774,63.0906940063091,64.5661157024793,65.998821449617,65.9139784946236,66.452896948253,67.1357678538886,66.5296845658022,66.4959016393443,66.4959016393443,63.2948969578018,64.4846381688487,65.47131147540979,68.6588930837397,66.1356117353308,65.7099697885196,71.6953405017921,73.8188976377953,72.04545677920291,70.8437117646212,71.6953405017921,69.7750003956385,72.6666666666667,75.01476668635559,77.12629222042379,76.7277023036031,73.6062717770035,74.3640314908972,75.0768967874231,75.0768967874231,78.3795684720388,78.819903126376,75.5618253189401,83.1789725398508,81.7155578837088,79.0400704535447,75.2032520325203,76.40981489453291,85.83986629381829,86.52614896988909,83.4188157326034,79.97904484020809,83.2012678288431,81.50818544591941,80.1335559265442,81.59123757646891,82.95911390324241,85.0216365066876,79.92007992007991,73.04429783223371,77.31958762886599,74.1777466759972,70.7814508189997,75.8829880211814,75.4088050314465,87.73784355179701,91.67758846657931,89.208849862259,92.9613043112529,85.7138095238095,91.86046511627909,96.7261904761905,105.027781903489,105.19877675840999,101.234603351711,103.840361445783,106.163760896638,109.100058751666,106.163760896638,103.840361445783,103.729180481003,102.885840274375,110.91602519244199,111.43250667075,110.23628303780501,108.96575342465799,108.89281507656099,105.0997999814,108.331080801176,105.89520998331498,104.761904761905,104.860486406516,109.277085927771,111.55737233691299,110.77904107913,114.70005927682301,114.74003020612801,114.82988281625201,114.758328627894,115.126331080818,117.40394596525499,117.155195991748
Vance Jackson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.128239414601,125.078173858662,124.843945068664,120.277777777778,121.987817284073,120.99731840050501,124.462998365694,125.195618153365,125.20452506985201,125.195618153365,124.555293576239,126.34146341463399,126.829268292683,131.707317073171,128.183120229043,131.004366812227,128.87661141804801,132.536382536383,131.707317073171,130.00082210719998,132.8258922824,135.443037974684,133.756432246998,131.236445032068
Alamo Farmsteads-Babcock Road,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.31568147444099,99.43693693693692,106.70731707317101,102.61412407335199,108.481684354673,106.97032436162901,105.87431693989099,100.760456273764,94.9147770945427,91.1952554744526,91.1458333333333,99.8796630565584,106.837238079525,103.84749918273899,109.30431902256201,104.968944099379,107.11231860965599,110.38100496963001,110.234631280464,110.234631280464,112.263300270514,112.263300270514,109.814687714482,109.256559766764,109.18365358769199,109.64649490713,110.039673646684,114.96598639455799,114.098173515982,113.714285714286,115.796098174953,112.123357155121,109.42515319521401,112.76736649931499,112.78796426892299,113.145175311504,114.098173515982,115.796098174953,114.52512509664899,113.27722574975401,113.714285714286,117.10857540326599,119.873961658512,117.23610308983,118.336348235564,122.297607916472,121.630506245891
Heritage,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.758604465674,88.2450331125828,87.994649911826,90.86942183149401,92.0716740304369,95.0,95.17704517704522,94.5136007376671,93.7540105362235,93.38665447897621,98.5054347826087,104.448198198198,102.67345267345301,98.72465116279069,98.8793671720501,104.876543209877,108.432138037401,107.15430402930401,106.01131541725599,100.88687165818399,100.597352184364,104.329954848963,99.4318181818182,102.43382352941201,104.221770091556,121.79648241206002,123.37962962963002,124.174565086983,124.97213372187099
Great Northwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.269299820467,101.820250284414,104.16873237745001,96.2232236475553,100.0,102.33112060551599,106.912536935275,104.529616724739,101.608806096528,101.80965147453101,102.35410109958401,102.688694951194,107.98429319371701,107.98429319371701,110.884273331082,110.205817922462,110.205817922462,111.880707674805,110.078251175177,112.891478514202,117.142857142857,118.86013986014,111.38613861386101,114.828597670053,117.983563421925,116.04486812131701,118.219749652295,120.0,119.846069268829,115.853658536585,118.21013189555599,119.712570247851,119.83256351039302,120.567375886525,119.791538654965,118.142144638404
Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,97.1018822826412,98.00153727901609,95.6434425622101,96.9532650338406,96.1991821024777,93.9731505284204,93.9742959088764,93.9742959088764,93.38877014623209,92.24635961070959,92.5258892390815,92.8639410843609,93.0151871229665,91.3808400898123,91.0416550455102,92.6432848588537,90.7881933181966,90.0670578373847,90.8259148409165,88.54811539036659,86.40935757863409,87.62322015334058,86.72118848108428,85.5256723716381,85.69775618615941,87.72102611085658,88.77930967073841,89.5545164354366,92.0921305182342,92.70684736091299,95.9409594095941,96.75410757835128,95.6318252730109,92.47810709314001,93.29527686780929,94.0,96.4996436241572,96.6534457114526,97.4151635976313,97.3101265822785,97.22403891664891,98.29340334755501,98.8975356679637,99.7754109917655,97.52032520325199,100.38078551297899,103.556814604973,102.950713359274,102.950713359274,101.983002832861,100.573544973545,103.10913705583799,104.83005366726299,104.269662921348,102.061479260965,102.061479260965,100.621600621601,100.39273441335301,98.9088786161783,98.7433673833118,100.39273441335301,101.700901419372,104.315039798911,104.541380340604,104.981533543796,110.11636828644501,106.109742539596,107.29794900626499,105.800653594771,106.100545615766,105.800653594771,103.370786516854,108.52371278292,114.879800122902,115.520282186949,118.095930232558,113.898645258404,113.603896103896,113.74284226965099,110.66171749598699,108.771327149891,109.59773314413201,109.64912280701799,109.64912280701799,116.481223922114,112.48710010319901,110.969387755102,118.114985148367,117.47144180302601,118.109821798591,120.50739957716699,120.526315789474,121.396670726756,121.891583935763,122.232246798603,120.586190318917,122.22725215029399,122.329253047533,120.727326266196,120.990223074296,122.648261758691,120.728241563055,121.599241777532,119.15797605253,120.20441872845501,120.48796525608,117.262423714037,116.93905855958,122.67523382052201,123.05737293650101,125.152300887106,123.751729133896,122.768031189084,121.502499505651,118.72826626924999,118.72826626924999,121.68622338113899,122.684094942419,123.956071280564,122.60356287301201
Northwest Crossing,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.45385587863501,97.2158831583752,96.69811320754721,99.8068254990341,101.38420334269001,101.635720601238,101.108033240997,102.39817224475,101.122916746921,104.166666666667,100.864553314121,102.595051297526,99.6478796763859,100.54844606946999,103.391244492232,100.54844606946999,96.921322690992,102.759835584263,103.3302301298,103.319352287964,99.7613365155131,104.06582768635,108.13148788927299,109.540636042403,116.928324455658,116.98842710657301,114.493756906779,114.014251781473,113.02475780408999
Highland Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.904636459431,112.71186440678001,117.474255746511,121.312949640288,110.346853357687,112.96221048354299,125.734112687666,132.001389854065,127.970569865557,125.016035920462,127.762430939227,134.408602150538,124.833907602131,116.51215423302601,119.582664526485,127.186068480716,124.93753123438299,121.260597630559,131.670175171167,129.47882736156402
