RegionID,Neighborhood,city,state,metro,county,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
271427,Highland Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,53.57,58.42,62.18,56.68,50.52,44.89,51.2,29.22,35.26,38.36,40.62,47.83,22.54,15.88,9.45,5.96,9.82,15.86,15.4,24.94,17.63,10.14,8.99,7.36,24.93,25.56,32.16,27.79,28.66,32.72,26.55,17.16,20.05,29.99,26.8,27.16,39.07,47.84,46.67,45.27,37.06,29.6,40.18,48.68,57.08,47.5,62.91,71.21,26.94,27.25,23.79,33.05,43.41,45.14,49.29,35.08,26.14,28.39,21.73,32.6,29.07,31.89,35.72,34.79,34.22,32.0,34.09,24.22,26.87,19.84,36.67,20.38,0.8,0.51,0.05,0.19,0.67,0.43,0.51,0.54,0.51,0.43,0.62,2.62,19.33,24.01,27.8,24.83,17.96,19.47,15.09,16.09,17.2,17.86,20.23,25.04,29.54,32.24,30.7,29.08,28.59,25.04,18.37,15.19,13.19,13.34,12.57,12.73,15.4,18.5,22.67,26.36,24.53,23.09,19.42,19.55,19.86,19.51,21.0,22.3,26.84,33.73,39.52,45.23,54.9,61.71,71.8,71.06,74.17,79.37,78.21,80.73,50.03,40.73,32.06,39.78,35.35,41.83,42.37,46.37,64.34,72.92,80.23,76.23,95.85,97.39,98.35,98.31,98.29,93.53,58.26,68.05,36.84,3.29,2.48,2.68,2.68,2.81,6.39,3.2,3.25,21.22,19.77,10.71,9.24,6.82,6.12,5.4,4.65,4.52,2.76,3.38,5.22,6.54,14.37,18.7,59.32,96.01,96.95,96.84,97.19,97.37,97.13,97.02,96.31,95.66,94.76,94.08,92.87,90.23,87.47,69.72,50.52,27.96,15.47,22.19,33.03,48.97,42.19,37.93,37.42,36.53,37.98,39.78,36.14,37.63,41.27,31.82,24.5,19.8,16.02,9.2,3.96,4.22,6.61,6.81,5.23,6.59,8.37,4.93,1.48,1.75,6.77,4.82,3.25,1.93,1.72,2.63,3.66,4.85,6.98,4.19,0.76,0.39,1.06,1.59,2.67,4.77,5.98,3.61,6.2,4.09,4.32,5.88,8.95,13.54,10.8,9.73,13.01,12.38,18.57,21.62,33.36,38.41,40.45,3.73,3.66,3.73
275097,Prospect Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,68.01,48.4,37.05,36.28,41.45,44.77,65.13,66.19,71.0,64.34,72.57,73.28,66.36,64.77,59.04,55.99,65.8,54.01,36.47,30.53,20.74,17.21,11.97,9.8,20.4,20.13,25.38,15.47,13.94,13.89,17.49,20.04,22.78,25.21,28.9,41.62,52.6,45.43,35.4,57.19,67.26,70.01,73.63,63.14,61.27,62.85,64.18,57.7,26.37,19.83,29.41,17.39,8.56,8.32,5.64,6.57,3.15,4.57,3.65,6.58,4.53,5.56,13.69,21.24,18.5,28.09,25.48,10.07,9.81,5.16,12.06,5.72,0.04,0.04,0.03,0.04,0.22,0.3,0.39,0.65,1.0,1.08,0.61,0.92,10.96,34.58,50.82,35.23,23.12,14.13,8.01,9.98,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.63,38.53,31.35,23.95,20.59,20.2,19.05,15.3,6.88,8.87,11.54,8.09,6.49,6.97,7.62,7.4,11.95,13.95,15.44,23.49,35.0,33.37,23.01,26.28,10.3,3.25,6.84,5.59,4.91,8.39,10.57,3.93,3.82,4.5,5.48,6.14,7.8,14.35,30.59,40.34,34.77,26.17,37.65,38.99,46.12,47.34,46.41,2.33,2.37,2.49
275005,People Active in Community Effort,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,33.5,65.6,64.84,40.01,41.12,53.48,74.43,79.12,67.97,84.84,74.67,63.59,27.28,16.05,22.02,19.28,26.24,24.93,17.75,8.99,7.77,7.26,9.13,8.67,18.15,15.82,22.43,22.97,27.21,23.96,29.95,45.93,62.21,77.54,80.29,91.31,94.29,90.3,79.89,81.29,75.95,70.84,64.32,58.53,44.99,30.22,25.69,16.45,1.11,0.83,3.2,5.87,7.97,13.63,26.35,17.18,9.54,12.62,8.1,13.28,10.62,10.54,15.23,13.69,14.84,15.47,19.33,13.18,17.16,16.16,29.31,19.94,2.12,1.86,0.41,0.61,0.9,0.54,0.27,0.12,0.24,0.95,1.15,3.66,16.99,21.73,27.02,24.38,20.39,24.46,24.46,27.76,30.29,17.08,17.86,18.66,21.45,21.27,18.66,16.92,15.84,14.23,12.61,13.95,14.45,12.77,11.37,10.49,9.38,9.88,13.77,14.62,13.89,12.05,12.13,10.81,10.18,12.71,16.08,22.94,34.86,47.69,56.46,66.62,74.9,80.55,84.42,86.43,87.71,86.55,87.33,83.66,48.86,33.64,22.83,25.4,23.66,25.46,26.54,28.05,35.43,47.51,55.45,50.68,89.55,93.46,94.55,95.81,95.75,86.53,68.77,69.77,38.29,11.29,7.46,7.42,7.74,7.76,15.76,9.14,7.12,9.44,4.73,4.79,5.43,7.24,6.21,5.89,4.15,3.75,2.55,2.89,8.0,11.93,23.96,60.67,86.53,95.57,96.49,96.85,97.41,97.49,97.47,97.45,97.07,95.31,92.58,91.62,88.71,86.29,68.72,41.2,30.53,20.43,14.15,34.34,49.99,71.06,69.15,65.3,66.33,62.7,64.23,70.17,69.22,72.83,78.38,72.04,64.66,59.7,47.48,34.39,26.46,29.36,30.05,20.16,11.68,10.18,7.0,6.38,2.58,2.09,5.97,4.45,4.62,4.29,5.44,5.5,5.23,5.87,5.99,5.6,0.98,0.72,0.74,0.99,2.05,3.86,6.28,4.86,5.95,3.22,3.08,2.81,5.97,8.99,9.71,8.41,6.77,6.18,8.39,5.77,11.43,11.27,10.77,2.75,3.01,3.07
271622,Vance Jackson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,54.94,61.16,63.22,45.06,34.14,30.88,47.83,28.91,34.6,40.42,36.49,35.73,17.84,17.19,17.74,15.68,22.94,27.32,22.98,28.6,23.58,21.11,25.66,20.94,53.14,42.47,41.73,32.98,41.67,40.37,40.85,33.17,36.31,36.33,33.97,40.0,62.86,69.09,73.81,78.75,69.82,69.03,69.11,68.15,70.85,74.69,78.22,72.41,31.31,23.23,21.42,21.16,25.28,25.28,30.54,19.93,13.57,17.73,13.49,26.64,24.3,22.63,29.99,31.05,33.26,37.28,38.12,24.66,28.14,22.6,42.65,30.76,1.61,0.75,0.38,0.9,2.35,1.82,1.28,2.12,2.64,2.87,2.26,3.12,13.37,20.54,24.32,21.78,15.72,15.19,9.79,10.08,9.92,8.56,11.72,15.67,21.23,19.99,19.26,16.21,10.44,9.49,7.98,8.27,7.88,6.01,5.25,5.23,2.05,2.23,1.8,2.36,4.03,4.96,5.89,4.53,4.96,4.15,5.19,5.87,10.44,17.65,36.85,47.93,62.46,77.16,86.67,91.79,90.1,87.97,87.16,87.99,32.49,15.98,8.95,6.95,5.39,4.9,5.52,5.99,7.88,8.58,10.36,8.72,16.08,35.51,58.56,73.98,69.12,65.81,67.4,61.47,58.12,57.36,59.43,74.74,84.75,86.61,91.42,70.09,41.9,63.79,79.89,74.35,13.44,9.47,10.67,12.98,10.81,15.56,13.68,28.36,57.42,13.99,6.97,10.98,75.16,80.72,77.2,55.68,34.48,26.11,23.03,25.59,12.11,32.1,39.98,25.82,20.81,22.72,19.66,21.27,34.02,31.01,25.24,48.23,63.64,69.22,64.67,66.43,66.08,61.99,66.49,62.63,59.86,62.25,65.63,51.63,35.35,25.82,18.87,14.29,10.01,10.34,12.24,10.36,6.9,7.78,7.04,5.03,6.02,6.92,8.02,6.28,3.44,4.09,3.6,4.09,4.54,4.63,5.34,4.71,2.89,2.72,13.0,8.8,6.69,7.51,10.3,10.09,10.54,11.24,12.84,15.17,14.8,15.78,6.16,7.59,7.86,7.47,7.86,9.13,12.4,14.72,14.86,26.76,26.71,26.3
272738,Alamo Farmsteads-Babcock Road,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,82.55,73.31,50.03,35.06,19.14,25.62,40.85,30.05,32.39,44.56,58.56,57.26,32.8,29.38,10.95,9.15,17.03,17.78,10.14,13.49,12.12,7.07,7.74,6.1,49.6,54.6,63.99,60.58,67.48,58.68,72.64,68.37,61.18,58.82,57.25,67.16,70.58,57.23,54.62,54.74,42.71,40.2,28.78,29.6,32.48,40.62,40.62,30.63,9.66,8.64,9.36,14.2,15.96,21.13,39.57,25.11,12.98,14.63,11.68,17.38,14.07,13.92,23.6,25.66,22.22,23.81,27.52,16.63,24.13,21.45,49.09,28.16,2.72,1.87,0.96,1.96,3.09,3.41,4.51,5.16,4.88,3.58,2.19,2.92,19.19,31.89,39.85,37.73,32.68,34.07,24.66,22.76,22.68,13.55,14.18,14.84,15.53,13.76,11.08,8.11,5.08,5.55,3.53,2.5,2.37,3.58,3.39,2.89,2.87,2.42,1.68,1.97,3.82,3.79,3.37,2.89,2.42,2.68,3.03,3.82,6.66,11.82,25.21,45.24,63.21,78.79,87.26,92.24,94.42,94.39,93.95,93.34,72.39,58.58,43.29,31.66,28.47,25.68,26.32,32.97,40.16,45.08,48.26,45.05,54.0,67.63,79.95,83.76,82.29,89.92,90.45,62.34,30.74,14.26,17.58,35.45,55.39,52.68,56.89,46.08,27.97,32.13,43.39,74.26,55.16,17.13,8.37,13.03,21.13,33.03,38.16,55.89,72.87,28.71,11.42,12.58,17.47,39.29,48.71,21.18,10.95,5.89,3.45,2.89,2.55,3.21,24.55,33.95,44.87,44.74,29.05,25.49,22.6,32.08,38.11,47.89,47.97,40.78,38.38,34.93,34.09,33.27,35.75,37.38,38.26,42.55,45.73,34.71,20.99,14.74,12.6,9.65,8.88,7.9,7.05,4.28,3.86,4.04,4.38,4.04,2.78,1.85,2.86,1.93,1.8,1.98,2.5,2.42,3.01,3.3,2.22,1.75,1.47,3.01,4.15,4.12,3.97,5.0,6.73,8.48,8.71,8.58,10.64,10.87,16.88,19.99,3.61,0.88,1.16,1.78,1.34,1.8,3.07,5.2,4.79,52.34,52.24,52.24
271575,South Southwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,28.79,16.62,16.65,10.01,9.55,20.85,31.95,18.84,19.95,35.52,38.68,37.6,31.44,34.78,34.17,48.26,46.17,45.14,36.87,39.32,48.47,27.36,19.2,12.17,26.54,18.49,19.71,12.01,16.77,14.36,15.51,15.33,13.55,15.86,22.58,43.98,57.28,60.64,40.53,55.56,68.4,76.06,76.17,71.82,70.86,72.27,65.25,63.71,27.96,31.35,47.45,50.14,29.25,25.41,28.84,24.43,10.44,15.17,12.8,21.99,21.34,22.8,38.25,39.78,40.85,36.92,35.69,22.5,22.77,16.84,42.81,29.33,3.48,2.76,1.12,2.82,4.27,1.25,0.69,0.76,1.44,1.31,1.12,2.66,14.34,19.83,21.59,21.55,21.72,22.11,18.17,17.85,22.46,14.08,14.95,13.8,16.95,18.84,15.66,13.24,15.88,18.25,20.05,22.89,23.2,24.53,23.74,22.02,21.85,19.46,20.95,22.02,17.32,17.35,13.12,10.7,9.38,10.36,15.09,19.71,24.92,35.09,44.16,57.53,72.4,80.06,88.34,90.0,91.69,90.88,89.16,86.2,53.79,34.78,22.84,23.29,21.23,22.61,19.77,20.02,24.3,33.93,44.75,45.06,82.46,86.99,92.28,95.55,95.66,90.85,85.86,86.26,79.95,20.92,9.74,9.29,7.77,8.08,17.04,10.87,9.69,18.78,2.45,2.39,3.75,5.52,4.25,4.22,2.59,2.39,1.24,1.38,3.52,4.87,13.24,17.26,58.24,95.47,98.11,98.39,98.54,98.73,98.76,98.87,98.9,97.92,96.87,94.34,87.07,80.6,70.04,45.27,38.42,32.23,22.99,40.97,45.22,68.33,65.4,60.86,62.83,62.58,60.1,49.79,37.45,31.3,33.01,24.55,20.85,19.78,17.99,16.31,17.06,17.58,23.16,23.29,16.79,17.36,11.69,6.4,2.87,3.2,6.83,5.97,3.15,1.74,1.19,1.06,1.36,1.98,2.87,5.02,1.65,1.0,1.27,2.5,1.76,3.23,3.88,5.18,10.25,4.67,3.58,4.39,8.3,9.09,8.11,16.03,20.37,13.07,9.25,7.68,15.13,18.23,16.35,4.85,5.13,5.27
271421,Heritage,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,72.62,71.53,79.08,71.29,68.19,67.66,67.46,71.41,83.48,93.11,92.91,89.67,75.92,65.11,44.17,20.45,21.69,12.26,18.3,4.55,3.6,2.85,5.29,6.77,19.17,27.77,48.3,40.56,54.24,63.38,68.96,72.01,59.1,65.82,66.74,62.36,70.17,70.32,70.97,83.18,72.98,65.05,65.14,63.57,74.04,73.46,69.06,62.15,29.4,17.34,14.47,17.54,26.04,22.34,23.99,32.32,21.6,24.55,16.0,17.25,11.72,12.24,15.71,13.92,15.12,19.81,21.45,11.02,13.09,10.09,28.14,17.83,1.17,0.8,0.1,0.27,0.88,0.51,0.22,0.22,0.39,0.51,0.39,1.68,12.01,16.34,25.36,24.35,19.54,23.63,23.29,27.33,27.62,14.76,23.46,27.79,30.29,29.59,26.63,23.04,23.67,26.08,23.88,22.84,18.19,18.32,14.04,13.67,15.69,14.51,14.16,12.93,9.37,8.42,6.62,6.06,7.73,7.5,9.81,10.48,14.83,19.69,27.65,36.42,53.91,65.29,76.61,81.33,84.29,85.86,88.39,88.57,71.24,58.88,47.62,45.84,40.88,43.24,42.87,48.82,53.03,56.48,60.62,62.54,73.11,87.48,91.67,87.3,83.36,53.38,33.53,25.82,23.62,10.76,10.48,16.91,21.03,20.36,37.3,28.9,30.87,62.08,49.54,37.71,34.59,13.33,7.75,6.52,4.35,3.75,3.19,10.25,18.7,18.09,24.94,27.88,41.76,79.48,84.04,84.43,81.24,81.77,80.89,79.96,79.36,79.06,80.54,80.66,83.73,84.61,78.48,44.94,21.18,10.72,3.54,19.52,26.54,24.62,25.15,25.34,25.45,25.68,24.33,26.41,28.81,30.99,32.61,31.64,29.54,24.74,22.28,21.13,15.82,8.62,8.23,6.12,4.13,4.84,4.77,3.72,2.71,1.24,7.37,5.3,4.36,4.04,3.26,3.24,2.92,2.53,2.8,2.25,0.39,0.25,0.28,0.44,0.46,0.51,1.58,2.53,3.17,3.17,3.49,4.92,7.6,8.34,3.47,4.57,4.04,2.87,2.57,2.46,2.57,3.03,3.81,12.35,12.02,12.56
274946,Palm Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,31.59,21.83,11.13,17.06,23.5,43.19,59.75,54.07,48.29,46.83,44.01,53.03,33.83,24.03,25.73,12.73,18.66,22.8,18.69,19.81,20.94,15.65,14.15,10.02,37.45,43.87,45.1,34.6,30.33,22.97,21.98,8.01,9.76,10.17,10.14,12.19,16.61,8.33,4.51,11.01,20.73,25.29,39.77,50.94,61.6,72.44,82.27,83.97,39.74,47.08,61.7,62.22,55.54,48.96,50.0,12.05,6.41,6.93,4.44,10.27,7.97,10.31,22.81,28.21,29.66,38.91,42.54,29.03,31.79,27.01,43.6,29.96,1.96,0.52,0.25,0.6,0.79,0.65,0.65,0.71,0.98,0.95,0.35,0.9,14.93,30.73,34.62,28.64,24.15,27.03,20.64,23.28,21.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.81,24.69,20.57,20.49,19.03,23.55,23.31,18.83,13.04,13.34,12.28,11.66,3.33,3.33,7.81,5.86,6.53,5.26,7.24,9.54,12.34,15.4,12.5,11.12,2.96,0.79,6.56,9.33,8.54,9.9,9.08,6.26,9.27,6.51,7.46,9.06,9.0,8.65,4.39,4.15,5.29,11.28,18.49,20.61,37.23,42.52,41.46,3.19,3.22,3.52
273458,Dellview Area,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,51.58,59.26,48.49,55.46,49.4,40.37,51.09,36.69,29.33,30.43,36.69,29.47,13.08,13.52,11.66,6.31,12.12,16.34,9.5,14.33,13.87,11.39,6.99,3.26,33.61,22.23,28.88,26.32,36.46,36.58,45.07,34.99,34.2,42.89,43.99,54.0,63.38,61.54,59.7,61.52,34.68,34.98,38.88,43.05,46.46,45.74,43.95,33.16,10.08,12.04,14.15,16.85,21.85,25.28,29.77,19.98,12.27,12.47,10.01,16.94,12.96,11.88,18.43,19.31,16.69,15.29,15.17,9.1,10.04,7.21,18.75,11.88,0.74,0.42,0.17,0.2,0.44,0.49,1.03,1.3,1.62,2.48,2.13,4.64,21.84,26.52,31.18,27.13,21.54,24.14,23.09,24.53,31.5,24.67,29.01,36.42,42.58,44.31,40.72,37.63,30.34,24.91,18.35,12.31,7.53,5.39,4.02,3.22,3.86,5.43,7.48,7.77,5.19,3.82,3.34,2.9,4.23,5.19,7.04,8.49,15.81,19.92,28.21,34.93,46.24,59.03,67.57,78.07,84.55,86.36,87.08,89.38,61.25,49.09,44.95,41.57,36.06,39.84,46.04,51.59,48.37,40.4,28.09,23.78,43.26,47.44,48.61,55.53,76.22,36.46,6.16,7.97,4.27,2.66,2.94,3.14,3.38,3.3,28.88,3.38,2.94,3.82,5.83,6.48,5.63,7.56,6.8,7.12,4.83,3.94,2.57,3.42,15.12,46.42,96.74,97.02,98.27,98.39,98.59,98.15,97.95,98.15,98.23,98.11,98.03,97.02,90.47,76.55,51.85,39.3,26.95,20.84,13.6,3.78,1.33,3.58,9.17,11.02,10.66,11.06,16.13,17.54,19.03,18.3,18.74,22.89,24.78,17.15,16.4,14.91,12.17,10.44,7.77,4.99,3.74,2.83,2.52,2.93,1.69,1.93,0.29,0.61,0.49,0.98,1.17,0.73,0.56,0.56,0.9,0.56,0.32,0.59,0.39,0.39,0.78,0.93,1.25,2.05,4.89,8.92,11.12,4.13,3.18,3.4,5.47,6.16,2.1,4.03,5.99,5.13,5.38,5.84,15.78,19.45,18.98,1.72,1.97,2.17
271402,Great Northwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,24.16,23.77,34.07,25.75,19.77,23.12,43.46,39.9,47.91,49.56,49.83,39.01,16.96,12.2,9.27,7.44,10.8,13.93,7.75,9.15,6.68,5.51,3.2,2.09,46.81,42.44,47.38,43.94,53.62,60.77,69.4,75.5,71.94,73.65,75.48,75.23,89.25,87.05,91.85,88.32,76.28,68.11,65.7,44.91,49.21,46.4,50.35,51.58,6.46,4.3,4.9,9.39,11.38,8.27,9.99,21.27,6.18,7.72,5.85,13.76,9.74,10.65,14.51,13.41,14.49,14.87,17.53,10.04,14.64,11.98,25.59,16.66,1.03,0.95,0.86,1.07,2.1,1.66,0.93,0.8,1.24,1.6,0.99,2.99,19.2,20.61,26.35,25.95,23.07,25.49,20.5,19.79,18.65,13.02,14.25,15.11,17.64,17.35,12.87,9.86,8.65,7.34,6.04,5.53,5.07,3.9,2.85,1.86,1.82,2.49,2.91,3.67,2.45,2.43,3.0,4.56,7.41,9.39,12.22,16.65,24.82,33.37,45.78,57.34,70.01,81.49,89.49,93.46,97.07,97.0,96.29,96.6,91.11,82.38,72.44,57.58,43.71,38.31,33.6,36.94,39.24,44.79,45.23,39.74,45.46,48.06,66.38,70.7,74.19,77.61,52.68,41.87,26.7,9.05,31.93,49.28,55.61,55.47,59.14,54.73,47.55,49.83,49.45,53.19,45.06,11.63,5.49,7.72,8.4,11.84,12.28,26.04,31.45,17.33,16.72,24.82,42.19,50.17,52.79,52.83,54.24,48.18,46.92,46.62,42.72,44.28,57.68,72.2,66.78,59.65,48.37,28.03,19.04,12.16,3.57,12.98,28.92,29.93,26.07,21.95,22.06,24.86,23.01,22.08,21.44,27.52,26.42,14.41,7.81,4.37,2.28,2.45,2.39,3.31,3.79,3.75,3.14,3.39,3.98,3.03,0.54,0.54,0.52,0.59,0.48,0.42,0.29,0.33,0.46,0.65,0.52,0.5,0.17,0.13,0.29,0.38,0.33,0.48,0.92,1.44,2.11,3.39,3.64,3.89,8.54,12.12,1.28,0.59,0.67,0.48,0.67,0.82,0.94,1.21,1.69,88.21,88.19,88.42
