RegionID,Neighborhood,city,state,metro,county,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07
271427,Highland Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,34.71,30.47,28.23,32.55,36.7,43.06,36.65,60.48,53.41,50.05,46.01,39.33,68.46,76.44,83.5,89.74,83.44,76.02,75.65,62.41,70.88,83.08,85.04,89.48,65.95,65.41,57.44,61.6,58.87,53.0,59.88,73.31,70.98,58.76,62.8,61.98,46.22,39.69,39.66,42.3,49.84,56.24,46.36,37.04,30.59,38.84,25.02,18.24,56.96,59.29,61.77,51.1,40.71,38.37,35.76,48.8,60.2,53.54,63.96,52.17,54.81,53.93,47.87,50.09,53.23,56.04,53.09,66.16,60.96,67.86,49.51,69.87,98.41,98.78,99.69,99.49,98.03,98.75,98.98,98.53,98.89,98.7,98.67,95.16,71.14,66.84,62.36,66.36,73.48,71.82,77.48,75.23,72.4,71.93,67.46,61.44,56.88,55.96,56.46,59.21,60.13,64.32,72.42,76.8,80.07,79.7,80.82,82.53,79.15,75.16,70.09,67.13,68.09,69.06,73.8,74.3,73.58,74.24,71.27,69.56,63.9,56.31,50.21,44.09,35.57,29.6,20.36,21.81,18.48,14.55,16.44,14.55,38.51,48.65,59.4,51.63,55.32,48.5,47.88,43.84,27.8,20.87,15.36,18.13,2.9,1.87,1.23,1.29,1.25,4.15,23.52,21.13,44.9,92.85,96.93,96.64,96.55,96.34,83.85,94.36,93.92,63.99,67.81,81.63,86.22,91.73,92.89,93.7,94.16,94.51,96.77,96.18,93.77,91.44,84.0,77.86,26.93,2.63,2.79,2.81,2.35,2.22,2.48,2.57,3.23,3.77,4.3,4.06,4.89,6.93,9.08,20.8,34.56,58.72,77.46,67.84,59.13,40.78,50.42,55.38,56.96,57.01,55.87,54.23,56.82,55.3,52.18,59.81,65.93,72.2,77.0,85.38,92.6,92.59,89.56,88.6,90.72,89.06,86.25,90.62,95.32,95.3,88.91,91.77,93.47,95.38,95.44,93.79,91.67,90.34,87.46,90.83,98.46,99.24,98.34,97.48,95.56,93.56,91.54,94.51,91.63,94.35,94.0,92.35,88.76,83.18,84.69,84.62,80.84,82.82,75.54,72.65,60.14,55.49,53.76,95.87,96.04,95.91
275097,Prospect Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,26.26,45.79,58.76,59.0,52.46,48.71,28.4,28.36,23.39,27.75,22.01,20.75,26.52,28.57,32.41,35.29,26.35,37.11,55.3,63.05,73.6,77.06,84.67,87.26,72.28,73.64,66.04,76.81,79.11,79.57,74.9,73.3,68.91,65.01,60.79,46.42,34.77,41.39,56.59,31.6,24.24,21.14,18.74,27.48,29.6,28.3,27.51,32.86,63.86,71.17,60.6,73.35,85.86,87.46,90.95,87.34,93.62,90.96,92.37,85.64,86.67,82.96,61.5,51.74,51.65,43.16,43.26,81.06,78.85,89.22,74.98,89.64,99.82,99.88,99.95,99.86,99.54,99.43,99.34,98.84,97.96,97.65,98.69,97.62,74.27,43.32,31.49,43.19,54.91,64.1,75.82,75.7,80.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53,47.08,56.57,63.39,64.71,64.49,66.48,72.8,86.41,85.24,79.67,82.03,90.79,90.06,86.74,85.35,82.97,80.73,77.74,68.71,55.66,57.12,67.03,64.44,84.66,93.8,89.89,91.34,92.79,88.68,86.46,94.53,94.92,94.23,93.39,92.42,90.44,80.75,60.86,52.24,58.64,68.33,56.34,55.22,48.8,47.39,48.35,97.55,97.47,97.4
275005,People Active in Community Effort,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,60.34,27.78,24.41,46.7,44.09,32.37,16.43,13.06,21.25,7.96,15.53,25.13,60.02,74.71,66.98,73.65,65.41,66.41,76.83,86.51,90.59,91.75,88.61,89.51,75.21,77.59,67.49,66.43,60.69,63.96,59.12,43.67,26.79,13.21,11.67,4.24,2.95,3.82,13.5,12.09,15.55,18.98,25.64,30.13,43.7,58.97,60.63,72.82,96.32,97.4,91.94,87.4,83.6,76.37,62.57,67.98,82.74,76.81,85.38,76.15,78.67,79.18,68.05,71.74,73.57,75.08,71.47,81.99,74.4,75.3,59.31,71.0,96.44,96.61,99.12,99.07,98.61,99.17,99.49,99.68,99.54,98.61,98.14,94.53,75.09,70.26,62.93,62.0,69.87,65.9,65.52,64.97,62.48,74.44,73.72,71.37,68.22,68.56,72.07,75.32,75.72,77.49,80.81,79.23,79.15,80.07,82.12,83.18,84.6,83.78,79.81,79.37,80.17,81.94,83.12,84.68,85.28,81.32,76.02,66.32,53.77,41.2,33.1,24.62,17.08,12.09,9.62,8.48,7.2,8.36,8.3,10.71,40.12,55.57,70.81,68.14,71.57,69.93,68.28,65.72,55.99,43.62,34.56,36.97,6.56,4.87,3.75,3.03,2.63,9.72,20.35,22.05,37.51,85.91,90.38,90.68,89.98,90.8,73.18,88.27,90.7,85.95,93.24,93.83,92.4,90.7,92.54,92.32,94.51,94.27,97.17,96.35,90.98,85.3,61.83,25.66,7.34,3.75,2.95,2.47,2.19,2.11,2.21,2.13,2.37,3.63,5.27,6.23,9.12,10.3,15.84,42.74,56.72,69.77,78.85,48.87,37.16,22.11,25.22,29.63,29.06,32.35,31.19,24.77,25.38,21.76,17.17,21.43,26.2,30.51,40.96,53.93,63.96,60.7,60.32,70.79,80.87,83.17,88.28,89.31,94.97,95.51,91.16,92.53,92.06,92.29,91.61,91.34,92.35,90.85,89.43,89.55,98.07,99.16,98.95,98.42,96.8,94.23,91.05,92.9,91.34,95.28,95.47,95.75,91.3,86.76,86.23,85.9,88.86,91.05,87.19,90.72,83.54,83.3,84.38,96.91,96.85,96.79
271622,Vance Jackson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,38.11,32.54,27.8,45.48,58.16,61.66,42.39,59.82,53.89,50.03,51.0,49.65,72.73,74.65,75.26,77.09,68.24,64.26,69.45,64.07,69.9,73.33,66.0,71.76,31.48,45.33,46.84,56.01,48.87,48.7,48.58,55.86,54.14,52.78,55.59,49.69,26.15,22.86,18.64,15.4,21.34,22.53,21.25,23.32,19.81,17.53,12.12,18.29,56.98,67.36,70.67,71.4,67.69,68.34,60.24,68.18,77.51,68.66,72.27,57.04,59.15,62.49,51.79,54.88,52.38,50.3,49.15,64.52,59.89,65.0,39.48,56.03,97.09,97.95,98.85,98.14,95.69,96.75,97.55,96.17,95.79,95.43,96.69,95.29,79.24,71.9,66.59,69.63,76.45,76.92,83.6,84.3,84.38,84.21,79.41,73.87,68.33,69.14,69.45,74.16,80.28,83.32,85.41,86.32,86.38,89.79,90.84,90.74,94.19,95.64,95.95,94.67,91.26,90.29,88.86,92.54,91.65,91.17,90.06,88.3,80.14,69.7,46.53,35.76,25.03,14.45,6.43,4.22,5.29,6.63,7.26,7.36,55.37,77.78,87.14,90.74,92.93,93.16,92.97,91.9,89.0,87.58,86.81,87.72,76.64,51.2,28.23,15.94,19.64,23.48,20.67,22.36,26.09,28.34,25.98,14.12,9.26,7.57,6.06,14.92,40.8,18.85,10.54,16.37,77.7,84.08,85.66,76.87,81.6,78.67,80.49,57.54,29.58,72.55,87.02,78.52,14.99,10.71,14.76,28.13,52.34,61.14,63.68,57.28,74.8,48.76,43.28,58.23,67.11,61.26,71.97,70.21,55.56,58.24,62.29,40.21,25.94,23.31,27.05,25.81,28.38,31.25,26.89,29.06,31.95,30.71,27.69,37.86,53.78,66.24,71.63,79.32,83.87,83.6,80.84,82.12,86.43,86.19,87.05,89.67,87.66,84.9,86.25,86.17,90.98,91.34,91.22,91.83,90.48,90.81,91.65,92.53,94.08,94.31,78.87,84.5,88.88,88.07,85.12,84.51,83.63,82.97,81.49,79.39,78.76,75.66,90.11,90.05,89.4,89.64,88.85,87.07,83.32,80.27,80.52,71.14,71.59,71.98
272738,Alamo Farmsteads-Babcock Road,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,12.3,17.55,37.24,52.21,70.48,62.96,44.6,57.98,54.65,41.47,27.73,30.08,55.82,57.24,78.44,82.94,71.98,70.43,82.69,75.65,76.59,86.33,85.19,89.63,36.17,33.1,24.2,27.52,22.94,27.76,15.49,20.55,25.21,26.86,28.33,19.6,18.18,32.02,34.23,34.29,46.08,46.32,59.38,57.44,54.23,46.02,46.65,58.07,84.39,84.72,83.61,78.2,73.52,66.05,42.76,57.03,74.68,71.85,77.49,68.26,73.57,73.72,58.03,56.89,60.59,58.77,56.15,70.84,59.42,62.04,33.08,56.97,94.98,96.74,98.33,96.71,95.54,94.21,93.39,93.08,93.62,94.95,96.57,94.64,68.79,55.84,47.51,49.72,54.42,53.6,61.9,65.82,65.42,76.84,76.34,75.05,74.37,76.87,80.42,84.24,88.58,89.37,91.92,94.08,94.92,94.32,94.63,95.39,95.42,95.55,96.29,95.71,92.82,93.24,93.87,94.74,95.58,95.18,94.42,93.26,87.55,78.03,59.37,38.89,24.21,12.63,6.47,3.11,2.34,2.5,2.55,3.18,18.58,30.76,47.37,59.5,62.84,66.26,64.71,57.13,49.76,44.55,41.47,44.82,33.24,20.39,10.11,8.16,6.74,4.66,3.37,17.45,40.42,70.16,57.74,39.39,23.39,22.71,24.39,29.71,55.61,43.66,29.97,13.63,23.63,60.5,80.37,65.18,55.08,37.84,43.79,28.32,13.79,53.11,79.63,79.55,74.05,39.34,26.63,55.32,74.29,90.16,94.92,95.58,96.13,91.45,59.0,51.13,43.53,41.61,50.25,50.33,61.36,47.8,41.59,34.62,34.98,45.73,50.13,55.37,57.85,58.4,55.61,52.87,52.21,47.45,44.6,53.2,67.29,74.5,78.19,80.85,81.85,82.78,84.18,89.0,90.86,90.68,91.14,90.88,92.87,94.1,93.0,94.49,95.83,96.06,95.67,94.98,94.02,93.28,95.08,95.49,97.09,95.75,94.67,94.2,93.84,92.09,89.9,88.41,87.32,86.81,84.85,83.64,74.52,69.65,93.53,98.07,97.47,97.19,97.5,96.88,93.82,90.6,91.24,46.82,46.98,46.82
271575,South Southwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,65.36,77.57,75.31,86.22,87.37,69.45,57.68,72.37,73.05,54.07,51.06,50.13,52.8,52.52,54.76,40.77,42.19,44.07,53.76,48.4,37.9,61.99,73.1,84.78,66.74,75.7,71.29,82.67,77.31,80.5,79.84,80.71,83.13,77.53,68.88,40.17,28.45,28.62,45.2,32.36,22.88,16.29,17.11,19.16,21.73,21.94,27.14,27.28,58.73,54.25,38.76,37.94,60.05,61.72,59.54,58.65,76.55,69.32,77.13,64.86,63.28,60.35,40.78,42.54,43.28,46.4,47.04,65.15,60.79,68.14,42.78,60.99,93.83,95.21,97.73,95.21,93.66,96.39,98.03,98.13,97.18,96.75,97.6,95.57,76.89,71.81,70.97,71.94,71.85,69.83,72.33,72.59,68.92,79.47,77.98,78.63,74.01,72.85,76.29,78.94,76.26,73.75,72.09,69.84,68.12,67.87,69.9,71.81,71.67,71.47,70.23,68.63,75.42,74.91,79.98,83.24,84.6,83.3,78.65,73.11,65.81,52.46,41.71,30.3,17.57,11.72,7.1,5.21,4.59,5.32,7.72,10.28,37.54,55.48,70.04,68.88,73.36,72.88,75.25,75.81,70.85,59.59,48.24,48.21,14.7,9.49,5.44,4.0,3.89,7.18,10.98,12.05,15.94,63.0,88.34,88.96,89.66,90.12,80.48,86.51,88.51,73.87,95.8,95.69,94.09,93.58,94.62,94.96,96.45,96.62,98.51,98.25,95.61,93.02,83.33,69.87,28.25,3.27,1.44,1.41,1.15,1.13,1.04,0.93,0.93,1.3,1.69,2.99,6.36,12.0,14.25,40.25,47.66,57.89,65.92,51.31,43.84,20.99,25.33,28.52,28.88,29.11,32.8,41.31,55.4,60.47,58.48,68.63,72.13,73.65,75.79,77.17,75.38,76.23,70.73,69.18,75.94,75.56,80.88,87.12,93.41,92.92,87.58,89.29,94.01,96.37,97.72,97.94,97.48,96.53,94.03,92.57,96.94,98.51,98.13,96.28,96.58,95.04,94.28,92.32,86.36,93.73,94.79,94.33,88.23,85.84,89.02,75.81,70.57,79.82,85.76,88.17,79.39,74.56,79.17,94.95,94.56,94.5
271421,Heritage,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,24.72,25.76,18.72,26.22,30.43,29.73,30.91,23.1,10.52,3.75,5.15,7.04,17.34,25.82,42.58,68.71,66.97,77.78,71.01,91.18,93.21,95.79,91.08,89.53,66.45,56.15,33.87,39.18,25.79,19.29,17.72,14.45,23.76,18.54,17.77,22.12,16.46,18.71,18.61,9.55,15.76,20.81,20.16,20.43,14.0,14.89,19.99,26.59,56.28,70.72,75.19,69.73,60.94,64.03,62.44,48.16,65.31,56.54,69.83,68.41,77.11,78.09,70.54,73.4,73.5,67.76,64.02,80.58,75.45,80.56,56.5,70.81,97.42,97.88,99.59,98.86,97.59,98.56,99.66,99.51,98.95,98.76,98.93,96.67,80.8,75.43,63.69,64.22,70.24,66.39,66.07,60.37,60.08,76.98,66.66,62.8,61.01,61.64,64.04,67.54,67.79,65.71,68.21,68.95,73.23,74.27,79.08,79.55,77.35,76.96,77.65,79.25,84.36,87.0,89.57,89.91,86.46,87.27,85.49,83.48,78.76,72.54,63.14,51.76,32.83,23.48,14.58,12.15,9.63,8.1,5.78,6.36,17.56,32.69,43.22,45.3,49.7,48.24,48.77,43.04,40.35,37.16,34.06,33.18,20.45,6.25,4.19,5.23,6.32,29.78,51.39,58.79,69.48,78.04,82.86,78.0,72.24,71.43,48.29,53.84,50.28,21.84,30.68,42.39,45.44,78.46,88.45,90.58,92.71,93.43,95.63,87.34,78.44,76.21,69.78,61.36,43.34,15.27,13.4,12.98,13.67,15.34,16.47,18.23,19.71,19.71,16.82,15.69,10.5,8.93,12.45,34.09,59.55,72.34,87.57,70.96,68.46,72.02,72.14,72.74,72.81,72.38,73.51,70.1,66.65,63.55,61.4,61.83,59.75,63.13,67.56,69.43,76.14,82.85,85.57,87.75,90.8,90.48,90.8,92.72,93.5,95.5,87.63,90.54,91.42,91.94,91.76,88.31,90.98,92.88,93.8,95.27,99.13,99.54,99.43,99.13,99.31,98.92,97.27,96.35,95.64,95.66,95.25,93.16,88.38,86.52,94.56,94.17,94.21,95.84,96.44,97.02,96.35,95.31,93.8,86.09,86.32,85.92
274946,Palm Heights,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,60.3,69.67,86.21,78.86,69.43,45.82,29.42,34.47,37.32,39.95,42.47,32.57,54.6,63.16,61.49,80.24,75.37,69.02,77.39,74.55,72.44,79.23,77.81,85.91,49.04,42.15,41.14,51.42,57.7,65.38,66.7,83.73,82.23,81.77,82.31,79.03,70.58,83.94,91.15,81.67,67.71,61.9,47.99,34.47,25.35,16.63,9.45,7.98,45.34,38.13,25.26,24.9,29.95,36.55,37.23,80.23,89.76,86.66,90.99,78.64,75.96,74.41,63.87,58.77,56.67,46.93,42.62,59.54,54.41,61.45,44.61,61.04,95.64,98.31,99.35,98.86,97.98,98.23,98.28,97.71,97.6,97.6,99.18,98.07,72.12,57.98,55.29,59.97,63.83,61.06,67.39,67.64,69.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.82,63.43,69.44,70.11,69.71,62.1,63.7,71.06,80.81,80.83,81.62,81.27,93.49,93.82,88.56,90.65,89.16,90.54,87.31,82.59,79.34,76.46,79.04,82.35,95.23,97.97,89.86,87.04,88.39,86.66,87.39,91.0,87.74,91.73,89.89,88.29,88.02,88.45,93.3,92.95,91.3,85.22,76.68,74.3,57.08,51.03,52.55,96.43,96.35,96.16
273458,Dellview Area,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,38.23,32.49,37.37,32.44,39.73,48.02,38.06,47.71,56.88,53.82,48.34,54.18,75.56,76.17,78.94,88.02,80.2,71.98,82.85,77.74,76.44,79.61,86.7,93.3,45.83,61.19,55.42,59.57,50.1,49.98,42.81,53.02,52.87,46.12,43.06,33.86,24.75,25.31,27.23,23.25,49.79,49.57,46.21,41.43,38.63,38.7,38.95,50.33,83.3,81.93,78.79,76.04,66.11,65.11,59.27,64.31,78.72,75.68,80.27,67.94,73.94,76.54,66.53,67.21,73.74,74.63,73.35,85.35,80.61,85.01,69.5,80.76,98.55,99.02,99.66,99.56,99.02,98.65,98.45,97.67,96.88,95.34,96.15,92.32,70.39,64.28,58.24,61.43,68.47,66.07,67.22,63.79,56.72,66.08,60.64,52.84,48.21,45.71,49.38,53.72,60.12,64.91,72.52,82.01,88.89,91.43,93.68,93.76,92.72,90.95,88.93,87.77,91.55,93.28,94.12,94.21,92.52,90.14,87.12,84.91,75.65,69.38,61.41,53.36,41.25,29.58,21.21,13.76,9.01,7.53,6.88,5.96,31.31,42.94,46.96,50.62,53.64,51.71,44.91,40.76,42.62,48.17,61.01,69.09,47.28,41.45,41.21,30.5,14.45,39.15,84.23,81.21,88.21,96.9,96.58,96.34,96.34,96.38,54.63,95.21,96.66,94.41,92.48,91.23,93.24,86.97,90.39,90.59,93.77,95.21,96.82,95.7,78.36,27.07,2.33,2.17,1.53,1.41,1.21,1.29,1.73,1.65,1.49,1.61,1.81,2.25,5.23,14.84,34.55,45.58,61.14,68.7,76.03,91.43,97.22,93.52,86.6,84.15,84.07,84.43,76.63,75.62,74.82,75.34,74.14,68.83,66.61,74.98,74.6,77.24,80.98,82.16,84.84,89.0,91.42,93.44,94.5,93.67,95.36,95.8,99.1,98.88,98.61,98.27,97.7,98.73,99.05,98.97,98.53,99.02,99.29,99.0,99.49,99.39,98.46,96.6,96.07,94.75,90.28,85.15,82.36,93.11,94.77,94.55,90.98,89.93,96.8,93.38,90.72,92.4,92.28,91.3,79.11,74.91,74.81,97.93,97.83,97.55
271402,Great Northwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,,,,,,,,,,66.49,66.26,55.52,65.22,73.64,63.17,40.28,45.55,37.58,38.23,33.61,43.83,70.13,77.07,82.12,85.67,81.1,76.4,86.07,82.44,85.94,87.55,90.54,92.56,35.94,40.12,34.02,41.42,30.75,24.98,17.0,13.44,15.88,14.21,12.75,12.08,5.51,5.88,3.8,5.76,13.39,19.4,21.0,37.96,34.03,36.78,32.18,31.75,86.42,89.66,89.97,82.28,78.11,81.6,78.61,60.66,83.37,79.06,85.61,73.41,80.49,82.56,73.47,74.14,72.5,71.76,69.04,83.21,74.73,80.72,62.01,75.76,97.26,97.52,98.15,97.73,96.44,97.16,98.11,98.15,97.05,96.76,97.81,94.38,71.46,67.34,60.76,62.63,66.88,64.42,70.68,72.03,73.65,79.19,77.1,75.05,71.8,72.65,78.98,82.65,84.63,86.58,89.13,88.77,89.59,91.87,93.86,95.86,95.31,94.39,94.05,92.42,93.84,94.66,93.79,91.22,87.48,85.25,79.67,73.53,64.52,52.01,38.22,29.11,18.05,11.25,6.4,3.38,1.27,1.2,1.71,1.52,5.28,9.67,16.63,26.26,39.68,46.1,51.48,47.97,45.86,42.15,42.78,47.47,38.98,34.7,15.11,9.9,7.24,7.05,18.3,24.36,32.46,68.83,52.93,43.27,41.28,41.22,34.74,40.92,44.77,40.84,41.43,38.29,43.96,72.9,88.9,82.69,79.04,73.15,77.35,62.41,52.91,62.98,73.13,61.5,54.5,39.81,31.98,33.79,35.18,41.26,47.45,49.56,54.52,49.45,19.88,13.38,13.34,17.79,31.53,51.52,66.84,76.55,85.04,68.47,52.93,54.41,58.91,64.61,65.89,65.3,67.71,67.88,69.02,62.07,64.08,76.41,84.16,88.55,91.31,91.38,92.3,91.0,90.35,90.96,92.13,92.13,91.5,92.57,98.62,98.62,98.79,98.83,98.95,99.2,99.46,99.5,98.68,98.01,98.24,98.05,99.62,99.75,99.54,99.18,99.27,98.89,97.61,95.86,95.0,92.9,92.97,93.01,82.36,76.19,97.72,99.04,98.95,99.08,98.97,98.79,98.6,97.32,96.9,11.22,11.2,11.08
