Neighborhood,city,state,metro,county,rent_1br_monthly,rent_1br_sqft,buy_home,buy_home_sqft,rent_2br_monthly,rent_2br_sqft,rent_sf_monthly,rent_sf_sqft,price_rent_ratio,pct_price_reduction_homes,median_pct_price_reduction_homes,pct_home_increasing_in_values,pct_home_decreasing_in_values
Vance Jackson,San Antonio,TX,San Antonio-New Braunfels,Bexar County,797.0,1.17214020356586,239900.0,131.236445032068,1005.0,1.04347826086957,825.0,,14.19,10.5882352941176,3.6697247706422,71.98,26.3
Stone Oak,San Antonio,TX,San Antonio-New Braunfels,Bexar County,1160.0,1.55059132720105,295000.0,122.60356287301201,1570.0,,1800.0,,6.74,13.7254901960784,2.8277634961439504,24.02,75.49
Friedrich Wilderness Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,1241.5,1.5691176470588202,431445.0,153.866366366366,1670.0,,1554.0,,8.82,,,27.62,71.35
Thousand Oaks,San Antonio,TX,San Antonio-New Braunfels,Bexar County,793.0,,,,1035.0,1.03645833333333,825.0,,11.89,,,58.07,40.71
Forest Crest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,1335.0,1.8490304709141296,,,1985.0,1.6753022452504298,,,,,,,
Highland Hills,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,135000.0,115.003046458492,,,,,18.19,,,95.91,3.73
Prospect Hill,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,95000.0,92.1336891599949,,,,,16.17,,,97.4,2.49
People Active in Community Effort,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,181499.0,117.155195991748,,,,,23.91,,,96.79,3.07
Alamo Farmsteads-Babcock Road,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,200000.0,121.630506245891,,,1350.0,,10.0,7.35294117647059,,46.82,52.24
Heritage,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,187999.0,124.97213372187099,,,,,13.74,,,85.92,12.56
Great Northwest,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,180000.0,118.142144638404,,,,,5.72,,,11.08,88.42
Northwest Crossing,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,175000.0,113.02475780409,,,,,7.35,,,17.02,81.78
Highland Park,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,179900.0,129.47882736156402,,,,,13.8,,,92.61,6.62
Shearer Hills - Ridgeview,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,224900.0,138.94873181060498,,,,,15.67,,,73.23,25.4
Los Angeles Heights - Keystone,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,157500.0,118.12814796466002,,,,,12.99,,,95.23,4.28
Oak Park - Northwood,San Antonio,TX,San Antonio-New Braunfels,Bexar County,,,384950.0,186.938622754491,,,,,12.93,15.6521739130435,2.73172643543014,50.53,48.76
