Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
South End,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000.0,136250.0,129000.0,129950.0,139950.0,143850.0,141000.0,144925.0,144975.0,145000.0,144900.0,140000.0,134900.0,129400.0,139500.0,142000.0,144900.0,149000.0,154999.0,159950.0,159450.0,160000.0,168500.0,169000.0,169925.0,169925.0,169000.0,159979.5,174000.0,169950.0,172500.0,185000.0,199000.0,199950.0,199250.0,199000.0,195000.0,195000.0,195000.0,195000.0,199950.0,204145.0,209950.0,214450.0,219950.0,219988.0,219969.0,220000.0,220000.0,224500.0,220000.0,229950.0,235000.0
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136950.0,139950.0,130000.0,135000.0,137000.0,141950.0,149000.0,149950.0,150000.0,155000.0,149972.5,145000.0,130950.0,127500.0,145000.0,149999.0,147500.0,144925.0,150000.0,159000.0,154999.5,165000.0,165000.0,160000.0,164950.0,165000.0,159950.0,165000.0,179000.0,184975.0,189950.0,192500.0,192500.0,195000.0,199950.0,199977.0,199900.0,199900.0,195000.0,199950.0,204950.0,212000.0,220195.5,225000.0,229000.0,225000.0,229000.0,230000.0,229250.0,229000.0,229950.0,235000.0,244950.0
West End,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284500.0,284500.0,305000.0,276900.0,275000.0,279475.0,250000.0,279475.0,284395.0,304500.0,324500.0,300000.0,299950.0,285000.0,334950.0,319900.0,319900.0,304900.0,292500.0,299950.0,289925.0,288950.0,280000.0,289900.0,289900.0,310000.0,310950.0,289000.0,295000.0,299974.5,315000.0,309475.0,323950.0,349000.0,353475.0,361000.0,351750.0,336000.0,337000.0,349925.0,349950.0,375000.0,378450.0,387000.0,389250.0,379950.0
South Tacoma,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131975.0,130000.0,125000.0,124950.0,121000.0,113000.0,125000.0,122669.5,125000.0,123475.0,129950.0,129975.0,119900.0,114999.5,128637.5,139900.0,149000.0,149999.0,158950.0,157975.0,149925.0,149950.0,149950.0,159953.0,159951.5,154700.0,158515.0,159900.0,159900.0,165000.0,175000.0,172500.0,180000.0,186449.5,187900.0,183225.0,184975.0,185000.0,187750.0,189950.0,209000.0,209950.0,219975.0,219950.0,218000.0,222000.0,219975.0,220000.0,228000.0,225000.0,225000.0,229950.0,239950.0
Central,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159950.0,174900.0,174950.0,169500.0,179925.0,179950.0,183175.0,185000.0,177950.0,175750.0,174970.0,174950.0,176220.0,178000.0,199899.5,199950.0,216950.0,219000.0,219900.0,218250.0,212500.0,210500.0,217250.0,215000.0,226500.0,225000.0,229000.0,229000.0,237900.0,239970.0,245000.0,238975.0,245000.0,249950.0,241475.0,234950.0,244900.0,254975.0
Alderwood Manor,Lynnwood,WA,Seattle,Snohomish,285000.0,277450.0,275000.0,275000.0,279950.0,275000.0,275000.0,274950.0,274975.0,249475.0,249000.0,249900.0,249450.0,249950.0,244975.0,241000.0,240000.0,239950.0,240500.0,227900.0,231950.0,249975.0,264175.0,269262.5,249950.0,249950.0,281365.0,295900.0,300447.5,310977.5,314950.0,285000.0,295000.0,294950.0,339900.0,339950.0,339930.0,354925.0,379950.0,379950.0,381950.0,383475.0,380475.0,385975.0,385000.0,374972.5,386950.0,399950.0,394950.0,409972.5,399997.5,399950.0,399972.5,399950.0,399950.0,399900.0,376975.0,369950.0,374972.5,343972.5,367447.5,375000.0,396700.0,407950.0,409700.0,414950.0,399950.0,407950.0,409950.0,399950.0,387725.0,379972.5,374500.0,379000.0,395000.0,404950.0,417475.0,419950.0,424950.0,419900.0,419900.0,399990.0,399925.0,399000.0,399900.0,415000.0,425000.0,425000.0,449000.0,438800.0,470000.0,469000.0,469970.0,492475.0,519000.0,539000.0,509000.0,534975.0,520000.0
Magnolia,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825000.0,850000.0,895000.0,854500.0,877000.0,879475.0,929999.0,918000.0,949500.0,844975.0,950000.0,1096500.0
Northeast Tacoma,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334995.0,327450.0,314990.0,299000.0,294950.0,299950.0,324947.5,344900.0,334995.0,334995.0,324950.0,304975.0,289975.0,289000.0,283000.0,299950.0,322475.0,324975.0,344725.0,349950.0,335000.0,339970.0,348000.0,349000.0,334500.0,325000.0,325000.0,352500.0,342500.0,345500.0,342450.0,339900.0,349950.0,359950.0,369600.0,370000.0,370000.0,354950.0,352475.0,367450.0,365000.0,365000.0,393950.0,399375.0,424975.0,404975.0,418950.0,439950.0,439950.0,440000.0,425000.0,425000.0,438000.0
Martha Lake,Lynnwood,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519970.0,499995.0,512472.5,494995.0,475000.0,469900.0,450000.0,439000.0,444000.0,462500.0,465000.0,449950.0,499999.0,549990.0,549000.0,549000.0,527000.0,525000.0,532475.0,529950.0,529950.0,537475.0,549950.0,549950.0,560000.0,589950.0
Greenwood,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379500.0,379950.0,389499.5,367499.0,389999.0,339950.0,349950.0,349950.0,365000.0,368800.0,399000.0,384900.0,378500.0,379000.0,399900.0,384900.0,379500.0,375000.0,379900.0,409475.0,450000.0,450000.0,479375.0,498950.0,459980.0,474800.0,469975.0,425000.0,429950.0,445000.0,493944.0,494000.0,499950.0,525000.0,525000.0,484950.0,543500.0,529450.0,539000.0,544500.0,550000.0,577000.0,587000.0,550000.0,562000.0,565000.0,574975.0,575000.0,575000.0,625000.0,625000.0,625000.0,659475.0,625000.0,675000.0
