Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
South End,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.75609756097602,111.800947867299,107.894736842105,114.503816793893,120.544320469424,120.91232690953699,114.79334902044701,114.503816793893,114.21370967741899,118.530884808013,118.507148565144,116.10564037404,112.490302560124,105.750566358282,112.37273755656099,116.64203550256,118.982489990252,124.013930469035,126.320624712908,130.305755395683,130.247217320483,134.98836307214899,136.702063106796,137.118902439024,137.19512195122,129.458702692603,127.846534653465,128.712121212121,136.113002042206,140.503875968992,144.21768707483,150.881239578615,153.460983307407,159.801136363636,161.237980769231,159.812096261781,155.992907801418,153.96623151787398,154.087591240876,155.750798722045,158.273381294964,158.208955223881,165.714285714286,172.94871794871798,180.814151894225,189.105504587156,191.029900332226,193.498452012384,191.98717948718001,189.342951360264,185.510349750178,189.255617977528,195.3125
Capitol Hill,Seattle,WA,Seattle,King,417.30556728166704,404.020275666179,406.610365756269,402.356902356902,394.566261203585,384.955752212389,382.00589970501505,379.217445271948,372.90322580645204,366.67130195599,364.84018264840205,362.41240187694603,360.263704941923,359.26517571885,359.438202247191,347.90209790209803,347.65037593985,348.182892526468,342.931034482759,335.955056179775,335.555072043323,334.45590836351397,324.642857142857,314.838709677419,312.670452527322,309.514968670225,320.581655480984,329.754601226994,328.60508491214296,334.980712812807,329.754601226994,331.202046035806,348.56014705505,336.60589060308604,362.352941176471,361.99451778532404,359.632167283603,374.550266380682,374.962302797873,377.061441090555,388.219544846051,388.255403490987,394.736842105263,394.736842105263,392.98820445609397,389.629315223543,380.210170383434,385.286783042394,392.37668161435,390.61889636272997,392.82395157322,401.247288503254,405.190644093576,430.473888778154,422.62156448202995,404.84503328260905,400.641025641026,415.730337078652,421.56862745098,420.589967435738,436.10826034034204,428.404561446322,436.27340401533996,450.243664717349,443.037974683544,439.80545008005,447.081712062257,469.344843965914,477.443157746081,489.55613577023496,500.0,494.710526315789,498.944460254221,486.3506653516599,494.604022511679,500.0,500.0,514.9696989751541,513.905766681396,514.669117647059,525.345786500495,536.949520408878,530.909090909091,535.810299063774,542.222222222222,546.021840873635,541.4746543778799,560.851183765502,564.191134139321,564.833662307756,578.869753979739,576.1762997386,586.885245901639,622.641509433962,606.7415730337079,561.131386861314,593.984962406015,613.6575432570929,622.07336523126
Eastside-ENACT,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.521054132469,111.784726065302,111.564540130568,112.2660196468,112.373337206948,112.775841994739,112.5,112.142363032651,114.329268292683,118.50152905198799,116.55948553054701,116.96518877466299,109.72702702702699,105.83053399046,116.754054054054,116.891958423314,114.75409836065599,115.59494370087099,118.376651982379,122.950320492419,120.70652173913,119.874743750574,120.726495726496,119.954273097475,122.071460877431,122.071460877431,123.905863068438,124.772784430166,126.703102186131,133.495145631068,138.150289017341,138.598490980054,138.733280286355,145.131369855635,150.08047944300898,148.802588996764,147.075657894737,141.88351920693898,143.426275143678,144.311155913978,150.030012004802,156.680911680912,157.232704402516,164.83516483516502,167.736757624398,170.147058823529,171.338785046729,177.788461538462,178.461538461538,181.18449781659402,187.147007111527,192.14097091098202,192.847124824684
West End,Tacoma,WA,Seattle,Pierce,186.93918245264197,186.37565776252498,182.26120857699797,182.024543682438,180.446194225722,177.039930555556,177.21893491124297,175.05835278426102,170.570500927644,171.23287671232902,167.766203703704,163.553861715626,154.46768060836501,153.272189093423,151.574719855259,147.186147186147,146.07384108080402,144.07437046521602,141.11764705882402,142.72559852670298,142.694063926941,138.801480795928,137.78162911611798,132.200886262925,134.835922139639,135.254329004329,135.65305093293,133.482699632588,134.248210023866,135.47169811320802,135.56306374136003,135.670631665299,131.575202344564,127.830278238056,137.99725703547702,141.335227272727,148.408280742016,146.636005213425,150.477707006369,150.54505061583998,153.503442689348,155.402730659151,167.746113989637,163.38664812239202,168.60380503810302,165.178571428571,160.91549295774598,174.205743214986,168.544061302682,171.178343949045,172.678434382195,194.099378881988,172.25130890052398,174.394952841137,178.185504971219,186.231495404356,179.36109186732398,179.261538461538,172.29729729729698,168.473991702875,177.07210259719503,184.426229508197,196.538461538462,203.65608678183997,194.06360884358998,192.467940380814,188.00897914964298,207.062600321027,199.248120300752,199.70774476376,199.248120300752,194.285661383499,202.277711323764,202.618453865337,191.741701555629,196.66577356362703,201.978114478114,199.26948051948102,205.08658008658,198.89871885008998,199.427319919109,204.764344262295,205.246523982999,207.13147410358602,202.922999337042,204.832835848396,225.591715976331,229.01796697492,229.301075268817,234.236092144939,237.958180417743,233.113069016153,237.028435839174,238.40769862321602,259.274873524452,263.848917813294,271.2587765284,270.45415168885,280.733944954128
South Tacoma,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.97139856771099,113.58978384762501,104.528301886792,107.65306122448999,108.396089856347,108.396089856347,111.423602678417,115.84763539283001,116.88311688311701,115.76510721247601,116.449885233359,115.789473684211,111.566558441558,99.9736842105263,111.20543293718201,118.016759776536,121.281397174254,122.070223584122,121.99112590127599,123.171248369721,121.973940745163,124.21212121212099,124.624611456483,128.86911638500098,132.860473825292,126.994459345003,131.771198830409,135.009787472036,136.428434405941,135.451366700302,149.112215909091,145.833333333333,148.10385335695,150.222222222222,145.70802005012501,148.68804664722998,148.59271523178802,155.187908496732,154.83369647461,161.979166666667,162.761627906977,166.977611940299,173.5625,172.958704942401,173.611111111111,176.16191904048,175.109249026967,170.401002506266,172.413793103448,176.609105180534,177.718128775808,187.768558951965,180.66491750675
Central,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.481927710843,122.203440896949,122.674229882819,120.126835781041,124.722838137472,122.512437810945,125.485263800714,129.310316359554,129.310316359554,127.893374741201,123.797347158003,128.10559006211201,116.822429906542,108.32876224570299,118.055555555556,131.625606009696,136.138466093644,136.138466093644,134.513097690736,139.86013986014,136.094674556213,141.485723992425,143.333333333333,140.677279320136,143.117357471812,136.618705035971,136.342626433612,134.938050806575,138.53125,150.797688670559,158.04620997162502,162.549914432402,163.63272727272698,165.59375,171.048250844762,164.458438613401,163.382072472982,165.647613636796,162.90251587820802,171.399776647278,177.15189873417702,187.578814627995,187.578814627995,191.326530612245,195.57823129251702,203.977006000298,205.48834397652303,199.33208353710398,196.74229732936902,194.100074682599,194.34303097187302,196.514898357004,200.17931858936
Alderwood Manor,Lynnwood,WA,Seattle,Snohomish,184.410559714515,181.753246753247,181.753246753247,178.397833533932,176.8356779529,166.46191646191602,164.02336116122498,161.0972776559,161.0972776559,158.541226215645,157.488807488807,156.633906633907,157.715968918032,157.488807488807,153.549593022865,145.82571263799602,144.033898305085,144.861016949153,144.691780821918,144.005449591281,144.005449591281,144.005449591281,145.168179391351,146.41089108910901,144.005449591281,148.085236167806,149.118644067797,149.889770723104,151.42886912358802,152.1484375,149.1087668243,148.4375,148.73417721519,144.757863205192,144.757863205192,144.757863205192,149.118644067797,156.395646535426,155.436057880329,159.27791020818898,158.32018927444798,158.211750788644,161.56392221762502,164.707514582652,164.826498422713,167.86739180227502,166.094561707452,167.595770151636,167.595770151636,168.577064886544,166.853393085787,170.17932400683202,170.800288392213,175.824175824176,175.824175824176,177.68758227292702,181.009491196588,179.66361758630902,175.12613371473,175.180206438297,183.277250042507,186.065573770492,187.32404659445,203.16235059761001,197.373163401326,203.16235059761001,204.355231143552,209.138446215139,209.138446215139,209.008369338269,211.06424302788798,214.15105706207402,222.50209907640598,229.003021148036,226.881102814474,231.134401972873,227.31892259514197,228.360520015733,231.585167153432,237.87413660782798,237.87413660782798,237.87413660782798,248.118481037887,250.166805671393,260.836120401338,261.134852801519,272.435897435897,281.190019193858,284.21052631578897,279.206999255398,266.089108910891,265.438786565547,281.495060457584,272.976639924493,273.224043715847,268.626865671642,273.104085180356,281.164367894966,285.045248868778
Magnolia,Seattle,WA,Seattle,King,318.137254901961,321.815718157182,313.380281690141,309.893483463455,303.921568627451,298.374531396439,296.558935361217,294.27083333333303,291.528179688577,292.07857637087,291.186440677966,286.638888888889,279.103214890017,278.87323943662005,278.800731216568,250.419268219233,245.332369942197,241.249005485532,254.693396226415,256.42094017093996,259.131097560976,253.84615384615398,276.848362181277,279.088345864662,266.598387543555,266.991119386253,267.710049423394,267.437048174473,277.830188679245,277.334199492116,292.369745411486,294.088235294118,294.185471557967,294.185471557967,297.71747507796,287.655551827734,296.396186440678,297.379014431475,300.462962962963,299.616724738676,307.385159010601,307.93450881612097,299.9375,303.65159694107103,309.840055632823,319.622012229016,319.748889697432,320.979447439353,322.649623057593,322.179331306991,322.179331306991,329.190965367436,326.923076923077,334.0,331.32530120481897,338.906926406926,349.244115044086,339.558598726115,316.063218390805,330.795033848107,344.402002107482,353.29918921351305,354.060913705584,361.21709459897596,364.31748078478995,364.39785113134695,362.372593431484,364.077669902913,374.975,387.62214983713403,394.299523305085,403.091397849462,389.87421383647796,395.833333333333,396.634615384615,405.81395348837196,415.178571428571,425.0,421.840316636801,422.776864388567,415.61712846347604,412.44463285484,414.02439024390196,441.102941176471,423.715129332882,434.44164466098897,450.204835746935,457.236842105263,460.740713033814,468.552215189873,459.69798657718104,474.686836518047,477.707006369427,484.21171171171204,485.84487534626,486.54033501049,499.6875,507.8125,538.720538720539
Northeast Tacoma,Tacoma,WA,Seattle,Pierce,156.76567656765698,163.021739130435,156.854688083676,154.570873032675,155.988741990625,156.406498998114,157.396788990826,156.918238993711,151.57755162926398,146.715033753577,143.03767286599899,142.567567567568,132.257401432774,128.13762625220198,126.805629863335,126.79889298892999,125.484378096816,126.121233356692,130.500152850066,129.437869822485,129.01376146789,124.35102960103,120.423262216105,114.47267481613702,110.987161467868,122.336227308603,114.60915730033399,119.033412887828,119.723053892216,121.181818181818,126.791376030438,124.620060790274,127.168120155039,119.40488301119,129.72503137226002,127.389966639739,129.876883150863,129.82900569981,137.602901411162,143.30353875609302,137.654770575382,144.699076079658,146.82026148573098,149.186046511628,147.02380952381,143.472022955524,141.791044776119,138.51503097817,138.23830658928,140.260299625468,143.617021276596,144.206849932402,146.52091996222998,148.924981057699,148.924981057699,152.110129623142,153.803131991051,154.702380952381,157.276995305164,151.622002820874,155.363415293164,156.468440271257,162.384852242616,162.879484109631,166.451116243264,164.876418423695,162.937743190661,161.740529899979,162.676488643339,165.402843601896,162.067723342939,159.815844336345,161.261520737327,168.417553191489,169.742154656798,165.78249336870002,174.082140634723,179.26937347860002,178.947368421053,179.704016913319,178.906560636183,178.555484693878,175.01605651894698,174.51020146049703,173.63864796413998,179.52032867782398,187.660668380463,191.05095541401298,196.134658021141,188.96540215160198,188.715211589783,190.79512210187,191.231378977075,191.34291670375902,190.25974025974,187.824453551913,192.229199372057,196.24420277808,195.402298850575
Martha Lake,Lynnwood,WA,Seattle,Snohomish,179.198113207547,179.11847035486,178.905712319339,177.748969633025,180.74216250799702,179.083094555874,177.815934065934,178.461097917911,177.098831030818,173.089476084366,162.479957242117,161.693961016961,151.508834496442,145.604395604396,144.34060228452802,144.46611872476802,146.266233766234,146.185831281229,142.377152456951,139.706612853151,139.38525962189502,139.731018820838,134.644724740789,135.92886270956,143.24403057837299,144.67619703754698,144.235407621804,145.074773359668,144.703063905087,144.067509762576,143.432671081678,146.912753022408,147.000983284169,148.38792221084998,159.278192189557,158.579021916418,159.002826412754,160.523713918075,167.146189735614,171.018724214535,174.742449098522,176.316935132782,176.172512510211,179.115384615385,179.07455976021,182.064415097351,181.72204915195599,180.38805160300498,170.807969665056,176.417927621965,177.00237325746497,176.71759794755798,173.243243243243,179.798826487846,187.71526980482201,186.353211009174,186.78601205562902,185.66547194164698,185.961768219833,182.588161209068,182.41129672175,182.538997676734,188.488699004062,195.182619647355,191.658848578819,190.211172421977,194.01566393734402,196.852985200928,198.35239456754798,198.35239456754798,199.35564257743,199.35564257743,200.060945255661,203.51859099804298,203.51859099804298,203.51859099804298,207.432485322896,212.258857792717,212.048192771084,215.97770552717097,220.33935654473302,219.16092673763302,218.498252500261,220.647657044706,225.354380230027,237.66132675438598,239.196,239.604553624925,241.258947368421,245.410503541237,258.940677966102,252.861009168756,252.87144362486802,259.27249853532004,256.594107034132,255.986432038454,254.554919312858,262.38773523685904,272.204751019744
