RegionID,Neighborhood,city,state,metro,county,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
271985,South End,Tacoma,WA,Seattle,Pierce,10.97,10.75,10.63,10.72,10.65,10.6,10.57,10.39,10.12,9.96,9.77,9.64,9.61,9.53,9.36,9.31,9.26,9.27,9.17,9.14,9.14,9.2,9.28,9.34,9.36,9.37,9.41,9.44,9.5,9.62,9.73,9.81,9.9,10.05,10.15,10.25,10.3,10.21,10.14,10.23,10.23,10.3,10.4,10.5,10.53,10.54,10.58,10.55,10.53,10.63,10.71,10.71,10.83,10.91,10.89,10.92,10.98,11.01,11.03,11.14,11.24,11.34,11.46,11.47,11.42,11.46,11.38,11.58,11.73,11.89,12.02,12.17,12.35,12.53,12.7,12.73,12.75,12.86,12.87,12.88,12.87,12.87,12.85,12.9,13.02,12.99,13.12,13.27,13.54,13.7
250206,Capitol Hill,Seattle,WA,Seattle,King,16.96,16.79,16.59,16.41,16.28,16.13,16.01,15.81,15.75,15.58,15.65,15.59,15.55,15.4,15.32,15.09,15.02,14.97,15.04,15.34,15.55,15.81,16.01,15.86,15.8,16.01,16.3,16.52,16.9,16.96,17.15,17.24,17.31,17.4,17.14,16.94,16.72,16.57,16.49,16.56,16.63,16.74,16.85,16.97,17.06,16.8,16.72,16.69,16.71,16.77,16.75,16.72,16.92,16.83,17.17,17.13,17.05,16.95,16.94,17.13,17.51,17.74,17.87,18.05,18.27,18.34,18.24,17.88,17.88,18.25,17.96,18.04,18.13,18.52,18.78,19.03,19.26,19.62,19.83,19.99,20.18,20.18,20.02,20.12,20.44,20.78,21.0,21.37,21.75,22.32
273587,Eastside-ENACT,Tacoma,WA,Seattle,Pierce,10.76,10.51,10.46,10.57,10.55,10.5,10.48,10.28,10.01,9.9,9.81,9.67,9.68,9.58,9.43,9.35,9.29,9.31,9.2,9.16,9.09,9.11,9.11,9.18,9.23,9.24,9.25,9.3,9.32,9.4,9.47,9.49,9.56,9.68,9.8,9.89,10.01,10.0,10.0,10.14,10.18,10.28,10.32,10.37,10.39,10.4,10.4,10.35,10.33,10.42,10.51,10.55,10.7,10.81,10.81,10.83,10.91,10.92,10.94,11.03,11.12,11.23,11.38,11.39,11.35,11.41,11.36,11.55,11.7,11.8,11.89,12.06,12.23,12.38,12.56,12.57,12.61,12.68,12.7,12.78,12.83,12.82,12.79,12.84,12.97,13.0,13.16,13.32,13.56,13.72
272015,West End,Tacoma,WA,Seattle,Pierce,14.3,14.02,13.75,13.58,13.41,13.19,13.07,12.86,12.7,12.76,12.88,12.85,12.84,12.69,12.5,12.47,12.42,12.42,12.38,12.51,12.52,12.67,12.8,12.97,13.1,13.2,13.27,13.35,13.36,13.31,13.28,13.26,13.37,13.53,13.6,13.65,13.66,13.58,13.56,13.62,13.62,13.66,13.62,13.7,13.72,13.74,13.72,13.73,13.81,13.87,13.97,14.0,14.04,14.03,13.98,13.97,14.04,14.04,14.07,14.19,14.28,14.34,14.25,14.1,14.04,14.14,14.11,14.48,14.53,14.58,14.7,14.88,15.03,15.27,15.46,15.36,15.3,15.37,15.25,15.16,15.11,15.07,15.05,15.18,15.45,15.53,15.69,15.75,15.9,16.02
272001,University District,Seattle,WA,Seattle,King,17.84,17.77,17.64,17.67,17.72,17.77,17.79,17.67,17.64,17.45,17.34,17.17,17.28,17.26,17.04,17.05,17.27,17.43,17.72,17.94,18.13,18.15,18.09,18.21,18.34,18.42,18.58,18.59,18.95,18.97,19.06,19.35,19.36,19.08,18.96,18.87,18.84,18.58,18.28,18.15,18.39,18.81,19.28,19.56,19.42,19.18,18.96,18.65,18.53,18.5,18.51,18.36,18.62,18.84,19.42,19.37,19.41,19.33,19.4,19.44,19.7,19.76,19.33,19.29,19.67,19.48,19.51,20.03,20.05,20.47,20.46,20.82,20.86,20.95,21.11,21.34,21.63,21.93,21.95,21.94,21.84,21.85,21.76,21.86,22.31,23.0,23.54,23.95,24.33,24.89
251975,South Tacoma,Tacoma,WA,Seattle,Pierce,10.76,10.52,10.36,10.42,10.28,10.24,10.19,10.03,9.83,9.68,9.53,9.46,9.49,9.49,9.41,9.35,9.27,9.19,9.12,9.08,9.12,9.17,9.19,9.22,9.1,9.04,9.02,9.07,9.09,9.3,9.39,9.52,9.56,9.75,9.82,9.84,9.91,9.84,9.79,9.93,9.97,10.01,10.14,10.22,10.25,10.26,10.23,10.2,10.24,10.29,10.32,10.34,10.46,10.55,10.54,10.56,10.62,10.56,10.61,10.78,10.9,11.03,11.17,11.15,11.14,11.15,11.09,11.35,11.49,11.64,11.84,12.0,12.16,12.33,12.49,12.48,12.45,12.52,12.5,12.56,12.63,12.72,12.73,12.76,12.89,12.84,12.95,13.1,13.27,13.47
271936,North End,Tacoma,WA,Seattle,Pierce,15.07,14.82,14.6,14.33,14.28,14.26,14.44,14.34,14.16,14.15,14.42,14.6,14.89,14.8,14.58,14.33,14.2,14.37,14.36,14.54,14.64,14.83,14.88,14.89,14.82,14.87,15.24,15.49,15.55,15.62,15.59,15.55,15.58,15.5,15.45,15.37,15.37,15.36,15.4,15.82,15.91,15.78,15.39,15.3,15.49,15.63,15.69,15.72,15.73,15.88,15.97,15.98,16.06,15.92,15.71,15.45,15.37,15.44,15.42,15.62,15.63,15.63,15.32,15.15,15.23,15.3,15.25,15.16,15.29,15.29,15.4,15.6,15.75,15.91,15.96,15.78,15.66,15.78,15.72,15.77,15.83,15.9,16.1,16.36,16.71,16.86,16.99,17.08,17.12,17.2
271832,Central,Tacoma,WA,Seattle,Pierce,12.11,11.89,11.7,11.64,11.45,11.35,11.26,11.07,10.91,10.77,10.68,10.56,10.49,10.31,10.21,10.25,10.2,10.27,10.17,10.16,10.24,10.27,10.3,10.29,10.18,10.11,10.08,10.12,10.19,10.43,10.58,10.76,10.74,10.9,10.94,10.95,10.92,10.85,10.8,10.93,10.96,11.0,11.09,11.15,11.2,11.25,11.46,11.49,11.45,11.56,11.64,11.66,11.72,11.7,11.67,11.68,11.69,11.77,11.83,11.97,12.15,12.33,12.35,12.31,12.26,12.3,12.29,12.22,12.36,12.43,12.57,12.72,12.87,13.03,13.21,13.2,13.1,13.09,13.05,13.03,13.14,13.22,13.24,13.31,13.49,13.53,13.65,13.83,14.1,14.32
43845,Alderwood Manor,Lynnwood,WA,Seattle,Snohomish,14.97,14.98,14.9,14.99,14.62,14.29,14.05,13.75,13.53,13.4,13.39,13.29,13.24,13.25,13.18,13.24,13.26,13.45,13.68,13.84,13.89,14.03,14.12,14.32,14.45,14.56,14.62,14.77,14.76,14.76,14.79,14.88,15.03,15.14,15.29,15.39,15.42,15.53,15.66,15.62,15.57,15.7,15.83,15.86,15.9,15.71,15.61,15.45,15.37,15.39,15.38,15.38,15.39,15.45,15.51,15.52,15.49,15.52,15.53,15.65,15.74,15.8,15.48,15.51,15.55,15.57,15.62,15.99,16.01,16.0,15.98,16.13,16.28,16.44,16.6,16.63,16.71,16.84,16.86,17.03,17.16,17.27,17.39,17.68,18.16,18.37,18.55,18.81,19.09,19.68
271990,Magnolia,Seattle,WA,Seattle,King,19.27,19.39,19.38,19.25,19.19,19.19,19.24,19.07,18.87,18.61,18.55,18.55,18.76,18.93,19.0,19.15,19.33,19.48,19.73,19.72,19.83,19.71,19.76,19.99,20.18,20.45,20.37,20.37,20.52,20.57,20.76,20.93,20.98,20.9,20.99,20.98,21.24,21.21,21.27,21.36,21.51,21.73,21.77,21.93,21.86,21.11,20.88,20.79,20.82,21.11,21.13,20.93,20.81,20.54,20.8,20.64,20.47,20.42,20.67,20.7,20.78,20.67,20.67,20.54,20.58,20.97,21.49,22.05,21.89,21.78,21.54,21.59,21.74,22.07,22.48,22.74,22.93,23.16,23.32,23.7,23.94,23.78,23.6,23.67,24.25,24.9,25.51,26.13,26.7,27.23
251473,Northeast Tacoma,Tacoma,WA,Seattle,Pierce,14.38,14.14,13.82,13.71,13.63,13.63,13.6,13.44,13.28,13.38,13.54,13.49,13.7,13.65,13.63,13.53,13.44,13.33,13.14,13.14,13.19,13.17,13.24,13.34,13.38,13.49,13.51,13.51,13.51,13.62,13.7,13.79,14.0,14.32,14.36,14.57,14.72,14.6,14.7,14.84,15.0,15.01,14.98,14.94,14.96,14.78,14.69,14.63,14.48,14.55,14.52,14.41,14.44,14.55,14.44,14.53,14.58,14.58,14.49,14.55,14.6,14.66,14.47,14.38,14.26,14.3,14.29,14.59,14.62,14.62,14.67,14.84,15.07,15.39,15.61,15.6,15.5,15.49,15.39,15.37,15.32,15.24,15.18,15.25,15.49,15.57,15.7,15.83,16.04,16.19
251240,Martha Lake,Lynnwood,WA,Seattle,Snohomish,14.86,14.87,14.78,14.75,14.38,14.11,13.84,13.6,13.44,13.32,13.25,13.15,13.1,13.14,13.06,13.07,13.04,13.22,13.46,13.66,13.72,13.79,13.94,14.16,14.28,14.35,14.38,14.47,14.39,14.29,14.25,14.27,14.51,14.75,14.96,15.11,15.22,15.33,15.41,15.33,15.31,15.41,15.66,15.78,15.79,15.62,15.47,15.35,15.25,15.31,15.31,15.33,15.36,15.37,15.34,15.28,15.13,15.09,15.06,15.2,15.36,15.45,15.23,15.16,15.2,15.29,15.3,15.62,15.65,15.64,15.67,15.84,15.97,16.15,16.34,16.38,16.44,16.59,16.63,16.77,16.83,16.89,16.97,17.19,17.57,17.84,18.08,18.16,18.39,19.01
