Neighborhood,city,state,metro,county,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Capitol Hill,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,1187.5,1150.0,1195.0,1142.5,1150.0,1100.0,1200.0,1304.0,1437.5,1525.0,1450.0,1372.5,1425.0,1392.5,1445.0,1364.5,1316.5,1450.0,1450.0,1450.0,1362.5,1375.0,1450.0,1435.0,1500.0,1495.0,1450.0,1395.0,1437.5,1530.0,1595.0,1500.0,1595.0,1735.0,1845.0,1847.5,1797.5,1750.0,1695.0,1695.0,1695.0,1745.0,1750.0,1795.0,1825.0,1775.0,1849.0,1850.0,1800.0,1800.0,1797.5,1800.0,1795.0,1775.0,1800.0,1850.0,1815.0,1875.0,1750.0,1860.5,1850.0,1700.0,1807.0,1750.0,1817.0,1750.0,1750.0,1795.0,1850.0,1934.0,2055.0,2115.0,2050.0,1925.0,1925.0,1895.0,1880.0,1895.0,1895.0,1900.0
University District,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501.0,1469.0,1237.5,1250.0,1295.0,1295.0,1500.0,1575.0,1497.5,1476.5,1395.0,1491.0,1495.0,1509.5,1549.0,1479.0,1372.0,1528.0,1300.0,1495.0,1399.0,1493.5,1595.0,1587.5,1531.0,1637.0,1645.0,1685.0,1579.5,1510.0,1495.0,1579.0,1499.0,1526.0,1595.0,1587.0,1495.0,1475.0
Wallingford,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729.5,1975.0,1995.0,1853.0,1909.0,1895.0,1695.0,1900.0,1865.0,1797.5,1790.0,1865.0,1950.0,1900.0,1885.0
Fremont,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.0,1817.0,1825.0,1810.5,1925.0,1710.5,1695.0,1934.0,1995.0,1866.0,1921.0,1895.0,1927.0,2066.0,2033.0,1825.0,1807.0,1695.0,1695.0,1795.0,1851.0,1851.0
Admiral,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.5,1644.0,1595.0,1595.0,1595.0,1622.5,1595.0,1595.0,1595.0,1495.0,1590.0,1550.0
First Hill,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383.0,1368.0,1422.0,1550.0,1795.0,1782.5,1810.0,1765.0,1795.0,1802.5,1765.0,1797.5,1697.5,1810.0,1812.5,1895.0,1915.0,1965.0,1930.0,1890.0,1915.0,1980.0,2139.5,2095.0,2030.0,1975.0,2030.0,1945.0,1975.0,2030.0,1926.0,1970.0,1975.0,1850.0,1862.5,1832.5,1695.0,1785.0,1950.0,1800.0,1799.0,1915.0,1915.0,1910.0,1900.0,1847.5,1840.0,1835.0,1795.0,1835.0,1877.5
North Queen Anne,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895.0,1771.0,1895.0,1895.0,1950.0,1625.0,1695.0,1650.0,1812.0,1595.0,1595.0,1648.0,1695.0
Belltown,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2452.5,2500.0,2180.0,2150.0,2162.5,2150.0,2133.0,2086.0,2011.0,1978.5,1975.0,2000.0,2084.0
Green Lake,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.0,1830.0,1830.0,1875.0,1865.0,1797.0,1855.0,1795.0,1769.0,1650.0,1640.0,1700.0,1765.0,1755.0
Ballard,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845.0,1830.0,1865.0,1828.0,1815.0,1840.0,1870.0,1950.0,1895.0,1897.5,1820.0,1652.5,1700.0,1800.0,1800.0,1775.0,1790.0,1765.0,1725.0,1737.0,1775.0,1770.0,1724.0,1727.0,1724.0,1710.5,1787.0,1750.0,1720.0,1708.0,1737.5,1752.0,1829.5,1900.0,1757.0,1751.5,1601.0,1749.5,1795.0,1821.0,1850.0,1944.5,2021.5,1999.5,2032.5,1995.0,1875.0,1868.0,1739.0,1775.5,1767.0,1750.0
