Neighborhood,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Capitol Hill,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.125,2.1346153846153797,2.19575909265936,2.20786516853933,2.13039485766758,2.11875,2.21153846153846,2.60326086956522,2.60326086956522,2.54280512737572,2.5990762124711297,2.4657649130530497,2.3401960784313705,2.375,2.4871794871794903,2.4533936651583703,2.35177865612648,2.62604237867396,2.72379912663755,2.6720202020202004,2.75,2.8147389969293797,2.6459854014598503,2.66140733487627,2.49471982758621,2.63648420544972,2.67420814479638,2.65829335213018,2.79369138959932,2.8598922247883,2.8807744046196198,2.95670995670996,2.7910174152154,2.60673611576338,2.85473719317633,2.77837259100642,2.67295597484277,2.6350540216086404,2.54326923076923,2.7635782747603796,2.83897577036856,2.87171515885534,2.8398791540785497,2.8822999279019506,2.9025547251815293,3.11111111111111,3.0632250102838303,3.0799069237814702,2.9248046875,2.8323583743842407,2.9050246877722903,2.9023883696780897,2.9615384615384603,2.82864176885916
West End,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43559488692232,1.5109743930828101,1.4858823529411798,1.4777007252122598,1.47422680412371,1.4628297362110299,1.5128504672897198,1.52278177458034,1.46023856858847,1.4654878824686202,1.45034414945919,1.4934052757793799,1.4650934119960701
University District,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67785234899329,2.61507128309572,2.6867088607594902,2.7,2.7,2.73937542430414,2.6,2.6136363636363598,2.50671751968504,2.35714285714286,2.36094674556213,2.2727272727272703,2.31388028895769,2.4375,2.62449528936743
South Tacoma,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01837060702875,1.0754683559840201,1.06303418803419,1.1,1.01451643017177,1.03098290598291,1.06343198763412,1.10571646341463,1.11516899141631,1.1085717691940902,1.17142857142857,1.2106884057971001,1.2140992167101798,1.22857142857143,1.2140992167101798,1.18657937806874,1.16356107660455,1.26141824649033,1.2094961882664899,1.20693581780538
Greenwood,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83962264150943,1.9272784019975,1.9271731917717299,1.86868686868687,1.89473684210526,1.8848684210526299,1.9477124183006498,1.98795180722892,1.90449438202247,1.8695973154362402,1.88207547169811,2.11875,2.02331288343558,1.99375
Downtown,Bellevue,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2093956043956,2.16446533284073,2.3577555148462,2.46872461413485,2.63157894736842,2.64425185550598,2.5718497043203796,2.77379830348728,2.68818181818182,2.65787647467037,2.62621722846442,2.5643636687456097,2.36026406125888,2.36727688787185,2.44796348813686,2.49407023338475,2.62230919765166
First Hill,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6523599982065402,2.84111012431809,2.6497820590812404,2.6996415770609303,3.0106485963213903,3.0559167750325096,3.1461761858664103,3.1258145465482,2.7764174595549305,2.8258362168396802,2.8302821251562404,2.8424612930009903,2.79104041677471,2.8258362168396802
Belltown,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9144265025128595,2.77322404371585,2.7939529675252004,2.92378289418443,2.8229548983625095,3.02084289828457,3.34341463414634,3.41715976331361,3.50463352990733,3.21259124087591,3.2306686046511603,3.1870918733653597,3.22258064516129,3.17361543248289,3.10392034847542,3.1381088387912595,3.0804369414101296,2.9502439024390203,2.9940197152245296,3.0593849416755003
Ballard,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45893223819302,2.34402651066096,2.4034632034632004,2.43685464654488,2.4425287356321803,2.4891774891774903,2.6587301587301604,2.64664804469274,2.71458333333333,2.4425287356321803,2.5562486109649,2.4425287356321803,2.64575059571088,2.5920903954802297,2.6418604651162796,2.71341463414634,2.5303113957122405
Twin Creeks,Everett,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4432989690721598,1.4407216494845398,1.4472778361093899,1.4655172413793103,1.5506809449537802,1.55444444444444,1.5923913043478302,1.42391304347826,1.42109630374654,1.42391304347826,1.43749321758003,1.4728260869565202,1.45360824742268,1.4945652173913
Overlake,Redmond,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1027346637102697,2.136,2.10057142857143,2.184,2.21171048398889,2.02568768492517,2.0252510454586203,2.05200892857143,2.06114265789998,1.9611254019581499,2.03125,2.05416666666667,2.05416666666667
South Juanita,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99118942731278,2.00541601006001,2.10222588623248,2.18685831622177,2.16961596215253,2.09481915933529,2.09564541213064,2.15999574501653,2.1097285067873304,2.04298642533937,2.00091228011397,1.9851707839777601,1.89895425509994,2.0301057154962,2.09240024681201
Crossroads,Bellevue,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90013829334555,1.944,2.02136317395727,2.20125034978702,2.23702775984026,2.13544018058691,2.09994736842105,2.0716203400697197,2.02873702031603,2.03336559139785,2.07650273224044,1.98105263157895,2.02441505595117,1.95801169590643,2.01800947867299
SE Redmond,Redmond,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21324905358649,2.3091645924875697,2.3032694475761004,2.13124976588111,2.10259301014656,2.1089966398685,2.05308786594507,2.01970443349754,1.9706877113867,1.9893704818756799,1.99559252765941,2.10146561443067
Westlake,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2771896053898,3.2771896053898,3.21271929824561,3.2048966542863195,2.66897746967071,2.89610031429334,2.92961163434166,2.8902229845626097,2.8559249786871295,2.8713298791019,2.9184549356223197,2.9116638078902204
Moss Bay,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19435736677116,2.4022633744856,2.35678183894917,2.5030156815440296,2.57045675413022,2.56814868804665,2.50555555555556,2.4871863150270497,2.38188976377953,2.2773279352226696,2.24444781553398,2.20068318882382,2.16606498194946,2.16433751616831,2.25798072133718,2.5363321799308
Denny Triangle,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17814298592331,3.21217244294167,3.4459629457140295,3.38983050847458,3.03387961723464,3.23061630218688,3.2352362204724403,3.35490394337715,3.3153078202995,3.4361810665089303,3.74661830411941,3.59622195985832,3.5888745247511102,3.6326530612244903,3.61588684254189,3.59860871527247,3.59045731094586,3.59045731094586,3.6839506172839505,3.6600680084551094,3.62424242424242
