Neighborhood,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Capitol Hill,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.0,2310.0,2295.0,2310.0,2335.0,2250.0,2311.0,2436.5,2395.0,2395.0,2500.0,2350.0,2300.0,2320.0,2332.5,2495.0,2395.0,2600.0,2785.0,2822.5,2705.0,2750.0,2625.0,2700.0,2575.0,2575.0,2542.5,2561.0,2693.5,2750.0,2695.0,2762.5,2795.0,2695.0,2795.0,2596.0,2320.0,2595.0,2595.0,2725.0,2712.5,2750.0,2600.0,2775.0,2797.5,2950.0,2940.0,2950.0,2950.0,2785.0,2700.5,2750.0,2750.0,2750.0
West End,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375.0,1495.0,1445.0,1405.0,1360.0,1340.0,1360.0,1340.0,1360.0,1350.0,1328.5,1365.0,1339.0
University District,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2343.5,2195.0,2250.5,2250.5,2095.0,2100.0,2095.0,2050.0,1995.0,1989.5,1975.0,1997.5,1872.5,1950.0,1950.0
South Tacoma,Tacoma,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005.0,1005.0,1005.0,1095.0,980.0,1077.0,1005.0,1095.0,1120.0,1095.0,1129.0,1160.0,1225.0,1225.0,1202.0,1150.0,1167.0,1275.0,1250.0,1225.0
Greenwood,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,1850.0,1897.0,1950.0,1950.0,1925.0,1922.5,1950.0,1888.0,1795.0,1841.0,1985.0,1895.0,1772.5
Wallingford,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495.0,2627.0,2602.5,2571.5,2581.0,2780.0,2500.0,2600.0,2600.0,2691.0,2597.5,2519.0,2445.0,2507.0
First Hill,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2577.5,2500.0,2510.0,2679.0,2500.0,2600.0,2865.0,2945.0,2975.0,2799.0,2850.0,2860.0,2679.0,2862.5,2872.5,2900.0
Belltown,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3584.0,3510.0,3250.0,3227.5,3111.0,3064.0,3154.5,2987.0,3041.0,2995.0,2867.5,2810.0,2876.5
North Juanita,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1708.5,1674.0,1784.0,1843.0,1849.5,1820.0,1743.5,1745.0,1765.0,1757.0,1716.0,1719.0,1686.0,1742.0
Green Lake,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750.0,2497.5,2300.0,2395.0,2000.0,2195.0,2467.5,2400.0,2500.0,2495.0,2565.0,2497.5,2400.0
Ballard,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493.0,2545.5,2350.0,2387.5,2573.5,2397.5,2400.0,2609.0,2630.0,2650.0,2691.0,2600.0,2600.0,2450.0,2605.5,2547.5,2584.5,2769.0,2450.0
Twin Creeks,Everett,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370.0,1375.0,1410.0,1450.0,1515.0,1550.0,1510.0,1380.0,1385.0,1360.0,1377.5,1392.5,1390.0,1425.0
Overlake,Redmond,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.0,2158.0,2056.0,2182.0,2173.5,1955.0,1873.0,2023.0,2035.5,1945.0,2035.5,2000.0,1994.0
South Juanita,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122.5,1930.0,2187.5,2110.0,2004.5,2024.0,2107.0,2038.0,1999.5,2073.0,2029.0,1942.0,1884.0,2016.0,2070.5
Crossroads,Bellevue,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904.0,1946.0,2012.0,2099.5,2126.0,2012.0,2025.0,2000.0,1991.0,2024.5,2076.0,1913.5,2055.5,1973.0,2027.0
SE Redmond,Redmond,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2159.0,2339.5,2340.0,2045.5,1963.0,2182.5,2108.0,2095.0,1888.0,1951.0,1913.0,2160.0
Westlake,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595.0,3035.0,3405.0,3225.0,3210.0,3237.5,2950.0,3272.5,3300.0,3250.0,3202.0,3200.0,3275.0,3260.0
Moss Bay,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2340.0,2337.5,2550.0,2492.5,2507.5,2495.0,2435.0,2595.0,2500.0,2595.0,2450.0,2450.0,2495.0,2415.0,2500.0
South Lake Union,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3068.0,3188.5,3231.0,3399.0,3315.0,3272.5,3420.0,3300.0,3309.5,3104.5,3139.0,2980.0,2988.5,2996.0,2984.0
Issaquah Highlands,Issaquah,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969.0,1896.0,1901.5,1875.0,1770.0,1733.0,1750.0,1727.5,1835.0,1830.0,1846.5,1855.5,1858.0,1895.0,1937.5,1919.0,1949.0,1995.0,1966.5,1961.0,1947.5,1995.0,2100.0,2112.0,2149.0,2301.0,2100.0,2372.0,2094.0,1989.0,2030.0,2058.0,2156.0,2255.5,2255.0,2233.0,2228.5,2250.0,2175.0,2148.5,2095.0,1950.0,1909.0,1972.5,2177.5,2215.0
