Zip,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
98052,Redmond,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578450.0,600400.0,605000.0,593475.0,550000.0,567450.0,589750.0,539900.0,599000.0,599250.0,649900.0,599950.0,624999.0,624999.0,617000.0,615000.0,589500.0,582450.0,598901.0,599975.0,550000.0,539975.0,525000.0,562475.0,592995.0,634950.0,644950.0,635000.0,625000.0,615997.5,617000.0,616997.5,625000.0,645947.5,625000.0,649950.0,670495.0,694995.0,694497.5,679875.0,698950.0,699950.0,699974.5,700000.0,699999.0,679000.0,600000.0,622000.0,655000.0,699950.0,699000.0,668000.0,697425.0,698500.0,675000.0,677000.0,650000.0,724999.0,700000.0,725000.0
98012,Bothell,WA,Seattle,Snohomish,334725.0,339000.0,329950.0,319950.0,319958.5,319000.0,314355.0,308950.0,308950.0,293475.0,283725.0,279925.0,274900.0,269925.0,274900.0,275000.0,279950.0,283990.0,279900.0,279990.0,282990.0,275000.0,274950.0,265000.0,274925.0,289900.0,284970.0,289950.0,299000.0,299975.0,300000.0,305000.0,300497.5,299950.0,349000.0,355000.0,375000.0,379950.0,375000.0,365495.0,374975.0,375000.0,379970.0,379000.0,380000.0,385000.0,389950.0,419995.0,389950.0,395000.0,389950.0,419000.0,395000.0,408475.0,419475.0,424950.0,429900.0,435000.0,439000.0,425000.0,438975.0,439950.0,439950.0,447950.0,444950.0,449950.0,454997.5,459500.0,470000.0,469950.0,474997.5,474995.0,479990.0,484950.0,487995.0,488497.5,489000.0,484950.0,489975.0,495000.0,485500.0,499999.0,522450.0,524995.0,517950.0,532950.0,549950.0,540000.0,549000.0,550000.0,549950.0,549950.0,549950.0,550000.0,564950.0,549950.0,579000.0,597093.0,599999.5
98103,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575000.0,572475.0,599900.0,590000.0,575000.0,599900.0,599000.0,575000.0,560000.0,560000.0,575000.0,596500.0,638000.0,625000.0,632450.0,619450.0,623000.0,623975.0,637500.0,679000.0,625000.0,689000.0,649999.5,685000.0,686875.0,699000.0,699725.0,696500.0,699450.0,760000.0,719999.5,720000.0,799000.0,799000.0,785950.0
98115,Seattle,WA,Seattle,King,439000.0,438000.0,431950.0,424950.0,425000.0,425000.0,409999.0,419000.0,419000.0,417000.0,410000.0,417000.0,399950.0,400000.0,399900.0,422475.0,400000.0,410000.0,419475.0,399900.0,399000.0,357250.0,330711.0,320000.0,319500.0,315000.0,359500.0,400000.0,429000.0,424475.0,425000.0,399950.0,409000.0,399925.0,449000.0,442500.0,429000.0,417000.0,439000.0,440000.0,469000.0,485000.0,489950.0,475000.0,450000.0,450000.0,450000.0,450000.0,475000.0,475000.0,475000.0,475000.0,474900.0,499925.0,525000.0,525000.0,517500.0,525000.0,500000.0,487000.0,475000.0,474500.0,525000.0,540000.0,544000.0,550000.0,575000.0,575000.0,580000.0,550000.0,550000.0,617450.0,619950.0,629000.0,612470.0,632000.0,672450.0,650000.0,662250.0,649475.0,625000.0,625000.0,646975.0,649000.0,649950.0,678000.0,650000.0,679000.0,722222.0,749950.0,750000.0,724975.0,699000.0,717000.0,732000.0,729500.0,769000.0,799975.0,799900.0
98133,Shoreline,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319950.0,310000.0,295000.0,308900.0,325000.0,339850.0,340000.0,350000.0,350000.0,349950.0,339950.0,339950.0,332950.0,319975.0,350000.0,349975.0,370000.0,367500.0,375000.0,375000.0,379975.0,379950.0,389450.0,384900.0,375000.0,384950.0,383325.0,379950.0,408000.0,419975.0,420000.0,429900.0,425000.0,425000.0,429000.0,429000.0,450000.0,449500.0,458888.0,474900.0,474900.0,489950.0,499950.0,499475.0,499950.0,529000.0,525000.0,524975.0,537000.0,525000.0,566500.0,524975.0,549950.0
98122,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419950.0,402500.0,454475.0,499475.0,499950.0,499000.0,475000.0,475000.0,474800.0,459950.0,449950.0,489000.0,554950.0,538750.0,559950.0,599950.0,575000.0,580000.0,569000.0,572000.0,539950.0,575000.0,604975.0,649950.0,649999.0,649900.0,629950.0,599975.0,599974.5,619950.0,619950.0,620000.0,622475.0,687000.0,687000.0,690000.0,680000.0,634725.0,619950.0,649000.0,690000.0,703500.0,665000.0,699000.0,743340.0,799999.0,779000.0,775000.0,798000.0,784450.0,805000.0
98208,Seattle Hill-Silver Firs,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262950.0,264975.0,269950.0,270000.0,279975.0,284950.0,299000.0,299950.0,304975.0,309000.0,309900.0,309950.0,314000.0,300000.0,314900.0,309900.0,314950.0,309500.0,325000.0,344950.0,344500.0,349925.0,340000.0,324992.5,319950.0,335000.0,355450.0,360000.0,352950.0,352950.0,349950.0,354950.0,349975.0,349950.0,349900.0,348000.0,350000.0,354947.5,359950.0,359450.0,369000.0,369900.0,379950.0,375000.0,369975.0,375000.0,375000.0,374990.0,374950.0,374970.0,385900.0,399950.0,399999.0,405000.0,419000.0,409250.0,409725.0,400000.0,399950.0,409950.0,389975.0,394950.0,412000.0,430000.0
98034,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478000.0,469500.0,475000.0,500000.0,499000.0,495000.0,499950.0,516500.0,500000.0,499450.0,499995.0,504950.0,499970.0,549000.0,550000.0,574725.0,574975.0,569950.0,562500.0,549950.0,569900.0,600000.0,599975.0,550000.0,625000.0,650000.0
98125,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319900.0,339925.0,325000.0,335000.0,339000.0,350000.0,349975.0,350000.0,359975.0,372500.0,375000.0,369000.0,378500.0,378000.0,387450.0,370000.0,399000.0,425000.0,423525.0,399950.0,399900.0,395000.0,383950.0,375000.0,382425.0,375000.0,399950.0,398000.0,399997.0,402500.0,425000.0,439000.0,430000.0,425000.0,437000.0,416000.0,399500.0,399725.0,425000.0,449975.0,475000.0,475000.0,495000.0,499950.0,490000.0,489975.0,457361.0,455000.0,472000.0,497475.0,495000.0,512500.0,549250.0,557500.0,572000.0,597225.0,575000.0,579911.0,575000.0,615000.0,550000.0,586000.0,620000.0
98003,Federal Way,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229950.0,239950.0,252450.0,243900.0,244400.0,230000.0,234950.0,232950.0,230000.0,231475.0,239000.0,266450.0,289450.0,286475.0,284950.0,282450.0,275000.0,295000.0,295000.0,300000.0,304950.0,325000.0,292449.5,294900.0,312000.0,309000.0,309000.0,309950.0,318000.0,319250.0,319950.0,319950.0,329900.0,338000.0,334700.0,344900.0,347000.0
98109,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597500.0,600000.0,675000.0,654975.0,649950.0,725000.0,750000.0,688000.0,658000.0,654000.0,600000.0,607500.0
98391,Bonney Lake,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299950.0,295950.0,295000.0,289970.0,299950.0,295995.0,299950.0,304975.0,310000.0,316450.0,319995.0,323500.0,313900.0,299995.0,279975.0,302840.0,305970.0,314425.0,314970.0,317445.0,319950.0,328900.0,329950.0,339475.0,339950.0,339900.0,339900.0,334999.5,324995.0,339900.0,348970.0,349999.0,352995.0,350000.0,359475.0,355000.0,361900.0,364925.0,373925.0,375000.0,380077.0,394990.0,404990.0,399994.5,400000.0,399900.0,419000.0,411607.5,427500.0,427000.0,430415.0,441007.0,445448.0,449999.5
98270,Marysville,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255000.0,255000.0,250000.0,249950.0,255000.0,259950.0,260575.0,269945.0,269970.0,274950.0,269900.0,269950.0,259975.0,259925.0,259925.0,269900.0,275000.0,275250.0,279950.0,282497.0,284346.5,280000.0,281000.0,285000.0,289999.0,290000.0,289950.0,290000.0,295000.0,310000.0,315000.0,319950.0,320000.0,324950.0,325000.0,319975.0,324000.0,319925.0,320000.0,320000.0,335000.0,340000.0,349000.0,348999.5,349500.0,345000.0,345000.0,340000.0,349900.0,349900.0,354950.0,372450.0,369950.0
98105,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829880.0,829000.0,734950.0,750000.0,784500.0,759000.0,759000.0,769000.0,649475.0,698500.0,759000.0,776500.0,748800.0,699999.0,679000.0,699000.0,745000.0,788000.0,828000.0,793500.0,819000.0,849999.0,862499.5,895000.0,887500.0,830000.0,907000.0,925000.0,975000.0
98118,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000.0,315000.0,315000.0,315000.0,329000.0,339950.0,327000.0,339950.0,339950.0,335000.0,360000.0,354888.0,339000.0,335000.0,356250.0,360750.0,380000.0,385000.0,380000.0,382500.0,387450.0,399950.0,399950.0,399950.0,392000.0,382500.0,374975.0,388000.0,419000.0,449475.0,449000.0,439950.0,439000.0,439900.0,467450.0,452500.0,449925.0,459500.0,459500.0,454500.0,449900.0,499000.0,549400.0,550000.0,564900.0,545000.0,499950.0,524950.0,574999.0,568800.0,564400.0,574999.0,596900.0
98204,Paine Field-Lake Stickney,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000.0,246950.0,225000.0,229900.0,239000.0,239950.0,231900.0,195000.0,186000.0,195000.0,229900.0,212250.0,199950.0,213500.0,224500.0,222000.0,224000.0,220000.0,215000.0,200000.0,199900.0,200000.0,216180.0,242500.0,230000.0,249450.0,232725.0,238225.0,227450.0,224950.0,259000.0,249975.0,259925.0,247450.0,249975.0,282500.0,250000.0,257475.0,282000.0,295000.0,310000.0,289725.0,275475.0,295000.0,299900.0,305000.0,299495.0,285000.0
98023,Federal Way,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000.0,290000.0,268500.0,265000.0,277000.0,280000.0,279950.0,279925.0,279900.0,278500.0,279980.0,265000.0,249950.0,214975.0,248000.0,259900.0,269000.0,269975.0,284900.0,285000.0,289900.0,295000.0,291000.0,290000.0,289900.0,279900.0,289900.0,290350.0,308800.0,318500.0,325000.0,322425.0,324975.0,324925.0,325000.0,329000.0,323225.0,319900.0,324000.0,324950.0,335000.0,335000.0,345000.0,350000.0,357000.0,349950.0,349999.0,350000.0,350000.0,352500.0,349950.0,349975.0,366400.0
98387,Spanaway,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212000.0,209995.0,203950.0,199950.0,209900.0,210000.0,209950.0,214500.0,205000.0,209000.0,205000.0,204900.0,199000.0,185000.0,199950.0,214250.0,214950.0,214925.0,219000.0,217399.5,219500.0,217250.0,219974.5,219950.0,219500.0,217950.0,223950.0,220000.0,224925.0,228450.0,229950.0,234950.0,237500.0,239700.0,239997.5,239950.0,237500.0,233250.0,229900.0,230000.0,249950.0,254900.0,259950.0,259997.5,259950.0,264900.0,264950.0,265000.0,269900.0,269950.0,274950.0,274475.0,285000.0
98258,Lake Stevens,WA,Seattle,Snohomish,279950.0,262500.0,261250.0,259950.0,249994.5,245000.0,247000.0,239950.0,239700.0,224950.0,223900.0,219000.0,215000.0,205000.0,204250.0,199950.0,202600.0,204975.0,200000.0,200000.0,200000.0,205000.0,209750.0,209950.0,211527.5,217000.0,215000.0,214997.5,214900.0,210000.0,214925.0,224995.0,239995.0,228250.0,254900.0,254972.5,258450.0,269000.0,269995.0,278472.5,279950.0,282950.0,284650.0,277725.0,270000.0,274500.0,275000.0,289950.0,288000.0,299000.0,317450.0,314999.5,299950.0,314970.0,315000.0,319950.0,315750.0,300000.0,299000.0,289950.0,289950.0,291497.5,295000.0,309950.0,314950.0,314950.0,315000.0,324925.0,325000.0,325000.0,322000.0,319950.0,310000.0,309950.0,319950.0,324950.0,329950.0,329995.0,334000.0,339450.0,349950.0,349950.0,349990.0,349950.0,339950.0,340000.0,375000.0,384950.0,384900.0,379997.5,375000.0,379888.0,380000.0,390000.0,389974.5,389950.0,385000.0,399950.0,400000.0
