RegionID,Zip,city,state,metro,county,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
99534,98052,Redmond,WA,Seattle,King,17.82,17.88,17.81,17.63,17.46,17.27,17.14,16.89,16.67,16.43,16.38,16.46,16.63,16.59,16.52,16.44,16.43,16.54,16.67,16.75,16.89,17.11,17.14,17.18,17.37,17.66,17.76,17.8,17.89,17.92,18.15,18.13,18.17,18.1,18.13,18.07,18.16,18.28,18.56,18.66,18.68,18.76,18.79,18.86,18.98,18.86,18.8,18.8,18.92,19.16,19.25,19.12,19.22,19.27,19.54,19.31,19.18,19.14,19.25,19.29,19.5,19.56,19.5,19.61,19.62,19.92,20.3,20.55,20.54,20.7,20.57,20.74,20.96,21.39,21.77,22.05,22.29,22.68,23.03,23.51,23.78,23.77,23.61,23.84,24.45,24.88,25.09,25.35,25.75,26.25
99500,98012,Bothell,WA,Seattle,Snohomish,15.36,15.35,15.24,15.13,14.75,14.49,14.23,13.97,13.8,13.64,13.59,13.53,13.5,13.53,13.47,13.49,13.56,13.68,13.88,14.07,14.16,14.24,14.41,14.6,14.73,14.83,14.93,15.03,14.94,14.9,14.88,14.84,15.0,15.15,15.33,15.45,15.51,15.63,15.76,15.73,15.73,15.84,15.88,15.85,15.87,15.67,15.58,15.52,15.51,15.58,15.62,15.61,15.61,15.63,15.63,15.65,15.59,15.63,15.59,15.74,15.95,16.07,15.74,15.71,15.76,15.79,15.78,15.99,16.0,16.04,16.09,16.31,16.48,16.65,16.81,16.87,16.95,17.09,17.15,17.36,17.5,17.67,17.84,18.22,18.78,19.09,19.37,19.62,19.9,20.46
99563,98103,Seattle,WA,Seattle,King,18.09,18.12,17.96,17.89,17.91,18.01,18.13,18.1,18.1,17.8,17.69,17.58,17.65,17.63,17.57,17.68,18.09,18.23,18.33,18.33,18.38,18.38,18.41,18.52,18.65,18.88,18.98,19.02,19.48,19.43,19.61,19.77,19.62,19.5,19.43,19.38,19.41,19.38,19.2,19.19,19.26,19.49,19.33,19.29,19.25,18.87,18.66,18.35,18.45,18.51,18.52,18.35,18.45,18.54,18.97,18.84,18.96,19.03,18.96,19.07,19.44,19.64,19.59,19.49,19.72,19.74,19.8,19.99,19.91,20.11,19.94,20.08,20.08,20.32,20.62,20.81,21.08,21.53,21.7,21.87,21.91,21.81,21.67,21.83,22.35,22.93,23.3,23.48,23.8,24.32
99575,98115,Seattle,WA,Seattle,King,18.34,18.35,18.25,18.19,18.26,18.28,18.3,18.19,18.11,17.81,17.63,17.57,17.75,17.89,17.98,18.2,18.45,18.62,18.88,18.79,18.73,18.71,18.71,18.8,18.87,19.02,19.16,19.16,19.33,19.4,19.56,19.72,19.58,19.38,19.27,19.15,19.23,19.15,19.09,19.29,19.5,19.85,20.11,20.18,20.2,19.8,19.49,19.23,19.22,19.26,19.27,19.33,19.5,19.93,20.3,20.03,19.81,19.63,19.54,19.57,19.75,19.85,19.82,19.96,20.11,20.04,20.15,20.73,20.63,20.82,20.7,20.91,21.0,21.31,21.73,21.95,22.07,22.36,22.48,22.7,22.75,22.64,22.38,22.49,23.05,23.63,24.35,24.9,25.47,26.11
99589,98133,Shoreline,WA,Seattle,King,16.16,16.06,15.82,15.54,15.4,15.21,15.22,15.13,14.99,14.68,14.6,14.56,14.56,14.5,14.5,14.41,14.37,14.44,14.45,14.7,14.86,14.78,14.93,14.98,15.15,15.38,15.5,15.56,15.65,15.91,16.11,16.06,16.06,16.07,16.09,16.06,16.13,16.21,16.26,16.28,16.11,15.89,16.14,16.43,16.45,16.34,16.27,16.18,16.11,16.16,16.12,16.08,16.18,16.23,16.69,16.69,16.83,16.68,16.49,16.44,16.55,16.66,16.57,16.63,16.87,17.33,17.61,17.8,17.56,17.6,17.27,17.34,17.45,17.61,17.78,17.85,17.98,18.28,18.75,19.25,19.56,19.7,19.59,19.65,20.01,20.24,20.27,20.37,20.71,21.31
99581,98122,Seattle,WA,Seattle,King,17.58,17.48,17.38,17.29,17.29,17.31,17.16,16.97,16.86,16.73,16.77,16.79,16.96,17.08,16.96,16.84,16.8,16.91,17.13,17.31,17.4,17.29,17.26,17.25,17.41,17.43,17.63,17.66,18.05,18.15,18.57,18.66,18.82,18.75,18.73,18.62,18.48,18.16,17.9,18.01,18.01,18.26,18.34,18.45,18.37,18.04,17.87,17.58,17.56,17.51,17.32,17.31,17.53,17.52,18.16,18.07,18.04,17.9,17.94,17.93,18.16,18.34,18.47,18.73,18.9,18.92,19.09,19.46,19.22,19.68,19.4,19.6,19.7,19.89,20.08,20.21,20.43,20.67,20.91,21.09,21.17,21.11,20.92,20.93,21.36,22.03,22.35,22.68,23.07,23.48
99631,98208,Seattle Hill-Silver Firs,WA,Seattle,Snohomish,14.36,14.22,14.05,13.92,13.67,13.61,13.36,13.19,12.99,12.78,12.69,12.54,12.48,12.47,12.37,12.38,12.49,12.62,12.82,12.94,12.92,12.96,13.1,13.31,13.46,13.63,13.67,13.81,13.79,13.68,13.57,13.58,13.78,13.95,14.19,14.38,14.5,14.66,14.8,14.73,14.7,14.8,14.94,14.93,14.97,14.85,14.8,14.75,14.74,14.78,14.79,14.77,14.83,14.85,14.83,14.82,14.74,14.75,14.75,14.9,15.07,15.21,14.94,14.82,14.8,14.83,14.86,15.17,15.24,15.24,15.25,15.34,15.41,15.5,15.59,15.61,15.71,15.92,16.0,16.13,16.17,16.23,16.33,16.53,16.83,16.95,17.11,17.26,17.5,17.98
99519,98034,Kirkland,WA,Seattle,King,16.2,16.02,15.91,15.74,15.58,15.32,15.23,15.12,15.0,14.71,14.56,14.48,14.55,14.58,14.59,14.5,14.55,14.7,14.78,15.1,15.23,15.24,15.18,15.28,15.4,15.62,15.73,15.78,15.92,16.29,16.49,16.64,16.84,16.81,16.84,16.91,17.1,17.16,17.21,17.34,17.21,17.16,17.05,17.0,16.96,16.78,16.64,16.64,16.75,16.77,16.75,16.68,16.76,16.83,17.41,17.35,17.11,16.9,16.81,16.76,16.88,16.92,16.89,16.88,17.01,17.3,17.51,17.72,17.63,17.84,17.82,18.01,18.12,18.28,18.4,18.6,18.84,19.23,19.82,20.41,20.75,20.78,20.61,20.75,21.2,21.6,21.77,21.86,22.2,22.75
99583,98125,Seattle,WA,Seattle,King,17.15,17.05,16.98,16.83,16.67,16.49,16.44,16.31,16.11,15.77,15.59,15.49,15.52,15.52,15.48,15.47,15.5,15.59,15.61,15.87,16.02,15.99,15.99,16.04,16.33,16.56,16.86,16.86,16.99,17.29,17.62,17.44,17.44,17.49,17.41,17.32,17.4,17.4,17.5,17.71,17.62,17.79,17.84,17.96,17.8,17.28,17.0,16.92,16.98,17.01,17.0,16.97,17.12,17.26,17.79,17.59,17.3,17.02,16.88,16.85,17.07,17.23,17.45,17.52,17.67,17.9,18.02,18.24,18.1,18.41,18.25,18.4,18.47,18.65,18.77,18.87,19.0,19.28,19.62,20.17,20.56,20.81,20.62,20.71,21.15,21.46,21.74,21.99,22.46,23.02
99491,98003,Federal Way,WA,Seattle,King,12.57,12.39,12.02,11.68,11.27,10.92,10.84,10.82,10.89,10.94,11.01,10.98,10.98,10.89,10.78,10.65,10.59,10.57,10.55,10.6,10.64,10.67,10.62,10.68,10.65,10.67,10.64,10.72,10.75,10.76,10.89,11.23,11.42,11.69,11.81,11.9,11.97,11.86,11.82,11.84,11.77,11.75,11.98,12.04,12.16,12.09,12.11,12.11,12.12,12.14,12.15,12.15,12.21,12.28,12.6,12.65,12.78,12.89,12.98,12.98,13.0,12.94,12.97,12.97,12.95,13.09,13.26,13.67,13.79,14.0,13.85,13.84,13.83,13.89,13.95,13.99,13.98,14.07,14.11,14.31,14.49,14.43,14.35,14.3,14.45,14.52,14.46,14.44,14.56,14.79
