Zip,city,state,metro,county,rent_1br_sqft,rent_1br_monthly,rent_2br_sqft,rent_2br_monthly,rent_sf_sqft,rent_sf_monthly,buy_home,buy_home_sqft,price_rent_ratio
98052.0,Redmond,WA,Seattle,King,2.46596051998074,1764.0,2.00381679389313,2106.0,1.4958333333333302,2750.0,725000.0,397.191525829524,26.25
98012.0,Bothell,WA,Seattle,Snohomish,2.14285714285714,1493.0,1.73198768730042,1811.0,1.29740406320542,2499.5,599999.5,286.02628527251596,20.46
98103.0,Seattle,WA,Seattle,King,2.86806883365201,1750.0,2.29224217311234,2195.0,2.07199074074074,2800.0,785950.0,549.488945753622,24.32
98115.0,Seattle,WA,Seattle,King,2.7192474674384903,1765.0,2.2622322137000803,2247.0,1.98036739580693,2775.0,799900.0,484.53443877551,26.11
98133.0,Shoreline,WA,Seattle,King,2.07826086956522,1350.0,1.91292875989446,1733.5,1.70317686237443,2247.5,549950.0,367.44666329124,21.31
98122.0,Seattle,WA,Seattle,King,3.11881188118812,1925.0,2.8,2640.0,2.3159509202454,3200.0,805000.0,548.382128846092,23.48
98208.0,Seattle Hill-Silver Firs,WA,Seattle,Snohomish,1.88166666666667,1219.0,1.54779038604094,1500.0,,,430000.0,259.546410620629,17.98
98034.0,Kirkland,WA,Seattle,King,2.1458333333333304,1550.0,1.84941176470588,1766.5,1.47465437788018,2695.0,650000.0,357.142857142857,22.75
98125.0,Seattle,WA,Seattle,King,2.14918759231905,1415.0,1.7761279069767402,1750.0,1.6374269005848,2395.0,620000.0,397.744360902256,23.02
98109.0,Seattle,WA,Seattle,King,3.32801597734857,2090.0,2.8902229845626097,2933.0,,,607500.0,623.4548933991,22.42
98105.0,Seattle,WA,Seattle,King,2.84012437689375,1695.0,2.57234726688103,2172.5,2.25,,975000.0,567.375886524823,26.74
98204.0,Paine Field-Lake Stickney,WA,Seattle,Snohomish,1.69022556390977,1160.0,1.47740638137591,1346.0,,,285000.0,225.733634311512,15.38
98004.0,Bellevue,WA,Seattle,King,2.8375114353673,2094.0,2.42261115602264,2664.0,1.9374413145539904,3850.0,,705.294766514669,
98102.0,Seattle,WA,Seattle,King,2.75800255236307,1785.0,2.62429737325695,2500.0,,,,623.333333333333,22.38
98107.0,Seattle,WA,Seattle,King,2.75469168900804,1735.0,2.4796334012220003,2295.0,2.2602739726027403,2999.5,749975.0,561.6379634464748,24.12
98032.0,Kent,WA,Seattle,King,1.88888888888889,1275.0,1.57775356634417,1491.0,,,315000.0,232.402948416307,14.97
98059.0,Renton,WA,Seattle,King,2.09368002505066,1449.0,1.9113811231066695,,1.2,2495.0,695750.0,295.391549394385,20.41
98121.0,Seattle,WA,Seattle,King,3.8071065989847694,2745.0,3.56692160611855,,,,,,22.06
98116.0,Seattle,WA,Seattle,King,2.75980975029726,1797.0,2.3076923076923097,2324.5,,3095.0,799000.0,514.4759698899829,24.69
98007.0,Bellevue,WA,Seattle,King,2.39009203336209,1696.0,2.023,1999.0,,,,410.852586383153,25.19
98011.0,Bothell,WA,Seattle,Snohomish,2.11886304909561,1640.0,1.88656592458989,1969.0,,,,358.88427734375,22.57
98405.0,Tacoma,WA,Seattle,Pierce,1.4916666666666698,1099.5,,,1.33784502334805,1697.5,255000.0,193.741423536394,14.29
98112.0,Seattle,WA,Seattle,King,2.6505853094855296,1595.0,,,2.32945736434109,3700.0,1295000.0,641.891891891892,27.72
98106.0,Seattle,WA,Seattle,King,2.29800498753117,1550.0,,,1.8295919527165296,2100.0,488000.0,352.713178294574,
98101.0,Seattle,WA,Seattle,King,3.29505481140447,2359.5,,,,,,,21.9
98104.0,Seattle,WA,Seattle,King,3.08184523809524,1999.5,,,,,689900.0,,21.04
98402.0,Tacoma,WA,Seattle,Pierce,2.33601286173633,,,,,,,,14.94
98118.0,Seattle,WA,Seattle,King,,1709.0,,2301.0,1.57332920792079,2500.0,596900.0,378.575591075591,20.32
