Zip,city,state,metro,county,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
98052,Redmond,WA,Seattle,King,,,,,,,,,,,,,,,1680.0,1639.0,1709.0,1650.0,1750.0,1635.0,1700.0,1700.0,1702.5,1647.5,1685.0,1562.5,1535.0,1630.0,1550.0,1595.0,1627.5,1717.0,1670.0,1715.0,1725.0,1700.0,1645.0,1692.5,1695.0,1690.0,1767.0,1800.0,1795.0,1815.0,1892.0,1934.0,1982.5,1995.0,1874.0,1806.0,1838.0,1802.0,1840.5,1881.0,1906.5,1929.5,1945.0,1990.0,2005.0,2009.0,1940.0,1959.0,1921.0,1893.5,1919.0,1993.0,2099.0,2100.0,2090.5,2138.0,2018.0,1997.0,1915.0,1895.0,1923.5,2020.0,1975.5,1995.0,2032.0,2100.0,2132.0,2202.5,2165.0,2088.5,2125.0,2099.0,2050.0,1988.0,2043.0,2000.0,2106.0
98012,Bothell,WA,Seattle,Snohomish,,,,,,,,,,,,,1398.0,1534.5,1425.0,1508.0,1408.0,1346.0,1545.0,1420.5,1463.0,1430.0,1495.5,1415.0,1392.5,1293.0,1300.0,1261.0,1228.0,1210.0,1245.0,1349.0,1330.0,1366.0,1262.0,1307.5,1425.0,1308.0,1275.0,1285.0,1360.0,1395.0,1395.0,1402.5,1450.0,1500.0,1495.0,1579.0,1550.0,1475.0,1460.0,1451.0,1375.0,1411.5,1450.0,1455.0,1513.5,1499.0,1550.0,1469.0,1487.0,1479.0,1500.0,1574.5,1574.5,1573.0,1615.0,1668.5,1609.0,1650.0,1792.0,1795.0,1619.0,1602.5,1698.0,1660.0,1652.0,1734.0,1728.0,1751.0,1795.0,1695.0,1699.0,1723.0,1737.0,1795.0,1751.0,1650.0,1731.0,1797.5,1811.0
98103,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275.0,1985.0,2281.0,2197.5,2195.0,1995.0,1995.0,2125.0,2373.0,2300.0,2395.0,2350.0,2350.0,2450.0,2295.0,2195.0,2250.0,2275.0,2100.0,2147.5,2100.0,2195.0
98115,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2275.0,2395.0,2450.0,2324.5,2295.0,2092.5,2095.0,2195.0,2199.0,2195.0,2247.0
98133,Shoreline,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575.0,1400.0,1572.5,1475.0,1404.0,1495.0,1453.5,1453.5,1395.0,1450.0,1495.0,1495.0,1552.5,1597.5,1575.0,1650.0,1495.0,1555.0,1550.0,1595.0,1562.5,1597.5,1855.0,1747.0,1600.0,1687.5,1750.0,1545.0,1600.0,1677.0,1714.0,1699.5,1800.0,1762.5,1749.0,1750.0,1755.0,1797.5,1746.0,1677.0,1695.0,1675.0,1715.0,1733.5
98122,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095.0,2142.5,2243.5,2190.0,2225.0,2200.0,2150.0,2199.0,2199.5,2395.0,2447.5,2590.0,2495.0,2509.0,2450.0,2500.0,2497.5,2495.0,2283.0,2412.0,2475.0,2495.0,2495.0,2745.0,2444.0,2475.0,2597.0,2397.5,2495.0,2497.5,2500.0,2550.0,2313.0,2319.0,2290.0,2385.0,2782.0,2773.0,2797.5,2778.5,2780.0,2750.0,2679.0,2600.0,2595.0,2640.0
98208,Seattle Hill-Silver Firs,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329.0,1370.0,1395.0,1409.0,1460.0,1500.0,1537.0,1499.0,1425.0,1430.0,1414.0,1405.0,1402.0,1420.0,1500.0
98034,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,1095.0,1195.0,1195.0,1150.0,1200.0,1152.5,1195.0,1200.0,1250.0,1250.0,1240.0,1215.0,1219.0,1219.0,1240.0,1300.0,1416.0,1357.0,1385.0,1350.0,1395.0,1441.5,1350.0,1300.0,1300.0,1325.0,1347.5,1350.0,1350.0,1431.5,1495.0,1493.5,1478.5,1450.0,1449.0,1485.0,1435.0,1450.0,1499.5,1539.0,1538.0,1543.5,1614.0,1636.5,1664.0,1658.0,1598.0,1535.0,1550.0,1695.0,1710.0,1742.0,1703.0,1800.0,1750.0,1741.0,1717.0,1775.0,1711.5,1650.0,1734.5,1662.5,1755.0,1800.0,1896.5,1945.5,1895.5,1860.0,1816.5,1800.0,1818.5,1797.5,1715.0,1732.5,1725.0,1766.5
98125,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678.5,1697.0,1618.0,1747.0,1795.0,1799.5,1812.0,1850.0,1812.5,1825.0,1884.0,1895.0,1850.0,1784.5,1799.0,1724.0,1750.0,1750.0
98003,Federal Way,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.5,1250.0,1262.5,1355.0,1410.0,1490.0,1427.5,1410.0,1339.5,1392.5,1357.5,1350.0,1400.0
