Zip,city,state,metro,county,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
98052,Redmond,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247.5,2250.0,2497.5,2500.0,2372.5,2200.0,2200.0,2200.0,2347.5,2395.0,2400.0,2300.0,2487.5,2522.5,2495.0,2400.0,2397.5,2325.0,2395.0,2400.0,2250.0,2550.0,2572.5,2572.5,2597.0,2600.0,2650.0,2700.0,2625.0,2500.0,2567.0,2595.0,2500.0,2595.0,2399.0,2800.0,2600.0,2850.0,2750.0,2750.0,2550.0,2595.0,2595.0,2625.0,2700.0,2697.5,2700.0,2925.0,2950.0,2945.0,2900.0,2800.0,2800.0,2799.0,2799.5,2700.0,2750.0,2750.0
98012,Bothell,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,2100.0,2100.0,2100.0,2099.0,2100.0,2100.0,2000.0,1997.5,2000.0,2100.0,2072.5,2095.0,2095.0,2200.0,2285.0,2250.0,2250.0,2250.0,2250.0,2197.5,2149.0,2100.0,2150.0,2299.0,2247.5,2250.0,2395.0,2350.0,2200.0,2295.0,2322.5,2225.0,2500.0,2400.0,2425.0,2500.0,2500.0,2595.0,2550.0,2495.0,2495.0,2400.0,2400.0,2299.5,2350.0,2395.0,2499.5
98103,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,1897.5,1900.0,1995.0,2195.0,2387.5,2250.0,2050.0,2075.0,2000.0,2000.0,2096.5,2200.0,2200.0,2200.0,2350.0,2425.0,2150.0,2500.0,2500.0,2350.0,2400.0,2400.0,2375.0,2200.0,2197.5,2500.0,2475.0,2500.0,2495.0,2595.0,2650.0,2595.0,2322.5,2280.0,2450.0,2505.0,2475.0,2700.0,2750.0,2595.0,2547.5,2995.0,2797.5,2497.5,2500.0,2650.0,2600.0,2485.0,2795.0,2825.0,2875.0,2800.0,2900.0,3000.0,2800.0,2750.0,2795.0,2745.0,2750.0,2662.5,2792.5,2800.0
98115,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.0,1800.0,1995.0,2150.0,2395.0,2495.0,2372.5,2272.5,2300.0,2297.5,2400.0,2400.0,2325.0,2300.0,2350.0,2700.0,2647.5,2462.5,2495.0,2400.0,2350.0,2400.0,2495.0,2272.5,2487.5,2322.0,2475.0,2750.0,2862.5,2895.0,2695.0,2500.0,2472.5,2550.0,2500.0,2599.0,2800.0,2775.0,2795.0,2795.0,2917.5,2825.0,2995.0,2600.0,2675.0,2500.0,2600.0,2600.0,2695.0,2800.0,2797.5,3100.0,3200.0,3097.5,3200.0,2995.0,2800.0,2795.0,2850.0,2850.0,2700.0,2775.0
98133,Shoreline,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2150.0,2250.0,2272.5,2299.0,2400.0,2425.0,2397.5,2350.0,2395.0,2295.0,2295.0,2200.0,2300.0,2300.0,2247.5
98122,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950.0,2972.5,2947.5,3350.0,3300.0,3100.0,2972.5,2985.0,2985.0,2800.0,2750.0,2900.0,2995.0,2997.5,3200.0
98034,Kirkland,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297.5,2300.0,2200.0,2350.0,2500.0,2400.0,2525.0,2697.5,2600.0,2592.5,2500.0,2450.0,2495.0,2495.0,2495.0,2500.0,2695.0
98125,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.0,2295.0,2395.0,2595.0,2495.0,2425.0,2495.0,2495.0,2400.0,2400.0,2400.0,2300.0,2372.5,2400.0,2395.0
98270,Marysville,WA,Seattle,Snohomish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.5,1847.5,1949.5,1925.0,1930.0,2000.0,2000.0,1970.0,1950.0,1950.0,1951.0,1911.5,1935.0,1997.5,2000.0
98118,Seattle,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,2400.0,2407.0,2395.0,2150.0,2400.0,2625.0,2647.5,2525.0,2597.5,2300.0,2247.5,2337.5,2350.0,2500.0
98004,Bellevue,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100.0,4100.0,4024.5,3947.5,3990.0,3890.0,4000.0,3600.0,3770.0,3795.0,3800.0,3850.0
98023,Federal Way,WA,Seattle,King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749.5,1990.0,1975.0,2006.0,1995.0,1995.0,2045.0,2100.0,1995.0,1962.5,1995.0,1995.0,2095.0,2125.0,2100.0,2095.0
98387,Spanaway,WA,Seattle,Pierce,,,,,,,,,,,,,,,,,1400.0,1350.0,1395.0,1395.0,1350.0,1350.0,1325.0,1312.5,1325.0,1395.0,1397.5,1400.0,1395.0,1395.0,1395.0,1350.0,1350.0,1350.0,1395.0,1350.0,1350.0,1398.0,1450.0,1450.0,1425.0,1397.0,1425.0,1425.0,1460.0,1450.0,1450.0,1450.0,1447.5,1400.0,1400.0,1450.0,1435.0,1450.0,1445.0,1453.5,1450.0,1437.5,1437.5,1400.0,1399.5,1399.0,1477.0,1478.0,1453.5,1453.5,1507.0,1450.0,1437.5,1525.0,1505.0,1511.0,1550.0,1565.0,1522.5,1495.0,1512.5,1550.0,1550.0,1550.0,1562.5,1450.0,1450.0,1495.0,1585.0,1604.5,1600.0,1662.5,1650.0,1642.5,1695.0,1695.0,1697.5,1772.5,1790.0,1750.0,1750.0,1700.0
